Design Study 1
Scenarios/Iterations:, 160
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.375122,0.384575,0.412816,0.412575,0.413442,0.360537,0.319615,0.376720,0.410913,0.404062,0.381834,0.412999,0.383700,0.414231,0.357296,0.413714,0.343449,0.405271,0.370949,0.405138,0.412871,0.413892,0.379644,0.411829,0.333928,0.402607,0.413046,0.411216,0.342089,0.327910,0.411568,0.409752,0.408771,0.409132,0.413774,0.362914,0.413969,0.379855,0.377382,0.384516,0.381247,0.323860,0.410588,0.412688,0.412473,0.413313,0.409812,0.411523,0.406604,0.413022,0.405933,0.410281,0.411937,0.332297,0.413052,0.402783,0.408882,0.329522,0.413394,0.413606,0.412782,0.412563,0.411878,0.333200,0.411548,0.383354,0.344152,0.411529,0.324244,0.361187,0.410689,0.413769,0.410055,0.413517,0.409615,0.413280,0.413903,0.413358,0.409678,0.413328,0.413387,0.413330,0.412311,0.410952,0.332933,0.412739,0.411272,0.408610,0.412759,0.412939,0.413814,0.413867,0.328298,0.409014,0.409709,0.412055,0.414455,0.346204,0.384066,0.413030,0.409327,0.342514,0.413255,0.414390,0.411876,0.411823,0.413224,0.413021,0.412887,0.288851,0.404989,0.414754,0.371345,0.327994,0.413292,0.413372,0.401143,0.368132,0.413199,0.409844,0.413205,0.413683,0.413873,0.413746,0.413041,0.412797,0.413855,0.346909,0.413183,0.342174,0.408977,0.408304,0.412403,0.413545,0.379534,0.412393,0.412706,0.413745,0.413662,0.412863,0.411498,0.412058,0.414287,0.368530,0.411118,0.409315,0.413946,0.413364,0.414141,0.365379,0.413433,0.413872,0.412884,0.413165,0.413007,0.408490,0.411690,0.368547,0.413132,0.413173
BB Drop,,N/A,0.046941,0.084856,0.116117,0.041994,0.038534,0.036327,0.007873,-0.008813,0.012181,0.072009,0.019684,0.100240,0.042626,0.112115,0.036930,0.005957,0.042519,0.013829,0.019822,0.008140,0.021647,0.049666,0.041872,0.098443,0.028489,-0.037506,0.017938,0.037772,0.039752,0.012942,-0.002768,0.027944,0.032906,0.025955,0.028776,0.037678,0.001898,0.039883,0.090216,0.093091,0.093327,0.083096,-0.033971,0.027907,0.029956,0.036944,0.034731,0.028457,0.027427,0.023943,0.031830,0.019451,0.029144,0.036870,-0.038703,0.043027,0.016508,0.025941,-0.002737,0.033239,0.051074,0.047745,0.037644,0.030562,-0.032817,0.047486,0.113226,-0.018912,0.038701,-0.046171,-0.000041,0.030478,0.042897,0.033873,0.033708,0.028712,0.034985,0.036832,0.043588,0.028145,0.033189,0.034994,0.035729,0.047913,0.039024,0.001459,0.045165,0.039571,0.037359,0.030252,0.034515,0.037357,0.051583,-0.037819,0.026982,0.026863,0.037166,0.037132,-0.014720,0.096953,0.030628,0.029877,-0.017235,0.031637,0.041677,0.028670,0.028983,0.036168,0.038885,0.030361,-0.047412,0.019426,0.037289,0.010246,-0.037429,0.037117,0.035268,0.016337,0.013612,0.032035,0.036361,0.031610,0.033983,0.038028,0.037699,0.030778,0.031081,0.035456,-0.015659,0.031835,-0.027387,0.026157,0.024311,0.041266,0.036947,0.083145,0.035028,0.036397,0.034226,0.036991,0.039415,0.039654,0.029297,0.039472,0.000493,0.039240,0.028540,0.035556,0.033673,0.041515,0.009272,0.036984,0.051460,0.035566,0.040704,0.035999,0.025603,0.031284,0.013633,0.032047,0.032324
Stack,,m,0.56549,0.6169,0.61936,0.55159,0.54932,0.55071,0.61859,0.60946,0.56466,0.58418,0.5493,0.6121,0.55569,0.61827,0.55656,0.61108,0.55584,0.61347,0.54844,0.56483,0.54913,0.56007,0.55525,0.61909,0.5453,0.56201,0.54924,0.5536,0.55396,0.60361,0.60797,0.54619,0.55054,0.54811,0.55044,0.54974,0.5706,0.55307,0.62133,0.61508,0.60904,0.61058,0.56795,0.54681,0.54632,0.5513,0.54907,0.54726,0.54506,0.55052,0.5483,0.5469,0.54738,0.5527,0.57071,0.55533,0.54617,0.54789,0.60233,0.54893,0.55821,0.55951,0.55036,0.54791,0.57869,0.55403,0.61933,0.61111,0.55425,0.56398,0.56763,0.55101,0.55557,0.55107,0.54782,0.55002,0.54805,0.55149,0.55264,0.54707,0.54763,0.54843,0.55068,0.55886,0.55158,0.60497,0.55362,0.554,0.55298,0.54655,0.54982,0.55008,0.55752,0.57519,0.54986,0.54561,0.55283,0.55602,0.61346,0.60994,0.54574,0.55165,0.60362,0.54649,0.5542,0.54644,0.547,0.55001,0.55016,0.54624,0.59484,0.54849,0.55601,0.56521,0.57688,0.54889,0.54966,0.54805,0.61776,0.5482,0.55239,0.54683,0.54886,0.55118,0.55017,0.54626,0.54778,0.54968,0.61447,0.54751,0.58568,0.54572,0.54808,0.55157,0.5492,0.61253,0.55195,0.55163,0.54992,0.55027,0.55,0.55423,0.54682,0.55431,0.56691,0.55189,0.54915,0.55045,0.5479,0.555,0.6163,0.55147,0.55743,0.54797,0.55329,0.55051,0.54965,0.54941,0.61712,0.54834,0.5468
SS E,,N/A,0.209030,0.060874,0.078539,0.049496,0.045273,0.046325,0.158700,0.050826,0.109039,0.121782,0.047268,0.060834,0.057690,0.074989,0.046388,0.137474,0.051549,0.060919,0.045460,0.093043,0.050574,0.059981,0.051247,0.069732,0.037469,0.084808,0.049644,0.047985,0.050083,0.053265,0.053086,0.035655,0.044618,0.041391,0.040375,0.044931,0.101032,0.047027,0.085790,0.060956,0.060475,0.060271,0.057891,0.038032,0.037783,0.041398,0.040095,0.039891,0.037234,0.048168,0.038409,0.044953,0.039244,0.048148,0.108475,0.046856,0.047885,0.040768,0.050861,0.039048,0.058060,0.058859,0.043721,0.041426,0.100067,0.054942,0.076473,0.160771,0.048191,0.088344,0.099763,0.038732,0.046602,0.045411,0.040891,0.038328,0.041504,0.044436,0.050690,0.039978,0.040153,0.042162,0.045303,0.059191,0.042512,0.052940,0.052648,0.049789,0.047492,0.038289,0.040680,0.043744,0.056582,0.094667,0.039262,0.038093,0.048417,0.046280,0.162445,0.060325,0.038624,0.040622,0.131581,0.039128,0.050762,0.036646,0.036964,0.040966,0.046686,0.038416,0.047471,0.045994,0.046409,0.106098,0.094912,0.042690,0.041395,0.050962,0.162729,0.038759,0.047852,0.039052,0.041526,0.046224,0.046314,0.038818,0.039720,0.042175,0.170023,0.038480,0.127856,0.039936,0.040257,0.047467,0.042822,0.060225,0.039291,0.046892,0.040959,0.045217,0.045946,0.048003,0.037157,0.047735,0.098295,0.042911,0.042574,0.041638,0.040690,0.050258,0.162735,0.045550,0.056519,0.041619,0.047975,0.041571,0.043728,0.035833,0.162735,0.038288,0.039770
ST Angle,,N/A,1.293070,1.275034,1.273400,1.224908,1.222364,1.222705,1.220238,1.268509,1.262674,1.241026,1.207540,1.273932,1.230836,1.273975,1.230586,1.221070,1.238227,1.250746,1.205184,1.264179,1.208365,1.239236,1.235900,1.273478,1.210057,1.228908,1.205959,1.229926,1.234390,1.270905,1.267789,1.211462,1.222078,1.211426,1.219648,1.221383,1.265149,1.229667,1.272046,1.275920,1.271956,1.272415,1.263988,1.211202,1.212500,1.225586,1.220143,1.212453,1.208107,1.213132,1.218509,1.200746,1.214021,1.227618,1.225046,1.247221,1.197560,1.210879,1.272505,1.220024,1.248129,1.235497,1.223151,1.214697,1.233815,1.229707,1.273151,1.201281,1.234546,1.229215,1.264750,1.221520,1.244733,1.223807,1.218587,1.218202,1.217203,1.225140,1.229362,1.211743,1.215278,1.217392,1.223174,1.234304,1.226602,1.270202,1.227438,1.234414,1.234052,1.212852,1.226350,1.223117,1.247497,1.231836,1.215327,1.207123,1.228006,1.232523,1.202328,1.270736,1.210618,1.222719,1.216383,1.213033,1.233157,1.212484,1.213864,1.223230,1.222691,1.211687,1.252094,1.204888,1.232511,1.267676,1.233038,1.221097,1.225699,1.202587,1.223483,1.216802,1.228818,1.213069,1.219441,1.224093,1.221426,1.211552,1.215518,1.221351,1.198059,1.215041,1.220163,1.207413,1.209000,1.226664,1.221480,1.270685,1.227032,1.225037,1.222334,1.221518,1.224912,1.236601,1.213844,1.230606,1.249519,1.226937,1.217038,1.223739,1.216104,1.235271,1.220154,1.227667,1.247122,1.216982,1.228344,1.222636,1.212835,1.221031,1.223617,1.217886,1.212874
BB OD,,m,0.04017,0.03882,0.03898,0.03554,0.03524,0.03577,0.04937,0.04025,0.04259,0.03935,0.03692,0.03859,0.03697,0.03895,0.03688,0.04759,0.03698,0.04038,0.03656,0.04187,0.03679,0.03734,0.03684,0.039,0.03492,0.04638,0.03707,0.03655,0.0369,0.03991,0.04033,0.03497,0.03633,0.03575,0.03591,0.03542,0.04354,0.03608,0.03958,0.03868,0.03874,0.03885,0.04136,0.03539,0.03494,0.03555,0.0352,0.03563,0.0349,0.03688,0.03529,0.03599,0.03558,0.0365,0.04929,0.03682,0.03603,0.03568,0.04012,0.03528,0.03715,0.03726,0.03542,0.03555,0.0485,0.03605,0.03896,0.05252,0.03694,0.04797,0.04318,0.03599,0.03671,0.03641,0.03524,0.03575,0.03502,0.0358,0.0358,0.03561,0.03497,0.03511,0.03592,0.03711,0.03555,0.04021,0.03592,0.03691,0.03711,0.03499,0.03577,0.03549,0.0369,0.04834,0.03582,0.03531,0.03651,0.03689,0.05205,0.03866,0.03474,0.0361,0.05079,0.03487,0.03652,0.03505,0.03519,0.03536,0.03544,0.03488,0.04051,0.03659,0.03687,0.04224,0.04838,0.0352,0.03567,0.03686,0.04917,0.03516,0.03674,0.03488,0.03541,0.03571,0.03552,0.03484,0.0353,0.03543,0.05267,0.03498,0.05072,0.03542,0.03571,0.03555,0.0353,0.03881,0.03579,0.03617,0.03558,0.03553,0.03538,0.03697,0.03513,0.0364,0.04468,0.03561,0.03599,0.0356,0.03503,0.03673,0.04967,0.03618,0.03688,0.03495,0.03603,0.0354,0.03618,0.03533,0.0492,0.03521,0.03483
TT OD,,m,0.03705,0.04129,0.04177,0.02512,0.02465,0.02486,0.07071,0.04735,0.04038,0.0306,0.02443,0.0388,0.02616,0.04144,0.02566,0.06391,0.02617,0.05093,0.02408,0.03748,0.02444,0.02715,0.02601,0.04222,0.02369,0.0419,0.02457,0.02548,0.02595,0.04354,0.04748,0.02371,0.02498,0.02398,0.02445,0.0247,0.04316,0.0253,0.04673,0.04009,0.03861,0.03961,0.02981,0.0238,0.02386,0.0247,0.02435,0.02396,0.02357,0.02464,0.02427,0.02361,0.02402,0.02541,0.05207,0.02624,0.02365,0.02393,0.04318,0.02437,0.02717,0.02686,0.02466,0.02421,0.05147,0.02601,0.04187,0.0736,0.02588,0.0469,0.04188,0.02459,0.02608,0.02512,0.02433,0.02432,0.02424,0.02491,0.02546,0.02392,0.02407,0.0243,0.0249,0.0268,0.02483,0.04553,0.02564,0.02594,0.02592,0.0239,0.02484,0.02473,0.02702,0.0505,0.02421,0.02356,0.02544,0.02567,0.07403,0.03874,0.02375,0.02469,0.06664,0.02391,0.02577,0.02382,0.02391,0.02456,0.02479,0.02382,0.0439,0.0241,0.02567,0.0406,0.05083,0.0245,0.02481,0.02436,0.07046,0.02417,0.02558,0.02391,0.02444,0.02492,0.02476,0.02382,0.02415,0.02456,0.07586,0.02402,0.05922,0.0236,0.02384,0.02507,0.02457,0.04032,0.02484,0.02512,0.02462,0.02472,0.02484,0.026,0.02393,0.02548,0.04205,0.02489,0.02436,0.0247,0.02415,0.0259,0.07114,0.0252,0.027,0.02421,0.0253,0.02455,0.02424,0.02432,0.07039,0.02422,0.02391
HT OD,,m,0.04917,0.05525,0.05616,0.0352,0.03401,0.03366,0.0619,0.04896,0.05018,0.04446,0.03324,0.05441,0.03705,0.05588,0.03663,0.05932,0.03651,0.0547,0.03254,0.04837,0.03358,0.03962,0.0362,0.05598,0.03096,0.0459,0.03379,0.03501,0.03535,0.04959,0.04963,0.03166,0.03308,0.03276,0.03436,0.03367,0.05002,0.03555,0.05728,0.0549,0.05387,0.05411,0.04275,0.03167,0.03166,0.03493,0.03335,0.03198,0.03066,0.03392,0.03292,0.03183,0.03216,0.03444,0.04946,0.03768,0.03245,0.03257,0.04731,0.03329,0.0392,0.03923,0.03446,0.03179,0.04937,0.03737,0.05617,0.06076,0.03539,0.04671,0.04956,0.03431,0.03751,0.03341,0.0325,0.03393,0.03274,0.03442,0.03585,0.03187,0.0323,0.03284,0.03336,0.03899,0.03554,0.04908,0.03671,0.03535,0.03498,0.03171,0.03402,0.03384,0.03907,0.04845,0.03369,0.03084,0.03454,0.03641,0.06143,0.05412,0.03123,0.03502,0.05728,0.03169,0.03578,0.03173,0.03204,0.03403,0.03427,0.0315,0.04412,0.03265,0.0364,0.0501,0.04867,0.03351,0.03384,0.03371,0.06178,0.0327,0.03435,0.03184,0.03284,0.03441,0.0339,0.03147,0.03219,0.0334,0.06208,0.03236,0.053,0.0312,0.03253,0.03529,0.0335,0.05458,0.03514,0.03383,0.03358,0.03388,0.03436,0.03548,0.03195,0.03589,0.04812,0.03565,0.03351,0.0339,0.03245,0.03604,0.06164,0.03396,0.03902,0.03293,0.03585,0.03423,0.03344,0.03394,0.06168,0.03291,0.03177
DT OD,,m,0.04783,0.05905,0.06144,0.0353,0.03388,0.03293,0.08486,0.04595,0.05188,0.06012,0.02866,0.05761,0.03628,0.0608,0.03364,0.07301,0.03468,0.05535,0.02844,0.04708,0.02907,0.03981,0.03457,0.06066,0.03025,0.04675,0.02862,0.0332,0.03376,0.04578,0.04727,0.03026,0.03148,0.02958,0.03064,0.03336,0.0548,0.03419,0.06507,0.05843,0.05645,0.05663,0.03602,0.02979,0.03088,0.03323,0.03234,0.02983,0.02998,0.02951,0.03145,0.02819,0.03006,0.03297,0.0593,0.03423,0.02804,0.02954,0.04221,0.03192,0.03767,0.03772,0.03363,0.03079,0.05828,0.03728,0.06136,0.08476,0.03317,0.05339,0.05304,0.031,0.03427,0.03178,0.03178,0.03059,0.03246,0.03311,0.03564,0.02973,0.0319,0.03254,0.03235,0.03822,0.03395,0.04577,0.03644,0.03368,0.0328,0.03096,0.032,0.0331,0.03756,0.0559,0.03015,0.02928,0.03309,0.03336,0.08533,0.05713,0.03106,0.03103,0.07555,0.03134,0.0346,0.03045,0.03048,0.03279,0.03407,0.03101,0.03736,0.02842,0.03341,0.05246,0.05632,0.03309,0.03221,0.02841,0.08679,0.03158,0.0327,0.03142,0.03193,0.03369,0.03363,0.03113,0.03114,0.03247,0.08802,0.03155,0.06808,0.0292,0.02921,0.03488,0.03295,0.05757,0.03258,0.03268,0.03208,0.03335,0.03408,0.03332,0.03062,0.03408,0.05111,0.03403,0.0302,0.03249,0.03204,0.03434,0.0868,0.03255,0.03753,0.03278,0.03469,0.03301,0.02963,0.03162,0.08681,0.03158,0.03165
