Design Study 1
Scenarios/Iterations:, 199
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.384575,0.409969,0.375138,0.396687,0.392484,0.391724,0.399179,0.398248,0.404307,0.391590,0.373657,0.384312,0.407406,0.407688,0.408202,0.407095,0.368366,0.408529,0.370475,0.382447,0.387728,0.374982,0.372312,0.392810,0.379015,0.374109,0.382418,0.390598,0.388533,0.362900,0.390174,0.393827,0.394286,0.376154,0.395310,0.372410,0.355615,0.385512,0.397813,0.385209,0.397981,0.358112,0.386554,0.381647,0.373577,0.401865,0.363035,0.377936,0.398115,0.383040,0.375165,0.350276,0.389805,0.371415,0.371039,0.402020,0.384970,0.409511,0.396227,0.404181,0.386480,0.387684,0.404828,0.384535,0.407802,0.392003,0.394066,0.400791,0.355575,0.386216,0.409402,0.410085,0.353154,0.403434,0.403971,0.397705,0.407452,0.406468,0.384223,0.411514,0.383223,0.383307,0.394035,0.414475,0.395628,0.350728,0.402547,0.384464,0.406234,0.397141,0.390543,0.401575,0.389853,0.361104,0.372862,0.404043,0.369665,0.398894,0.395457,0.371751,0.392686,0.368116,0.373525,0.407623,0.396802,0.393902,0.398154,0.394440,0.386336,0.397246,0.399005,0.355500,0.393541,0.396776,0.402357,0.398183,0.393412,0.402837,0.397006,0.385052,0.398663,0.358623,0.410555,0.392368,0.396914,0.372138,0.401159,0.391760,0.379566,0.397081,0.362048,0.410945,0.369279,0.386992,0.397656,0.390894,0.360116,0.391817,0.404276,0.348330,0.368600,0.351658,0.399806,0.371862,0.404213,0.359920,0.385968,0.396820,0.412315,0.395078,0.407471,0.393244,0.355458,0.382033,0.386382,0.382993,0.392194,0.391515,0.398941,0.398657,0.410851,0.397929,0.399543,0.357312,0.393444,0.352418,0.379317,0.382936,0.381972,0.400220,0.411424,0.390758,0.392954,0.397413,0.385416,0.398147,0.352383,0.393497,0.363790,0.392830,0.399562,0.362225,0.372462,0.399201,0.400302,0.397148,0.382262,0.408385,0.399396,0.353712,0.381587,0.360017,0.380618,0.399091,0.373025,0.376160,0.357655,0.409568,0.361157,0.411268
BB Drop,,N/A,0.116117,0.075565,0.022525,0.081174,0.060131,0.010946,0.033256,0.090036,0.087238,0.012391,0.017542,0.029273,0.073039,0.074303,0.073990,0.074811,0.014289,0.075505,0.016434,0.007666,0.012061,0.022793,0.014473,0.012103,0.021019,0.021388,0.004525,0.043381,0.042651,0.006010,0.033727,0.014694,0.014472,0.017133,0.032515,0.018460,-0.004598,0.011752,0.082305,0.011050,0.024060,0.000582,0.024096,0.009447,0.020675,0.086586,0.002074,0.026522,0.076979,0.009163,0.024010,-0.009614,0.023366,0.018408,0.017344,0.085707,0.045013,0.052327,0.028048,0.085594,0.022357,0.021163,0.084014,0.008738,0.073451,0.040501,0.016636,0.041780,0.008917,0.032322,0.048378,0.050940,0.004618,0.040454,0.087428,0.052438,0.072848,0.032948,0.028196,0.049458,0.008382,0.023055,0.015109,0.051086,0.031870,0.009117,0.060832,0.029259,0.057094,0.037974,0.052052,0.044787,0.029230,0.000304,0.014030,0.029155,0.008993,0.082197,0.069562,0.019418,0.056343,0.008332,0.015943,0.081410,0.081466,0.016582,0.070632,0.045929,0.025614,0.015472,0.082850,0.006784,0.022079,0.036613,0.076502,0.082048,0.013725,0.029084,0.066436,0.023899,0.084411,0.010050,0.051544,0.051174,0.077629,0.019014,0.072306,0.034460,0.023885,0.079882,0.008325,0.072155,0.010330,0.027102,0.019112,0.052515,0.010747,0.027238,0.047955,-0.000536,0.009523,-0.007869,0.065236,0.012347,0.028146,-0.000547,0.044313,0.080033,0.050100,0.058543,0.075588,0.011880,-0.004242,0.016870,0.026744,0.028204,0.051036,0.034140,0.076012,0.050323,0.072903,0.062900,0.025399,0.002453,0.053515,0.003557,0.008167,0.043534,0.032542,0.050178,0.043275,0.049734,0.030222,0.083038,0.009566,0.071907,0.006276,0.054470,0.003684,0.012023,0.040553,0.020770,0.019631,0.040085,0.072015,0.075734,0.007599,0.050255,0.069828,0.008398,0.026295,-0.000751,0.018275,0.056517,0.016181,0.011214,0.008633,0.048512,0.007050,0.051112
Stack,,m,0.61936,0.56044,0.56527,0.55772,0.55559,0.55731,0.55597,0.559,0.55616,0.55662,0.56476,0.57693,0.56219,0.56033,0.56175,0.561,0.56444,0.56141,0.56422,0.55788,0.5578,0.56461,0.56514,0.55707,0.56833,0.56507,0.55608,0.55981,0.55775,0.56397,0.57658,0.55623,0.5572,0.55926,0.55677,0.56504,0.56266,0.55785,0.55885,0.55786,0.55728,0.56352,0.56154,0.55877,0.56504,0.55882,0.56352,0.55481,0.56066,0.55853,0.55369,0.56247,0.5591,0.56513,0.5649,0.5588,0.55179,0.56206,0.5575,0.5574,0.5561,0.55571,0.5562,0.55602,0.56012,0.56449,0.5568,0.58265,0.55658,0.5651,0.55863,0.55795,0.5571,0.58194,0.55597,0.56319,0.56034,0.5594,0.56468,0.55807,0.5578,0.55698,0.5584,0.55858,0.55615,0.55484,0.5634,0.57793,0.56289,0.57973,0.55544,0.58879,0.57194,0.5634,0.56501,0.55933,0.56437,0.55772,0.5574,0.56486,0.55445,0.56425,0.56525,0.55991,0.55766,0.55608,0.55785,0.5619,0.55616,0.55781,0.56032,0.55818,0.55913,0.57738,0.56067,0.55889,0.55917,0.5614,0.56047,0.57134,0.5597,0.55749,0.561,0.55767,0.55825,0.56554,0.56104,0.57807,0.55743,0.5581,0.56005,0.55953,0.5646,0.55673,0.55587,0.55577,0.55684,0.55604,0.58698,0.55766,0.56439,0.56253,0.56144,0.55931,0.56109,0.56322,0.55811,0.55798,0.55746,0.55646,0.56018,0.55612,0.56237,0.55903,0.55637,0.56329,0.55767,0.5778,0.5586,0.56178,0.5567,0.56201,0.55452,0.56001,0.55508,0.5579,0.55748,0.55194,0.55969,0.56415,0.56378,0.5573,0.55705,0.55851,0.55615,0.55731,0.55662,0.55492,0.56357,0.55696,0.58384,0.55468,0.56512,0.57869,0.56112,0.55934,0.55721,0.57774,0.56282,0.55603,0.56307,0.56329,0.5647,0.56376,0.56443,0.56418,0.55817,0.58181,0.55991,0.57956
SS E,,N/A,0.078539,0.048387,0.050291,0.056971,0.055641,0.066325,0.056326,0.056372,0.048375,0.069897,0.058294,0.051905,0.053071,0.051245,0.051667,0.052670,0.057216,0.050421,0.057349,0.066322,0.082312,0.050850,0.059866,0.082014,0.057178,0.053933,0.062173,0.071845,0.060910,0.061758,0.052275,0.075352,0.074883,0.054353,0.056129,0.054730,0.087087,0.080825,0.059392,0.078814,0.083949,0.069148,0.053314,0.076602,0.052155,0.050691,0.078081,0.053317,0.059780,0.076245,0.052565,0.092948,0.067411,0.053676,0.055256,0.050620,0.052966,0.054835,0.051141,0.045921,0.052177,0.086317,0.050326,0.062470,0.050810,0.055233,0.079517,0.057099,0.090477,0.056039,0.055462,0.054421,0.093559,0.053604,0.048734,0.064041,0.051484,0.052483,0.058424,0.054736,0.070157,0.058430,0.096662,0.050374,0.055916,0.089436,0.050900,0.051619,0.057937,0.058019,0.056861,0.049454,0.059040,0.078360,0.060051,0.051070,0.062364,0.055824,0.059050,0.053442,0.053350,0.061763,0.059348,0.048099,0.056706,0.075750,0.057485,0.070358,0.051848,0.097869,0.054997,0.088480,0.057725,0.059161,0.058750,0.058686,0.096999,0.052222,0.067109,0.059168,0.060200,0.089415,0.053839,0.055195,0.056131,0.053971,0.060721,0.052694,0.053888,0.057151,0.075651,0.047761,0.061599,0.051633,0.099117,0.057365,0.087190,0.049545,0.049376,0.098838,0.061387,0.090933,0.057283,0.055613,0.058691,0.078097,0.064270,0.056807,0.053701,0.054949,0.049634,0.079052,0.087465,0.073056,0.051832,0.060110,0.068051,0.052966,0.058284,0.067319,0.046381,0.070691,0.065474,0.080538,0.054075,0.092910,0.063126,0.055186,0.061663,0.061831,0.054268,0.068455,0.055705,0.057582,0.061860,0.054150,0.092910,0.053978,0.072431,0.081936,0.057210,0.083679,0.053151,0.058950,0.054489,0.057613,0.068091,0.052959,0.059827,0.085836,0.061242,0.080940,0.062746,0.063300,0.060347,0.084207,0.086218,0.049772,0.076910,0.048697
ST Angle,,N/A,1.273400,1.279616,1.255255,1.275320,1.270455,1.258313,1.266354,1.277249,1.279074,1.259883,1.254751,1.259925,1.278719,1.278869,1.278999,1.278913,1.252376,1.279126,1.253334,1.257834,1.262705,1.255187,1.252686,1.262085,1.257500,1.255047,1.253971,1.265798,1.262162,1.249834,1.263136,1.262413,1.262138,1.241603,1.266005,1.254847,1.247450,1.262428,1.276528,1.261742,1.268371,1.246957,1.249072,1.261568,1.254950,1.277895,1.250762,1.244170,1.275890,1.261044,1.241702,1.245031,1.266795,1.253771,1.253876,1.277796,1.262369,1.277028,1.250261,1.277686,1.245553,1.266568,1.279252,1.256396,1.278704,1.264645,1.264616,1.265476,1.249846,1.260926,1.272413,1.276194,1.247813,1.270699,1.279055,1.272794,1.278565,1.257224,1.259083,1.275762,1.258902,1.260265,1.265436,1.277791,1.265247,1.249225,1.272710,1.259957,1.277375,1.262762,1.269291,1.268812,1.259961,1.249913,1.254670,1.251358,1.251939,1.276465,1.274286,1.253720,1.269330,1.252672,1.253426,1.279186,1.275344,1.263984,1.275341,1.267832,1.247754,1.265140,1.276307,1.249649,1.258151,1.262015,1.277955,1.276565,1.264900,1.252641,1.274727,1.258263,1.277258,1.249256,1.277008,1.268181,1.274695,1.253996,1.276895,1.263696,1.244443,1.275397,1.248805,1.279454,1.250892,1.248021,1.267097,1.269833,1.250421,1.246984,1.269981,1.247011,1.251919,1.245206,1.274550,1.240978,1.264979,1.248812,1.265769,1.275167,1.276534,1.271404,1.278487,1.261232,1.247595,1.264097,1.248386,1.258342,1.271870,1.263498,1.276431,1.271424,1.278810,1.274233,1.267383,1.246225,1.269823,1.248630,1.256967,1.261901,1.260812,1.272515,1.272276,1.270782,1.261612,1.275936,1.256543,1.274316,1.248744,1.269893,1.249060,1.261974,1.264188,1.254108,1.254269,1.264006,1.274865,1.274932,1.257860,1.273029,1.275201,1.251843,1.257078,1.249857,1.263809,1.273983,1.253132,1.260361,1.250695,1.274788,1.248302,1.275186
BB OD,,m,0.03898,0.03936,0.04241,0.03862,0.03905,0.05017,0.04293,0.03847,0.03913,0.05046,0.04018,0.03968,0.03914,0.03929,0.0392,0.03921,0.04144,0.0392,0.04069,0.04781,0.05063,0.04253,0.03961,0.05246,0.0399,0.04063,0.0489,0.03897,0.03895,0.04066,0.03936,0.05161,0.05122,0.03861,0.04148,0.04228,0.0402,0.04982,0.03865,0.04963,0.05154,0.04027,0.03926,0.04805,0.04258,0.03877,0.03979,0.03905,0.03851,0.04865,0.03917,0.03998,0.04627,0.04209,0.0419,0.0388,0.04037,0.03976,0.04106,0.03907,0.04031,0.05124,0.03923,0.04842,0.03932,0.03914,0.05169,0.0386,0.04041,0.0395,0.04043,0.04024,0.04036,0.03935,0.03912,0.03863,0.03931,0.04386,0.03937,0.04073,0.04847,0.04051,0.05293,0.04042,0.0418,0.0402,0.03844,0.03967,0.03945,0.03856,0.03921,0.03852,0.03899,0.04017,0.04001,0.04413,0.0396,0.03882,0.03884,0.04181,0.03936,0.04005,0.03966,0.03917,0.03862,0.05146,0.039,0.03886,0.04013,0.05441,0.03842,0.0399,0.04304,0.03858,0.03898,0.03867,0.05239,0.0421,0.03867,0.03918,0.03863,0.04019,0.03995,0.039,0.03859,0.04122,0.03891,0.03919,0.03882,0.03863,0.04057,0.03956,0.0395,0.04002,0.05502,0.03912,0.04124,0.04044,0.03837,0.04013,0.03981,0.03978,0.03865,0.03858,0.04531,0.04007,0.03931,0.0386,0.04095,0.03918,0.03926,0.05269,0.03999,0.04551,0.04004,0.0394,0.03908,0.03918,0.0389,0.03897,0.03972,0.03871,0.05085,0.04036,0.03944,0.04006,0.04571,0.04032,0.03988,0.03894,0.04029,0.03916,0.04048,0.03857,0.04823,0.03894,0.04025,0.03944,0.03928,0.05252,0.03852,0.04045,0.04198,0.03859,0.03856,0.03854,0.04838,0.0388,0.03847,0.04044,0.03929,0.04032,0.04519,0.03864,0.03964,0.04318,0.04,0.03916,0.0405,0.03891
TT OD,,m,0.04177,0.02915,0.0294,0.02862,0.02812,0.0457,0.03572,0.02878,0.02817,0.0443,0.03155,0.03116,0.02958,0.02915,0.02943,0.02934,0.02989,0.02926,0.03004,0.04353,0.04272,0.02935,0.03355,0.04433,0.03255,0.02965,0.04606,0.03432,0.03595,0.03146,0.03203,0.04312,0.0438,0.03828,0.03521,0.02966,0.0342,0.04221,0.02902,0.0426,0.03827,0.03237,0.0382,0.04209,0.02948,0.02844,0.03495,0.03951,0.02936,0.04277,0.04073,0.03523,0.0369,0.02959,0.02969,0.02845,0.02739,0.03283,0.04401,0.0281,0.0434,0.03586,0.02848,0.04429,0.02908,0.0303,0.04177,0.03634,0.02976,0.0312,0.0352,0.03202,0.03039,0.03443,0.02817,0.03263,0.02913,0.04439,0.03287,0.03181,0.04342,0.03692,0.04223,0.03124,0.03606,0.02974,0.02929,0.03123,0.03262,0.03635,0.02821,0.03306,0.03548,0.03386,0.03273,0.04693,0.03422,0.02861,0.02871,0.02954,0.0278,0.03294,0.03337,0.02875,0.02859,0.04172,0.02875,0.03529,0.04176,0.04331,0.02891,0.03168,0.04146,0.03722,0.02954,0.02897,0.04328,0.04371,0.02972,0.03517,0.02932,0.03032,0.03176,0.0285,0.02864,0.02967,0.02975,0.03265,0.03808,0.0287,0.03015,0.02923,0.0341,0.04122,0.04041,0.02831,0.02964,0.04459,0.03319,0.03221,0.03335,0.03546,0.02938,0.03799,0.04137,0.03388,0.02935,0.02865,0.03108,0.02825,0.02892,0.04455,0.03462,0.03799,0.04113,0.03253,0.02931,0.03275,0.02893,0.03507,0.02887,0.03253,0.03783,0.03115,0.02797,0.03176,0.04237,0.02757,0.02964,0.03434,0.03778,0.02928,0.03731,0.02879,0.04424,0.02841,0.0302,0.02794,0.03535,0.04437,0.03663,0.0292,0.02956,0.03714,0.02908,0.02891,0.04362,0.03434,0.03009,0.02986,0.0331,0.03371,0.03227,0.03327,0.03313,0.03406,0.03127,0.03313,0.0304,0.03298
HT OD,,m,0.05616,0.0541,0.05953,0.05603,0.05424,0.04829,0.04501,0.05774,0.05549,0.04778,0.05414,0.05826,0.05417,0.05364,0.05412,0.0539,0.05612,0.05432,0.05546,0.048,0.04797,0.05884,0.05217,0.04846,0.05386,0.05764,0.04834,0.05071,0.05074,0.05247,0.0567,0.04794,0.04809,0.05201,0.04503,0.05718,0.04943,0.04772,0.05596,0.04774,0.04797,0.05103,0.05097,0.0479,0.05857,0.05646,0.04891,0.05003,0.05645,0.04798,0.04992,0.04912,0.04648,0.05826,0.05716,0.05625,0.05155,0.05159,0.04705,0.05555,0.0481,0.04749,0.0554,0.04756,0.05341,0.05456,0.04789,0.05723,0.04513,0.05432,0.05029,0.05173,0.04538,0.05389,0.05555,0.05484,0.05332,0.04674,0.05274,0.04963,0.04789,0.04604,0.0488,0.05151,0.04523,0.04438,0.05723,0.05848,0.05188,0.05644,0.05316,0.06027,0.05221,0.04965,0.05154,0.04747,0.04986,0.05528,0.05411,0.05829,0.05352,0.05022,0.05272,0.0549,0.05603,0.0477,0.05359,0.05211,0.04775,0.04901,0.05745,0.04506,0.04768,0.05584,0.05464,0.05587,0.04898,0.04767,0.05497,0.05161,0.05648,0.04587,0.0508,0.0542,0.05595,0.05811,0.05445,0.05657,0.05067,0.05586,0.04868,0.05368,0.05095,0.04786,0.0489,0.05332,0.04605,0.0473,0.06033,0.04498,0.05067,0.049,0.05526,0.05195,0.0473,0.04963,0.05011,0.05601,0.04983,0.05348,0.05385,0.04832,0.04869,0.04671,0.04774,0.05137,0.05147,0.05641,0.05436,0.05214,0.05355,0.05474,0.04688,0.04847,0.05285,0.04502,0.04778,0.05094,0.04878,0.05315,0.04908,0.05093,0.04606,0.05639,0.04756,0.05453,0.04485,0.0529,0.04878,0.04846,0.05765,0.04538,0.05836,0.0564,0.05609,0.05597,0.04775,0.05648,0.05669,0.04452,0.05058,0.04967,0.05045,0.05509,0.05181,0.04984,0.04519,0.0558,0.0484,0.05693
DT OD,,m,0.06144,0.03746,0.03231,0.03648,0.03583,0.05237,0.04375,0.03679,0.03708,0.05066,0.03355,0.03378,0.03751,0.03739,0.03748,0.03746,0.03261,0.03739,0.03292,0.04852,0.04639,0.0324,0.03421,0.04947,0.0341,0.03275,0.05288,0.03764,0.04126,0.03306,0.03464,0.04892,0.04948,0.04411,0.04246,0.03262,0.03419,0.04565,0.0369,0.04618,0.04242,0.03333,0.04586,0.04443,0.03237,0.03672,0.035,0.04737,0.03694,0.04573,0.04963,0.03432,0.04,0.03236,0.03256,0.03672,0.03496,0.04217,0.05695,0.03668,0.05554,0.03909,0.03737,0.05098,0.03733,0.03522,0.0467,0.03676,0.03487,0.0347,0.04615,0.04356,0.03469,0.03648,0.03709,0.03727,0.03733,0.05632,0.03495,0.04247,0.04796,0.04319,0.04507,0.04253,0.04392,0.03536,0.03625,0.03375,0.03993,0.03652,0.0358,0.03561,0.03607,0.03431,0.03415,0.06086,0.03478,0.03671,0.03645,0.03238,0.03573,0.03424,0.03412,0.03712,0.03648,0.04717,0.03664,0.03774,0.05341,0.0472,0.03667,0.03525,0.04957,0.03693,0.03743,0.03686,0.04502,0.056,0.03714,0.03562,0.03718,0.03485,0.04105,0.03564,0.03638,0.0325,0.03745,0.03489,0.04526,0.03653,0.03388,0.03765,0.03447,0.05281,0.04481,0.03587,0.03463,0.05796,0.03607,0.03504,0.03427,0.03454,0.03676,0.04255,0.04787,0.03425,0.03604,0.03647,0.04222,0.03601,0.03715,0.05046,0.0345,0.03974,0.05253,0.0351,0.03671,0.03491,0.03687,0.03964,0.03767,0.03768,0.04428,0.03387,0.03586,0.03511,0.04788,0.03499,0.03529,0.03767,0.04476,0.03661,0.04543,0.03664,0.05108,0.0363,0.03492,0.03586,0.03525,0.0496,0.03668,0.03507,0.03241,0.0371,0.03659,0.03654,0.04877,0.03712,0.03714,0.03537,0.03528,0.03419,0.03464,0.03748,0.03429,0.03531,0.03522,0.0366,0.03396,0.03688
