Design Study 1
Scenarios/Iterations:, 215
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated
CS Length,,N/A,0.403062,0.383041,0.387282,0.385459,0.405654,0.425864,0.406796,0.388350,0.433567,0.408399,0.407220,0.385410,0.404713,0.404074,0.407924,0.437998,0.402157,0.401655,0.503649,0.443845,0.501864,0.431690,0.383340,0.484215,0.460305,0.398949,0.467562,0.443810,0.441002,0.410643,0.391229,0.395232,0.403217,0.410559,0.442264,0.406472,0.429145,0.480642,0.386836,0.410093,0.429620,0.378018,0.506084,0.439313,0.406572,0.414318,0.381066,0.406666,0.374701,0.414625,0.524585,0.405006,0.442031,0.492319,0.440610,0.403267,0.458416,0.494901,0.430736,0.601759,0.388827,0.389509,0.403291,0.375531,0.394450,0.380274,0.384186,0.410589,0.405675,0.431841,0.454210,0.423235,0.406797,0.423489,0.385525,0.403651,0.401701,0.454234,0.407894,0.364643,0.405762,0.412060,0.424984,0.400254,0.429699,0.376757,0.396548,0.411796,0.436592,0.411283,0.405945,0.448734,0.400549,0.403732,0.396495,0.388694,0.392735,0.409170,0.410989,0.404259,0.403034,0.447790,0.468554,0.389283,0.443097,0.437519,0.388445,0.375073,0.432969,0.411490,0.408459,0.463360,0.414330,0.378824,0.430468,0.389206,0.398606,0.468509,0.403055,0.406635,0.379461,0.427856,0.404281,0.728055,0.428121,0.405956,0.405385,0.402987,0.411376,0.384976,0.409605,0.413976,0.451069,0.403685,0.434535,0.402379,0.428958,0.443632,0.438025,0.429833,0.407669,0.498897,0.383118,0.439227,0.404800,0.456612,0.431280,0.420572,0.438534,0.406888,0.429627,0.393406,0.411021,0.432401,0.407996,0.407055,0.383898,0.453028,0.442735,0.386203,0.433110,0.486593,0.405233,0.400695,0.395514,0.403931,0.697125,0.413122,0.437508,0.402695,0.412155,0.405151,0.388722,0.406055,0.772138,0.428268,0.384680,0.455773,0.483718,0.477744,0.382564,0.412580,0.412324,0.404090,0.440677,0.423372,0.434779,0.379686,0.435996,0.390752,0.401686,0.386294,0.401761,0.414808,0.408337,0.430385,0.391717,0.374952,0.439611,0.384553,0.406596,0.416420,0.420524,0.409385,0.399978,0.407917,0.394663,0.434441,0.406327,0.445879,0.428474,0.427473,0.375303,0.457218,0.460944,0.434210
BB Drop,,N/A,0.046941,0.067928,-0.038303,0.048578,0.068635,0.046979,0.065155,-0.002923,0.010079,0.067720,0.069837,-0.002674,0.059204,-0.033962,0.060764,0.061734,-0.009343,0.056080,-0.003929,0.067904,0.054956,0.022370,0.067729,0.069953,0.043254,0.049689,0.024822,0.056780,0.055925,0.071327,0.069992,0.069066,0.066557,0.058791,0.057061,0.068891,0.042437,0.067139,-0.005147,0.011948,0.070620,0.042031,-0.016372,0.044267,0.070062,-0.041935,0.069778,0.068622,-0.007743,0.071650,0.063577,0.067036,-0.002465,0.027077,0.069206,0.069240,0.001792,0.119457,0.069518,0.027464,0.048964,0.066215,0.070151,0.066883,0.048667,-0.013641,-0.040618,0.067354,0.069166,0.067956,0.049745,0.038938,-0.005160,0.054875,0.065769,0.072207,0.038155,0.052299,0.069911,0.068079,0.028661,0.057537,0.069012,0.067852,0.061909,0.067338,0.031961,0.040318,0.054997,0.058734,0.069241,0.051989,0.071090,0.041679,0.069542,-0.002868,0.069331,0.066650,0.052277,0.071009,0.054956,-0.001826,0.001812,0.047114,0.024385,-0.031014,0.020806,0.039042,0.044091,0.067614,0.054393,0.001175,-0.006010,-0.005071,0.024731,0.066855,0.069195,0.071513,0.064585,0.024183,0.049486,0.067143,0.058591,0.047162,0.062571,0.068939,0.050334,0.066484,0.000224,0.003417,0.029664,0.067363,0.070920,0.057692,0.041527,0.048811,0.069228,0.068933,0.066414,0.023777,0.069517,0.054939,0.066449,0.067053,0.068546,0.048879,0.049515,0.067167,0.069302,0.071356,0.065936,0.069437,0.061879,0.068688,0.068045,0.044130,0.052025,-0.003379,0.069126,0.024329,0.068628,0.066780,-0.022120,0.067390,0.052692,0.057919,0.070485,0.050051,0.070332,0.033069,0.031891,0.068731,-0.008936,0.046116,-0.003998,0.052707,-0.000031,0.068413,0.020980,0.041263,0.045953,0.068074,0.068978,0.067416,0.053402,0.042626,0.066901,0.066434,0.056891,0.068544,0.075742,-0.020153,0.067743,0.068020,0.021541,0.067339,0.067204,0.043049,0.068578,0.041947,0.069705,0.068531,-0.011221,0.065585,0.068321,0.052250,0.015468,0.026278,0.048897,0.069024,0.059947,0.041965,0.053714,0.072005,0.040348,0.052336
Stack,,m,0.56549,0.56515,0.56506,0.56455,0.56523,0.56126,0.56545,0.5654,0.56597,0.56507,0.56479,0.56417,0.56532,0.56418,0.56424,0.60349,0.50999,0.56518,0.56589,0.56454,0.5663,0.61054,0.56484,0.56414,0.5651,0.56475,0.61908,0.56663,0.56556,0.56446,0.56514,0.56466,0.56596,0.62166,0.60929,0.56584,0.56594,0.56477,0.56503,0.56548,0.56549,0.56523,0.44961,0.56532,0.56451,0.56407,0.5649,0.58971,0.5639,0.56512,0.56478,0.56513,0.5651,0.56637,0.58487,0.56518,0.566,0.64124,0.56541,0.63735,0.56521,0.56482,0.56545,0.56503,0.56521,0.56385,0.56509,0.58228,0.55645,0.56518,0.56541,0.56502,0.56489,0.56481,0.56521,0.56616,0.56632,0.56483,0.56494,0.55149,0.56466,0.56543,0.61867,0.56576,0.56443,0.56479,0.56563,0.56531,0.52112,0.5649,0.56528,0.56582,0.5649,0.56457,0.565,0.56459,0.56861,0.56501,0.56493,0.566,0.56511,0.56549,0.56509,0.56528,0.6313,0.56412,0.56576,0.56543,0.5649,0.565,0.56574,0.5664,0.56541,0.56503,0.56553,0.56408,0.56457,0.60754,0.56501,0.56473,0.56637,0.56568,0.56529,0.56421,0.56538,0.5651,0.56608,0.56558,0.56517,0.55076,0.56635,0.56575,0.62306,0.56476,0.56479,0.56496,0.51622,0.56941,0.61181,0.56561,0.56461,0.63004,0.56648,0.56496,0.58521,0.56614,0.56503,0.56478,0.56498,0.56528,0.56436,0.54781,0.56424,0.60618,0.56507,0.56629,0.56441,0.56547,0.56467,0.56523,0.56488,0.56516,0.56462,0.5641,0.56532,0.56519,0.51747,0.56511,0.56584,0.56545,0.56624,0.56539,0.56474,0.56592,0.56385,0.61442,0.56551,0.60204,0.56639,0.62988,0.5659,0.56452,0.56608,0.56585,0.6301,0.56588,0.56539,0.56423,0.565,0.56526,0.56541,0.56547,0.565,0.56561,0.56604,0.56469,0.56609,0.56541,0.56492,0.56599,0.56529,0.5654,0.51997,0.56517,0.56465,0.6135,0.5317,0.56489,0.50765,0.56637,0.61228,0.56499,0.56434,0.56527,0.56598,0.56571
SS E,,N/A,0.209030,0.228638,0.025942,0.107666,0.043368,0.031164,0.044396,0.046392,0.044072,0.168683,0.043744,0.045420,0.128899,0.045536,0.042878,0.044180,0.063852,0.048604,0.068370,0.044858,0.045141,0.043084,0.184671,0.045165,0.047467,0.028970,0.044093,0.044730,0.042226,0.043046,0.045530,0.047098,0.046198,0.057650,0.044294,0.046502,0.042035,0.045344,0.044269,0.086674,0.030692,0.059814,0.044738,0.044577,0.045887,0.045779,0.036433,0.044379,0.296935,0.047335,0.019655,0.047025,0.030604,0.069231,0.042383,0.046503,0.044632,0.044277,0.045788,0.053410,0.045105,0.044540,0.047903,0.093002,0.045788,0.049432,0.038073,0.045339,0.032863,0.043449,0.028226,0.047583,0.044039,0.044341,0.044497,0.029239,0.061405,0.046340,0.043730,0.146410,0.044501,0.023034,0.045710,0.297499,0.063470,0.030674,0.045586,0.047359,0.043473,0.043102,0.045904,0.043218,0.047195,0.055441,0.045584,0.038966,0.085602,0.044303,0.045489,0.047802,0.043077,0.057130,0.028100,0.037368,0.042641,0.044043,0.043402,0.043335,0.043136,0.029786,0.022283,0.068255,0.118634,0.173779,0.046590,0.046373,0.046639,0.046028,0.046124,0.042660,0.045194,0.064301,0.046078,0.044357,0.087412,0.167331,0.042731,0.047204,0.041651,0.107956,0.057156,0.045507,0.092811,0.075156,0.042579,0.026463,0.041463,0.045560,0.043136,0.045352,0.030305,0.059386,0.046258,0.079532,0.049446,0.046121,0.043897,0.046341,0.046662,0.046934,0.044364,0.035553,0.043409,0.041964,0.045922,0.044011,0.075347,0.043946,0.045249,0.044748,0.031657,0.058528,0.045972,0.056757,0.043636,0.124900,0.026737,0.044620,0.254122,0.098476,0.043708,0.193215,0.032713,0.045947,0.063432,0.042241,0.043843,0.044628,0.045220,0.044971,0.044242,0.043692,0.125639,0.045757,0.044381,0.046818,0.044208,0.131161,0.059295,0.045831,0.045224,0.043888,0.044460,0.045423,0.062367,0.046349,0.064528,0.045657,0.045185,0.034827,0.047936,0.044860,0.044344,0.108414,0.037937,0.118670,0.049499,0.043590,0.044599,0.036108,0.045980,0.042486,0.022700,0.045452,0.096567,0.055044
ST Angle,,N/A,1.293070,1.276682,1.259337,1.335749,1.358867,1.277228,1.292369,1.321348,1.276206,1.280220,1.243142,1.312047,1.290603,1.291102,1.271368,1.273303,1.309165,1.293099,1.276729,1.291964,1.234457,1.272363,1.279900,1.270173,1.263965,1.254445,1.232387,1.263506,1.267357,1.280540,1.365815,1.282461,1.293650,1.288848,1.288821,1.293416,1.303403,1.293208,1.291535,1.276262,1.250161,1.317616,1.242475,1.275268,1.352254,1.283290,1.378599,1.270507,1.293527,1.294075,1.240278,1.295433,1.270719,1.265915,1.250515,1.278812,1.291017,1.236730,1.258482,1.135710,1.307058,1.283028,1.292621,1.310132,1.360640,1.238721,1.010740,1.279887,1.279239,1.241057,1.302058,1.276270,1.291163,1.282585,1.274134,1.281157,1.194891,1.272490,1.291758,1.281280,1.280151,1.277775,1.277527,1.352270,1.306543,1.315540,1.279082,1.240533,1.274637,1.306645,1.292963,1.281440,1.293565,1.313994,1.292878,0.774081,1.297435,1.307766,1.289197,1.292522,1.291564,1.180331,1.277259,1.181430,1.266428,1.299946,1.291100,1.339349,1.274625,1.269443,1.291294,1.272824,1.291898,1.311202,1.315036,1.317041,1.391429,1.244775,1.294361,1.303890,1.394318,1.291611,1.278648,1.308965,1.247183,1.313054,1.310641,1.291409,1.270514,1.316796,1.310269,1.377196,1.267741,1.292959,1.294489,1.290155,1.289024,1.289481,1.265997,1.191484,1.281483,1.270057,1.298640,1.268078,1.285047,1.277690,1.276303,1.294207,1.275777,1.312005,1.292134,1.292947,1.304710,1.293208,1.275505,1.270712,1.311242,1.211143,1.291739,1.363221,1.236695,1.288769,1.413958,1.275685,1.275467,1.398811,1.276788,1.292701,1.253480,1.287041,1.235798,1.292252,0.888751,1.290660,1.251635,1.257244,1.289151,1.241780,1.248506,1.230733,1.311123,1.270029,1.345830,1.246849,1.290064,1.258401,1.263242,1.309359,1.295115,1.275602,1.280665,0.950729,1.273689,1.289122,1.235806,1.293304,1.291346,1.292359,1.278572,1.305991,1.281075,1.293432,1.265907,1.274205,1.283030,1.249270,1.231228,1.291537,1.291036,1.203363,1.269857,1.291418,1.314479,1.275877,1.299270,1.185875
BB OD,,m,0.04017,0.04086,0.04032,0.04022,0.04009,0.03993,0.0401,0.04096,0.04026,0.04056,0.04034,0.04017,0.05404,0.04056,0.04091,0.04052,0.04066,0.03974,0.04005,0.04117,0.03916,0.05145,0.04124,0.0395,0.03963,0.04021,0.03961,0.04039,0.0408,0.04015,0.04061,0.04036,0.04154,0.03978,0.04056,0.04084,0.04025,0.04078,0.04077,0.04653,0.04016,0.04009,0.04053,0.03386,0.0796,0.04088,0.07436,0.06994,0.04042,0.04056,0.0403,0.0409,0.03997,0.04423,0.04091,0.04942,0.04102,0.04009,0.04026,0.04084,0.04,0.0729,0.04002,0.05383,0.03559,0.0397,0.03893,0.04043,0.04056,0.04047,0.03916,0.04959,0.0401,0.04053,0.04024,0.04067,0.03986,0.03906,0.0412,0.04047,0.04144,0.04085,0.04008,0.03974,0.03972,0.04083,0.04025,0.04012,0.04055,0.04007,0.04157,0.0403,0.04131,0.0403,0.04005,0.03964,0.0398,0.04007,0.04052,0.07878,0.04002,0.03979,0.04045,0.04032,0.04033,0.04067,0.04087,0.0405,0.04083,0.04096,0.04044,0.03948,0.03224,0.04033,0.03941,0.04017,0.04117,0.04033,0.04065,0.04064,0.04085,0.04027,0.03992,0.04051,0.03995,0.03985,0.04056,0.03954,0.04082,0.04023,0.04864,0.04061,0.03982,0.04804,0.04054,0.03979,0.0406,0.04028,0.04014,0.03976,0.04154,0.03933,0.04062,0.07139,0.04801,0.04061,0.04052,0.04152,0.06175,0.04599,0.04032,0.05407,0.04082,0.04109,0.03966,0.04008,0.03945,0.04102,0.04055,0.04079,0.04046,0.05007,0.04002,0.04045,0.04825,0.04064,0.03948,0.04182,0.06535,0.04047,0.04054,0.04035,0.04021,0.04052,0.04048,0.04049,0.04065,0.0411,0.03914,0.04002,0.04021,0.04088,0.04027,0.04988,0.04043,0.0401,0.04107,0.03994,0.03974,0.049,0.04009,0.04009,0.04074,0.04807,0.03944,0.04056,0.03974,0.04087,0.04057,0.03951,0.04071,0.04048,0.04066,0.03936,0.04016,0.05016,0.04082,0.04067,0.04003,0.04024,0.04135,0.04074,0.04072,0.04006,0.03943,0.04045
TT OD,,m,0.03705,0.02757,0.02985,0.029,0.02924,0.03086,0.03035,0.02977,0.03769,0.05156,0.02963,0.02857,0.02823,0.02935,0.02694,0.02929,0.03015,0.03404,0.02943,0.02843,0.04171,0.02836,0.0293,0.02836,0.02765,0.0278,0.02948,0.03026,0.03128,0.02794,0.04679,0.02896,0.02839,0.03034,0.02915,0.02999,0.02932,0.02812,0.02927,0.04764,0.03093,0.06614,0.03064,0.02873,0.02722,0.02845,0.0287,0.02827,0.0297,0.0264,0.0306,0.02799,0.03089,0.04395,0.02765,0.02726,0.02979,0.03054,0.02773,0.02821,0.02816,0.03305,0.02784,0.05418,0.02906,0.03065,0.02979,0.0287,0.0307,0.03015,0.02972,0.0305,0.03032,0.02878,0.02748,0.02746,0.02971,0.02755,0.02795,0.02774,0.02925,0.02851,0.02911,0.03026,0.0302,0.02853,0.02737,0.02926,0.02869,0.02865,0.02662,0.02922,0.02663,0.03946,0.02683,0.03195,0.02967,0.02875,0.02994,0.02776,0.02778,0.02998,0.03095,0.02978,0.04772,0.02855,0.0495,0.02964,0.02884,0.02867,0.0294,0.04888,0.03021,0.02842,0.02925,0.02929,0.02897,0.02892,0.02851,0.02974,0.03292,0.02717,0.02892,0.02874,0.03857,0.02726,0.02955,0.02739,0.02918,0.02918,0.03084,0.02673,0.02951,0.04896,0.02882,0.02803,0.02804,0.0288,0.03014,0.02929,0.02804,0.03192,0.0301,0.03591,0.02702,0.03111,0.02712,0.02845,0.02973,0.04912,0.02882,0.02937,0.02854,0.02902,0.02966,0.02972,0.02811,0.03027,0.0292,0.02843,0.03187,0.02984,0.028,0.0436,0.02886,0.02842,0.02856,0.02877,0.03002,0.02809,0.02969,0.02879,0.0318,0.02851,0.03094,0.02921,0.0308,0.02743,0.03141,0.03069,0.02837,0.02983,0.02975,0.05077,0.02863,0.02914,0.02821,0.04406,0.0302,0.02803,0.02894,0.02947,0.02684,0.02739,0.0529,0.02937,0.02829,0.02934,0.02906,0.02949,0.02802,0.02779,0.02912,0.02882,0.02975,0.02839,0.03077,0.0289,0.02847,0.03012,0.03085,0.02804,0.02958,0.02868,0.03088,0.03028
HT OD,,m,0.04917,0.04559,0.04452,0.04921,0.0462,0.03733,0.0449,0.04479,0.04389,0.05096,0.04505,0.04425,0.05811,0.04566,0.04285,0.04533,0.04535,0.04577,0.05198,0.04629,0.04388,0.04527,0.04489,0.04452,0.03429,0.037,0.04595,0.04374,0.03691,0.04473,0.04447,0.04154,0.04583,0.04433,0.04443,0.04606,0.03322,0.03813,0.0456,0.04008,0.03539,0.04543,0.04544,0.03951,0.04508,0.04524,0.03928,0.04509,0.04532,0.04177,0.03436,0.04574,0.03787,0.04794,0.04497,0.04509,0.03086,0.04901,0.04416,0.03539,0.04464,0.04464,0.0443,0.04466,0.04472,0.04374,0.04429,0.04585,0.04526,0.04597,0.03474,0.04523,0.0399,0.04095,0.04458,0.03152,0.04418,0.03209,0.04604,0.0435,0.04513,0.03519,0.03929,0.05024,0.03487,0.04462,0.045,0.04499,0.04468,0.03514,0.04503,0.04514,0.04536,0.05134,0.04561,0.04376,0.04948,0.04511,0.04529,0.04525,0.03333,0.04359,0.03814,0.03235,0.04498,0.04384,0.04602,0.04518,0.0454,0.04522,0.03356,0.04408,0.04469,0.03916,0.03126,0.03422,0.04568,0.05211,0.05025,0.04362,0.04548,0.03413,0.04482,0.04415,0.03845,0.04368,0.04604,0.0451,0.03777,0.04477,0.05064,0.04571,0.04485,0.03315,0.03899,0.03291,0.04402,0.04459,0.03785,0.03517,0.03511,0.04586,0.04497,0.04475,0.04066,0.04568,0.03146,0.0457,0.04517,0.04435,0.03924,0.04487,0.04411,0.04522,0.04544,0.04503,0.04021,0.04024,0.04502,0.04529,0.03559,0.04506,0.045,0.05009,0.04442,0.03804,0.03753,0.0462,0.05418,0.04332,0.05849,0.04466,0.04452,0.04592,0.04489,0.04586,0.04472,0.04548,0.05083,0.04433,0.04511,0.04427,0.04529,0.04469,0.03671,0.03671,0.04525,0.05681,0.04911,0.04542,0.03632,0.04394,0.04384,0.04562,0.0548,0.04561,0.04453,0.04555,0.04602,0.03325,0.04066,0.04508,0.04375,0.04405,0.04554,0.03569,0.04464,0.03518,0.04552,0.03558,0.04578,0.04468,0.0444,0.04502,0.04788,0.04447
DT OD,,m,0.04783,0.0238,0.03604,0.02166,0.0362,0.0362,0.03615,0.03691,0.03675,0.04439,0.0375,0.03563,0.03728,0.03611,0.03641,0.03726,0.03659,0.03595,0.0364,0.03492,0.0363,0.0363,0.03721,0.03582,0.03689,0.03634,0.03717,0.03657,0.03807,0.03546,0.03585,0.03628,0.03631,0.03707,0.03617,0.03685,0.0348,0.03558,0.03621,0.0363,0.03745,0.04382,0.03738,0.03631,0.03597,0.03524,0.03564,0.03637,0.03567,0.03431,0.03683,0.03512,0.0359,0.04851,0.03568,0.03601,0.03691,0.03717,0.03637,0.03594,0.03686,0.03638,0.04884,0.03558,0.03529,0.04595,0.0374,0.03601,0.03719,0.03614,0.03488,0.04083,0.03694,0.04263,0.03664,0.03709,0.03752,0.03552,0.03658,0.03599,0.03527,0.02756,0.03668,0.04287,0.03686,0.03496,0.0363,0.03715,0.04616,0.03558,0.03678,0.03601,0.03714,0.03739,0.03514,0.04741,0.0352,0.03667,0.03626,0.05434,0.03526,0.0379,0.03721,0.03598,0.03714,0.03739,0.03788,0.03687,0.03554,0.03592,0.03692,0.03773,0.03616,0.03552,0.03557,0.03529,0.03524,0.03569,0.03608,0.03692,0.03627,0.03605,0.03627,0.03621,0.04692,0.03734,0.03679,0.03594,0.03624,0.03623,0.04475,0.0366,0.03634,0.03723,0.03653,0.03628,0.03694,0.03522,0.03573,0.03561,0.03584,0.03746,0.03641,0.02697,0.04671,0.03615,0.03651,0.03606,0.03631,0.0349,0.03612,0.03655,0.03678,0.03739,0.03661,0.03566,0.03483,0.03646,0.03554,0.03699,0.03615,0.03662,0.036,0.04084,0.03732,0.03602,0.03665,0.03675,0.05019,0.03838,0.05133,0.03629,0.03739,0.03679,0.04488,0.0362,0.03764,0.0363,0.03767,0.0412,0.03531,0.03763,0.03685,0.03671,0.03632,0.0361,0.03642,0.04434,0.04052,0.03555,0.03531,0.03634,0.03656,0.03584,0.03764,0.0372,0.03579,0.03627,0.03592,0.03685,0.03528,0.036,0.04885,0.03697,0.03584,0.03575,0.03722,0.03596,0.03667,0.03679,0.03698,0.03692,0.03629,0.03538,0.03698,0.03584
