Design Study 1
Scenarios/Iterations:, 166
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.404943,0.405173,0.403609,0.378364,0.399883,0.392195,0.373615,0.442755,0.375916,0.401279,0.407521,0.404224,0.415280,0.360131,0.426241,0.379571,0.407457,0.414345,0.402542,0.423654,0.389840,0.365488,0.417332,0.383814,0.376608,0.382955,0.405281,0.418089,0.400244,0.401590,0.386601,0.434847,0.406840,0.374001,0.306539,0.402496,0.405307,0.389804,0.283686,0.327351,0.401112,0.638604,0.394594,0.409729,0.409871,0.361982,0.399246,0.374882,0.568796,0.408572,0.362139,0.389991,0.408424,0.389699,0.402693,0.388069,0.376059,0.404514,0.360892,0.406064,0.414079,0.402020,0.407987,0.414478,0.418323,0.368374,0.429926,0.354021,0.397236,0.402969,0.403170,0.381375,0.378071,0.401334,0.405530,0.417866,0.408654,0.437769,0.438605,0.429314,0.400834,0.399470,0.393640,0.419024,0.373960,0.408217,0.368580,0.406838,0.384446,0.447098,0.402848,0.402069,0.421745,0.405124,0.410984,0.353685,0.389102,0.392807,0.375853,0.403439,0.409282,0.373498,0.407358,0.400725,0.371960,0.387337,0.421073,0.375599,0.468716,0.368131,0.393374,0.374569,0.410213,0.426283,0.429090,0.385799,0.425687,0.406331,0.403967,0.407442,0.402823,0.442324,0.400512,0.417197,0.403540,0.398996,0.352935,0.422455,0.400726,0.395179,0.388286,0.405755,0.345016,0.420168,0.403435,0.332955,0.397614,0.408483,0.407177,0.384684,0.351764,0.427236,0.357355,0.401723,0.440498,0.436243,0.409459,0.405570,0.403590,0.409854,0.408112,0.398097,0.428460,0.380784,0.405137,0.385620,0.403035,0.399088,0.409900,0.282739,0.369159,0.372280,0.415360,0.406150,0.406333,0.380999
BB Drop,,N/A,0.046941,0.068878,0.049834,0.030459,-0.017830,0.043064,-0.002501,0.017585,0.060530,0.049191,0.060627,0.071660,0.054602,0.034193,0.025920,0.067113,0.025361,0.068863,0.072302,0.071418,0.072841,0.061347,0.068524,0.069461,0.062014,-0.003370,0.065621,0.071471,0.074026,0.065233,0.072341,0.069464,0.068452,0.070420,0.045725,0.048797,0.070262,0.071710,0.070715,0.020405,-0.093709,0.069938,0.020545,0.055875,0.072111,0.067941,-0.014201,0.034652,0.023451,-0.011304,0.069636,0.018950,0.053492,0.071649,0.070793,0.067804,0.070326,0.065749,0.069119,0.065284,0.070622,0.035943,0.057091,0.070917,0.037282,0.067600,0.029813,0.029456,0.017506,0.071374,0.063823,0.020941,0.060501,0.018571,0.031039,0.069010,0.073391,0.073101,0.039564,0.069949,0.020148,0.046474,0.070708,0.055051,0.084983,-0.001726,0.070221,0.025733,0.068429,-0.012603,0.070599,-0.002737,0.065502,0.069209,0.070065,0.076216,0.027053,0.068907,0.029884,-0.011523,0.070741,0.068644,-0.012174,0.069670,0.051117,-0.036804,0.027657,0.068617,0.057275,0.047734,0.063543,0.068042,0.067985,0.072031,0.066703,0.071033,0.000674,0.070696,0.068624,0.068945,0.068350,0.070347,0.073603,0.068734,0.079211,0.069852,0.067057,0.027920,0.070737,-0.006982,0.033773,0.070610,0.071000,0.042099,0.039277,0.072757,0.071336,0.068565,0.071339,0.051219,0.061994,0.068058,0.019674,0.070584,0.057284,0.066848,0.072096,0.067575,0.072176,0.068876,0.068694,0.056171,0.073200,0.068502,0.070200,0.071470,0.049754,0.069740,0.070520,0.068278,0.018216,0.046914,0.051693,0.071642,0.061351,0.068488,0.057442
Stack,,m,0.56549,0.56652,0.56586,0.52461,0.56509,0.56626,0.56563,0.55155,0.56585,0.56529,0.56618,0.56656,0.56482,0.56582,0.56593,0.56554,0.54836,0.56635,0.56492,0.56501,0.56615,0.56568,0.52637,0.56582,0.56532,0.56532,0.56491,0.56576,0.5652,0.58033,0.56555,0.57363,0.5653,0.5674,0.53037,0.58433,0.56588,0.56715,0.56659,0.566,0.56563,0.56615,0.56594,0.5518,0.56546,0.56607,0.56503,0.56583,0.56643,0.56558,0.56497,0.56579,0.56531,0.58414,0.56598,0.56534,0.57711,0.56638,0.55575,0.55314,0.56606,0.5518,0.5656,0.63482,0.56575,0.57624,0.56632,0.56675,0.48909,0.56507,0.56581,0.56588,0.56576,0.47947,0.56575,0.57433,0.56488,0.56522,0.56689,0.56504,0.56717,0.56562,0.56513,0.51876,0.61166,0.56565,0.56567,0.56568,0.56676,0.56605,0.56554,0.56641,0.56535,0.56598,0.56659,0.56461,0.56557,0.52526,0.56591,0.56597,0.56658,0.56636,0.51997,0.56551,0.56603,0.56652,0.56571,0.56507,0.56548,0.56547,0.56516,0.56567,0.56586,0.56568,0.56529,0.56552,0.56566,0.56644,0.56579,0.56605,0.56618,0.55452,0.58135,0.55792,0.56511,0.56625,0.56531,0.56578,0.56619,0.56564,0.547,0.56594,0.56437,0.56514,0.56587,0.56599,0.5963,0.55875,0.56628,0.58305,0.5661,0.56606,0.5651,0.52391,0.56483,0.56413,0.56602,0.56646,0.56524,0.58125,0.56679,0.56489,0.56497,0.58562,0.56561,0.55215,0.56547,0.56692,0.56591,0.56595,0.51045,0.56577,0.58804,0.56535,0.56585,0.56106,0.56558
SS E,,N/A,0.209030,0.045341,0.045512,0.053072,0.043542,0.215683,0.046718,0.114965,0.047201,0.065408,0.137189,0.046147,0.148761,0.066558,0.044280,0.045811,0.181992,0.044482,0.063914,0.289158,0.046933,0.044863,0.062823,0.044953,0.044442,0.042953,0.251989,0.047059,0.129426,0.068885,0.062218,0.045430,0.044478,0.046832,0.044712,0.045560,0.044840,0.045749,0.045623,0.059160,0.175438,0.068503,0.036274,0.046189,0.045882,0.197977,0.045022,0.071582,0.212147,0.044943,0.046611,0.055324,0.043524,0.046207,0.045814,0.047464,0.062207,0.057391,0.044430,0.079751,0.046221,0.077150,0.046977,0.046569,0.056720,0.045360,0.064706,0.068502,0.045778,0.044015,0.061474,0.042655,0.060605,0.044198,0.047711,0.095186,0.155708,0.045841,0.068876,0.045049,0.095212,0.162657,0.044333,0.081668,0.211410,0.054711,0.195299,0.063290,0.044443,0.044333,0.046424,0.044600,0.047542,0.043578,0.045824,0.130583,0.043915,0.045922,0.055665,0.044602,0.044292,0.044773,0.047239,0.045275,0.064274,0.195301,0.043667,0.044786,0.044867,0.045199,0.110593,0.044903,0.048094,0.046442,0.047464,0.044574,0.076625,0.066162,0.046494,0.047916,0.044693,0.046750,0.056917,0.046466,0.046768,0.048559,0.024566,0.043291,0.046867,0.042796,0.094279,0.048806,0.047456,0.046496,0.043616,0.043367,0.044654,0.046926,0.066712,0.066630,0.068740,0.044930,0.010288,0.182499,0.046462,0.052403,0.047252,0.043076,0.047895,0.045074,0.044246,0.044639,0.045642,0.205104,0.045282,0.043762,0.046595,0.044717,0.046077,0.043823,0.069105,0.064984,0.170662,0.045791,0.045977,0.046701,0.046085
ST Angle,,N/A,1.293070,1.291818,1.366127,1.245653,1.259091,1.322638,1.311108,1.309604,1.291227,1.292204,1.290523,1.290164,1.259342,1.292482,1.318641,1.275382,1.340800,1.290634,1.312014,1.363992,1.290781,1.291898,1.325048,1.291862,1.291370,1.245859,1.293424,1.293243,1.291096,1.291292,1.291560,1.290654,1.274418,1.287977,1.292799,1.290910,1.289431,1.291729,1.292253,1.293209,1.291514,1.304218,1.223284,1.310172,1.291568,1.291312,1.405012,1.318182,1.366366,1.102790,1.291901,1.197152,1.339098,1.290586,1.272502,1.290788,1.308030,1.276064,1.294789,1.376773,1.291315,1.291839,1.291303,1.291121,1.290044,1.281364,1.291444,1.329532,1.283955,1.316221,1.346299,1.277590,1.292667,1.245876,1.293657,1.291500,1.291682,1.272271,1.290386,1.300169,1.292250,1.292389,1.308907,1.292938,1.329012,1.306324,1.290629,1.196439,1.292197,1.290111,1.292063,1.370212,1.293501,1.307512,1.291295,1.292130,1.293650,1.291987,1.291731,1.311518,1.290333,1.291896,1.288869,1.291802,1.289715,1.291780,1.317099,1.321179,1.293688,1.291931,1.307031,1.291849,1.291956,1.274556,1.291083,1.279539,1.289108,1.290517,1.310022,1.293072,1.277342,1.292564,1.264879,1.281668,1.291049,1.293660,1.243365,1.290391,1.275858,1.249107,1.290727,1.271862,1.291966,1.292817,1.274912,1.277867,1.257222,1.294326,1.276587,1.311040,1.291926,1.291713,1.234460,1.382679,1.290549,1.268244,1.291330,1.290215,1.291311,1.294292,1.264463,1.291234,1.290398,1.291935,1.289566,1.260395,1.292112,1.274438,1.281276,1.277424,1.293277,1.310382,1.231980,1.280196,1.306402,1.274455,1.304508
BB OD,,m,0.04017,0.03982,0.04084,0.04016,0.04013,0.04001,0.04014,0.04022,0.03991,0.03995,0.04021,0.04023,0.04007,0.04056,0.04027,0.04011,0.03985,0.03945,0.04008,0.04058,0.0712,0.03993,0.03975,0.04043,0.04011,0.04001,0.03966,0.04047,0.04016,0.04039,0.04011,0.03995,0.04002,0.03942,0.03971,0.04034,0.04001,0.04038,0.04013,0.04006,0.04041,0.04002,0.03989,0.03993,0.04022,0.04005,0.04011,0.03981,0.04031,0.04013,0.04024,0.03319,0.04069,0.03993,0.04032,0.03998,0.04051,0.03958,0.0392,0.03998,0.04028,0.04036,0.03986,0.0405,0.04014,0.04098,0.04007,0.04068,0.04005,0.04002,0.03965,0.03431,0.04006,0.0402,0.03983,0.04058,0.04038,0.03988,0.04037,0.04128,0.03953,0.03995,0.04097,0.04035,0.04011,0.04004,0.03951,0.04039,0.04024,0.04013,0.04022,0.0408,0.04763,0.03553,0.04025,0.04116,0.03979,0.04043,0.03976,0.03972,0.04048,0.03954,0.03999,0.04006,0.04032,0.0654,0.03969,0.04086,0.04032,0.0393,0.04028,0.04015,0.03997,0.04086,0.04024,0.03527,0.04018,0.03996,0.04045,0.03988,0.04064,0.0397,0.04074,0.04016,0.03996,0.04028,0.03988,0.04039,0.03972,0.04003,0.06862,0.03993,0.04055,0.04026,0.04063,0.04079,0.04015,0.04021,0.04857,0.03963,0.04061,0.04004,0.0414,0.03969,0.04019,0.03954,0.04034,0.03997,0.04015,0.03997,0.03997,0.03961,0.04031,0.04006,0.04062,0.04076,0.04046,0.03949,0.03959,0.04013,0.03972,0.03936,0.04052,0.04069,0.03969,0.03999,0.0401
TT OD,,m,0.03705,0.02947,0.02941,0.03728,0.02946,0.03996,0.02767,0.02957,0.02942,0.02959,0.02868,0.02824,0.02861,0.03132,0.02853,0.02867,0.02907,0.02961,0.03033,0.02926,0.02794,0.0284,0.03946,0.03058,0.02916,0.02872,0.02909,0.03842,0.02851,0.03863,0.02784,0.02756,0.02749,0.02811,0.02899,0.0288,0.02797,0.02713,0.02814,0.02922,0.02787,0.03431,0.02739,0.02873,0.02841,0.02921,0.02902,0.03045,0.03707,0.02788,0.02998,0.02906,0.0288,0.03054,0.02838,0.02844,0.02827,0.02808,0.02805,0.02856,0.02883,0.03023,0.02914,0.028,0.03015,0.03108,0.03675,0.02943,0.03611,0.02961,0.02966,0.02921,0.02785,0.03105,0.02957,0.03017,0.03068,0.02837,0.0298,0.02884,0.0359,0.03736,0.02843,0.02876,0.02777,0.02812,0.02772,0.02986,0.02903,0.02851,0.03016,0.02861,0.02875,0.02963,0.02949,0.02828,0.03978,0.02867,0.0375,0.0344,0.02809,0.0279,0.02834,0.02812,0.04207,0.02924,0.02852,0.02835,0.02857,0.03017,0.02906,0.03113,0.02923,0.02911,0.02924,0.02863,0.02891,0.03021,0.0285,0.02814,0.02923,0.02792,0.02889,0.02835,0.02871,0.02862,0.0284,0.02742,0.0302,0.02916,0.03775,0.02853,0.02927,0.02842,0.02824,0.02703,0.03034,0.02924,0.02971,0.0294,0.03048,0.02875,0.03127,0.03141,0.02956,0.03098,0.03022,0.02953,0.0281,0.03006,0.02961,0.03943,0.03113,0.03078,0.02807,0.0289,0.02832,0.02886,0.02908,0.02988,0.02992,0.03671,0.02897,0.0281,0.0282,0.02891,0.03768
HT OD,,m,0.04917,0.04428,0.0404,0.04471,0.04396,0.04492,0.04586,0.04486,0.04624,0.04532,0.04008,0.04443,0.0498,0.06008,0.04474,0.0342,0.04032,0.0446,0.04391,0.04973,0.04546,0.04495,0.04888,0.04481,0.04449,0.04515,0.04468,0.04519,0.04558,0.04479,0.0334,0.04503,0.04456,0.04586,0.04481,0.04417,0.04482,0.04508,0.04486,0.0458,0.04529,0.03413,0.03935,0.04462,0.04457,0.0453,0.04463,0.04522,0.03792,0.04622,0.04415,0.05066,0.04393,0.04443,0.04409,0.04456,0.04501,0.04529,0.04538,0.04456,0.0448,0.04955,0.04539,0.0454,0.03807,0.03602,0.05187,0.05024,0.04976,0.04908,0.04439,0.04546,0.03698,0.04447,0.04474,0.04416,0.04988,0.04459,0.04503,0.04495,0.04991,0.05001,0.04554,0.04456,0.04406,0.04626,0.0457,0.05072,0.04354,0.04507,0.05021,0.05056,0.04572,0.0443,0.04502,0.03189,0.05034,0.04386,0.04519,0.04034,0.04422,0.04415,0.0458,0.04517,0.04431,0.05098,0.04473,0.04364,0.04005,0.04979,0.04433,0.04348,0.04391,0.03596,0.04558,0.03243,0.04616,0.03326,0.0454,0.04524,0.0447,0.044,0.03618,0.05012,0.03816,0.04556,0.03263,0.04517,0.04385,0.04575,0.04374,0.03307,0.04526,0.04495,0.05004,0.04484,0.04433,0.05015,0.05953,0.04455,0.05011,0.04416,0.04488,0.04511,0.04489,0.04432,0.04443,0.04397,0.03458,0.04335,0.04449,0.0495,0.04977,0.04406,0.04463,0.04471,0.04517,0.04394,0.04427,0.04466,0.05062,0.05025,0.0457,0.04451,0.04059,0.04438,0.04484
DT OD,,m,0.04783,0.03711,0.03699,0.04277,0.03459,0.03706,0.0361,0.04605,0.03651,0.03702,0.03619,0.03614,0.03647,0.05126,0.03698,0.0354,0.03604,0.03741,0.03766,0.03683,0.03638,0.03572,0.03733,0.03721,0.03733,0.03587,0.03571,0.03695,0.03732,0.03671,0.03642,0.03625,0.03577,0.03668,0.03717,0.03611,0.03699,0.03536,0.03599,0.03705,0.03639,0.03581,0.03637,0.03622,0.03746,0.03748,0.03669,0.03642,0.03607,0.03623,0.03731,0.036,0.03659,0.03693,0.03589,0.03605,0.03656,0.03643,0.03721,0.03719,0.03669,0.03663,0.03689,0.03575,0.03594,0.03628,0.0374,0.03622,0.03635,0.03633,0.03633,0.03604,0.03609,0.03649,0.03598,0.0427,0.03755,0.03558,0.03616,0.0374,0.0443,0.04735,0.03698,0.03662,0.03712,0.04444,0.05425,0.04339,0.03761,0.0359,0.05523,0.03607,0.04553,0.03601,0.03731,0.03597,0.04524,0.03497,0.04463,0.03126,0.03663,0.03654,0.03722,0.03628,0.03755,0.03577,0.03694,0.03707,0.03606,0.0362,0.03746,0.03781,0.03619,0.03678,0.02905,0.03521,0.03585,0.03717,0.05404,0.03616,0.03014,0.03676,0.03583,0.03689,0.03601,0.03593,0.02955,0.03528,0.03656,0.04506,0.03669,0.02503,0.03677,0.01626,0.03563,0.03543,0.04599,0.03614,0.03686,0.03774,0.0364,0.03659,0.03573,0.03745,0.03696,0.03811,0.03689,0.03705,0.04097,0.03716,0.04569,0.03678,0.03656,0.03712,0.0363,0.03681,0.03713,0.03663,0.0247,0.03746,0.03659,0.04349,0.03671,0.03527,0.03642,0.04449,0.03649
