Design Study 1
Scenarios/Iterations:, 78
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.375010,0.399029,0.368739,0.312812,0.410085,0.421362,0.402742,0.362321,0.397773,0.409250,0.396006,0.441449,0.420090,0.347102,0.395990,0.393506,0.407887,0.395085,0.370550,0.416214,0.400986,0.407425,0.386407,0.401557,0.367964,0.422648,0.389187,0.402405,0.404478,0.398084,0.397320,0.413781,0.390172,0.427337,0.348465,0.400789,0.239528,0.419519,0.399215,0.403803,0.390797,0.414691,0.411768,0.403717,0.405096,0.419892,0.352468,0.423038,0.346786,0.404800,0.405031,0.405693,0.400005,0.404792,0.423293,0.402285,0.415708,0.187049,0.356748,0.412503,0.401342,0.417748,0.393093,0.402594,0.429226,0.400102,0.396519,0.364268,0.393676,0.351296,0.361850,0.398378,0.365651,0.428740,0.380694,0.415031,0.384845,0.399073
BB Drop,,N/A,0.046941,0.070448,0.070949,-0.012596,0.045533,0.066792,0.070578,0.071325,0.051909,0.069430,0.072030,0.069431,0.073224,0.075069,0.072331,0.074917,0.001850,0.071959,0.034186,0.071196,0.053392,0.071544,0.070632,0.028013,0.048597,0.075584,0.072745,0.070967,0.069770,0.050635,0.024378,0.068714,0.070450,0.068908,0.073322,-0.001094,0.070529,-0.054449,0.068416,0.068718,0.068634,0.004296,0.030282,0.078295,0.070930,0.070202,0.071394,0.043864,0.071997,0.048072,0.073004,0.063889,0.070704,0.070950,0.070316,0.073123,0.073265,0.070383,0.007628,0.053648,0.056097,0.069831,0.071611,0.066904,0.071992,0.072474,0.067712,0.063466,0.069276,0.027022,0.071046,0.070878,0.070503,0.067643,0.073965,0.002145,0.073491,0.059776,0.069693
Stack,,m,0.56549,0.56581,0.55763,0.5355,0.56675,0.5662,0.56603,0.56594,0.63535,0.56722,0.56615,0.56623,0.56649,0.56834,0.56663,0.56595,0.56606,0.56582,0.56556,0.56553,0.56608,0.56598,0.56752,0.50944,0.5663,0.59592,0.56694,0.5376,0.56712,0.56589,0.5674,0.60789,0.56646,0.56672,0.56797,0.56536,0.56567,0.5532,0.56653,0.56722,0.56683,0.56617,0.56751,0.5669,0.56737,0.56699,0.56767,0.56666,0.5667,0.56696,0.56723,0.56667,0.5681,0.5656,0.56575,0.5673,0.56689,0.56566,0.56615,0.56696,0.56534,0.56568,0.56817,0.56461,0.56581,0.56765,0.56667,0.56695,0.56532,0.48607,0.56762,0.5667,0.56584,0.52478,0.54109,0.56609,0.56741,0.56534,0.56776
SS E,,N/A,0.209030,0.022597,0.009635,0.018554,0.085484,0.086960,0.055648,0.092302,0.012133,0.060995,0.030229,0.089779,0.042182,0.062813,0.041446,0.086709,0.041668,0.044113,0.087078,0.043766,0.043664,0.044500,0.043638,0.042760,0.056803,0.044069,0.076000,0.058370,0.043859,0.044273,0.041317,0.063430,0.027497,0.043890,0.055924,0.111759,0.044156,0.041134,0.072116,0.043734,0.044151,0.042221,0.041216,0.042842,0.041637,0.043154,0.092539,0.044118,0.044806,0.056720,0.078309,0.015482,0.043412,0.040975,0.059700,0.057337,0.044382,0.051437,0.040410,0.105374,0.064997,0.045155,0.043959,0.042170,0.025253,0.041755,0.044077,0.043157,0.042758,0.186679,0.041725,0.044061,0.056917,0.044413,0.059755,0.044032,0.056699,0.043634,0.046051
ST Angle,,N/A,1.293070,1.225294,1.279497,1.094389,1.243444,1.269947,1.272148,1.219238,1.272351,1.264205,1.250814,1.257914,1.265727,1.279538,1.254869,1.268403,1.277965,1.231338,1.274211,1.279913,1.264404,1.274510,1.287302,1.089407,1.309239,1.323102,1.275302,1.277829,1.250180,1.257040,1.232580,1.298155,1.258137,1.264693,1.263532,1.265108,1.206420,1.262258,1.240307,1.157088,1.182041,1.310576,1.157791,1.289001,1.262980,1.102249,1.280885,1.249614,1.261345,1.256088,1.277850,1.273877,1.271567,1.270824,1.257723,1.262584,1.276371,1.270361,1.262139,1.272962,1.130784,1.278715,1.264312,1.253015,1.265169,1.271283,1.280682,1.277554,1.231487,1.239178,1.166099,1.254499,1.281709,1.269252,1.281146,1.284845,1.283094,1.279716,1.272667
BB OD,,m,0.04017,0.04105,0.04047,0.04164,0.0407,0.05993,0.0409,0.04035,0.04028,0.04067,0.04052,0.04107,0.04135,0.03979,0.04045,0.04047,0.04043,0.04073,0.04151,0.04137,0.04038,0.04017,0.04005,0.04043,0.04061,0.03934,0.04085,0.03987,0.0421,0.04056,0.04141,0.04018,0.04013,0.04103,0.03939,0.05833,0.05954,0.04106,0.04027,0.04098,0.04079,0.04045,0.04086,0.03994,0.0405,0.04225,0.0393,0.04119,0.04198,0.04112,0.04095,0.0404,0.03975,0.04041,0.04122,0.03921,0.0401,0.04091,0.04021,0.04094,0.04117,0.04026,0.04056,0.04157,0.04064,0.0404,0.07985,0.03987,0.04099,0.04067,0.04187,0.0406,0.04115,0.04136,0.0403,0.04045,0.04041,0.04043,0.04063
TT OD,,m,0.03705,0.02804,0.02716,0.02225,0.0272,0.02861,0.02811,0.02625,0.02716,0.02852,0.02736,0.02716,0.02714,0.02605,0.02727,0.02809,0.02763,0.02865,0.03141,0.03582,0.0278,0.02604,0.02743,0.02671,0.02919,0.02699,0.02791,0.02831,0.02979,0.02696,0.0288,0.0268,0.02903,0.02687,0.02687,0.02556,0.03177,0.02886,0.02581,0.02855,0.02909,0.0255,0.02705,0.02635,0.02582,0.02645,0.02845,0.02519,0.02817,0.02365,0.02706,0.02633,0.02795,0.02834,0.02836,0.02622,0.02751,0.02795,0.02679,0.02595,0.03404,0.02756,0.02835,0.02672,0.0345,0.02643,0.02677,0.02635,0.03177,0.02626,0.0261,0.02877,0.02523,0.02727,0.02836,0.02781,0.03535,0.02699,0.02818
HT OD,,m,0.04917,0.03719,0.03602,0.04231,0.0339,0.04787,0.03273,0.04384,0.04925,0.04276,0.03346,0.043,0.04316,0.04283,0.04928,0.05494,0.04318,0.05291,0.04351,0.04436,0.04892,0.02891,0.03248,0.0268,0.04489,0.03558,0.0434,0.04336,0.04332,0.03771,0.04296,0.049,0.05353,0.04227,0.04844,0.04719,0.04412,0.04208,0.0435,0.02957,0.04936,0.0361,0.04298,0.03093,0.03405,0.04863,0.03592,0.03296,0.04327,0.04737,0.02999,0.03382,0.04334,0.03382,0.04275,0.044,0.04318,0.05353,0.04782,0.04334,0.0486,0.04456,0.04421,0.03344,0.03481,0.04432,0.04491,0.04354,0.03327,0.05166,0.04335,0.03375,0.03117,0.04453,0.04772,0.03854,0.0283,0.04407,0.04431
DT OD,,m,0.04783,0.0371,0.03651,0.03749,0.04309,0.03707,0.03735,0.04515,0.03611,0.03589,0.03672,0.0286,0.037,0.0367,0.03814,0.03537,0.03644,0.037,0.04714,0.03778,0.03561,0.02756,0.03575,0.03733,0.04194,0.03598,0.03702,0.03547,0.04196,0.03605,0.03613,0.05649,0.03561,0.03646,0.03525,0.0582,0.06066,0.03564,0.03559,0.03704,0.03717,0.03629,0.03667,0.03512,0.04349,0.03618,0.03519,0.04306,0.03628,0.04831,0.03515,0.04336,0.03545,0.0444,0.05413,0.03641,0.03435,0.0422,0.04423,0.03697,0.04444,0.03716,0.03662,0.0374,0.0375,0.03594,0.03712,0.03655,0.04255,0.05926,0.05552,0.03555,0.04082,0.03663,0.0629,0.03763,0.03396,0.03578,0.03611
