Design Study 1
Scenarios/Iterations:, 209
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.356802,0.407776,0.408901,0.405351,0.403119,0.413076,0.399588,0.383907,0.405381,0.409723,0.408405,0.402973,0.403761,0.357646,0.407998,0.398639,0.341777,0.373103,0.403455,0.312418,0.403222,0.298870,0.408609,0.407813,0.405319,0.397188,0.400648,0.344664,0.409803,0.409290,0.405980,0.367555,0.374443,0.317931,0.405811,0.403005,0.374483,0.374967,0.372152,0.362866,0.409630,0.402130,0.387925,0.396882,0.408167,0.410091,0.344378,0.356155,0.388422,0.398010,0.400107,0.409718,0.404361,0.407931,0.361260,0.406793,0.401914,0.400278,0.404054,0.407977,0.366355,0.403307,0.403061,0.403483,0.393439,0.342615,0.409523,0.384602,0.322846,0.395364,0.367062,0.333046,0.403407,0.351262,0.287528,0.368728,0.392189,0.408363,0.408935,0.385063,0.390941,0.363231,0.393373,0.399174,0.357229,0.396339,0.385156,0.344178,0.366719,0.333506,0.293202,0.395296,0.399440,0.410785,0.406007,0.357883,0.377017,0.403135,0.337297,0.393206,0.386498,0.409051,0.408459,0.369622,0.406881,0.350536,0.391230,0.384155,0.395012,0.423366,0.342832,0.400321,0.367233,0.352422,0.334250,0.396793,0.331464,0.390179,0.409881,0.406161,0.344601,0.389826,0.389569,0.338074,0.401956,0.396016,0.385184,0.405688,0.316814,0.388443,0.343792,0.410427,0.398784,0.407437,0.408662,0.407770,0.405496,0.361139,0.376546,0.399568,0.403187,0.335806,0.403104,0.346884,0.403699,0.394547,0.374862,0.395363,0.402773,0.398533,0.363324,0.380373,0.408983,0.402139,0.354494,0.365891,0.409049,0.414393,0.400713,0.403258,0.406410,0.389074,0.397968,0.405953,0.406669,0.311261,0.408689,0.406112,0.407754,0.407373,0.405538,0.404208,0.396042,0.406956,0.320957,0.406889,0.405924,0.391603,0.354626,0.405422,0.405850,0.352476,0.407268,0.405893,0.409052,0.408234,0.405064,0.327241,0.341743,0.410777,0.407466,0.381809,0.409711,0.373741,0.414288,0.396993,0.402258,0.409947,0.405704,0.408841,0.402084,0.398911,0.330960,0.407674,0.405734,0.412568,0.390852,0.412740,0.407519
BB Drop,,N/A,0.046941,-0.005996,0.048618,0.045061,0.042247,0.052367,0.036395,0.043798,0.021109,0.051398,0.051132,0.050815,0.050278,0.046781,-0.005340,0.038927,0.044643,-0.022812,0.009823,0.049693,-0.054333,0.050087,-0.066259,0.054836,0.047976,0.051677,0.042672,0.059216,-0.021282,0.051066,0.048167,0.050929,0.005921,0.008922,-0.047511,0.045506,0.043007,0.009316,0.020542,0.014362,-0.001340,0.044334,0.050958,0.032387,0.039853,0.046175,0.038484,-0.020958,-0.007009,0.030077,0.041487,0.051772,0.037823,0.052171,0.046865,-0.003728,0.049011,0.049976,0.029796,0.048688,0.057385,0.004699,0.055819,0.047172,0.043293,0.030208,-0.022936,0.042569,0.026190,-0.042027,0.041096,0.001446,-0.031465,0.050913,-0.012167,-0.078411,0.007866,0.035892,0.049423,0.045709,0.027709,0.040168,-0.000366,0.036665,0.046186,-0.006372,0.042867,0.026790,-0.020685,0.005362,-0.032421,-0.072480,0.035192,0.045218,0.048646,0.057484,-0.005854,0.015449,0.053661,-0.027193,0.036054,0.026737,0.047553,0.051629,0.010088,0.052325,-0.013372,0.040379,0.026315,0.040937,0.045721,-0.022154,0.041701,0.004500,-0.012230,-0.031053,0.043612,-0.034353,0.033963,0.046480,0.043394,-0.019734,0.030890,0.036538,-0.025148,0.049565,0.046741,0.028114,0.050317,-0.049891,0.031927,-0.019922,0.048396,0.045197,0.049025,0.046398,0.048552,0.044498,-0.004342,0.013595,0.048451,0.054722,-0.029194,0.049520,-0.017559,0.048998,0.049401,0.012365,0.035186,0.047841,0.044623,0.002801,0.023909,0.044494,0.053125,-0.003323,0.003807,0.047738,0.048193,0.049902,0.045594,0.057351,0.034055,0.050008,0.050328,0.054937,-0.055369,0.048845,0.045671,0.046098,0.055103,0.048844,0.049052,0.044204,0.056678,-0.043550,0.050830,0.049041,0.034732,-0.008584,0.039976,0.050358,-0.012458,0.054164,0.049017,0.044392,0.039298,0.052176,-0.039584,-0.019408,0.048943,0.047273,0.019505,0.041993,0.014752,0.048993,0.044362,0.043432,0.044389,0.037627,0.053250,0.044471,0.043698,-0.034892,0.035454,0.049093,0.038049,0.029400,0.047743,0.049238
Stack,,m,0.56549,0.5931,0.58022,0.56569,0.56387,0.57809,0.5601,0.58987,0.59397,0.58181,0.58273,0.58303,0.58247,0.58341,0.58739,0.56247,0.58561,0.5858,0.58398,0.58176,0.59318,0.58834,0.58916,0.57705,0.58256,0.57209,0.58421,0.57725,0.59228,0.57675,0.57354,0.56975,0.58371,0.5845,0.58716,0.58642,0.5902,0.58931,0.59363,0.59462,0.58308,0.5751,0.56845,0.58852,0.59157,0.57694,0.5624,0.58833,0.5836,0.58482,0.58419,0.58055,0.56156,0.57189,0.58288,0.58419,0.58379,0.57055,0.55809,0.58257,0.57701,0.59035,0.57476,0.58784,0.58031,0.58321,0.59201,0.5643,0.58727,0.58846,0.59206,0.58702,0.59545,0.58841,0.59055,0.58987,0.59182,0.58524,0.58285,0.56727,0.58993,0.59123,0.58331,0.59316,0.58667,0.58928,0.58668,0.58586,0.59614,0.59013,0.58997,0.59106,0.58162,0.56284,0.57654,0.57423,0.58615,0.58135,0.5744,0.59436,0.58903,0.58402,0.58156,0.57208,0.58803,0.57775,0.58488,0.5903,0.5897,0.58747,0.56406,0.58702,0.58558,0.58157,0.5848,0.58805,0.5903,0.58962,0.5895,0.57085,0.56356,0.59712,0.58521,0.55916,0.59569,0.58769,0.58809,0.59002,0.5817,0.5929,0.58964,0.5853,0.57784,0.58723,0.5669,0.57379,0.58121,0.58635,0.58591,0.58417,0.56403,0.5744,0.58745,0.58576,0.5851,0.58392,0.58839,0.58133,0.58296,0.56394,0.59033,0.59104,0.58937,0.56523,0.57272,0.59624,0.58805,0.58066,0.56953,0.58294,0.56498,0.57446,0.59379,0.58503,0.58487,0.57779,0.58829,0.57634,0.58462,0.57012,0.57854,0.58508,0.56497,0.5613,0.57513,0.58998,0.56909,0.58444,0.59461,0.59431,0.56231,0.57178,0.58918,0.57461,0.58395,0.56726,0.56233,0.58198,0.59542,0.58879,0.57254,0.56574,0.58384,0.5652,0.59073,0.56906,0.58864,0.56211,0.57228,0.56227,0.57462,0.58549,0.58511,0.59061,0.56047,0.58325,0.56107,0.58374,0.57428,0.58124
SS E,,N/A,0.209030,0.057084,0.059900,0.054480,0.044557,0.055035,0.053056,0.057989,0.061365,0.057522,0.056531,0.065509,0.057706,0.061121,0.059491,0.044436,0.056880,0.058370,0.061025,0.059177,0.056342,0.053889,0.054092,0.058116,0.060632,0.053894,0.060718,0.051021,0.058851,0.056868,0.058312,0.054686,0.060544,0.061298,0.056496,0.057072,0.057610,0.061425,0.055695,0.057493,0.060656,0.055699,0.048823,0.059548,0.056305,0.053314,0.048846,0.058726,0.059349,0.060846,0.060611,0.052312,0.047919,0.052234,0.057261,0.060102,0.057489,0.050429,0.028538,0.060289,0.059367,0.058381,0.049240,0.057490,0.071843,0.071556,0.057778,0.048740,0.060540,0.056350,0.056707,0.059879,0.056271,0.051396,0.058589,0.053165,0.058146,0.060639,0.056023,0.053633,0.058015,0.051952,0.060858,0.057806,0.058175,0.059021,0.055953,0.060404,0.057156,0.058820,0.057982,0.053364,0.067024,0.040687,0.064178,0.053689,0.059687,0.061024,0.052172,0.056977,0.059245,0.061310,0.060206,0.055242,0.059595,0.060190,0.058974,0.052765,0.058750,0.058647,0.065044,0.058711,0.061923,0.060323,0.059138,0.057982,0.054703,0.057792,0.056705,0.054780,0.047845,0.058030,0.060741,0.022530,0.055225,0.054600,0.052703,0.058777,0.061317,0.056049,0.059046,0.058119,0.060160,0.055801,0.052530,0.052740,0.073144,0.054685,0.059956,0.061160,0.044853,0.053118,0.057939,0.057625,0.058353,0.059970,0.050339,0.061248,0.066393,0.048891,0.056431,0.058113,0.058845,0.053671,0.049171,0.054575,0.059796,0.061038,0.072088,0.055410,0.040926,0.053766,0.055920,0.053204,0.060706,0.058777,0.055399,0.060668,0.054850,0.048917,0.059770,0.057895,0.049459,0.040787,0.057205,0.055797,0.052008,0.058190,0.053835,0.057056,0.044517,0.047122,0.058985,0.057427,0.057919,0.050002,0.044999,0.050475,0.056873,0.057100,0.075556,0.050008,0.060918,0.050642,0.057557,0.080315,0.055831,0.043259,0.054295,0.037367,0.056594,0.060061,0.057660,0.057403,0.038989,0.048132,0.053187,0.066232,0.064891,0.076476
ST Angle,,N/A,1.293070,1.321833,1.323532,1.322672,1.315216,1.278201,1.307680,1.327264,1.274104,1.290178,1.318599,1.301013,1.280472,1.278056,1.322788,1.314259,1.275052,1.327642,1.278882,1.278391,1.353568,1.332714,1.342375,1.304027,1.326600,1.281099,1.283466,1.279709,1.332153,1.307033,1.322640,1.292622,1.311442,1.283197,1.336600,1.338495,1.349445,1.276741,1.270212,1.269394,1.309627,1.332218,1.280101,1.277761,1.335730,1.333248,1.317480,1.328400,1.315900,1.298762,1.277141,1.275560,1.319025,1.281742,1.333939,1.308794,1.325967,1.277742,1.299540,1.278638,1.298322,1.321467,1.294939,1.326745,1.310148,1.295841,1.334027,1.322682,1.276337,1.339246,1.327725,1.306579,1.338010,1.310228,1.330381,1.344658,1.318542,1.304294,1.327971,1.322900,1.271382,1.270680,1.314827,1.350441,1.285385,1.326053,1.274730,1.308603,1.330790,1.321910,1.339975,1.323079,1.295065,1.293350,1.315974,1.290239,1.321050,1.285192,1.278938,1.335585,1.329974,1.296642,1.329444,1.299677,1.276681,1.291130,1.321633,1.271958,1.272037,1.278331,1.300769,1.330277,1.329807,1.301153,1.318266,1.336813,1.272013,1.340740,1.269869,1.314958,1.300169,1.273475,1.306614,1.289362,1.336422,1.294722,1.274007,1.331296,1.280555,1.348908,1.322452,1.322110,1.311055,1.273710,1.299161,1.326855,1.297030,1.346094,1.279593,1.301768,1.287103,1.279678,1.334439,1.292610,1.288999,1.288008,1.273448,1.282329,1.280710,1.290730,1.326449,1.326079,1.275661,1.323127,1.281322,1.342273,1.320289,1.325247,1.304670,1.278564,1.310072,1.294305,1.335703,1.275818,1.301464,1.289973,1.310795,1.322846,1.337092,1.330070,1.295314,1.326628,1.297832,1.280710,1.289093,1.288164,1.297777,1.325175,1.352015,1.321702,1.306418,1.304525,1.326759,1.288238,1.325976,1.325956,1.309193,1.313166,1.345858,1.278775,1.316228,1.303923,1.300238,1.329367,1.322132,1.307012,1.277239,1.293602,1.330381,1.323816,1.302880,1.275234,1.275100,1.340573,1.313722,1.338179,1.312655,1.317062,1.312342,1.295235
BB OD,,m,0.04017,0.03994,0.04049,0.04053,0.04006,0.0401,0.04052,0.04036,0.04055,0.04036,0.04033,0.04038,0.04035,0.04048,0.0399,0.04012,0.04033,0.03971,0.04045,0.04038,0.03933,0.0404,0.03944,0.04029,0.04158,0.03994,0.04036,0.03995,0.03969,0.04022,0.0405,0.04002,0.04004,0.0403,0.03954,0.04353,0.04629,0.04053,0.04047,0.04058,0.03998,0.04499,0.03981,0.04043,0.04165,0.04224,0.04178,0.03972,0.03993,0.04023,0.04047,0.03999,0.04043,0.03992,0.04306,0.03998,0.04047,0.03972,0.03984,0.04043,0.04034,0.03999,0.03991,0.04033,0.04032,0.04044,0.03967,0.04023,0.04052,0.03954,0.04034,0.04006,0.03963,0.04031,0.03982,0.03937,0.04012,0.04024,0.04035,0.04075,0.04052,0.04018,0.03996,0.04422,0.04034,0.03986,0.04031,0.04018,0.03971,0.03998,0.03959,0.03958,0.04035,0.03993,0.04285,0.04008,0.03988,0.0403,0.03991,0.03965,0.0404,0.04021,0.044,0.04013,0.0405,0.0403,0.03983,0.04019,0.04053,0.04039,0.04229,0.03969,0.04125,0.04011,0.03985,0.0396,0.04022,0.03957,0.04046,0.0402,0.04007,0.04051,0.04021,0.03967,0.03976,0.04034,0.04016,0.04029,0.04047,0.0394,0.04016,0.0398,0.04033,0.04027,0.04013,0.04025,0.04051,0.04484,0.04034,0.04014,0.03986,0.03998,0.03964,0.04035,0.04014,0.04037,0.04003,0.04033,0.04043,0.03997,0.04024,0.03998,0.04048,0.04047,0.0398,0.0402,0.03997,0.04384,0.04382,0.04029,0.04,0.0401,0.04051,0.04014,0.04035,0.04034,0.03976,0.04055,0.04306,0.0409,0.04037,0.0403,0.04002,0.03977,0.04021,0.04004,0.04008,0.04028,0.04364,0.03995,0.04003,0.04004,0.03978,0.04017,0.04032,0.04022,0.04014,0.04024,0.03948,0.04035,0.04101,0.04012,0.04019,0.04311,0.0401,0.04345,0.0403,0.04007,0.04401,0.04006,0.04022,0.04045,0.04038,0.03958,0.04016,0.04035,0.04048,0.04036,0.04488,0.04063
TT OD,,m,0.03705,0.02782,0.0291,0.02893,0.02759,0.02766,0.02879,0.02897,0.02785,0.0287,0.02865,0.02916,0.02859,0.02887,0.02821,0.02794,0.02813,0.02778,0.02793,0.02852,0.02701,0.02872,0.02648,0.02875,0.02906,0.02778,0.02875,0.02717,0.02778,0.02867,0.02908,0.02807,0.02837,0.02814,0.02703,0.02904,0.02892,0.02778,0.02717,0.02707,0.02818,0.02923,0.02705,0.02825,0.02895,0.02909,0.02908,0.02772,0.02813,0.02877,0.02851,0.02704,0.02835,0.02756,0.02912,0.02808,0.02905,0.02706,0.02664,0.0288,0.02878,0.02824,0.02735,0.02895,0.0288,0.02856,0.02782,0.02815,0.02808,0.02734,0.02888,0.02809,0.02754,0.02822,0.02804,0.02608,0.02796,0.02879,0.02876,0.02894,0.02759,0.02725,0.02825,0.02854,0.02871,0.02816,0.028,0.02874,0.02753,0.02829,0.02773,0.02604,0.02872,0.02666,0.02911,0.02787,0.02825,0.02839,0.02732,0.02764,0.02878,0.02875,0.02916,0.02836,0.02768,0.02867,0.02803,0.02743,0.02765,0.02839,0.02921,0.02782,0.02867,0.02828,0.02795,0.02766,0.0276,0.02766,0.02762,0.02851,0.02791,0.02654,0.02869,0.02478,0.0276,0.02848,0.02732,0.02846,0.02893,0.02708,0.02874,0.02781,0.02888,0.02789,0.02825,0.02837,0.02915,0.029,0.02758,0.02844,0.02688,0.02753,0.0277,0.02875,0.02731,0.02895,0.02667,0.02821,0.02869,0.02755,0.02882,0.02823,0.02791,0.02872,0.02705,0.02774,0.02835,0.02907,0.02923,0.02796,0.02695,0.02795,0.02873,0.0273,0.02901,0.02865,0.02641,0.02909,0.0291,0.02844,0.02886,0.02898,0.02764,0.02647,0.02835,0.02639,0.02795,0.02885,0.0287,0.02767,0.02782,0.02753,0.02806,0.02833,0.02895,0.02817,0.02808,0.02789,0.02745,0.02688,0.029,0.02801,0.02851,0.02922,0.02833,0.02915,0.02825,0.02732,0.02927,0.02714,0.02853,0.02853,0.02826,0.02769,0.02765,0.02805,0.02881,0.02823,0.02916,0.02918
HT OD,,m,0.04917,0.04309,0.04207,0.0391,0.03641,0.04885,0.03265,0.04587,0.04532,0.04337,0.04119,0.04168,0.04598,0.04587,0.04543,0.03352,0.04795,0.04355,0.0446,0.04701,0.04302,0.04222,0.04294,0.04242,0.0448,0.04307,0.04551,0.04767,0.04349,0.04119,0.04063,0.04215,0.04605,0.04334,0.04309,0.04827,0.05267,0.04388,0.04837,0.04726,0.04433,0.04298,0.04234,0.04706,0.05053,0.04188,0.03699,0.04339,0.04464,0.04471,0.0467,0.05073,0.03332,0.04306,0.04532,0.0439,0.04246,0.04269,0.02846,0.04598,0.04325,0.04443,0.04291,0.04321,0.04305,0.04365,0.04394,0.0358,0.04636,0.04312,0.04715,0.0432,0.04407,0.04255,0.04548,0.04281,0.04323,0.04474,0.04079,0.0396,0.04733,0.04899,0.04474,0.05231,0.04498,0.04516,0.04799,0.04458,0.04288,0.04517,0.04405,0.04298,0.04323,0.0383,0.04284,0.0437,0.04502,0.04513,0.04594,0.04422,0.04671,0.04407,0.04676,0.04202,0.04598,0.04283,0.04417,0.04864,0.04713,0.04708,0.03831,0.04369,0.04772,0.04498,0.04383,0.04347,0.04937,0.0438,0.04849,0.03848,0.03706,0.04415,0.04345,0.03288,0.04416,0.04366,0.05146,0.04598,0.04369,0.04302,0.04511,0.04401,0.03964,0.04886,0.0403,0.03877,0.04216,0.04731,0.04368,0.04396,0.04051,0.04593,0.0435,0.0432,0.04366,0.04312,0.05414,0.04503,0.04379,0.04006,0.04418,0.04578,0.04706,0.0383,0.04288,0.04508,0.04562,0.04593,0.04243,0.04998,0.03821,0.04317,0.05026,0.05241,0.04217,0.04625,0.04301,0.04131,0.0449,0.03895,0.04344,0.04223,0.04062,0.03817,0.04547,0.04323,0.04146,0.04148,0.05307,0.04303,0.03478,0.04122,0.04456,0.0447,0.04185,0.03739,0.03364,0.04255,0.04324,0.04471,0.0419,0.0392,0.04367,0.04022,0.04425,0.04255,0.0473,0.03696,0.04223,0.03302,0.04258,0.04723,0.04752,0.04388,0.03091,0.04013,0.03386,0.04447,0.04321,0.04212
DT OD,,m,0.04783,0.03532,0.0373,0.03709,0.03627,0.03611,0.03728,0.03682,0.03667,0.03718,0.03708,0.0376,0.03698,0.03738,0.03568,0.03671,0.03665,0.03525,0.03622,0.03694,0.03427,0.03669,0.03361,0.03716,0.03722,0.03628,0.03717,0.03559,0.0353,0.0372,0.03729,0.03658,0.03605,0.03635,0.03437,0.03683,0.03663,0.03628,0.03573,0.03575,0.03603,0.03704,0.03571,0.03672,0.03655,0.03697,0.03698,0.03536,0.0357,0.03677,0.037,0.03553,0.03676,0.03602,0.037,0.03597,0.03708,0.03568,0.03597,0.03723,0.03716,0.03573,0.03585,0.03693,0.03722,0.03696,0.03511,0.0367,0.03658,0.03452,0.03672,0.03611,0.03456,0.0366,0.03534,0.03316,0.0356,0.03689,0.03696,0.03701,0.03625,0.03588,0.03598,0.03618,0.03704,0.03559,0.03653,0.03651,0.03505,0.03574,0.03495,0.03336,0.03708,0.03554,0.03765,0.03633,0.03575,0.03642,0.03578,0.03473,0.0365,0.03672,0.03726,0.03686,0.03601,0.03712,0.03553,0.03599,0.0363,0.03682,0.03942,0.03532,0.03679,0.03609,0.03564,0.035,0.03629,0.03488,0.03624,0.03711,0.03675,0.03495,0.03672,0.034,0.03468,0.0369,0.03594,0.03608,0.03736,0.03437,0.03646,0.03526,0.03744,0.03649,0.03687,0.03676,0.03763,0.03663,0.03578,0.03642,0.03567,0.03592,0.03503,0.03713,0.03525,0.03741,0.03527,0.03634,0.03721,0.03634,0.03688,0.03556,0.03636,0.03695,0.03556,0.03479,0.03586,0.03734,0.03895,0.03647,0.03567,0.03642,0.03616,0.03585,0.03745,0.03705,0.03399,0.03738,0.03685,0.03645,0.03723,0.03702,0.03629,0.03557,0.03676,0.03423,0.03659,0.03698,0.03599,0.03522,0.03678,0.03616,0.0355,0.03681,0.03699,0.03665,0.03701,0.03638,0.03461,0.03493,0.03765,0.03668,0.03656,0.03707,0.03586,0.03917,0.03671,0.0362,0.03715,0.03578,0.03699,0.03709,0.03678,0.03484,0.03652,0.03634,0.03724,0.03648,0.03772,0.03762
