Design Study 1
Scenarios/Iterations:, 152
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.455940,0.347177,0.385073,0.453992,0.454142,0.393230,0.267910,0.386469,0.405567,0.427609,0.405299,0.404069,0.358249,0.456346,0.305693,0.462803,0.458225,0.465861,0.407689,0.393929,0.377688,0.381594,0.462132,0.441600,0.328796,0.383572,0.327612,0.356398,0.463853,0.386533,0.370315,0.394154,0.387987,0.419729,0.365184,0.328806,0.430539,0.380429,0.357996,0.472213,0.421574,0.382660,0.381548,0.336615,0.371321,0.462758,0.435884,0.304117,0.418880,0.389311,0.387469,0.341994,0.326420,0.356685,0.409318,0.432452,0.349018,0.319873,0.426826,0.436757,0.428892,0.400751,0.411907,0.358994,0.365815,0.451778,0.390031,0.375799,0.359136,0.457694,0.378235,0.380789,0.225518,0.348638,0.468159,0.413395,0.344604,0.348763,0.452323,0.289576,0.362061,0.414737,0.384653,0.402898,0.400798,0.372895,0.384035,0.416155,0.343269,0.313197,0.376000,0.420050,0.423564,0.460344,0.397928,0.450640,0.417162,0.424452,0.472950,0.358385,0.399697,0.368293,0.462055,0.446675,0.395736,0.342887,0.381300,0.399152,0.436379,0.419471,0.343426,0.364421,0.410527,0.395421,0.341568,0.349697,0.318992,0.324450,0.383436,0.342431,0.347115,0.407259,0.401801,0.400091,0.441204,0.361887,0.448277,0.387180,0.450932,0.278579,0.420425,0.368098,0.455501,0.446669,0.416598,0.406135,0.338255,0.308484,0.452807,0.415498,0.417551,0.469833,0.401617,0.425554,0.363101,0.349592,0.405185,0.417354,0.449771,0.402261,0.466615,0.442753
BB Drop,,N/A,0.046941,0.056558,0.062572,-0.003574,0.077635,0.050929,0.087512,0.091777,0.034421,0.070115,0.055832,0.089488,0.057125,0.005841,0.046424,0.095637,0.070961,0.082178,0.052371,0.081152,0.044323,0.095266,0.099416,0.063768,0.057104,0.035847,0.091683,0.118342,0.077179,0.060370,0.095056,0.099691,0.060377,-0.010775,0.094089,-0.027857,0.081099,0.054259,0.050925,0.101165,0.064248,0.064031,0.061122,0.079199,0.038041,0.067227,0.052113,0.055802,0.103714,0.030179,0.071593,0.108464,0.084773,0.057279,-0.006991,0.071515,0.046675,0.068201,0.074850,0.042412,0.036123,0.055516,0.033177,0.065320,-0.007595,0.089034,0.059707,0.014309,0.074227,0.087553,0.056024,0.101092,0.059428,0.108293,0.131539,0.062695,0.086184,0.038073,0.101392,0.064207,0.134597,0.085023,0.050298,0.048150,0.047136,0.075874,0.089809,0.054013,0.040790,0.103806,0.094593,0.040477,0.063528,0.064709,0.066435,0.021168,0.067622,0.031223,0.050210,0.055872,-0.031150,0.014787,0.060518,0.049220,0.052250,0.058858,0.077228,0.102227,0.050000,0.087736,0.042111,-0.011223,0.052259,0.115446,0.068427,0.137770,0.060167,0.067894,-0.042566,0.001769,0.087325,0.111708,0.032233,0.074194,0.060035,0.061784,0.090627,0.059787,0.009812,0.055599,0.067510,0.105570,0.084451,0.040527,0.060470,0.011812,0.024729,-0.000081,0.120502,0.085356,0.071641,0.048947,0.060065,0.026593,0.100315,0.104659,0.101378,0.034765,0.061045,0.060667,0.010593,0.065088,0.077345
Stack,,m,0.56549,0.57859,0.54139,0.57165,0.57354,0.57751,0.55126,0.52495,0.55303,0.55998,0.56077,0.55707,0.56018,0.54691,0.57688,0.5338,0.57636,0.57615,0.57902,0.56484,0.55481,0.54382,0.55421,0.58215,0.56638,0.55482,0.54869,0.54055,0.5485,0.57855,0.55042,0.54918,0.5521,0.57287,0.56496,0.56639,0.5453,0.56992,0.56418,0.54349,0.58355,0.56352,0.55004,0.54826,0.54298,0.54894,0.57597,0.57203,0.52882,0.57309,0.55033,0.55491,0.54001,0.53854,0.55257,0.55854,0.57169,0.54457,0.53203,0.57177,0.57846,0.56688,0.56155,0.5562,0.56689,0.54358,0.57672,0.56737,0.55457,0.54483,0.5738,0.55047,0.55208,0.51189,0.54381,0.58051,0.55875,0.54316,0.54551,0.57199,0.51667,0.53931,0.57139,0.56164,0.56677,0.56141,0.54962,0.55911,0.5743,0.53992,0.52696,0.56432,0.56234,0.56285,0.5768,0.5763,0.56831,0.58115,0.56396,0.57695,0.564,0.56906,0.55274,0.57569,0.57684,0.55171,0.54593,0.55144,0.56694,0.56966,0.5676,0.55551,0.54841,0.5599,0.55296,0.53905,0.54476,0.53154,0.55329,0.56396,0.5361,0.5398,0.5728,0.5583,0.55677,0.5751,0.55178,0.57216,0.55845,0.56721,0.53024,0.5621,0.54842,0.58213,0.57369,0.58001,0.56971,0.55085,0.52382,0.5731,0.56319,0.56582,0.57705,0.5654,0.56479,0.53949,0.53661,0.56499,0.56592,0.56599,0.57343,0.5793,0.57548
SS E,,N/A,0.209030,0.054616,0.137850,0.076069,0.034997,0.059635,0.081722,0.197780,0.068487,0.073165,0.085222,0.108529,0.100475,0.081526,0.057879,0.189207,0.033713,0.047412,0.053616,0.072413,0.075974,0.101243,0.092393,0.049771,0.061649,0.191629,0.087792,0.115453,0.096079,0.047105,0.091717,0.092636,0.096129,0.064998,0.068486,0.062579,0.129067,0.060586,0.123943,0.102012,0.035885,0.067078,0.100848,0.098249,0.150540,0.095973,0.052783,0.061628,0.135135,0.055542,0.084485,0.091505,0.131115,0.166064,0.092201,0.073002,0.066623,0.132149,0.147056,0.085101,0.052226,0.063100,0.063976,0.087029,0.100733,0.100469,0.052708,0.087177,0.087184,0.109147,0.050494,0.087030,0.097926,0.212944,0.102671,0.046029,0.097889,0.140047,0.127426,0.044218,0.161328,0.114613,0.081606,0.115186,0.096015,0.069978,0.090690,0.095043,0.087078,0.129183,0.147657,0.120169,0.063701,0.058257,0.040363,0.082049,0.053859,0.066991,0.079657,0.044483,0.067514,0.059723,0.140576,0.056880,0.050269,0.078663,0.157592,0.084556,0.100030,0.062239,0.091071,0.103904,0.131293,0.073809,0.085721,0.111279,0.136205,0.158677,0.102315,0.058992,0.122394,0.102406,0.077155,0.074513,0.077131,0.056628,0.091249,0.048249,0.071489,0.056909,0.176212,0.077801,0.101217,0.047213,0.052997,0.051452,0.063559,0.114146,0.136020,0.033067,0.077825,0.080823,0.041786,0.056696,0.073857,0.110427,0.114158,0.064102,0.068498,0.056033,0.058546,0.043471,0.051000
ST Angle,,N/A,1.293070,1.240630,1.337995,1.262913,1.244646,1.234489,1.314858,1.413569,1.299859,1.296257,1.269778,1.323403,1.309525,1.304077,1.235401,1.395636,1.246248,1.260011,1.223024,1.293188,1.303938,1.340033,1.321901,1.250157,1.259073,1.336942,1.325033,1.355748,1.315191,1.240553,1.323502,1.327038,1.305145,1.263381,1.288867,1.265363,1.348946,1.267200,1.307063,1.340331,1.239220,1.280663,1.323813,1.329724,1.349454,1.305037,1.226680,1.258204,1.364442,1.261837,1.319937,1.320674,1.357496,1.352165,1.301209,1.304024,1.258502,1.343907,1.359824,1.254827,1.252160,1.261014,1.285410,1.293836,1.296709,1.336568,1.249549,1.290419,1.307715,1.340580,1.234804,1.321094,1.300232,1.446178,1.344532,1.239153,1.319350,1.344861,1.354761,1.239669,1.415972,1.330263,1.276338,1.298075,1.282121,1.293692,1.324324,1.292151,1.265467,1.362968,1.382990,1.304477,1.272234,1.263453,1.239431,1.266892,1.257654,1.261069,1.262398,1.227658,1.271309,1.267491,1.339657,1.221312,1.254464,1.298572,1.356278,1.318560,1.284438,1.280314,1.258945,1.307482,1.310740,1.299429,1.317355,1.355993,1.341121,1.366261,1.305192,1.269948,1.351252,1.347227,1.280185,1.298130,1.304043,1.261478,1.320070,1.253289,1.278511,1.245065,1.375629,1.298759,1.331008,1.236788,1.247486,1.248484,1.269541,1.315605,1.388803,1.258951,1.295861,1.271823,1.223536,1.274854,1.292936,1.351147,1.355066,1.278130,1.285070,1.251321,1.260988,1.243512,1.261546
BB OD,,m,0.04017,0.03941,0.03917,0.03795,0.04061,0.03885,0.04096,0.04063,0.03917,0.04074,0.03879,0.03953,0.03919,0.03762,0.03881,0.04018,0.04051,0.04121,0.03845,0.04075,0.03908,0.04003,0.0405,0.04037,0.03952,0.03809,0.04078,0.0408,0.04043,0.03953,0.04036,0.04083,0.03938,0.03872,0.04102,0.03772,0.04085,0.04023,0.03984,0.04064,0.04071,0.0405,0.03936,0.03977,0.03826,0.03961,0.03856,0.03997,0.0401,0.03996,0.04002,0.04055,0.04027,0.03895,0.03735,0.03995,0.0394,0.04017,0.03958,0.03868,0.03979,0.03976,0.03945,0.03949,0.03807,0.04064,0.0398,0.03909,0.04068,0.04032,0.03919,0.04102,0.0396,0.04071,0.04111,0.03952,0.03866,0.03828,0.04038,0.03971,0.03944,0.03925,0.03993,0.03956,0.03958,0.04077,0.04082,0.03987,0.03908,0.0401,0.04014,0.03917,0.03997,0.0399,0.03984,0.03904,0.04014,0.03981,0.0391,0.03897,0.03742,0.03938,0.03933,0.03834,0.04028,0.04025,0.04029,0.04107,0.03989,0.04095,0.03855,0.03749,0.03883,0.04131,0.03951,0.04083,0.03971,0.03919,0.03638,0.03878,0.04016,0.04111,0.03985,0.04057,0.04001,0.04034,0.04076,0.04006,0.03813,0.03906,0.04016,0.04078,0.0404,0.0391,0.03981,0.03956,0.03964,0.03743,0.04033,0.04181,0.03998,0.03946,0.03901,0.03969,0.04083,0.03985,0.04025,0.03981,0.0404,0.03931,0.03935,0.03989,0.04082
TT OD,,m,0.03705,0.02902,0.03297,0.03264,0.03045,0.02969,0.03228,0.03335,0.03262,0.03076,0.0322,0.03033,0.0311,0.03428,0.03021,0.03244,0.02975,0.02874,0.02964,0.02985,0.03205,0.03152,0.03006,0.02834,0.0313,0.03339,0.03125,0.03128,0.03262,0.02891,0.03051,0.03053,0.03251,0.03191,0.02936,0.03326,0.03229,0.03033,0.03116,0.03068,0.02848,0.03157,0.03164,0.03125,0.03427,0.0326,0.03017,0.03012,0.03395,0.03061,0.03213,0.02978,0.03147,0.03377,0.03416,0.03128,0.03063,0.03163,0.03303,0.03074,0.02993,0.03076,0.03164,0.03234,0.03331,0.03121,0.02904,0.032,0.03157,0.03091,0.03035,0.0306,0.03211,0.03397,0.03064,0.02865,0.03091,0.03403,0.03104,0.03036,0.03158,0.03366,0.0299,0.03146,0.03077,0.03092,0.03079,0.032,0.03032,0.03098,0.03203,0.03182,0.03123,0.03132,0.02946,0.03079,0.03226,0.02961,0.0314,0.02992,0.03372,0.03137,0.03238,0.03058,0.02939,0.034,0.03168,0.0306,0.03069,0.02965,0.03128,0.03465,0.03327,0.02959,0.03171,0.03055,0.03223,0.03324,0.03605,0.03251,0.03255,0.03166,0.03054,0.0313,0.03138,0.02912,0.03167,0.03018,0.03439,0.03131,0.03491,0.02921,0.03075,0.02952,0.03,0.03019,0.03081,0.03481,0.03153,0.03011,0.03035,0.031,0.02996,0.0317,0.02899,0.03092,0.03097,0.03106,0.03031,0.03172,0.03105,0.02877,0.02977
HT OD,,m,0.04917,0.04248,0.05253,0.04576,0.0547,0.04129,0.05614,0.05804,0.05002,0.04942,0.0482,0.04751,0.04678,0.05015,0.04277,0.05008,0.05008,0.05027,0.04126,0.04992,0.04922,0.05236,0.05263,0.04668,0.04833,0.03324,0.05283,0.06272,0.06046,0.04425,0.05146,0.05511,0.05061,0.04962,0.05241,0.05007,0.0576,0.04526,0.03921,0.0553,0.04972,0.05016,0.04629,0.04888,0.0418,0.057,0.04263,0.04549,0.0699,0.04686,0.05144,0.05412,0.05153,0.04968,0.04868,0.05253,0.04337,0.04783,0.05812,0.03871,0.04555,0.04839,0.04887,0.05254,0.04495,0.05358,0.04422,0.04705,0.05517,0.05224,0.04601,0.05574,0.05213,0.06657,0.06329,0.04459,0.05355,0.04305,0.05364,0.05122,0.06072,0.0637,0.04157,0.04079,0.04036,0.05346,0.05409,0.05003,0.03964,0.05346,0.0563,0.03956,0.05154,0.05334,0.048,0.04261,0.05313,0.04453,0.04556,0.04422,0.05007,0.04807,0.04156,0.04348,0.04555,0.05595,0.04628,0.05594,0.04167,0.05377,0.03998,0.04628,0.05029,0.05686,0.04959,0.0629,0.04668,0.05168,0.04906,0.04908,0.05819,0.06198,0.04584,0.05308,0.04799,0.04518,0.06016,0.04679,0.05105,0.04838,0.06059,0.05271,0.05152,0.0438,0.0473,0.04921,0.04694,0.04485,0.06122,0.05607,0.04774,0.04307,0.04673,0.04906,0.05196,0.05315,0.05432,0.04684,0.04651,0.05108,0.04738,0.04611,0.05135
DT OD,,m,0.04783,0.03139,0.03396,0.03646,0.03374,0.0298,0.04058,0.03343,0.04187,0.03808,0.03176,0.03589,0.03676,0.04342,0.03181,0.0326,0.0346,0.0359,0.02894,0.03721,0.04091,0.04103,0.03819,0.03366,0.03309,0.02399,0.0408,0.0398,0.03629,0.03234,0.03963,0.03985,0.0378,0.03873,0.03762,0.0411,0.03514,0.03607,0.03111,0.04024,0.0343,0.03775,0.03933,0.03975,0.03648,0.03468,0.03004,0.03305,0.03825,0.03744,0.04148,0.03836,0.03729,0.0313,0.04184,0.04071,0.03396,0.0358,0.03603,0.02919,0.03568,0.03231,0.04034,0.03632,0.03687,0.04037,0.03325,0.03751,0.03693,0.03836,0.03092,0.04019,0.0338,0.03507,0.04116,0.03204,0.03853,0.03806,0.03659,0.03117,0.0408,0.03648,0.03373,0.03057,0.0316,0.03773,0.03957,0.03103,0.03117,0.03791,0.039,0.03257,0.03467,0.03306,0.03257,0.0335,0.03545,0.03386,0.0303,0.03166,0.04136,0.0391,0.03497,0.02729,0.03525,0.04148,0.03258,0.04027,0.03068,0.03841,0.02823,0.04011,0.03002,0.03925,0.04039,0.0415,0.03499,0.03562,0.0422,0.04075,0.03924,0.0414,0.03587,0.03782,0.03976,0.03453,0.03833,0.03456,0.04073,0.03102,0.02981,0.03773,0.0382,0.03305,0.03234,0.03691,0.03808,0.03969,0.04168,0.03941,0.03774,0.03246,0.02999,0.03993,0.03704,0.0407,0.04067,0.03895,0.03776,0.03202,0.03785,0.03302,0.0352
CS OD,,N/A,0.030397,0.022186,0.023767,0.024656,0.024243,0.021317,0.028268,0.023735,0.027671,0.025630,0.022412,0.025099,0.025500,0.027799,0.022391,0.022350,0.024335,0.024999,0.021041,0.025179,0.027509,0.028760,0.026481,0.023955,0.023135,0.014799,0.028488,0.028367,0.025191,0.022975,0.027588,0.027868,0.025365,0.026677,0.026018,0.027204,0.024464,0.024095,0.020009,0.028143,0.025060,0.025469,0.025925,0.027011,0.022776,0.024309,0.021563,0.022913,0.028330,0.025223,0.028257,0.027040,0.025569,0.021309,0.027446,0.028468,0.022876,0.023759,0.025988,0.019783,0.024477,0.022963,0.026991,0.024917,0.024378,0.028053,0.023091,0.025403,0.025262,0.026416,0.022250,0.028332,0.023544,0.025943,0.029859,0.022970,0.028005,0.023919,0.025341,0.022845,0.029448,0.026426,0.022380,0.019814,0.020539,0.025574,0.027409,0.021967,0.021007,0.026366,0.027511,0.021014,0.023973,0.023624,0.023213,0.022916,0.024760,0.023615,0.021749,0.022557,0.027223,0.026268,0.022669,0.020732,0.024371,0.028491,0.021690,0.028476,0.020444,0.027480,0.019563,0.025720,0.021146,0.028107,0.027559,0.030430,0.022875,0.024543,0.027288,0.026684,0.027939,0.029762,0.024392,0.025770,0.026558,0.023524,0.026629,0.023647,0.026261,0.022431,0.021409,0.026815,0.026205,0.023343,0.022903,0.025848,0.025590,0.025146,0.030000,0.027708,0.025861,0.021878,0.022023,0.026702,0.025966,0.028437,0.028414,0.025840,0.025394,0.023076,0.025619,0.023462,0.024239
