Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.409785,0.374137,0.371448,0.372744,0.398992,0.377299,0.425777,0.392372,0.595242,0.397795,0.526738,0.359229,0.388956,0.381971,0.409657,0.389971,0.558153,0.366612,0.388242,0.556349,0.391535,0.497417,0.387041,0.530395,0.356070,0.391327,0.360355,0.501207,0.395832,0.407946,0.690761,0.384274,0.368324,0.374462,0.354181,0.392267,0.393854,0.400418,0.372511,0.377182,0.411030,0.377696,0.390705,0.376644,0.356735,0.542427,0.371928,0.375559,0.596067,0.675165,0.388895,0.380315,0.383002,0.511527,0.522884,0.399383,0.385696,0.362463,0.396567,0.573811,0.394876,0.393878,0.388235,0.392824,0.383495,0.369287,0.390987,0.766928,0.386725,0.399112,0.384963,0.367565,0.397763,0.434388,0.396710,0.409038,0.374396,0.384001,0.381050,0.375825,0.369845,0.361573,0.391596,0.401362,0.398046,0.516412,0.375043,0.384135,0.397299,0.363199,0.398795,0.371261,0.352995,0.414069,0.386288,0.389450,0.362914,0.364098,0.391630,0.358316,0.409368,0.400022,0.483371,0.406535,0.434367,0.387970,0.375599,0.383790,0.376072,0.549867,0.491541,0.389207,0.371293,0.477578,0.395727,0.395705,0.376888,0.406161,0.398657,0.397626,0.398054,0.403541,0.355501,0.377802,0.420061,0.537025,0.385527,0.375006,0.406171,0.392541,0.390509,0.467433,0.350321,0.392498,0.521944,0.382702,0.363835,0.368368,0.382091,0.366119,0.376193,0.532736,0.379211,0.396567,0.399896,0.573195,0.371641,0.380837,0.406278,0.382004,0.492445,0.513597,0.392338,0.397889,0.388365,0.442169,0.371598,0.413264,0.383089
BB Drop,,N/A,0.042407,0.027334,0.021116,0.006703,0.013489,0.029629,0.046119,0.004139,0.038675,0.029577,0.026728,0.014476,0.014698,-0.013740,0.029734,0.038420,0.037579,0.020411,0.001876,0.050763,0.015985,0.036412,0.036831,0.042357,0.012673,-0.001470,-0.011053,0.069413,0.024134,0.013181,0.085313,-0.006236,-0.006942,0.011892,0.008615,0.040318,0.018511,-0.001162,-0.006820,0.023910,0.007995,0.031567,0.016190,0.021533,-0.023509,0.016904,0.017572,-0.005670,0.083902,0.043570,0.034190,0.009072,0.006984,0.033050,0.020289,0.002330,0.029442,-0.030601,0.003730,0.031355,0.034881,0.026501,0.027482,0.042608,0.012168,0.011337,0.013487,0.097409,0.015698,-0.000591,0.014955,0.023174,0.033044,0.012554,0.001826,0.032141,-0.005868,0.021742,-0.008425,-0.001232,-0.002995,-0.020541,0.002773,0.016103,0.020241,0.016981,-0.004811,-0.009372,0.029017,0.014386,0.013057,0.016612,0.005671,0.045846,0.037157,0.021263,0.018899,0.017795,0.040269,0.010871,0.023334,0.015706,0.024489,-0.004150,0.030601,0.034807,0.030005,0.033943,0.028047,0.038517,0.009475,0.039281,0.022160,0.056583,0.009685,-0.003287,0.030212,0.008613,0.040031,0.010963,0.034290,0.003048,-0.029318,0.030468,0.038105,0.049546,0.025010,-0.003738,0.029337,0.029989,0.010107,0.036933,0.000384,0.030558,0.040918,0.033976,0.018405,-0.014128,-0.023012,0.020542,0.004467,0.040457,0.028977,0.012485,0.012709,0.043696,-0.022111,0.018733,-0.001553,0.025809,0.035816,0.012839,0.010930,0.007978,-0.002510,0.036540,0.000194,0.017274,0.025617
Stack,,m,0.56639,0.55916,0.57958,0.56186,0.57485,0.56031,0.5629,0.55873,0.58274,0.56522,0.57136,0.55468,0.59024,0.55934,0.59698,0.55797,0.57388,0.55901,0.59614,0.5721,0.57693,0.5677,0.56472,0.57397,0.55385,0.56145,0.55791,0.56404,0.56473,0.57257,0.59081,0.56195,0.55731,0.56307,0.55917,0.55693,0.565,0.57869,0.56106,0.57963,0.57201,0.55609,0.56116,0.57496,0.5593,0.59008,0.55805,0.56458,0.56408,0.5946,0.56172,0.5623,0.57654,0.57069,0.56912,0.56243,0.56964,0.55937,0.56167,0.57726,0.5783,0.5614,0.55766,0.56091,0.56177,0.56077,0.56243,0.60671,0.59419,0.56924,0.59867,0.55826,0.56964,0.57085,0.56475,0.56419,0.56021,0.57678,0.56342,0.56012,0.56214,0.55903,0.56151,0.57256,0.59741,0.58355,0.56066,0.56448,0.5637,0.55544,0.58557,0.56489,0.55478,0.56687,0.56317,0.57816,0.55744,0.56527,0.56381,0.56088,0.57796,0.57412,0.56769,0.56524,0.56668,0.55749,0.55513,0.56289,0.55997,0.57739,0.5817,0.56186,0.56056,0.5615,0.5626,0.56135,0.56196,0.57115,0.55876,0.58434,0.56529,0.56367,0.56092,0.55945,0.5639,0.56745,0.56369,0.56112,0.59095,0.56481,0.59578,0.56454,0.56242,0.55796,0.57211,0.5574,0.55755,0.56085,0.56353,0.55802,0.55912,0.57677,0.56409,0.56008,0.58094,0.57838,0.56177,0.55981,0.56407,0.57026,0.56936,0.57715,0.60338,0.56147,0.56261,0.56061,0.56106,0.57788,0.56807
SS E,,N/A,0.044739,0.123808,0.073853,0.102684,0.073572,0.108054,0.059969,0.046419,0.058683,0.068849,0.051867,0.106374,0.134530,0.043337,0.091882,0.060565,0.057007,0.091495,0.074454,0.059596,0.088341,0.052223,0.086702,0.055415,0.081753,0.048054,0.057046,0.098488,0.054749,0.048341,0.150067,0.055669,0.049303,0.115309,0.130814,0.056372,0.074898,0.051526,0.057839,0.119766,0.053721,0.087273,0.054196,0.111692,0.057812,0.052342,0.082970,0.110497,0.158517,0.061610,0.095381,0.059186,0.122639,0.053036,0.045711,0.049683,0.119431,0.050667,0.048474,0.051075,0.061576,0.055919,0.059274,0.057371,0.061858,0.110884,0.057178,0.132528,0.136785,0.061306,0.134408,0.101954,0.059736,0.052757,0.059767,0.053257,0.054966,0.060503,0.058115,0.058415,0.069653,0.053395,0.050995,0.060555,0.072484,0.047832,0.054141,0.080599,0.055924,0.103859,0.045167,0.098338,0.092116,0.056123,0.084285,0.120435,0.057671,0.122864,0.067964,0.121896,0.062684,0.056956,0.047536,0.052304,0.053049,0.058619,0.058813,0.056516,0.058477,0.050637,0.051054,0.070347,0.138648,0.110657,0.054958,0.045454,0.080278,0.056056,0.056591,0.059343,0.065185,0.047911,0.065769,0.108134,0.051179,0.066194,0.076407,0.056233,0.088625,0.078587,0.113698,0.057272,0.141108,0.056997,0.061787,0.080833,0.078022,0.055721,0.054860,0.080662,0.058599,0.054740,0.114352,0.050621,0.088655,0.060591,0.060169,0.069862,0.049292,0.084065,0.051305,0.047541,0.075018,0.049714,0.058463,0.059632,0.076288,0.049320,0.141827
ST Angle,,N/A,1.258790,1.307749,1.351334,1.278055,1.346882,1.330811,1.341834,1.264711,1.266679,1.295532,1.265283,1.375606,1.248781,1.231652,1.419870,1.355497,1.272542,1.368787,1.227942,1.274042,1.257993,1.253581,1.324624,1.256352,1.401838,1.253866,1.285610,1.409125,1.265364,1.228927,1.323007,1.273419,1.334703,1.281755,1.343522,1.384552,1.281885,1.221935,1.277237,1.297707,1.243352,1.347187,1.256995,1.280825,1.294945,1.263676,1.286803,1.299508,1.476982,1.264692,1.286566,1.314887,1.248406,1.264151,1.235922,1.260088,1.278072,1.263240,1.259435,1.245814,1.321976,1.297985,1.275212,1.365830,1.265608,1.289265,1.264115,1.274243,1.250234,1.270406,1.250922,1.343374,1.273047,1.258016,1.274491,1.257417,1.275588,1.271783,1.331878,1.265090,1.308420,1.307074,1.271897,1.387538,1.254845,1.243920,1.303822,1.278955,1.271737,1.286762,1.231479,1.280201,1.389508,1.331358,1.322972,1.261015,1.403727,1.316579,1.332725,1.335982,1.349910,1.241702,1.241056,1.255369,1.254519,1.365565,1.396758,1.365322,1.376019,1.248332,1.257793,1.336581,1.316744,1.443825,1.276073,1.257313,1.339954,1.245649,1.296510,1.234981,1.275135,1.244960,1.300347,1.326795,1.273318,1.277230,1.295082,1.293199,1.303449,1.274227,1.237266,1.277428,1.294898,1.296904,1.300318,1.310759,1.384789,1.303073,1.239216,1.376821,1.268833,1.276405,1.317930,1.290492,1.344371,1.269755,1.275344,1.273881,1.255332,1.280813,1.249160,1.248984,1.232069,1.265975,1.260582,1.276485,1.278625,1.232359,1.274551
BB OD,,m,0.03885,0.04765,0.04593,0.04076,0.04023,0.04688,0.04037,0.03979,0.03905,0.04049,0.03948,0.05348,0.04275,0.03976,0.04145,0.04551,0.03957,0.04938,0.04337,0.0401,0.04012,0.03979,0.04335,0.03989,0.05292,0.03984,0.04033,0.04174,0.04323,0.03996,0.03949,0.03996,0.04006,0.04099,0.05235,0.045,0.04032,0.03973,0.04024,0.0449,0.03985,0.04764,0.04023,0.04553,0.04023,0.03964,0.04147,0.04015,0.0427,0.03902,0.04463,0.04039,0.04183,0.0399,0.03927,0.03976,0.04406,0.03991,0.03981,0.03938,0.04351,0.04045,0.04389,0.04403,0.04034,0.04178,0.04016,0.03947,0.04235,0.0398,0.04251,0.0478,0.04198,0.0398,0.03986,0.04037,0.04017,0.04481,0.04015,0.04023,0.04033,0.04016,0.04001,0.04028,0.04153,0.03975,0.04023,0.03984,0.04299,0.04309,0.04072,0.04746,0.05543,0.04162,0.04324,0.04395,0.04917,0.0466,0.04245,0.05035,0.04031,0.04003,0.03969,0.03955,0.04025,0.04657,0.04848,0.04518,0.04692,0.03997,0.03948,0.04399,0.0491,0.04307,0.04011,0.03961,0.04519,0.03995,0.04126,0.04002,0.04223,0.03975,0.04019,0.04764,0.04189,0.04036,0.04053,0.04025,0.04202,0.04054,0.04226,0.03961,0.0518,0.04034,0.03951,0.04482,0.04994,0.04019,0.03947,0.04904,0.04036,0.04032,0.0433,0.03981,0.04027,0.03937,0.03987,0.0411,0.03959,0.04518,0.03994,0.03942,0.04108,0.03988,0.03986,0.0399,0.04042,0.04002,0.04527
TT OD,,m,0.02908,0.02896,0.02796,0.02894,0.02949,0.02872,0.02971,0.02851,0.03906,0.02905,0.03829,0.02813,0.02769,0.02713,0.0299,0.02865,0.03976,0.02797,0.02661,0.03683,0.02842,0.03053,0.02869,0.03301,0.02783,0.02845,0.0279,0.03266,0.02753,0.02817,0.04086,0.02893,0.02805,0.02911,0.02755,0.02863,0.02914,0.02834,0.02844,0.02802,0.0297,0.02875,0.02805,0.02767,0.02801,0.0386,0.0286,0.02902,0.03463,0.04583,0.02871,0.02873,0.02792,0.03646,0.03383,0.02925,0.02811,0.0279,0.02887,0.03865,0.02842,0.02886,0.028,0.02864,0.02854,0.02892,0.02859,0.04796,0.02753,0.02944,0.02736,0.02862,0.02809,0.03251,0.02938,0.02856,0.02833,0.02734,0.02908,0.02832,0.02852,0.02811,0.02902,0.02983,0.0279,0.03686,0.02854,0.02911,0.02782,0.02859,0.02695,0.02707,0.0272,0.02943,0.02894,0.02782,0.02748,0.02799,0.02896,0.02742,0.0297,0.02838,0.03142,0.03001,0.02952,0.02835,0.02846,0.02807,0.02779,0.03613,0.03668,0.02882,0.0284,0.02977,0.02921,0.02886,0.02846,0.02931,0.02853,0.02812,0.02827,0.02906,0.02821,0.02885,0.0288,0.03195,0.02893,0.02856,0.02904,0.02853,0.02747,0.03056,0.02652,0.02827,0.03623,0.02873,0.02781,0.02841,0.0285,0.02802,0.02828,0.03699,0.02909,0.02902,0.02943,0.03642,0.02871,0.02854,0.02976,0.02758,0.02969,0.03788,0.02715,0.02906,0.02894,0.02907,0.02867,0.02881,0.02811
HT OD,,m,0.04469,0.04314,0.04015,0.04556,0.04359,0.04253,0.04289,0.04414,0.04205,0.04379,0.04238,0.04246,0.0432,0.04481,0.04364,0.04369,0.04225,0.04097,0.0428,0.04239,0.04314,0.04258,0.04288,0.04241,0.04168,0.04482,0.04642,0.0429,0.04253,0.04305,0.04095,0.04491,0.04319,0.04518,0.04039,0.04522,0.04367,0.04316,0.0464,0.04145,0.04237,0.04529,0.04416,0.04152,0.04679,0.04203,0.04631,0.04433,0.04233,0.04168,0.04326,0.04597,0.04335,0.04246,0.04221,0.04301,0.04312,0.04699,0.04323,0.04206,0.04257,0.04465,0.04323,0.04364,0.04473,0.04601,0.04487,0.04102,0.0432,0.04293,0.04323,0.04201,0.04284,0.04243,0.04317,0.04308,0.04603,0.04224,0.04516,0.04595,0.04594,0.04546,0.04404,0.04367,0.04261,0.04198,0.04534,0.0437,0.04264,0.047,0.04235,0.04122,0.04195,0.04323,0.04468,0.04309,0.04056,0.04011,0.04568,0.03932,0.04315,0.0431,0.04252,0.04258,0.04264,0.04298,0.04279,0.04232,0.04172,0.04213,0.04228,0.04331,0.04235,0.04311,0.04411,0.04317,0.04201,0.04256,0.04417,0.04309,0.04295,0.04305,0.04715,0.04309,0.04268,0.04231,0.045,0.0457,0.04277,0.0432,0.04311,0.04239,0.03881,0.04336,0.04203,0.04582,0.04091,0.04577,0.04344,0.04106,0.04567,0.04247,0.04416,0.04291,0.04323,0.04217,0.04573,0.04457,0.04267,0.04222,0.04268,0.04229,0.04296,0.0432,0.04344,0.04238,0.04633,0.04237,0.0431
DT OD,,m,0.03753,0.03647,0.0348,0.03682,0.0416,0.03625,0.03715,0.03839,0.05063,0.03762,0.05213,0.03587,0.03682,0.03996,0.04053,0.03684,0.05165,0.03537,0.03649,0.04768,0.03736,0.04444,0.03637,0.04634,0.03511,0.04164,0.03625,0.03774,0.03663,0.03972,0.04977,0.04209,0.03572,0.03673,0.03503,0.0361,0.03857,0.0403,0.03748,0.03563,0.04636,0.03656,0.03777,0.03561,0.03675,0.05672,0.03593,0.03785,0.03951,0.05921,0.03719,0.03706,0.03717,0.05024,0.05003,0.04495,0.03644,0.03857,0.04273,0.05326,0.03657,0.03734,0.03699,0.03661,0.03758,0.03609,0.03907,0.06033,0.03637,0.04576,0.03604,0.03546,0.03696,0.05001,0.04475,0.03799,0.03753,0.0357,0.03978,0.03758,0.03681,0.03691,0.04205,0.04198,0.03635,0.05507,0.03735,0.04227,0.03689,0.0355,0.03583,0.03545,0.03526,0.03786,0.03635,0.03691,0.03452,0.03472,0.0366,0.03491,0.04314,0.03817,0.04714,0.04967,0.04256,0.0366,0.03584,0.03583,0.03561,0.04923,0.05548,0.0367,0.03614,0.03705,0.04214,0.04379,0.03563,0.04342,0.03688,0.03752,0.03725,0.04457,0.03721,0.03662,0.03711,0.0423,0.037,0.03744,0.03748,0.03727,0.03688,0.039,0.03438,0.03591,0.04385,0.03667,0.03509,0.03732,0.04374,0.03519,0.03734,0.04975,0.03606,0.037,0.04144,0.04746,0.04112,0.03708,0.04865,0.03598,0.04372,0.05571,0.03645,0.0428,0.04275,0.03727,0.03701,0.04002,0.03647
