Design Study 1
Scenarios/Iterations:, 218
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.371448,0.400181,0.402359,0.418047,0.398571,0.391099,0.423992,0.425284,0.400736,0.481252,0.401239,0.410989,0.469305,0.398854,0.402157,0.475232,0.402412,0.509733,0.400378,0.404640,0.467312,0.403284,0.465094,0.543103,0.412318,0.387501,0.494597,0.460806,0.466444,0.390504,0.413420,0.486396,0.382831,0.430412,0.458309,0.458450,0.389416,0.504362,0.418511,0.494355,0.443673,0.381154,0.409741,0.422131,0.459862,0.400791,0.410215,0.526450,0.396224,0.406309,0.407360,0.394858,0.389075,0.406495,0.402574,0.471967,0.511271,0.466718,0.443166,0.475217,0.490720,0.407814,0.412294,0.397906,0.424890,0.391148,0.455988,0.537994,0.437410,0.405985,0.453809,0.404009,0.401932,0.406364,0.402655,0.408301,0.412783,0.408203,0.389696,0.429311,0.451910,0.506157,0.523175,0.495350,0.414266,0.431697,0.385196,0.391783,0.416077,0.484224,0.540229,0.405083,0.390757,0.394372,0.438820,0.506700,0.469822,0.522629,0.478909,0.437159,0.481693,0.393670,0.395464,0.405699,0.438974,0.400543,0.430394,0.484977,0.391674,0.400580,0.449680,0.395078,0.529899,0.469327,0.407125,0.439277,0.479206,0.404001,0.472366,0.421661,0.392455,0.463891,0.417127,0.427252,0.392776,0.424494,0.417020,0.389850,0.467421,0.426656,0.433627,0.406742,0.392909,0.506155,0.403782,0.475913,0.425188,0.413324,0.475708,0.397773,0.457599,0.402688,0.379507,0.411362,0.402229,0.516621,0.451494,0.420219,0.406989,0.417147,0.492185,0.411741,0.405572,0.398257,0.409819,0.525686,0.386955,0.387699,0.410365,0.404295,0.450968,0.486812,0.411329,0.395319,0.471196,0.406523,0.381682,0.413729,0.395219,0.525154,0.473610,0.391024,0.418454,0.390937,0.447334,0.387000,0.407284,0.406016,0.458006,0.404551,0.398854,0.392198,0.491530,0.388912,0.389066,0.434734,0.518697,0.397963,0.411659,0.521521,0.404518,0.438366,0.505763,0.399973,0.526280,0.451725,0.420369,0.465132,0.412550,0.479768,0.394538,0.384990,0.421267,0.399323,0.403307,0.405162,0.481064,0.411732,0.399397,0.403204,0.383074,0.471705,0.517888,0.520715,0.410677,0.407746,0.541774,0.402129,0.480500
BB Drop,,N/A,0.021116,0.049961,0.051186,0.050541,0.051847,0.044796,0.069260,0.071056,0.050124,0.044433,0.049027,0.102135,0.046207,0.050737,0.051788,0.051143,0.051078,0.049616,0.049100,0.068749,0.051074,0.071054,0.063930,0.040800,0.072047,0.040987,0.061878,0.044840,0.067078,0.043112,0.056369,0.042157,0.037805,0.058250,0.068760,0.043968,0.041875,0.047980,0.122150,0.047214,0.047216,0.035985,0.091184,0.050498,0.047355,0.050780,0.064935,0.041550,0.046497,0.073045,0.062956,0.046632,0.042310,0.079663,0.074961,0.049170,0.045917,0.052217,0.067214,0.048313,0.049421,0.088447,0.078094,0.047861,0.109444,0.043074,0.048075,0.044135,0.061871,0.062993,0.064270,0.049785,0.050206,0.068482,0.058519,0.072603,0.051924,0.088632,0.042680,0.068851,0.049276,0.044426,0.036424,0.045296,0.075499,0.093855,0.039206,0.046155,0.085771,0.047116,0.041931,0.073060,0.044773,0.066524,0.050957,0.048951,0.062251,0.047822,0.050698,0.081287,0.047810,0.047539,0.046185,0.079621,0.077125,0.061851,0.049940,0.048046,0.043711,0.051952,0.072188,0.045460,0.042329,0.050531,0.071820,0.073707,0.049398,0.094756,0.051872,0.105837,0.047023,0.056492,0.060345,0.062831,0.044711,0.084306,0.075074,0.043749,0.048183,0.103042,0.056620,0.050973,0.045430,0.047647,0.052670,0.048277,0.060691,0.050239,0.049598,0.048301,0.046715,0.070570,0.036145,0.065316,0.049174,0.048377,0.057595,0.085147,0.070736,0.068518,0.047781,0.066795,0.050701,0.049795,0.100411,0.044173,0.041457,0.042102,0.060245,0.058493,0.162815,0.048438,0.050693,0.045883,0.052298,0.072406,0.037471,0.115982,0.045500,0.039955,0.050499,0.042140,0.083296,0.073132,0.063072,0.051572,0.060804,0.067422,0.051892,0.052354,0.054574,0.044181,0.046107,0.042788,0.042192,0.092282,0.038763,0.049907,0.066111,0.041665,0.050384,0.048522,0.050136,0.050957,0.043124,0.071241,0.080021,0.052226,0.067011,0.046197,0.064037,0.038539,0.079858,0.049154,0.065417,0.073854,0.051485,0.096079,0.051618,0.052135,0.038842,0.050050,0.044282,0.047829,0.110851,0.054858,0.038166,0.087723,0.044797
Stack,,m,0.57958,0.55561,0.5562,0.56561,0.55318,0.55373,0.58127,0.5655,0.56011,0.59396,0.56117,0.56033,0.58971,0.55362,0.56069,0.59786,0.5578,0.61201,0.56014,0.55541,0.59947,0.55766,0.59682,0.62896,0.56162,0.55406,0.61257,0.5849,0.59609,0.55149,0.56431,0.59628,0.54729,0.59289,0.59998,0.58236,0.55281,0.61545,0.5599,0.60866,0.57242,0.55071,0.5588,0.56674,0.57972,0.56266,0.56527,0.61444,0.55552,0.55997,0.55955,0.55545,0.54991,0.55764,0.5554,0.59754,0.61569,0.59488,0.59586,0.6012,0.61161,0.56,0.56514,0.55837,0.57577,0.55698,0.58257,0.62744,0.5823,0.5584,0.59544,0.56229,0.55924,0.55717,0.5564,0.55884,0.56445,0.55902,0.55009,0.5651,0.58173,0.60695,0.61467,0.60531,0.56264,0.56466,0.55289,0.54965,0.5634,0.60215,0.63347,0.55723,0.5498,0.55091,0.58192,0.61597,0.60668,0.62833,0.60124,0.56667,0.60218,0.55284,0.55687,0.56027,0.60237,0.555,0.57141,0.60342,0.55234,0.55406,0.59583,0.55553,0.62402,0.60044,0.55929,0.57379,0.60065,0.557,0.60811,0.56166,0.5506,0.59852,0.58381,0.58565,0.55182,0.56268,0.5638,0.55619,0.59639,0.56659,0.56975,0.56258,0.55295,0.60717,0.5565,0.59913,0.56697,0.56351,0.60219,0.55548,0.58659,0.55482,0.546,0.56453,0.56076,0.62001,0.58247,0.5634,0.55832,0.56967,0.60089,0.56275,0.56005,0.55417,0.55979,0.62665,0.54907,0.55135,0.56348,0.56209,0.56889,0.61459,0.562,0.55877,0.59077,0.55845,0.54662,0.56103,0.55623,0.61482,0.60127,0.55264,0.56338,0.54833,0.59841,0.54911,0.56018,0.55664,0.587,0.55867,0.55223,0.55249,0.60059,0.55268,0.55047,0.56821,0.62183,0.5549,0.56303,0.61693,0.55998,0.56624,0.60621,0.55353,0.62461,0.60532,0.56411,0.6034,0.56324,0.59757,0.5502,0.55044,0.56432,0.55645,0.55551,0.5572,0.59528,0.56296,0.55555,0.5597,0.55271,0.60261,0.62066,0.62563,0.56011,0.56288,0.62716,0.55526,0.59596
SS E,,N/A,0.073853,0.055414,0.056463,0.049048,0.052937,0.049448,0.056454,0.073362,0.050967,0.049699,0.044090,0.049789,0.046399,0.054836,0.047900,0.061412,0.056010,0.075761,0.050457,0.055044,0.047738,0.049443,0.040082,0.046006,0.059014,0.052717,0.053846,0.052923,0.045710,0.054669,0.062735,0.061922,0.052606,0.037630,0.052356,0.049971,0.054512,0.044669,0.044977,0.053469,0.053677,0.050982,0.052839,0.058240,0.063359,0.042446,0.055058,0.057674,0.055903,0.051619,0.057498,0.054979,0.053723,0.046107,0.050576,0.048918,0.058206,0.054945,0.046034,0.046777,0.046065,0.049626,0.050607,0.051333,0.042710,0.049387,0.043005,0.048705,0.060318,0.055782,0.053620,0.051482,0.054487,0.055936,0.053884,0.049470,0.059788,0.051249,0.054316,0.056678,0.046836,0.061154,0.049925,0.050389,0.057820,0.053035,0.049390,0.053867,0.048584,0.056112,0.049592,0.053040,0.053754,0.046264,0.055124,0.057206,0.035348,0.047548,0.057564,0.055106,0.048271,0.050937,0.049977,0.047676,0.037827,0.051072,0.059133,0.045258,0.055326,0.054945,0.042769,0.055924,0.053262,0.049645,0.052291,0.057269,0.040750,0.046456,0.039790,0.050968,0.052469,0.054455,0.043889,0.044995,0.054838,0.053692,0.058163,0.052097,0.050406,0.049426,0.051220,0.054009,0.054145,0.073574,0.055940,0.039913,0.074837,0.065177,0.036486,0.054869,0.053734,0.052219,0.053237,0.056913,0.049202,0.049484,0.088404,0.053929,0.055465,0.058669,0.069968,0.058851,0.052475,0.054265,0.042525,0.053141,0.054428,0.053034,0.058956,0.045173,0.038905,0.042239,0.057816,0.047811,0.057924,0.053956,0.053930,0.048474,0.054712,0.057245,0.042850,0.052661,0.053970,0.042855,0.042918,0.043084,0.056708,0.053890,0.072020,0.059897,0.053338,0.055640,0.058436,0.052579,0.054339,0.057187,0.046672,0.053771,0.060019,0.058198,0.056547,0.050229,0.102064,0.055514,0.050896,0.025246,0.054753,0.045611,0.060623,0.058143,0.047478,0.052688,0.052612,0.056572,0.053899,0.052608,0.076719,0.044856,0.052934,0.052326,0.051697,0.048534,0.045623,0.050798,0.046788,0.052084,0.051422,0.044469,0.060142
ST Angle,,N/A,1.351330,1.274740,1.273951,1.274798,1.266957,1.278529,1.282797,1.278382,1.296045,1.264201,1.278089,1.271477,1.262438,1.268368,1.280738,1.272049,1.274229,1.267010,1.286229,1.269036,1.274553,1.273438,1.273300,1.260072,1.271335,1.279680,1.274063,1.265167,1.272713,1.273012,1.276080,1.260775,1.273466,1.279756,1.277927,1.263362,1.280001,1.269678,1.265152,1.269412,1.268299,1.282254,1.268249,1.273555,1.266058,1.290627,1.296876,1.256693,1.275887,1.276403,1.274761,1.274747,1.273348,1.270906,1.268355,1.271287,1.265689,1.271221,1.281472,1.271265,1.272641,1.274316,1.285180,1.296638,1.277703,1.279702,1.264978,1.263482,1.276037,1.273110,1.278002,1.280425,1.283897,1.269724,1.271829,1.271306,1.276529,1.271664,1.274889,1.272436,1.265852,1.262336,1.256206,1.265760,1.271960,1.267688,1.288803,1.268800,1.269507,1.269250,1.264365,1.273340,1.270669,1.266754,1.274145,1.269517,1.276062,1.266412,1.271981,1.266378,1.269306,1.275535,1.278109,1.277361,1.299959,1.273829,1.273479,1.269475,1.274339,1.271776,1.278042,1.278858,1.263292,1.274339,1.273550,1.270102,1.270943,1.270016,1.277762,1.268854,1.269194,1.276401,1.282777,1.279707,1.275794,1.262839,1.273770,1.283354,1.270946,1.275808,1.268308,1.278603,1.272108,1.264467,1.269325,1.270204,1.273523,1.273653,1.272973,1.271167,1.267354,1.266897,1.272845,1.280992,1.275436,1.268398,1.272611,1.270544,1.271443,1.278018,1.266092,1.274545,1.274992,1.271487,1.272744,1.263779,1.271706,1.272556,1.277889,1.285497,1.267513,1.271785,1.273377,1.285991,1.266295,1.273634,1.273659,1.270029,1.281709,1.257232,1.273404,1.277755,1.271008,1.262542,1.281881,1.268528,1.276408,1.266462,1.273273,1.276172,1.265794,1.277536,1.264391,1.273921,1.272794,1.270653,1.261167,1.270790,1.274977,1.261945,1.276378,1.268470,1.263557,1.270639,1.264854,1.282101,1.271702,1.278172,1.274139,1.267135,1.264162,1.280238,1.270164,1.277837,1.271419,1.270452,1.269407,1.276269,1.273449,1.280464,1.277598,1.274330,1.265253,1.265941,1.271604,1.279071,1.258308,1.269092,1.264833
BB OD,,m,0.04593,0.0391,0.03907,0.03958,0.03862,0.03892,0.03941,0.03935,0.03946,0.03958,0.03921,0.03836,0.03924,0.0389,0.03916,0.03944,0.03938,0.03909,0.03944,0.03863,0.03967,0.03866,0.03911,0.03944,0.03928,0.03953,0.03939,0.03956,0.03901,0.03912,0.03951,0.0393,0.03891,0.03945,0.0394,0.03949,0.03938,0.03964,0.03811,0.03944,0.03952,0.03946,0.03857,0.03956,0.03937,0.03921,0.03941,0.03918,0.0394,0.03889,0.03931,0.03941,0.03888,0.03872,0.03839,0.03966,0.03911,0.03918,0.03942,0.03951,0.0396,0.03856,0.03903,0.03955,0.03858,0.03974,0.03933,0.03942,0.03937,0.03918,0.03946,0.03962,0.03956,0.03895,0.03894,0.039,0.03955,0.03852,0.03887,0.03959,0.03927,0.03929,0.03941,0.0396,0.03933,0.03891,0.03942,0.03857,0.03907,0.03939,0.03912,0.03858,0.03865,0.03779,0.03962,0.03919,0.03921,0.03885,0.03951,0.03907,0.03959,0.03864,0.03934,0.03865,0.03932,0.0384,0.03959,0.03968,0.03921,0.0387,0.0392,0.0395,0.03927,0.03961,0.03901,0.03914,0.03965,0.03797,0.03958,0.0386,0.03856,0.0395,0.03949,0.0395,0.03893,0.03903,0.03929,0.03973,0.03949,0.03871,0.03921,0.03953,0.0391,0.03916,0.03912,0.03959,0.03939,0.03932,0.03965,0.03922,0.03944,0.0385,0.03891,0.03939,0.03933,0.03946,0.03921,0.03918,0.03901,0.03931,0.03929,0.0394,0.03943,0.03891,0.03853,0.03892,0.03892,0.03917,0.03949,0.0391,0.03726,0.03929,0.03948,0.03945,0.03901,0.03888,0.03886,0.03822,0.03958,0.03927,0.03967,0.03922,0.03921,0.03727,0.03952,0.0377,0.03939,0.03882,0.03941,0.03925,0.03843,0.03917,0.0394,0.03928,0.03903,0.03864,0.0392,0.03907,0.03935,0.03914,0.03961,0.03938,0.03889,0.03876,0.03929,0.03931,0.03926,0.03958,0.03928,0.03949,0.03783,0.03926,0.03923,0.03928,0.03861,0.0387,0.03909,0.03883,0.03891,0.03929,0.03947,0.03957,0.03952,0.03887,0.03808,0.03948,0.03929,0.03812,0.03943
TT OD,,m,0.02796,0.04204,0.0413,0.02799,0.04642,0.04083,0.02897,0.02896,0.03091,0.0268,0.02841,0.04104,0.0271,0.04132,0.03202,0.02831,0.03531,0.028,0.03134,0.04548,0.0275,0.03964,0.02751,0.02561,0.0323,0.0317,0.02786,0.02727,0.02791,0.04325,0.02869,0.02743,0.04838,0.02692,0.02821,0.02701,0.03681,0.02664,0.03778,0.02732,0.02767,0.03709,0.04193,0.02834,0.02799,0.02863,0.02927,0.02666,0.03669,0.03757,0.03626,0.03444,0.04767,0.03604,0.04517,0.02737,0.02722,0.02817,0.02816,0.02723,0.02703,0.03956,0.02993,0.03153,0.02942,0.02968,0.02723,0.02611,0.02909,0.03828,0.02849,0.02915,0.03257,0.04095,0.04162,0.03356,0.02866,0.04171,0.0474,0.02773,0.02762,0.02732,0.02566,0.02689,0.0317,0.03061,0.03584,0.0504,0.0293,0.02764,0.02599,0.04412,0.04984,0.05216,0.02828,0.02752,0.027,0.02639,0.02798,0.02956,0.02711,0.04589,0.0333,0.03755,0.02773,0.04658,0.02853,0.02691,0.0413,0.04694,0.02794,0.03504,0.02639,0.02766,0.03756,0.02946,0.0268,0.04488,0.02709,0.03669,0.04965,0.02831,0.02757,0.02825,0.04568,0.02997,0.03118,0.02961,0.02756,0.03145,0.02852,0.02886,0.04143,0.02777,0.03542,0.02675,0.02938,0.02879,0.02666,0.02956,0.02781,0.04579,0.04791,0.0297,0.02836,0.02676,0.02913,0.03099,0.0398,0.0295,0.02796,0.0308,0.02909,0.04418,0.03214,0.02642,0.04572,0.03983,0.02962,0.02969,0.03507,0.02666,0.02894,0.03058,0.02831,0.04081,0.04847,0.04136,0.03302,0.02642,0.02705,0.04151,0.03077,0.05508,0.02784,0.04884,0.03542,0.04051,0.02878,0.02969,0.04935,0.04111,0.02746,0.03715,0.04518,0.03118,0.02575,0.0385,0.03015,0.02678,0.02931,0.02745,0.02827,0.04654,0.02636,0.02659,0.03031,0.02761,0.0299,0.02765,0.05321,0.04125,0.0295,0.03462,0.04587,0.04203,0.02854,0.03001,0.04195,0.03463,0.03104,0.02751,0.02621,0.02666,0.0421,0.02944,0.02572,0.04291,0.02764
HT OD,,m,0.04015,0.05271,0.05155,0.04004,0.05497,0.05423,0.04233,0.04271,0.04752,0.03754,0.04178,0.05081,0.03757,0.05141,0.0464,0.04093,0.04761,0.04049,0.04679,0.0537,0.03879,0.05081,0.03803,0.03536,0.04609,0.04768,0.03972,0.03857,0.0393,0.0533,0.0423,0.03922,0.05737,0.03767,0.04059,0.03795,0.05085,0.03698,0.04657,0.03857,0.03947,0.05185,0.05125,0.04133,0.04054,0.0421,0.04317,0.03771,0.04919,0.04991,0.0487,0.04755,0.05655,0.04611,0.05419,0.03855,0.03868,0.04028,0.04016,0.03791,0.03756,0.05046,0.04485,0.04832,0.04207,0.04557,0.03769,0.03638,0.04253,0.04982,0.04103,0.04293,0.04812,0.0511,0.0521,0.04487,0.0421,0.05153,0.05623,0.04127,0.03855,0.03902,0.03539,0.03788,0.04531,0.04298,0.0516,0.05747,0.04188,0.03932,0.0359,0.05346,0.05741,0.05937,0.04085,0.03916,0.03699,0.0367,0.04008,0.04243,0.0379,0.05642,0.04734,0.04995,0.03916,0.05561,0.04131,0.03759,0.05219,0.05524,0.03946,0.04892,0.03687,0.03898,0.04902,0.04268,0.03681,0.05397,0.03738,0.04728,0.05762,0.04057,0.03926,0.04007,0.05499,0.04274,0.04514,0.04621,0.03878,0.04354,0.04039,0.04258,0.0521,0.04007,0.04757,0.03658,0.04311,0.04236,0.03624,0.04394,0.03943,0.0543,0.05684,0.04513,0.04203,0.03762,0.04276,0.04334,0.0505,0.04334,0.04033,0.04529,0.04267,0.05391,0.04294,0.03698,0.05476,0.05131,0.04456,0.04404,0.043,0.03676,0.04251,0.04652,0.04042,0.05131,0.0571,0.0505,0.04851,0.03715,0.03747,0.05383,0.04325,0.06132,0.03922,0.0585,0.04819,0.05067,0.04184,0.04658,0.05632,0.05264,0.03918,0.0499,0.05454,0.04416,0.03521,0.0498,0.0455,0.03792,0.04314,0.03929,0.04133,0.05481,0.03665,0.03588,0.0432,0.03876,0.04552,0.03953,0.05974,0.05411,0.0424,0.04878,0.05453,0.0521,0.04143,0.0428,0.05302,0.04882,0.04696,0.03863,0.03611,0.03736,0.05149,0.04316,0.03573,0.05171,0.03952
DT OD,,m,0.0348,0.03621,0.03606,0.0352,0.0358,0.03589,0.03634,0.03633,0.03612,0.03458,0.03541,0.03619,0.03426,0.03553,0.03611,0.03589,0.03609,0.03553,0.03624,0.0359,0.03548,0.03603,0.03527,0.03425,0.03609,0.03566,0.03584,0.03477,0.03567,0.03577,0.03637,0.03485,0.03546,0.03482,0.03588,0.03438,0.03571,0.03506,0.03501,0.03528,0.03517,0.03549,0.03601,0.0362,0.03595,0.03564,0.03641,0.03489,0.03606,0.03649,0.03625,0.03592,0.03571,0.03517,0.03595,0.03525,0.03492,0.03574,0.03614,0.03511,0.03537,0.03632,0.03654,0.03599,0.03631,0.03591,0.03424,0.0347,0.03632,0.03631,0.03623,0.03616,0.03617,0.03601,0.03621,0.03533,0.03632,0.03633,0.03561,0.03616,0.03465,0.03502,0.03375,0.03496,0.03611,0.03577,0.03563,0.03556,0.03527,0.03528,0.0343,0.03619,0.03564,0.03561,0.03606,0.03538,0.03516,0.03463,0.03575,0.0356,0.03508,0.03596,0.03581,0.03632,0.03593,0.03607,0.03599,0.03499,0.03581,0.03599,0.03591,0.03601,0.03456,0.03566,0.03614,0.03601,0.03483,0.03595,0.03536,0.03574,0.03576,0.03609,0.03526,0.03595,0.03573,0.0351,0.03629,0.03571,0.03524,0.03641,0.03522,0.03618,0.03585,0.0354,0.03553,0.03462,0.03613,0.03617,0.03471,0.0354,0.035,0.03586,0.03526,0.03652,0.03574,0.03517,0.03611,0.03597,0.03624,0.03639,0.03549,0.0363,0.03571,0.03606,0.03511,0.03439,0.03544,0.03558,0.0364,0.03601,0.03546,0.03489,0.03591,0.03603,0.0355,0.0364,0.03529,0.03593,0.03597,0.03442,0.03513,0.03594,0.03599,0.03513,0.03591,0.03522,0.0365,0.03565,0.03613,0.03568,0.03568,0.03571,0.0353,0.03567,0.0357,0.03572,0.03381,0.03565,0.03621,0.03445,0.03615,0.03539,0.03545,0.03589,0.03461,0.03486,0.03612,0.03574,0.03611,0.03526,0.03551,0.03561,0.0357,0.03579,0.03611,0.03615,0.03604,0.0359,0.03619,0.03638,0.03548,0.03556,0.03464,0.03475,0.03606,0.03612,0.03407,0.03532,0.03512
