Design Study 1
Scenarios/Iterations:, 240
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219,Scenario 220,Scenario 221,Scenario 222,Scenario 223,Scenario 224,Scenario 225,Scenario 226,Scenario 227,Scenario 228,Scenario 229,Scenario 230,Scenario 231,Scenario 232,Scenario 233,Scenario 234,Scenario 235,Scenario 236,Scenario 237,Scenario 238,Scenario 239,Scenario 240
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.406423,0.323236,0.413055,0.462185,0.406000,0.402102,0.412450,0.378425,0.392527,0.404382,0.404477,0.409243,0.407685,0.408799,0.391372,0.402081,0.409636,0.408250,0.404339,0.415894,0.390735,0.389570,0.365004,0.402726,0.371855,0.355467,0.413490,0.411960,0.405510,0.414434,0.451827,0.382474,0.413645,0.408158,0.411061,0.370480,0.419686,0.386561,0.404378,0.390759,0.346710,0.397978,0.406685,0.381449,0.407742,0.398083,0.410256,0.370758,0.376234,0.405791,0.409098,0.361415,0.414317,0.405329,0.398895,0.395189,0.413503,0.402224,0.411335,0.348795,0.399274,0.409008,0.368618,0.378449,0.400687,0.356147,0.406718,0.400306,0.406794,0.373332,0.405930,0.390843,0.400552,0.361522,0.411915,0.406733,0.443547,0.360152,0.405788,0.407178,0.394899,0.426006,0.411674,0.305328,0.402187,0.409641,0.398614,0.445014,0.375215,0.356426,0.410194,0.410043,0.409759,0.341237,0.397170,0.398694,0.410919,0.408282,0.420767,0.442023,0.410364,0.381187,0.348959,0.348408,0.395320,0.409212,0.469721,0.410564,0.341787,0.402303,0.406768,0.359798,0.412628,0.393732,0.410140,0.388921,0.406029,0.491897,0.482639,0.408195,0.411415,0.309341,0.381887,0.402138,0.407725,0.409519,0.408313,0.348257,0.404001,0.409670,0.407208,0.374725,0.384924,0.410588,0.316838,0.381469,0.412647,0.407974,0.409063,0.419869,0.375452,0.378378,0.410880,0.412643,0.409445,0.395556,0.410037,0.410593,0.383172,0.406629,0.393654,0.409600,0.401192,0.408892,0.359662,0.320459,0.490809,0.450248,0.405706,0.412642,0.393610,0.416405,0.361319,0.382178,0.409183,0.402317,0.405921,0.373095,0.400250,0.406139,0.399164,0.411202,0.409927,0.373488,0.409047,0.406123,0.392789,0.414366,0.410578,0.400982,0.382810,0.407177,0.364496,0.411190,0.408535,0.407939,0.412991,0.403750,0.443077,0.412813,0.369315,0.373078,0.368511,0.413989,0.367803,0.292257,0.409877,0.405617,0.370077,0.405435,0.401277,0.410329,0.358544,0.364942,0.402131,0.413538,0.366514,0.400613,0.367805,0.389901,0.406392,0.409373,0.409894,0.402498,0.424682,0.373641,0.380125,0.404065,0.363617,0.411652,0.399354,0.413424,0.412775,0.396870,0.403867,0.357213,0.413093,0.412388,0.398985,0.386529,0.335583,0.370451,0.369167,0.408261,0.392736,0.409384,0.393966,0.403067,0.379079,0.380214,0.377306
BB Drop,,N/A,0.033063,-0.049244,0.036057,0.055897,0.051864,0.044074,0.060679,-0.001423,0.034250,0.045274,0.070165,0.031161,0.050230,0.046903,0.035564,0.041999,0.045645,0.024132,0.042987,0.062330,0.036825,0.041776,-0.005645,0.051343,-0.020015,-0.035412,0.052310,0.044554,0.058048,0.064041,0.061837,-0.006656,0.055536,0.043365,0.050725,-0.034141,0.073268,0.003741,0.049074,0.036588,-0.027709,0.052099,0.046428,0.017990,0.047922,0.014983,0.042243,0.011005,0.022222,0.035473,0.063575,0.002681,0.047013,0.048681,0.029979,0.050267,0.052001,0.039683,0.049003,-0.024601,0.044302,0.057712,-0.014033,0.015503,0.020540,-0.007686,0.048147,0.047087,0.064908,0.008042,0.064406,0.032955,0.046800,-0.036911,0.047816,0.039870,0.043944,-0.002005,0.043358,0.057771,0.007606,0.037256,0.049931,-0.065525,0.059033,0.051008,0.043447,0.051014,-0.019218,-0.041480,0.050040,0.047163,0.030576,-0.017923,0.050675,0.030394,0.052551,0.060202,0.068247,0.068337,0.044580,-0.012640,-0.004783,0.006317,0.047573,0.057495,0.070566,0.053923,-0.022741,0.033256,0.051396,-0.019684,0.046746,0.040120,0.064289,0.023437,0.045541,0.024246,0.039873,0.052980,0.074067,-0.069793,-0.012207,0.042246,0.045947,0.045818,0.046045,0.002861,0.070227,0.050988,0.051551,-0.025981,0.030126,0.051278,-0.055655,0.020095,0.042401,0.063850,0.063278,0.046490,-0.014898,-0.004118,0.072255,0.062359,0.048155,0.044274,0.048936,0.050160,0.000488,0.057652,0.030935,0.051490,0.044779,0.050422,0.009971,-0.049214,0.058396,0.064994,0.069083,0.051020,0.036250,0.056131,-0.008674,0.002186,0.043468,0.047501,0.052061,0.020425,0.055215,0.046671,0.044050,0.065127,0.062803,0.017739,0.047752,0.049194,0.021110,0.044933,0.051019,0.044857,-0.009724,0.071458,0.005909,0.070254,0.044932,0.048936,0.054648,0.049092,0.053773,0.051544,0.003373,0.025368,0.006652,0.042225,-0.005788,-0.079087,0.052388,0.043213,0.006305,0.054292,0.036523,0.049264,0.006337,0.028129,0.047369,0.046531,-0.014657,0.043124,0.026848,0.019432,0.027228,0.036543,0.045859,0.049144,0.051988,0.007592,-0.014278,0.050523,-0.020183,0.051281,0.039164,0.036203,0.062166,0.036424,0.051488,-0.004336,0.053270,0.053044,0.040926,0.015467,-0.030396,-0.008796,-0.015179,0.048383,0.011291,0.051299,0.037483,0.043714,-0.009879,0.005593,0.022774
Stack,,m,0.56184,0.5626,0.56469,0.56416,0.56043,0.56721,0.56127,0.56117,0.56327,0.55662,0.5604,0.5673,0.55977,0.56359,0.56287,0.56284,0.55954,0.56296,0.55969,0.56492,0.56089,0.56019,0.57792,0.55864,0.57734,0.55817,0.56416,0.56128,0.56155,0.56196,0.56446,0.57652,0.56234,0.56465,0.56114,0.55812,0.5629,0.56709,0.56175,0.56504,0.56157,0.55954,0.55942,0.56499,0.56004,0.56063,0.5632,0.5613,0.56437,0.56048,0.56096,0.56363,0.56062,0.55845,0.55942,0.56022,0.56096,0.56485,0.56297,0.56294,0.56462,0.56216,0.56594,0.57093,0.56286,0.55233,0.5597,0.56099,0.56132,0.55577,0.56093,0.56183,0.56415,0.56484,0.56185,0.56354,0.56651,0.56434,0.56338,0.56299,0.56322,0.56716,0.56214,0.56134,0.56018,0.5598,0.56679,0.56482,0.57954,0.57848,0.56076,0.55978,0.56488,0.56037,0.56058,0.56613,0.56139,0.56302,0.56467,0.56364,0.56183,0.56154,0.56315,0.5593,0.55921,0.56101,0.5645,0.5621,0.56464,0.55889,0.56025,0.55285,0.5641,0.56191,0.56399,0.55762,0.56317,0.57031,0.57517,0.56451,0.56886,0.56424,0.56922,0.56046,0.56172,0.55928,0.56098,0.56168,0.56024,0.56523,0.5602,0.56189,0.55985,0.56063,0.55523,0.56131,0.56256,0.56363,0.56181,0.56233,0.57179,0.57936,0.56285,0.5644,0.56001,0.56518,0.56229,0.56116,0.56124,0.56281,0.56544,0.56183,0.56243,0.56248,0.56031,0.55842,0.5652,0.58361,0.56108,0.56082,0.56953,0.5631,0.56436,0.56618,0.56158,0.56174,0.56266,0.5621,0.56031,0.5593,0.56532,0.56232,0.5618,0.55558,0.55923,0.55805,0.56459,0.56269,0.56409,0.56256,0.55641,0.56364,0.55816,0.56211,0.55785,0.56165,0.5642,0.56461,0.56397,0.56221,0.57599,0.556,0.56488,0.5641,0.56769,0.56459,0.56155,0.56415,0.56408,0.55854,0.56412,0.56262,0.56266,0.55577,0.56217,0.56449,0.57001,0.56331,0.55929,0.56524,0.56271,0.56458,0.56063,0.56456,0.56378,0.55297,0.55847,0.57018,0.56881,0.5616,0.56278,0.56277,0.56365,0.56248,0.56216,0.5646,0.5625,0.56301,0.56731,0.57498,0.56331,0.56436,0.56654,0.55978,0.56143,0.56015,0.568,0.56017,0.56471,0.55628,0.55608
SS E,,N/A,0.038380,0.032904,0.060761,0.174425,0.059572,0.034559,0.135111,0.035232,0.042679,0.139875,0.067847,0.055936,0.088803,0.043583,0.054952,0.062395,0.120108,0.048825,0.033366,0.056007,0.045206,0.053265,0.032746,0.093930,0.038420,0.032570,0.055602,0.095359,0.055976,0.091025,0.061992,0.028047,0.130303,0.034195,0.088066,0.035697,0.101266,0.043389,0.051395,0.041654,0.033594,0.058541,0.073854,0.041092,0.060215,0.054643,0.052012,0.055875,0.047297,0.087011,0.076353,0.041109,0.133990,0.098323,0.052855,0.047230,0.156435,0.041231,0.057930,0.036712,0.045880,0.042738,0.041112,0.055690,0.053388,0.030920,0.062839,0.044794,0.124236,0.043643,0.059860,0.046112,0.045645,0.040841,0.047790,0.044003,0.055019,0.043217,0.051953,0.041801,0.040011,0.078814,0.061790,0.026787,0.058525,0.151382,0.042440,0.100227,0.030326,0.036892,0.094177,0.133178,0.060136,0.037089,0.047074,0.036511,0.103428,0.058660,0.081282,0.111999,0.055366,0.034652,0.040074,0.040466,0.045132,0.072118,0.114014,0.057825,0.043229,0.038881,0.063591,0.031548,0.042940,0.050970,0.052081,0.030085,0.060975,0.154475,0.108074,0.047037,0.059451,0.035647,0.049510,0.054857,0.060981,0.166821,0.065980,0.039030,0.072227,0.039210,0.067821,0.037328,0.057579,0.105554,0.026243,0.040222,0.048613,0.047141,0.070031,0.100564,0.037810,0.032510,0.043261,0.044547,0.082401,0.044547,0.067456,0.069025,0.036422,0.050132,0.038888,0.054730,0.055917,0.061707,0.036954,0.030231,0.129487,0.162970,0.070820,0.184753,0.038428,0.099234,0.048177,0.054434,0.054744,0.049987,0.055444,0.042469,0.054637,0.110809,0.038763,0.059972,0.060426,0.038665,0.112572,0.136958,0.047607,0.110144,0.059705,0.050063,0.029878,0.049590,0.040017,0.066193,0.155664,0.066568,0.030553,0.047639,0.119947,0.061570,0.037176,0.035331,0.051488,0.036205,0.051092,0.038168,0.060712,0.054901,0.041889,0.128793,0.053755,0.052074,0.043245,0.039452,0.049900,0.034056,0.044531,0.052402,0.043288,0.041731,0.047648,0.033928,0.082248,0.034975,0.060135,0.024547,0.029485,0.043379,0.041315,0.080732,0.067034,0.052584,0.083224,0.061767,0.039517,0.043672,0.043131,0.059759,0.035984,0.037760,0.038438,0.039430,0.040894,0.112760,0.052433,0.125090,0.041466,0.060881,0.044398,0.051622,0.041443
ST Angle,,N/A,1.269720,1.246079,1.239531,1.263112,1.285294,1.275137,1.278019,1.258859,1.268935,1.308443,1.287688,1.236655,1.280172,1.268596,1.280375,1.276750,1.325623,1.232105,1.265523,1.272908,1.267610,1.322161,1.273937,1.313724,1.237841,1.211329,1.317711,1.277952,1.318214,1.271838,1.259876,1.241504,1.282570,1.262193,1.303339,1.194753,1.270631,1.243152,1.301742,1.283487,1.258067,1.274254,1.285091,1.278374,1.304689,1.216566,1.255612,1.268586,1.281975,1.220692,1.279607,1.262457,1.282763,1.289443,1.241686,1.318270,1.278113,1.264017,1.316486,1.246610,1.280268,1.279137,1.243657,1.270146,1.225485,1.255011,1.299368,1.288871,1.285270,1.237904,1.278275,1.260895,1.290869,1.208841,1.262988,1.265929,1.243484,1.262096,1.256111,1.321101,1.235093,1.227581,1.280250,1.235188,1.279464,1.288359,1.277941,1.240467,1.241596,1.234976,1.308187,1.314505,1.235464,1.279253,1.324454,1.257910,1.296442,1.270975,1.267440,1.266560,1.248137,1.224108,1.268017,1.305653,1.297539,1.286944,1.249701,1.289616,1.262677,1.252432,1.280569,1.232727,1.259951,1.279821,1.278567,1.264509,1.272826,1.182235,1.220212,1.335495,1.293328,1.252667,1.212939,1.305761,1.279400,1.319808,1.280121,1.271704,1.281648,1.283358,1.292401,1.203074,1.275721,1.278933,1.261136,1.265659,1.254748,1.303731,1.298044,1.278959,1.241374,1.251980,1.299742,1.288609,1.299353,1.323097,1.277658,1.307924,1.241086,1.318997,1.280319,1.303526,1.278898,1.322631,1.258448,1.270014,1.245822,1.252301,1.280122,1.281446,1.275580,1.287054,1.248393,1.238741,1.245994,1.320172,1.338196,1.273479,1.279644,1.270113,1.278360,1.284818,1.291480,1.263025,1.287899,1.281140,1.243454,1.256626,1.262080,1.295569,1.224553,1.334139,1.223449,1.280159,1.309471,1.332348,1.272474,1.280047,1.273248,1.291520,1.272161,1.296236,1.268559,1.256223,1.252155,1.268852,1.285365,1.253439,1.279445,1.275825,1.246928,1.307275,1.289625,1.330264,1.300439,1.263373,1.246816,1.280703,1.300601,1.268899,1.242805,1.252111,1.279458,1.319555,1.274583,1.255116,1.228742,1.354757,1.250993,1.278381,1.275837,1.240132,1.278620,1.271137,1.313951,1.272126,1.270960,1.279139,1.272400,1.264898,1.250004,1.246504,1.241056,1.270362,1.212433,1.293012,1.277988,1.281509,1.224155,1.209871,1.262586
BB OD,,m,0.04023,0.03937,0.03906,0.03937,0.03999,0.04044,0.03959,0.04036,0.04005,0.03888,0.04027,0.03926,0.03957,0.04006,0.04004,0.03958,0.0388,0.0394,0.04374,0.04054,0.0405,0.04055,0.04105,0.03972,0.03877,0.03855,0.03986,0.03879,0.04016,0.0398,0.03986,0.03975,0.03968,0.04022,0.03942,0.03831,0.0401,0.03904,0.03954,0.03989,0.03993,0.04107,0.03935,0.04102,0.03918,0.03961,0.04009,0.03955,0.04015,0.04348,0.03989,0.03982,0.03871,0.03945,0.04056,0.0459,0.03923,0.03971,0.03924,0.03931,0.03933,0.04546,0.03896,0.03922,0.03942,0.04055,0.0395,0.0431,0.04044,0.04027,0.04025,0.0397,0.03979,0.03791,0.04077,0.04017,0.03886,0.03973,0.03997,0.0443,0.03947,0.03943,0.03947,0.03904,0.04032,0.03931,0.04014,0.0402,0.03976,0.03868,0.03938,0.03899,0.0389,0.041,0.04672,0.03979,0.03962,0.04442,0.04363,0.03997,0.04358,0.03906,0.0401,0.04344,0.04726,0.03981,0.0399,0.03982,0.03975,0.04171,0.03985,0.03982,0.03964,0.04017,0.04655,0.04226,0.03976,0.03967,0.0399,0.03987,0.04533,0.03939,0.03811,0.03839,0.03912,0.03884,0.03911,0.04021,0.04028,0.04179,0.03976,0.03828,0.04,0.03948,0.04039,0.04016,0.03992,0.04045,0.0401,0.03876,0.03929,0.03989,0.04549,0.04021,0.0392,0.04178,0.03962,0.03939,0.03952,0.04006,0.04179,0.03954,0.04001,0.03959,0.03969,0.04046,0.03971,0.04928,0.04298,0.03927,0.04033,0.0397,0.0389,0.03842,0.04423,0.03927,0.03996,0.04038,0.04167,0.03961,0.03974,0.03994,0.03995,0.04183,0.0391,0.03925,0.03925,0.0394,0.04289,0.03894,0.03996,0.04595,0.03903,0.03998,0.03864,0.03945,0.04369,0.03978,0.03939,0.0395,0.04032,0.04416,0.03958,0.04044,0.03895,0.03994,0.03979,0.0403,0.04117,0.03966,0.04009,0.03914,0.04145,0.04611,0.03965,0.04114,0.03875,0.03891,0.04294,0.04027,0.03973,0.04019,0.03904,0.03988,0.0395,0.04282,0.03956,0.04055,0.03939,0.03962,0.03959,0.03951,0.04047,0.03962,0.04514,0.04015,0.04282,0.03983,0.04003,0.04015,0.03925,0.03925,0.03886,0.0396,0.03937,0.03943,0.04034,0.03939,0.03859,0.03996,0.04208
TT OD,,m,0.02873,0.02796,0.03898,0.04757,0.03742,0.02894,0.0446,0.02813,0.02898,0.04411,0.03419,0.03407,0.04428,0.02916,0.03541,0.04319,0.03686,0.03073,0.02868,0.02936,0.02824,0.02932,0.02859,0.03465,0.03244,0.02831,0.02912,0.04966,0.02926,0.04467,0.03671,0.0293,0.03896,0.02911,0.03701,0.02873,0.03932,0.0308,0.02969,0.02941,0.02752,0.02967,0.04409,0.02832,0.03426,0.0297,0.02939,0.03946,0.0296,0.02897,0.04046,0.02897,0.04952,0.04256,0.02881,0.02723,0.04945,0.0297,0.02953,0.02852,0.03163,0.02877,0.0297,0.04022,0.02991,0.02657,0.03688,0.02809,0.032,0.02802,0.03684,0.03063,0.02947,0.03107,0.02932,0.02917,0.03623,0.02916,0.03115,0.02845,0.02945,0.03998,0.04111,0.02797,0.03475,0.04448,0.02936,0.03947,0.02906,0.03061,0.03644,0.03957,0.0391,0.02675,0.02725,0.02953,0.03758,0.02866,0.02945,0.03963,0.02892,0.02885,0.02841,0.02676,0.02692,0.03803,0.04405,0.03597,0.02898,0.0291,0.04093,0.02753,0.02954,0.03203,0.02874,0.02808,0.04148,0.03754,0.03495,0.02851,0.02882,0.02803,0.03615,0.03556,0.04239,0.04007,0.04356,0.0281,0.03509,0.02866,0.03727,0.02934,0.04001,0.04625,0.02587,0.02829,0.02949,0.02883,0.03173,0.04779,0.02946,0.02924,0.02877,0.02896,0.03955,0.0283,0.04316,0.03463,0.02866,0.0288,0.02832,0.03074,0.03637,0.02948,0.0289,0.02616,0.04357,0.02929,0.0289,0.04542,0.02922,0.03662,0.0353,0.04042,0.02874,0.02886,0.02865,0.02821,0.02893,0.05412,0.02938,0.03623,0.03502,0.02703,0.04549,0.04753,0.03108,0.05135,0.02914,0.03355,0.02875,0.02858,0.02969,0.03715,0.04558,0.02943,0.02851,0.03047,0.04229,0.03815,0.02923,0.02641,0.03278,0.02907,0.03555,0.02773,0.03829,0.02949,0.028,0.0498,0.02927,0.02946,0.02762,0.026,0.02973,0.02883,0.03224,0.03722,0.02721,0.02878,0.02967,0.02916,0.0466,0.02828,0.03907,0.02707,0.02856,0.02797,0.02928,0.04436,0.04418,0.03032,0.02953,0.04453,0.02819,0.02851,0.02904,0.0383,0.02939,0.02917,0.02918,0.02909,0.02984,0.05355,0.02953,0.04147,0.02914,0.04201,0.03039,0.0287,0.02719
HT OD,,m,0.04584,0.04824,0.05084,0.04338,0.04318,0.04587,0.04292,0.04808,0.04651,0.04155,0.04583,0.0516,0.04289,0.04568,0.04403,0.04418,0.04167,0.04885,0.04466,0.04605,0.0445,0.04316,0.04954,0.04241,0.05011,0.04705,0.04562,0.04284,0.04367,0.04551,0.04748,0.05063,0.04283,0.04543,0.04258,0.04759,0.04588,0.04855,0.04305,0.04475,0.04739,0.04971,0.04269,0.04788,0.04234,0.04952,0.04691,0.04591,0.04435,0.04777,0.04371,0.04747,0.04237,0.04245,0.04403,0.0449,0.04267,0.0445,0.04304,0.04764,0.04323,0.0454,0.04951,0.04512,0.05054,0.04268,0.04257,0.04323,0.0461,0.04323,0.04647,0.04828,0.0441,0.0518,0.04432,0.04578,0.04679,0.04795,0.05011,0.0452,0.04774,0.05344,0.0432,0.04919,0.04687,0.04233,0.04556,0.05313,0.05184,0.05171,0.04243,0.0419,0.05184,0.04573,0.04433,0.04569,0.04273,0.04725,0.04914,0.0461,0.04379,0.04702,0.04725,0.0437,0.04302,0.04306,0.04952,0.04342,0.04901,0.04451,0.04313,0.04448,0.04555,0.04519,0.04514,0.04475,0.0459,0.05718,0.05254,0.04669,0.04749,0.05084,0.05381,0.04219,0.04294,0.04162,0.04281,0.04701,0.04613,0.04548,0.04285,0.04846,0.04426,0.04301,0.04648,0.04497,0.04624,0.0458,0.04458,0.04284,0.05033,0.04943,0.04547,0.046,0.04241,0.04693,0.0444,0.04251,0.04638,0.04528,0.04684,0.04285,0.04473,0.04312,0.04819,0.047,0.04788,0.05051,0.04926,0.04227,0.04615,0.043,0.04935,0.0502,0.04348,0.04307,0.04471,0.04537,0.04868,0.04452,0.04465,0.04426,0.04324,0.04286,0.04238,0.04233,0.04965,0.04817,0.04759,0.04288,0.04943,0.0469,0.05351,0.04428,0.04151,0.04273,0.04524,0.04451,0.04319,0.04302,0.04798,0.04268,0.04654,0.04486,0.04887,0.05227,0.04322,0.04982,0.04755,0.04307,0.04915,0.04299,0.04596,0.04316,0.04312,0.04457,0.04933,0.04301,0.04385,0.04717,0.04711,0.04596,0.04281,0.0468,0.04509,0.04294,0.04931,0.04849,0.05004,0.0438,0.0444,0.04871,0.04777,0.04509,0.04537,0.04766,0.04439,0.04492,0.04558,0.04755,0.04937,0.04824,0.04959,0.04461,0.05092,0.04247,0.04608,0.04282,0.04971,0.04722,0.04292
DT OD,,m,0.03691,0.04186,0.04917,0.03998,0.04168,0.03667,0.04051,0.03953,0.03748,0.03841,0.03763,0.04466,0.04476,0.03714,0.04458,0.05284,0.03592,0.04303,0.03758,0.03623,0.03572,0.03685,0.03949,0.03695,0.06051,0.03985,0.03507,0.05088,0.0362,0.04638,0.03834,0.04929,0.0372,0.0369,0.03728,0.04729,0.03839,0.05353,0.03618,0.03686,0.03757,0.03691,0.04539,0.03737,0.03669,0.03792,0.03712,0.05457,0.03988,0.03607,0.0421,0.04,0.04311,0.04212,0.03706,0.0351,0.04311,0.04022,0.03473,0.04259,0.03749,0.03723,0.05417,0.05552,0.03854,0.03578,0.03792,0.03624,0.03636,0.03593,0.04153,0.04142,0.03675,0.05871,0.03721,0.03756,0.03954,0.04317,0.03821,0.03643,0.04671,0.04786,0.04452,0.04249,0.03982,0.03886,0.03735,0.04165,0.05099,0.06309,0.03702,0.03681,0.05086,0.03616,0.03532,0.04185,0.03734,0.03616,0.03655,0.0378,0.03732,0.04716,0.0376,0.03518,0.03486,0.03939,0.04405,0.03941,0.04615,0.04051,0.04418,0.03762,0.03722,0.04168,0.03691,0.0375,0.05084,0.04077,0.03794,0.0348,0.03652,0.04992,0.05853,0.03615,0.04578,0.03625,0.04588,0.03671,0.03775,0.03624,0.0392,0.04991,0.05095,0.04527,0.03653,0.03667,0.03731,0.03629,0.03685,0.04583,0.05401,0.04715,0.03666,0.03603,0.03823,0.03553,0.04924,0.03678,0.04179,0.03564,0.03686,0.03629,0.04564,0.03531,0.03743,0.03657,0.04012,0.03637,0.03601,0.03757,0.03733,0.03701,0.05467,0.06117,0.03723,0.03438,0.03492,0.03654,0.03644,0.05838,0.03667,0.03903,0.03778,0.03512,0.04256,0.04368,0.04351,0.05869,0.03635,0.03696,0.047,0.03666,0.03752,0.03892,0.03771,0.03488,0.03586,0.03768,0.03785,0.03877,0.04187,0.03489,0.04901,0.03694,0.05637,0.04869,0.04109,0.03689,0.03726,0.048,0.03666,0.03477,0.03634,0.03398,0.03654,0.0365,0.05761,0.04099,0.03522,0.0391,0.04086,0.03741,0.04823,0.03397,0.04316,0.03689,0.04658,0.03398,0.05249,0.04668,0.05471,0.03836,0.03589,0.05589,0.03652,0.03943,0.037,0.04363,0.0375,0.04168,0.04747,0.04765,0.05544,0.05677,0.03721,0.03789,0.03727,0.04557,0.05211,0.03605,0.03501
