Design Study 1
Scenarios/Iterations:, 221
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219,Scenario 220,Scenario 221
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.395992,0.402653,0.374269,0.397257,0.401071,0.402798,0.389239,0.395416,0.393175,0.394764,0.407710,0.393219,0.408063,0.399092,0.413565,0.387480,0.390128,0.391882,0.392307,0.401560,0.394494,0.394859,0.409946,0.393921,0.392296,0.401264,0.406460,0.404311,0.404998,0.395864,0.395337,0.388097,0.394638,0.385699,0.376978,0.394501,0.400230,0.401158,0.411378,0.401995,0.403792,0.394712,0.397751,0.412329,0.398602,0.389889,0.406382,0.371469,0.388737,0.390901,0.397024,0.382182,0.398634,0.402465,0.404109,0.403341,0.415790,0.392242,0.412657,0.390163,0.400613,0.407765,0.396410,0.378097,0.395465,0.389019,0.393854,0.382173,0.390821,0.432389,0.412632,0.394106,0.406102,0.426674,0.392119,0.386061,0.385650,0.405358,0.375255,0.384163,0.395771,0.403631,0.395855,0.379449,0.404034,0.381032,0.397456,0.410773,0.407879,0.381416,0.383951,0.394217,0.373919,0.401313,0.400112,0.399952,0.395331,0.378078,0.376616,0.413052,0.392910,0.391162,0.398819,0.428379,0.388056,0.380207,0.391901,0.403591,0.408808,0.385536,0.408349,0.395559,0.387844,0.377092,0.403058,0.399839,0.387695,0.395248,0.390755,0.402300,0.406270,0.391793,0.399225,0.412536,0.396202,0.402243,0.402399,0.407961,0.380802,0.387262,0.384285,0.371122,0.379691,0.388491,0.383128,0.392744,0.395703,0.386840,0.382739,0.390282,0.406150,0.396217,0.379911,0.387466,0.387862,0.394083,0.412170,0.387922,0.394504,0.412287,0.403558,0.390964,0.388679,0.394306,0.390572,0.406106,0.391302,0.381211,0.390937,0.383206,0.394599,0.383635,0.390307,0.384159,0.390849,0.423305,0.399437,0.393680,0.402378,0.377436,0.408269,0.400294,0.390634,0.378630,0.402865,0.378732,0.392871,0.406946,0.397689,0.406554,0.402840,0.387187,0.404593,0.394962,0.396045,0.394285,0.382514,0.407052,0.396244,0.407260,0.388190,0.403615,0.405176,0.407352,0.409453,0.405638,0.398563,0.392387,0.403034,0.379583,0.392339,0.387499,0.400310,0.410967,0.412451,0.389171,0.375084,0.419458,0.378036,0.405288,0.389647,0.397324,0.387211,0.374887,0.393775,0.400932,0.393850,0.393185,0.390999,0.400609,0.401191
BB Drop,,N/A,0.046941,0.045959,0.062870,0.036921,0.044515,0.051514,0.092295,0.066961,0.043603,0.045832,0.038481,0.043740,0.028756,0.043507,0.060551,0.043643,0.040415,0.050354,0.046544,0.044384,0.076599,0.055941,0.042302,0.047951,0.058777,0.070102,0.043367,0.036528,0.066278,0.043052,0.049991,0.043838,0.046492,0.037967,0.046396,0.035465,0.044492,0.079157,0.073911,0.048741,0.044915,0.087705,0.039361,0.042923,0.041091,0.044303,0.037205,0.087480,0.026947,0.044727,0.031697,0.072622,0.038267,0.050276,0.046764,0.038095,0.052322,0.041945,0.045179,0.043700,0.051489,0.050984,0.037428,0.051619,0.045992,0.043327,0.048489,0.042874,0.042538,0.080328,0.041512,0.044061,0.049775,0.049055,0.048242,0.031310,0.040983,0.042318,0.043398,0.036673,0.042962,0.050256,0.043927,0.036526,0.036235,0.078299,0.047202,0.047998,0.038691,0.039227,0.037235,0.084564,0.056209,0.039299,0.055952,0.044547,0.082288,0.059512,0.043686,0.039761,0.043247,0.043634,0.040529,0.086666,0.041303,0.037787,0.044592,0.038118,0.044056,0.043129,0.055903,0.044674,0.029697,0.050123,0.039149,0.044884,0.032718,0.047112,0.027979,0.035719,0.046066,0.039917,0.050471,0.047427,0.050361,0.073356,0.076151,0.039188,0.039287,0.050290,0.041665,0.035405,0.042670,0.041834,0.038870,0.045131,0.035960,0.039040,0.052855,0.042946,0.082087,0.041250,0.043292,0.047784,0.042040,0.043223,0.046117,0.038627,0.043546,0.044898,0.051543,0.040071,0.044488,0.038443,0.029733,0.035547,0.040575,0.044588,0.042113,0.048419,0.040068,0.036652,0.048378,0.043298,0.048874,0.055467,0.054982,0.052327,0.046895,0.049577,0.039429,0.040491,0.041358,0.044411,0.033533,0.043455,0.040506,0.037551,0.037103,0.076716,0.049423,0.030070,0.042064,0.040668,0.040435,0.041882,0.056647,0.047180,0.045106,0.034813,0.047882,0.040845,0.039754,0.040112,0.040963,0.036582,0.049506,0.061216,0.024508,0.035252,0.034870,0.051061,0.048813,0.056579,0.035633,0.044434,0.048168,0.037852,0.051749,0.038251,0.043655,0.044070,0.051726,0.042118,0.039457,0.045998,0.029259,0.041679,0.032183,0.031707,0.033220,0.051657
Stack,,m,0.56549,0.57803,0.56002,0.5641,0.57473,0.62979,0.61867,0.56517,0.58054,0.56658,0.55569,0.56416,0.55569,0.56346,0.56206,0.56742,0.55905,0.56351,0.59998,0.57416,0.60307,0.57471,0.55275,0.58395,0.56202,0.56494,0.56463,0.5525,0.60249,0.56477,0.60142,0.55955,0.59997,0.56229,0.57187,0.57256,0.57057,0.59152,0.58528,0.58854,0.55452,0.62633,0.56093,0.56293,0.56483,0.60089,0.55742,0.61157,0.58036,0.55975,0.5501,0.57976,0.59605,0.57107,0.56505,0.56173,0.57437,0.56494,0.56822,0.56616,0.57298,0.56447,0.56051,0.5911,0.55949,0.56122,0.56752,0.58551,0.57408,0.56827,0.57601,0.60579,0.5702,0.56477,0.59265,0.55653,0.59892,0.57821,0.56197,0.56323,0.55807,0.56868,0.56149,0.5595,0.57963,0.60031,0.56292,0.57508,0.56368,0.56114,0.58569,0.59422,0.56684,0.55926,0.60288,0.60762,0.59581,0.59055,0.56338,0.55697,0.57353,0.56049,0.55876,0.59246,0.56922,0.58796,0.56414,0.62283,0.62817,0.5673,0.56336,0.55482,0.55801,0.57849,0.5613,0.61041,0.55187,0.5701,0.55851,0.55813,0.56519,0.56211,0.56527,0.56231,0.59266,0.57318,0.58694,0.56049,0.55263,0.57338,0.5844,0.55674,0.56203,0.57753,0.58849,0.57661,0.55836,0.56305,0.56382,0.56452,0.56113,0.55786,0.56084,0.56361,0.57525,0.56937,0.57236,0.56342,0.57283,0.5741,0.5925,0.56262,0.57437,0.5832,0.55259,0.61392,0.5527,0.57175,0.5651,0.56271,0.57248,0.5604,0.56434,0.56758,0.58809,0.57833,0.60427,0.55687,0.57325,0.57288,0.56526,0.55295,0.56077,0.57403,0.58464,0.62354,0.56531,0.55653,0.56141,0.57984,0.59529,0.55087,0.56437,0.5564,0.60339,0.56159,0.59043,0.57072,0.6308,0.55151,0.57696,0.58034,0.55939,0.55898,0.55576,0.55364,0.56006,0.56296,0.55093,0.55171,0.55543,0.57358,0.55794,0.56472,0.5647,0.5745,0.57388,0.56402,0.59018,0.56519,0.55635,0.56508,0.6077,0.55436,0.56357,0.5715,0.55492,0.58564,0.5513,0.55196,0.55327,0.59731
SS E,,N/A,0.209030,0.137537,0.195777,0.191813,0.148077,0.152339,0.082974,0.096136,0.151598,0.132001,0.103860,0.058774,0.073027,0.119523,0.101844,0.082010,0.052593,0.051367,0.147656,0.146523,0.057850,0.096467,0.189030,0.126303,0.127582,0.083821,0.053164,0.223900,0.058168,0.050737,0.129722,0.059844,0.145571,0.056235,0.129503,0.213244,0.145314,0.085138,0.084600,0.131507,0.215133,0.105208,0.052852,0.165947,0.136695,0.168580,0.060137,0.087488,0.245358,0.054072,0.163308,0.083813,0.194326,0.108143,0.125029,0.084269,0.056578,0.118942,0.130413,0.086164,0.104925,0.102560,0.134236,0.117005,0.196893,0.054536,0.127248,0.160330,0.149573,0.077220,0.085574,0.200382,0.109236,0.066889,0.109881,0.061356,0.185524,0.152815,0.115939,0.198135,0.052348,0.109793,0.073621,0.061042,0.190647,0.089395,0.157822,0.118829,0.117665,0.130435,0.192945,0.107704,0.099479,0.041843,0.116911,0.161587,0.061398,0.105738,0.160951,0.046516,0.141200,0.053882,0.054875,0.066460,0.102436,0.190878,0.142835,0.209189,0.186549,0.141759,0.123609,0.232846,0.060921,0.121928,0.194703,0.173794,0.171785,0.123233,0.057507,0.054607,0.054100,0.060176,0.111156,0.057331,0.119098,0.056711,0.072353,0.076761,0.244891,0.116986,0.165039,0.051785,0.177309,0.185264,0.179534,0.143960,0.055044,0.048338,0.049185,0.144427,0.095159,0.172352,0.056342,0.136104,0.156468,0.141264,0.125189,0.127083,0.143412,0.132770,0.121246,0.055509,0.135671,0.182089,0.127538,0.223455,0.242073,0.138134,0.156365,0.157742,0.164778,0.057894,0.127575,0.144830,0.132184,0.135751,0.105507,0.193643,0.123777,0.110726,0.177545,0.256117,0.085451,0.137022,0.209488,0.188380,0.161360,0.076030,0.058854,0.060069,0.140191,0.190919,0.166768,0.152525,0.190880,0.055130,0.108150,0.133215,0.189750,0.177013,0.116740,0.160647,0.096351,0.127490,0.183514,0.239621,0.165640,0.083501,0.115397,0.206098,0.050101,0.104062,0.060827,0.084131,0.060770,0.055650,0.138164,0.181124,0.095372,0.175388,0.160823,0.141973,0.127686,0.091323,0.169508,0.131181,0.141588,0.172660,0.140694,0.110616,0.158056,0.137961
ST Angle,,N/A,1.293070,1.263492,1.418544,1.297500,1.262516,1.269524,1.277183,1.355044,1.264061,1.278023,1.301553,1.265931,1.270450,1.264804,1.346872,1.256901,1.288934,1.309221,1.277584,1.277923,1.278581,1.316953,1.413775,1.258365,1.370939,1.345840,1.270036,1.299867,1.275249,1.264371,1.278251,1.295741,1.279763,1.269631,1.318914,1.274139,1.269397,1.299281,1.283420,1.253071,1.399334,1.273704,1.273352,1.274806,1.250657,1.255658,1.282144,1.278388,1.248902,1.311306,1.343353,1.316173,1.273287,1.279841,1.269151,1.264725,1.279733,1.248199,1.281722,1.258155,1.328059,1.292289,1.259789,1.279953,1.411778,1.279142,1.314478,1.261543,1.306863,1.348772,1.244667,1.230423,1.303066,1.275893,1.252188,1.273486,1.271165,1.293138,1.271421,1.286931,1.318277,1.308658,1.276367,1.273845,1.275892,1.280488,1.363606,1.275860,1.251481,1.262230,1.274847,1.354053,1.328521,1.301180,1.277098,1.263045,1.280214,1.302503,1.331194,1.318412,1.247795,1.286780,1.282972,1.297084,1.245907,1.262903,1.356004,1.254389,1.254288,1.255948,1.373492,1.384296,1.264372,1.314369,1.371269,1.253523,1.282633,1.320672,1.257334,1.275033,1.274191,1.262250,1.324699,1.289100,1.258249,1.306740,1.287953,1.272015,1.345055,1.354682,1.277077,1.279509,1.397527,1.280201,1.267852,1.305246,1.273369,1.267442,1.323656,1.320322,1.377511,1.273702,1.280126,1.379214,1.280253,1.277133,1.277725,1.249527,1.294374,1.275141,1.255523,1.264892,1.280174,1.260816,1.275308,1.250166,1.375320,1.287427,1.307830,1.349417,1.283169,1.271859,1.366965,1.275407,1.312701,1.297345,1.259575,1.433228,1.294367,1.272775,1.297313,1.369138,1.276255,1.276050,1.267690,1.252566,1.310001,1.285629,1.255609,1.293974,1.256311,1.272107,1.275174,1.281686,1.254375,1.276874,1.305557,1.327011,1.248833,1.346718,1.263763,1.275358,1.272373,1.270039,1.288409,1.274981,1.361546,1.324611,1.270178,1.315120,1.289910,1.322869,1.352391,1.309289,1.245100,1.256846,1.298211,1.306611,1.259757,1.295049,1.325712,1.281036,1.277274,1.363830,1.323154,1.272159,1.263497,1.257550,1.303254,1.285390,1.274937,1.270625
BB OD,,m,0.04017,0.0404,0.03991,0.04043,0.04043,0.03935,0.03925,0.03996,0.04032,0.04075,0.04018,0.03942,0.0396,0.04009,0.04012,0.03939,0.03994,0.03984,0.03983,0.04033,0.03895,0.04009,0.04009,0.03985,0.04008,0.03981,0.03922,0.04026,0.03897,0.03863,0.03979,0.04019,0.03978,0.03946,0.04024,0.04039,0.04061,0.0398,0.03982,0.03974,0.04016,0.03918,0.03951,0.04048,0.0398,0.03986,0.04002,0.03946,0.04136,0.0401,0.0402,0.03992,0.04,0.04026,0.04015,0.03977,0.03948,0.03956,0.04039,0.0395,0.04012,0.04039,0.03993,0.03991,0.03982,0.03979,0.04018,0.04033,0.04034,0.03986,0.03878,0.03946,0.04035,0.03994,0.03927,0.03967,0.03989,0.04039,0.04015,0.04114,0.04009,0.04038,0.03998,0.03975,0.04043,0.03976,0.04023,0.04036,0.03965,0.03999,0.04028,0.03944,0.04017,0.03945,0.03979,0.03971,0.03955,0.0399,0.04032,0.03979,0.03963,0.03987,0.03989,0.03962,0.0392,0.0402,0.04043,0.03944,0.03929,0.04003,0.04006,0.04026,0.03943,0.04002,0.0404,0.0396,0.04018,0.04028,0.03917,0.0397,0.03937,0.03946,0.04021,0.03999,0.03966,0.0397,0.03983,0.03981,0.04035,0.04004,0.04022,0.03981,0.04017,0.04013,0.04024,0.04014,0.03951,0.03897,0.03953,0.04046,0.03999,0.04024,0.03993,0.04017,0.04037,0.04066,0.04043,0.03968,0.04037,0.04038,0.03964,0.0393,0.04044,0.04038,0.03999,0.03966,0.04035,0.04038,0.04033,0.04026,0.04048,0.03962,0.04026,0.04072,0.03991,0.0399,0.03932,0.03973,0.04034,0.04031,0.04035,0.04039,0.04002,0.04047,0.04036,0.03939,0.04038,0.0401,0.03918,0.03974,0.03988,0.04,0.04098,0.04019,0.03985,0.03976,0.03991,0.04012,0.03923,0.04026,0.04,0.04037,0.03999,0.04008,0.04023,0.04021,0.04018,0.04021,0.03968,0.04029,0.03987,0.0402,0.04023,0.04017,0.03864,0.03841,0.04011,0.04054,0.03942,0.04049,0.04026,0.04066,0.03967,0.04018,0.04044,0.04052,0.0398,0.04027,0.04018,0.04006,0.0401,0.03982
TT OD,,m,0.03705,0.04076,0.02923,0.02818,0.04475,0.02822,0.02709,0.0274,0.0378,0.03508,0.02926,0.02945,0.02949,0.04213,0.02868,0.0366,0.02744,0.02669,0.02872,0.02964,0.02643,0.02843,0.02914,0.04178,0.02823,0.02774,0.02783,0.04289,0.02689,0.02756,0.02847,0.02855,0.02805,0.02827,0.028,0.02931,0.04117,0.0278,0.02811,0.04372,0.03088,0.0272,0.02763,0.04458,0.04891,0.03875,0.02843,0.0277,0.04697,0.02755,0.02965,0.02795,0.02881,0.03013,0.04064,0.03591,0.02772,0.04688,0.02969,0.03739,0.02805,0.03123,0.04551,0.02838,0.02744,0.02788,0.02813,0.03895,0.02813,0.02721,0.0374,0.05532,0.02955,0.02997,0.0392,0.02891,0.02884,0.02888,0.039,0.0297,0.02709,0.02936,0.03028,0.02916,0.02947,0.02816,0.02798,0.03225,0.0455,0.04428,0.02911,0.02574,0.02846,0.02499,0.02866,0.03198,0.02718,0.028,0.02759,0.02605,0.04944,0.02772,0.02784,0.02725,0.04236,0.03523,0.02813,0.03386,0.03294,0.048,0.02743,0.03568,0.02962,0.02767,0.02889,0.03702,0.03693,0.02824,0.02939,0.02793,0.0279,0.03128,0.02839,0.02844,0.03805,0.02707,0.02802,0.03144,0.04048,0.02716,0.02901,0.02723,0.02729,0.02789,0.03296,0.02771,0.02799,0.02696,0.02581,0.02839,0.02724,0.04438,0.02828,0.02765,0.02906,0.03374,0.03174,0.04797,0.02877,0.03226,0.0394,0.02869,0.02975,0.03902,0.0328,0.03778,0.03694,0.02918,0.02798,0.02905,0.02924,0.02865,0.02815,0.03511,0.02731,0.02786,0.03188,0.02882,0.02908,0.03635,0.02797,0.03957,0.03166,0.03284,0.03214,0.03499,0.02795,0.02889,0.03199,0.0273,0.03957,0.04318,0.03779,0.03747,0.03869,0.02801,0.02804,0.02741,0.03594,0.03158,0.0405,0.03007,0.03445,0.04,0.04053,0.05076,0.03219,0.02867,0.03181,0.03851,0.0268,0.02852,0.02751,0.02903,0.03219,0.02857,0.02817,0.02866,0.03427,0.02891,0.03405,0.03246,0.02812,0.02798,0.02777,0.03695,0.04164,0.04092,0.02971,0.02926,0.03852,0.02936
HT OD,,m,0.04917,0.04556,0.05328,0.03854,0.04882,0.0398,0.04177,0.04173,0.04268,0.04363,0.0573,0.04831,0.05744,0.05204,0.04621,0.05123,0.04665,0.04272,0.0401,0.04135,0.0422,0.04186,0.06283,0.05003,0.04325,0.04249,0.04558,0.06837,0.04242,0.04575,0.04055,0.0482,0.03947,0.04786,0.04002,0.03901,0.04674,0.04192,0.04269,0.05144,0.06239,0.04131,0.04734,0.05198,0.05479,0.04248,0.05143,0.04207,0.04081,0.04587,0.0684,0.04204,0.03871,0.0432,0.05156,0.05358,0.04294,0.05549,0.04184,0.05125,0.04099,0.0478,0.05706,0.04116,0.04108,0.04601,0.04073,0.04255,0.03943,0.04211,0.0525,0.0536,0.04274,0.04673,0.05029,0.05432,0.03904,0.04009,0.05254,0.04027,0.04636,0.04287,0.05,0.05089,0.03953,0.04209,0.04099,0.04287,0.05475,0.05564,0.03914,0.0394,0.04247,0.04316,0.04144,0.04135,0.04233,0.0411,0.03932,0.04486,0.05497,0.04554,0.04739,0.04218,0.05445,0.04081,0.04046,0.03998,0.04104,0.0528,0.04175,0.06454,0.05461,0.04032,0.04101,0.04206,0.0664,0.04046,0.05464,0.04919,0.04468,0.05146,0.04147,0.04495,0.04777,0.04243,0.04254,0.05236,0.06899,0.03945,0.03993,0.04864,0.03966,0.03883,0.04074,0.03944,0.04966,0.04598,0.0422,0.04003,0.0432,0.05956,0.04654,0.04081,0.04031,0.04229,0.04247,0.05546,0.04038,0.04227,0.0493,0.04839,0.04161,0.04176,0.06258,0.04021,0.06788,0.04105,0.03939,0.04256,0.04018,0.04901,0.04141,0.04256,0.03941,0.04107,0.04525,0.05738,0.04142,0.04799,0.03877,0.06867,0.0519,0.04212,0.0396,0.04127,0.03901,0.05412,0.05344,0.04253,0.04656,0.0685,0.04289,0.05916,0.04161,0.04674,0.04093,0.03951,0.04164,0.0668,0.04972,0.04084,0.05436,0.05687,0.06207,0.06911,0.05353,0.0443,0.06484,0.06817,0.04879,0.04144,0.04758,0.04393,0.05286,0.04674,0.04059,0.0393,0.04791,0.03959,0.05902,0.04245,0.04038,0.05575,0.03871,0.04385,0.06341,0.04261,0.06513,0.06176,0.06323,0.04189
DT OD,,m,0.04783,0.04456,0.04329,0.0374,0.04797,0.03714,0.03606,0.03653,0.04394,0.04364,0.03628,0.03681,0.03579,0.04461,0.03748,0.03943,0.03448,0.03438,0.03734,0.03988,0.03493,0.03707,0.0368,0.04484,0.03881,0.03634,0.03545,0.04572,0.03536,0.03505,0.03718,0.0359,0.03695,0.03545,0.03698,0.04017,0.04694,0.03653,0.03678,0.04547,0.03933,0.0363,0.03485,0.04991,0.04895,0.04343,0.0354,0.03656,0.04953,0.03483,0.03606,0.03663,0.03777,0.04019,0.04389,0.03782,0.0357,0.04676,0.03952,0.04004,0.03684,0.03987,0.04624,0.03725,0.04035,0.03518,0.03716,0.04366,0.03712,0.03611,0.03959,0.0529,0.03839,0.03737,0.04282,0.0354,0.038,0.03758,0.0427,0.04157,0.03421,0.03891,0.0372,0.03603,0.03938,0.03686,0.0377,0.0402,0.04558,0.04569,0.03867,0.03515,0.0374,0.03202,0.03731,0.04087,0.03576,0.0368,0.03704,0.03278,0.04879,0.03493,0.03484,0.03586,0.04344,0.04372,0.03721,0.04143,0.04192,0.0489,0.03705,0.04414,0.036,0.03679,0.04126,0.0442,0.03767,0.0371,0.03576,0.03469,0.03561,0.03702,0.03724,0.0359,0.04323,0.03519,0.03652,0.03711,0.04564,0.03618,0.03795,0.03397,0.03727,0.03736,0.04203,0.03693,0.03474,0.03443,0.03343,0.03727,0.03643,0.04763,0.03551,0.0371,0.03781,0.0415,0.04033,0.04746,0.03755,0.04115,0.04305,0.03598,0.03927,0.04476,0.03671,0.04438,0.04316,0.03785,0.03714,0.0422,0.03804,0.03556,0.0373,0.04313,0.03653,0.03713,0.03934,0.03797,0.03769,0.0423,0.03723,0.04609,0.03736,0.04035,0.04245,0.04321,0.03708,0.03584,0.03688,0.0357,0.04383,0.04206,0.04671,0.04153,0.04437,0.03534,0.03678,0.03665,0.04407,0.0369,0.04389,0.04033,0.03769,0.04234,0.04495,0.05238,0.04338,0.0373,0.03605,0.04031,0.03342,0.03716,0.03523,0.03753,0.03716,0.03601,0.03728,0.0376,0.03985,0.0377,0.04006,0.0424,0.03702,0.03508,0.037,0.0432,0.04047,0.04575,0.03614,0.03568,0.03914,0.03949
