Design Study 1
Scenarios/Iterations:, 207
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.430398,0.407247,0.401996,0.433102,0.453122,0.408291,0.414386,0.431105,0.416730,0.398560,0.511425,0.471566,0.510494,0.444373,0.475130,0.409858,0.446375,0.460906,0.436436,0.435202,0.448257,0.441968,0.435356,0.449744,0.422363,0.458995,0.398962,0.472089,0.411210,0.455649,0.467848,0.407836,0.475428,0.491281,0.411240,0.414129,0.412411,0.445538,0.440339,0.455966,0.500507,0.431965,0.503129,0.386616,0.415514,0.435503,0.445082,0.425679,0.468001,0.439272,0.478399,0.424301,0.415460,0.411270,0.409039,0.447258,0.412235,0.490233,0.454893,0.456564,0.481048,0.391088,0.387067,0.476933,0.452857,0.500266,0.381926,0.419712,0.413839,0.473431,0.429399,0.438300,0.424323,0.440361,0.442974,0.451381,0.408213,0.399646,0.425351,0.457845,0.487900,0.415664,0.427481,0.491003,0.436814,0.428450,0.452831,0.407826,0.402999,0.446717,0.392891,0.447774,0.470170,0.458882,0.429228,0.477344,0.468610,0.452650,0.434756,0.382749,0.420986,0.526680,0.431066,0.469274,0.466208,0.386753,0.467040,0.465726,0.446203,0.437588,0.466486,0.398118,0.423674,0.423256,0.412614,0.453579,0.395356,0.465549,0.401742,0.394478,0.497561,0.449300,0.483858,0.429654,0.417359,0.453902,0.420301,0.480724,0.466269,0.439893,0.411190,0.426293,0.454775,0.515299,0.427351,0.446798,0.448475,0.437858,0.438781,0.443576,0.454235,0.467125,0.392732,0.382418,0.404546,0.419616,0.460424,0.405205,0.427244,0.454773,0.437886,0.445006,0.443230,0.419925,0.413083,0.396683,0.491467,0.387601,0.445189,0.413894,0.407638,0.441672,0.402909,0.403731,0.387598,0.449927,0.388115,0.406196,0.440887,0.462894,0.401446,0.479672,0.411409,0.500534,0.464886,0.478233,0.387006,0.387919,0.413980,0.446738,0.404551,0.409038,0.415835,0.448879,0.434243,0.422377,0.414228,0.476297,0.400643,0.442909,0.405903,0.500501,0.422293,0.468466,0.426726,0.431881,0.467362,0.379212,0.487246,0.467100,0.487215,0.381836,0.434388,0.426939,0.437853,0.418336,0.412915
BB Drop,,N/A,0.046941,0.050129,0.034744,0.008791,0.043003,0.057985,-0.006265,0.006386,0.049700,0.040648,-0.007119,0.052379,0.046108,0.074140,0.049182,0.030856,0.044110,0.047864,0.049736,0.047593,0.023079,0.040936,0.060392,0.052190,0.019252,0.047172,0.049717,0.006544,0.048864,0.043836,0.046651,0.046905,0.008964,0.038180,0.045137,0.037913,0.026421,0.036489,0.032785,0.048052,0.043559,0.038131,0.030974,0.057231,-0.012888,0.029873,0.056640,0.050519,0.024390,0.034442,0.025485,0.045857,0.037023,0.050775,0.017643,0.006831,0.027439,0.040085,0.061201,0.048938,0.052068,0.043705,-0.021359,-0.018220,0.065986,0.051616,0.048762,-0.028294,0.041603,0.043031,0.071652,0.040780,0.041843,0.049442,0.048235,0.050488,0.022186,0.021861,0.000435,0.049806,0.049228,0.033491,0.037914,0.028448,0.067191,0.045492,0.048086,0.045602,0.035579,0.015346,0.049875,-0.002868,0.025446,0.040873,0.014578,0.040688,0.048755,0.060410,0.047037,0.029268,-0.019378,0.050180,0.051001,0.048328,0.047075,0.045830,-0.022102,0.050775,0.043938,0.050908,0.046455,0.039329,0.011789,0.052109,0.051592,0.038845,0.049314,-0.008198,0.047757,0.021239,-0.014729,0.070091,0.066273,0.038643,0.048087,0.049728,0.051811,0.039139,0.069555,0.044505,0.026111,0.018379,0.030272,0.046243,0.074321,0.021442,0.058979,0.052252,0.037582,0.046467,0.024417,0.025987,0.053747,0.001012,-0.019700,-0.000190,0.045133,0.045506,0.001944,0.052398,0.048879,0.049316,0.051547,0.049430,0.051736,0.016705,-0.012918,0.052141,-0.003434,0.066260,0.037144,0.019436,0.030152,0.018212,0.017386,-0.019136,0.045653,-0.021399,0.000387,0.050037,0.052059,-0.001848,0.043622,0.047014,0.038862,0.044772,0.058441,-0.002248,-0.036451,0.051091,0.067798,0.030178,0.041001,0.044591,0.042152,0.049252,0.050437,0.046044,0.045454,0.016630,0.024746,0.032434,0.044190,0.051579,0.042710,0.047725,0.045691,0.030938,-0.030525,0.042161,0.035934,0.059068,-0.027530,0.047322,0.037735,0.046182,0.043639,0.020424
Stack,,m,0.56549,0.55966,0.56125,0.56242,0.56316,0.56222,0.56223,0.56384,0.56109,0.56332,0.56302,0.56096,0.58631,0.5594,0.56281,0.56491,0.55841,0.55944,0.56291,0.56081,0.58147,0.58038,0.56097,0.56926,0.56455,0.56128,0.56902,0.56089,0.56458,0.56481,0.56443,0.57273,0.56429,0.56059,0.5908,0.56621,0.55852,0.56126,0.57782,0.55607,0.5525,0.56522,0.57095,0.55733,0.56027,0.57069,0.5629,0.57503,0.5644,0.56091,0.56647,0.58433,0.56492,0.56458,0.56906,0.56476,0.56311,0.56216,0.56262,0.56747,0.56294,0.56479,0.56255,0.56247,0.56138,0.56053,0.55755,0.56145,0.56442,0.55826,0.5602,0.57394,0.56399,0.56309,0.56321,0.5692,0.56261,0.56544,0.5634,0.56291,0.55601,0.57525,0.56477,0.56494,0.5616,0.57109,0.55701,0.55923,0.56474,0.56328,0.56511,0.56331,0.56468,0.56472,0.56353,0.55784,0.56742,0.56288,0.56336,0.5631,0.56152,0.56816,0.55586,0.56013,0.56492,0.57301,0.56242,0.55921,0.55942,0.56992,0.55658,0.5616,0.56107,0.56729,0.56404,0.56368,0.57727,0.56388,0.56294,0.56436,0.56339,0.5609,0.56222,0.56265,0.56015,0.56255,0.56399,0.55672,0.56079,0.57769,0.56521,0.56516,0.5651,0.55549,0.56052,0.58263,0.56011,0.55974,0.55237,0.56472,0.57326,0.56331,0.56319,0.56386,0.5604,0.56228,0.56397,0.57077,0.56384,0.56038,0.5654,0.57721,0.56143,0.56104,0.56212,0.56075,0.56089,0.56232,0.56173,0.56232,0.5634,0.56775,0.56903,0.56237,0.56308,0.56216,0.56883,0.56152,0.56278,0.56494,0.56241,0.56396,0.56085,0.56553,0.56416,0.56392,0.56169,0.5628,0.56172,0.5652,0.56141,0.56382,0.55824,0.5633,0.55742,0.558,0.56106,0.5581,0.56393,0.56459,0.57144,0.5563,0.57492,0.56197,0.57679,0.57243,0.55458,0.56295,0.56183,0.56374,0.56457,0.56086,0.56044,0.56523,0.56321,0.56258,0.56054,0.56569
SS E,,N/A,0.209030,0.033209,0.053478,0.037907,0.032168,0.037967,0.029619,0.040106,0.033907,0.029948,0.035322,0.015401,0.061489,0.016015,0.042691,0.045892,0.041010,0.042816,0.026952,0.051213,0.051367,0.060602,0.032527,0.055951,0.044765,0.050132,0.060904,0.020053,0.056008,0.047809,0.070949,0.069377,0.042408,0.048665,0.073266,0.047028,0.025942,0.032283,0.053112,0.025224,0.016028,0.054793,0.047959,0.019558,0.020660,0.050345,0.040259,0.057835,0.045344,0.039503,0.047149,0.062016,0.048656,0.047486,0.047092,0.041937,0.043579,0.038226,0.017544,0.057042,0.037961,0.056643,0.029522,0.029772,0.023408,0.036271,0.011579,0.023833,0.056417,0.034496,0.023165,0.054046,0.078888,0.046230,0.058155,0.053504,0.040928,0.043865,0.038068,0.046652,0.019913,0.054081,0.036080,0.046908,0.023036,0.054136,0.038457,0.050923,0.045489,0.039331,0.059394,0.033669,0.047206,0.051157,0.037697,0.043923,0.054360,0.030624,0.025149,0.042645,0.026372,0.052636,0.004294,0.035986,0.055901,0.061098,0.028940,0.022884,0.045826,0.056814,0.023696,0.049971,0.025523,0.052921,0.045436,0.028357,0.059430,0.035304,0.054879,0.035587,0.032260,0.015872,0.030671,0.045011,0.049406,0.050869,0.049980,0.043953,0.016365,0.058550,0.048264,0.043787,0.042138,0.020637,0.010434,0.050950,0.017973,0.027876,0.041318,0.058072,0.047016,0.044942,0.027114,0.034468,0.021692,0.035243,0.056018,0.058222,0.039485,0.036924,0.060475,0.053580,0.040771,0.044022,0.044917,0.036028,0.029998,0.025399,0.028354,0.034369,0.026889,0.045982,0.050600,0.036617,0.039311,0.028736,0.050703,0.028151,0.037156,0.058848,0.038104,0.037125,0.034305,0.045932,0.052367,0.058491,0.028325,0.028653,0.023681,0.041153,0.032588,0.037474,0.040404,0.042897,0.029679,0.023174,0.041846,0.043621,0.060082,0.040280,0.048369,0.053668,0.089476,0.048903,0.060194,0.056803,0.020993,0.046347,0.024993,0.049965,0.050355,0.026177,0.024480,0.056975,0.077025,0.043425,0.039051,0.045784
ST Angle,,N/A,1.293070,1.268475,1.260638,1.253277,1.255977,1.266224,1.256123,1.245918,1.271044,1.259405,1.254917,1.247516,1.265356,1.247071,1.261482,1.257871,1.268931,1.259893,1.257416,1.257657,1.255927,1.257376,1.267543,1.277928,1.243489,1.264242,1.272833,1.233883,1.270519,1.274036,1.265546,1.265900,1.255742,1.232857,1.271107,1.278578,1.221118,1.257056,1.264962,1.258814,1.248118,1.240919,1.246985,1.246477,1.236371,1.261326,1.273111,1.273957,1.260192,1.219468,1.259405,1.264080,1.253564,1.276912,1.259197,1.246872,1.253080,1.255058,1.256331,1.265991,1.261663,1.260696,1.251547,1.259368,1.259416,1.263889,1.247898,1.244277,1.261430,1.263867,1.255194,1.267924,1.259807,1.269717,1.267393,1.277755,1.249075,1.252913,1.256306,1.269144,1.253376,1.250524,1.253622,1.245476,1.255725,1.271737,1.261653,1.251440,1.270266,1.251046,1.273008,1.266787,1.246575,1.258890,1.253047,1.253718,1.273525,1.261824,1.258203,1.258444,1.248846,1.274565,1.238566,1.267092,1.267667,1.258243,1.254691,1.258618,1.238579,1.275343,1.260460,1.237855,1.239551,1.277731,1.277273,1.262761,1.272702,1.263180,1.263594,1.255752,1.260407,1.253165,1.267390,1.259663,1.262770,1.269239,1.277309,1.253777,1.255010,1.264818,1.251943,1.246147,1.272695,1.253955,1.247744,1.258336,1.268605,1.263825,1.245934,1.262534,1.237751,1.244288,1.262010,1.253576,1.240283,1.251179,1.265933,1.263574,1.249068,1.270995,1.268534,1.273154,1.265647,1.262206,1.272960,1.235491,1.243566,1.248953,1.254721,1.266681,1.259010,1.259574,1.252061,1.255916,1.249894,1.248117,1.258484,1.245254,1.248636,1.270956,1.259446,1.261296,1.233246,1.284762,1.249489,1.251745,1.259587,1.257981,1.249651,1.298071,1.266380,1.264913,1.264583,1.266680,1.252429,1.266318,1.270876,1.263816,1.261019,1.272104,1.259053,1.254273,1.262539,1.270271,1.252172,1.272566,1.258955,1.241544,1.255971,1.261785,1.250875,1.250790,1.242364,1.265786,1.255818,1.260191,1.262180,1.249673
BB OD,,m,0.04017,0.03808,0.03864,0.03888,0.03881,0.03906,0.03771,0.03873,0.03781,0.03847,0.03861,0.03855,0.03949,0.03826,0.03947,0.03858,0.0384,0.03953,0.03857,0.03987,0.03907,0.03926,0.03834,0.03922,0.03895,0.03969,0.03956,0.03841,0.03917,0.03889,0.03989,0.03987,0.03886,0.03966,0.03921,0.03833,0.03866,0.03804,0.03893,0.0379,0.03752,0.03961,0.03939,0.03848,0.03867,0.03918,0.03857,0.03929,0.03889,0.03954,0.03883,0.03963,0.03939,0.03875,0.03893,0.03894,0.03893,0.03885,0.03824,0.03962,0.03921,0.03926,0.03845,0.03825,0.03825,0.03896,0.03768,0.03853,0.0394,0.03809,0.03834,0.03911,0.04002,0.03921,0.03976,0.03886,0.03876,0.03916,0.0388,0.03936,0.03776,0.03924,0.0389,0.03942,0.03859,0.03904,0.03895,0.03995,0.03883,0.03918,0.03951,0.03792,0.03917,0.03909,0.03807,0.03958,0.03861,0.03879,0.03846,0.03875,0.03872,0.03903,0.03752,0.03833,0.03927,0.03999,0.0385,0.03796,0.03997,0.03923,0.03739,0.03972,0.03837,0.03915,0.03857,0.03805,0.03934,0.03827,0.03953,0.03892,0.03821,0.03807,0.03823,0.03865,0.03976,0.03953,0.03909,0.03952,0.03778,0.03946,0.03915,0.03923,0.03806,0.03771,0.03797,0.0389,0.03686,0.03798,0.03962,0.0399,0.03938,0.0391,0.03856,0.03873,0.03855,0.03859,0.03954,0.03958,0.03882,0.03854,0.03974,0.03885,0.03926,0.03955,0.03897,0.03896,0.0385,0.03887,0.03799,0.03867,0.03838,0.03907,0.0394,0.03851,0.03923,0.03865,0.03944,0.0386,0.03875,0.03966,0.03935,0.03842,0.03952,0.03828,0.03899,0.04014,0.03878,0.03829,0.03797,0.03811,0.03851,0.03856,0.03826,0.03853,0.03882,0.03725,0.0387,0.03912,0.03961,0.03821,0.03875,0.03937,0.03978,0.03943,0.03985,0.039,0.03739,0.03922,0.03823,0.03882,0.03923,0.03876,0.0385,0.03968,0.03994,0.03941,0.03876,0.03923
TT OD,,m,0.03705,0.03153,0.02644,0.03653,0.03511,0.03235,0.04203,0.04345,0.02959,0.0343,0.03666,0.03359,0.02939,0.03855,0.02973,0.04265,0.02925,0.03089,0.03584,0.03515,0.03689,0.02736,0.03434,0.02969,0.04585,0.02944,0.03007,0.03619,0.03396,0.03199,0.02968,0.02953,0.0383,0.04595,0.02966,0.03068,0.04312,0.03803,0.03666,0.03264,0.03177,0.04172,0.036,0.0375,0.03444,0.03564,0.03227,0.02936,0.03947,0.04385,0.04048,0.02969,0.03521,0.02961,0.03749,0.0401,0.04298,0.03601,0.03321,0.03071,0.03341,0.03785,0.03576,0.03299,0.03349,0.03175,0.03095,0.03233,0.0278,0.02853,0.03807,0.03242,0.02855,0.02934,0.02994,0.03104,0.04551,0.03331,0.0355,0.02949,0.03326,0.04255,0.02944,0.03891,0.03543,0.0327,0.03307,0.04004,0.03124,0.03491,0.02957,0.03214,0.04377,0.0397,0.04664,0.02868,0.03344,0.03408,0.03481,0.03963,0.03193,0.02921,0.03546,0.02942,0.03519,0.02901,0.03346,0.03053,0.04021,0.03123,0.02972,0.0432,0.03677,0.02998,0.02977,0.03399,0.02957,0.03378,0.03691,0.02976,0.03491,0.03504,0.03459,0.04075,0.03063,0.0303,0.03328,0.02847,0.03565,0.03301,0.04185,0.03745,0.03432,0.03052,0.03677,0.03604,0.03546,0.03261,0.02943,0.02906,0.03997,0.04562,0.03157,0.02994,0.03367,0.0394,0.0286,0.03361,0.03923,0.03538,0.03036,0.02892,0.03135,0.03095,0.03228,0.04366,0.03875,0.03717,0.03271,0.0354,0.03198,0.03407,0.03966,0.03586,0.03534,0.03359,0.03081,0.0357,0.04015,0.02964,0.03422,0.03608,0.04014,0.02973,0.04316,0.03142,0.03295,0.02976,0.0373,0.03178,0.03523,0.03213,0.02818,0.02809,0.02869,0.03281,0.03045,0.02965,0.03603,0.03132,0.04048,0.02705,0.0309,0.03328,0.02836,0.02854,0.03209,0.04627,0.03019,0.0395,0.04296,0.03903,0.03507,0.02896,0.02785,0.02896,0.02818,0.03799
HT OD,,m,0.04917,0.0439,0.04251,0.04856,0.04318,0.04311,0.05521,0.05538,0.04367,0.04273,0.04955,0.04374,0.04356,0.04259,0.04449,0.05602,0.0463,0.04361,0.04282,0.04686,0.05185,0.04255,0.04306,0.04612,0.05784,0.04362,0.04565,0.04321,0.0492,0.04737,0.04442,0.04386,0.05155,0.05608,0.04647,0.04849,0.04957,0.0505,0.05255,0.04302,0.04268,0.05522,0.04996,0.04276,0.04323,0.05025,0.04342,0.04339,0.05285,0.05606,0.0543,0.04483,0.04929,0.04543,0.05216,0.05283,0.05452,0.04553,0.04261,0.04495,0.04431,0.0518,0.04829,0.04565,0.04263,0.0431,0.04279,0.04321,0.04282,0.04328,0.04263,0.04819,0.04287,0.04343,0.04492,0.0484,0.05628,0.04706,0.04861,0.04348,0.04265,0.05652,0.04343,0.05202,0.04288,0.04875,0.04339,0.04915,0.04715,0.04735,0.04517,0.04739,0.05614,0.05344,0.05879,0.04465,0.05094,0.04291,0.04257,0.05251,0.04311,0.04425,0.04248,0.04323,0.04972,0.04318,0.04549,0.04277,0.0509,0.0472,0.04312,0.05475,0.04441,0.04594,0.04481,0.04244,0.04395,0.04871,0.04952,0.0432,0.04906,0.0425,0.04287,0.05387,0.04382,0.04452,0.04896,0.04451,0.04237,0.04849,0.05495,0.05045,0.05238,0.04278,0.04249,0.05157,0.04312,0.04294,0.044,0.04303,0.05319,0.05667,0.04282,0.04317,0.04311,0.05127,0.04298,0.04847,0.0518,0.04471,0.04497,0.04302,0.04323,0.04402,0.04517,0.05328,0.04984,0.04416,0.04494,0.04292,0.04226,0.04811,0.05333,0.04945,0.04778,0.04493,0.04563,0.04667,0.05195,0.04439,0.04485,0.0505,0.05166,0.0467,0.05614,0.04613,0.04311,0.0426,0.04967,0.04728,0.04294,0.04393,0.04452,0.04301,0.04431,0.04379,0.04447,0.04397,0.04917,0.04784,0.05508,0.04286,0.04604,0.04595,0.04302,0.04299,0.0432,0.0571,0.04299,0.05321,0.05545,0.04308,0.04524,0.04299,0.0427,0.04434,0.04348,0.05122
DT OD,,m,0.04783,0.03996,0.03456,0.03958,0.03931,0.03984,0.05047,0.05006,0.03762,0.03774,0.03839,0.04465,0.03723,0.0469,0.03774,0.05448,0.03698,0.03948,0.04117,0.04287,0.04135,0.03602,0.04194,0.03737,0.05352,0.03731,0.03821,0.03701,0.04672,0.03777,0.03874,0.03766,0.04248,0.05732,0.03842,0.03774,0.04908,0.04825,0.04444,0.04129,0.04135,0.05079,0.04072,0.04694,0.03582,0.04146,0.03946,0.03684,0.04779,0.05429,0.049,0.03766,0.04152,0.03726,0.0425,0.04364,0.05288,0.04083,0.04173,0.03775,0.0404,0.05042,0.03712,0.03656,0.04168,0.04,0.04223,0.03534,0.03608,0.03649,0.04437,0.03959,0.03699,0.03709,0.03949,0.0401,0.05551,0.03733,0.03761,0.03723,0.04202,0.05031,0.03671,0.04445,0.04413,0.04101,0.04038,0.05189,0.03731,0.03749,0.03765,0.03704,0.0513,0.05111,0.05783,0.03703,0.04684,0.04131,0.03929,0.05046,0.0354,0.03672,0.04696,0.03745,0.04706,0.0375,0.03634,0.03968,0.05042,0.03955,0.03877,0.05364,0.03737,0.03736,0.03744,0.03755,0.03717,0.03721,0.04907,0.03612,0.03747,0.04386,0.04147,0.05617,0.03805,0.03758,0.04375,0.03674,0.04283,0.04099,0.04918,0.04077,0.04531,0.03985,0.04592,0.04054,0.04437,0.04116,0.0384,0.0372,0.04419,0.05423,0.03897,0.03565,0.03553,0.04447,0.03652,0.04159,0.04192,0.04252,0.03794,0.03623,0.03914,0.03902,0.03901,0.05161,0.04054,0.04518,0.03667,0.04157,0.03713,0.03761,0.04595,0.0409,0.03765,0.03613,0.03762,0.03675,0.04447,0.03743,0.04193,0.03943,0.04923,0.03736,0.0563,0.04174,0.0419,0.03548,0.03759,0.04004,0.0422,0.03724,0.03599,0.03593,0.03717,0.04195,0.0378,0.0374,0.04757,0.03728,0.04864,0.03522,0.0419,0.04009,0.03724,0.03608,0.04088,0.05598,0.03509,0.05449,0.0527,0.04658,0.03609,0.03689,0.0365,0.03718,0.03625,0.04237
