Design Study 1
Scenarios/Iterations:, 228
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219,Scenario 220,Scenario 221,Scenario 222,Scenario 223,Scenario 224,Scenario 225,Scenario 226,Scenario 227,Scenario 228
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.349551,0.409785,0.406610,0.401052,0.315369,0.392851,0.358121,0.399308,0.407550,0.396284,0.402170,0.402125,0.394871,0.394839,0.402023,0.381702,0.380094,0.399851,0.400660,0.354678,0.361897,0.392790,0.405372,0.398358,0.331833,0.399087,0.387000,0.432123,0.399281,0.364700,0.438390,0.373433,0.413051,0.395688,0.371341,0.371291,0.408772,0.386101,0.376998,0.403235,0.407073,0.402966,0.379120,0.403672,0.400578,0.409865,0.394497,0.381613,0.414424,0.366033,0.405865,0.402635,0.416574,0.400254,0.403477,0.408850,0.350831,0.408328,0.403491,0.401554,0.405389,0.342701,0.379057,0.413198,0.402531,0.401877,0.404012,0.392326,0.389803,0.434926,0.406772,0.396349,0.339756,0.359068,0.357108,0.376183,0.390763,0.416269,0.347559,0.342804,0.354759,0.407101,0.411401,0.393420,0.458438,0.394156,0.395081,0.373668,0.373822,0.402317,0.380452,0.375791,0.446519,0.456622,0.413406,0.401933,0.389921,0.395335,0.405655,0.408802,0.410528,0.411009,0.411801,0.393789,0.414249,0.402469,0.400062,0.374557,0.402141,0.363954,0.426320,0.404180,0.408484,0.351601,0.359137,0.395108,0.366212,0.395736,0.419098,0.437840,0.399410,0.390762,0.400351,0.374130,0.330405,0.392088,0.366509,0.433403,0.401688,0.408428,0.382826,0.405684,0.373875,0.413569,0.362702,0.324372,0.397625,0.395407,0.412444,0.397946,0.406865,0.409937,0.366896,0.387268,0.405945,0.380218,0.371620,0.347868,0.364984,0.376938,0.399846,0.406019,0.317292,0.405261,0.474680,0.406156,0.404431,0.406776,0.406049,0.406837,0.398570,0.402317,0.406802,0.364916,0.408078,0.408882,0.399834,0.417711,0.360872,0.387140,0.400145,0.433196,0.395760,0.404904,0.337920,0.409299,0.402551,0.369045,0.408047,0.404018,0.385846,0.419307,0.399948,0.401373,0.391400,0.415159,0.397720,0.423750,0.340507,0.399562,0.358301,0.414487,0.396409,0.363591,0.403085,0.364788,0.386504,0.331374,0.395623,0.402548,0.403877,0.320580,0.367776,0.398902,0.403384,0.379122,0.342546,0.402378,0.401623,0.401908,0.407380,0.393528,0.420006,0.406023,0.435265,0.393241,0.405008,0.368700,0.343079,0.396197,0.394095,0.386499,0.419832,0.385087,0.402464,0.395350,0.414128,0.392190
BB Drop,,N/A,0.046941,-0.016193,0.042407,0.049981,0.066855,-0.062425,0.034164,-0.000022,0.037517,0.061906,0.047730,0.002616,0.052095,0.049252,0.041910,0.055629,0.009540,0.022889,0.016947,0.064381,-0.021045,-0.005977,0.028910,0.049940,0.041792,-0.039202,0.061200,0.033957,0.045145,0.055457,-0.011366,0.048495,0.015024,0.036637,0.031935,-0.002860,-0.012057,0.057107,0.011031,-0.010029,0.052860,0.048677,0.070185,0.024712,0.055456,0.042737,0.049272,0.046010,0.007647,0.040810,-0.001758,0.051441,0.052380,0.041947,0.077841,-0.000896,0.051184,-0.014724,0.052098,0.067064,0.059333,0.058928,-0.021821,-0.006466,0.035155,0.016481,0.077924,0.044269,0.028516,0.038125,0.029524,0.051287,0.031586,-0.036316,-0.001329,-0.015319,0.014722,0.017951,0.040989,-0.019813,-0.028160,-0.004044,0.050865,0.021179,0.014931,0.044006,0.033194,0.045548,0.016839,0.016945,0.063178,0.015632,0.008059,0.039703,0.044461,0.045512,0.080636,0.027692,0.029747,0.031480,0.036013,0.006735,0.026518,0.057610,0.017888,0.040277,0.062521,0.048559,0.001556,0.051743,0.001940,0.037880,0.046146,0.008393,-0.021112,-0.007368,0.040318,0.006000,0.045964,0.048936,0.050653,0.051172,0.024482,0.054129,-0.013245,-0.039622,0.009165,-0.008324,0.050790,0.074905,0.051115,0.025557,0.050662,-0.009104,0.047852,-0.015346,-0.044113,0.076743,0.040147,0.039751,0.027362,0.056379,0.050662,0.002242,0.022892,0.048244,0.013165,-0.005760,-0.022506,-0.019096,0.013462,0.049828,0.049460,-0.064140,0.050128,0.036510,0.048642,0.051579,0.046589,0.049785,0.044864,0.040967,0.057170,0.047371,-0.001100,0.049022,0.058845,0.051203,0.041156,-0.005133,0.015300,0.068881,0.039857,0.014965,0.058696,-0.029285,0.049417,0.049624,-0.001144,0.040425,0.061166,0.019357,0.044146,0.023331,0.031543,0.019551,0.047613,-0.001030,0.049381,-0.037919,0.047733,-0.006410,0.047649,0.028467,-0.020483,0.052288,-0.017235,0.006512,-0.035653,0.047202,0.044654,0.051832,-0.065857,0.007957,0.052215,0.061921,0.020603,-0.030068,0.061421,0.063875,0.061117,0.051745,0.037529,0.048483,0.052856,0.047126,0.028434,0.058658,0.006063,-0.031045,0.042483,0.041061,0.007578,0.047779,0.031630,0.056241,0.025486,0.052300,0.036709
Stack,,m,0.56549,0.55646,0.56639,0.56242,0.56441,0.55326,0.56238,0.55615,0.56357,0.56395,0.55795,0.55951,0.5634,0.56165,0.56158,0.56304,0.55953,0.55752,0.56123,0.56433,0.55815,0.56144,0.56126,0.56173,0.56297,0.55364,0.55771,0.55873,0.5795,0.56399,0.55876,0.56671,0.55894,0.566,0.55754,0.55911,0.55807,0.56331,0.5575,0.55636,0.56915,0.5593,0.56176,0.56188,0.56315,0.5626,0.56054,0.56355,0.5578,0.57477,0.56001,0.56302,0.56373,0.57553,0.56448,0.56062,0.56424,0.55806,0.55954,0.56472,0.56399,0.56562,0.55852,0.55607,0.56221,0.5567,0.561,0.56417,0.55858,0.55874,0.56434,0.56407,0.56343,0.55511,0.55813,0.55707,0.55645,0.56109,0.56262,0.55807,0.55747,0.55627,0.56284,0.55826,0.55914,0.58001,0.56204,0.56208,0.56189,0.56082,0.56211,0.55731,0.56124,0.56934,0.55773,0.57105,0.56251,0.56278,0.56093,0.55905,0.56058,0.56191,0.56266,0.55912,0.56111,0.55951,0.56041,0.56083,0.56015,0.56152,0.55652,0.56442,0.56562,0.56121,0.55492,0.56064,0.56159,0.56036,0.56519,0.56985,0.56224,0.5629,0.55864,0.5633,0.5578,0.5564,0.55547,0.55609,0.56079,0.55915,0.55954,0.55582,0.56646,0.55584,0.5805,0.55725,0.55502,0.55957,0.56223,0.5642,0.55866,0.55998,0.56197,0.5598,0.55993,0.56447,0.56228,0.5578,0.55924,0.55375,0.55196,0.56049,0.56479,0.55493,0.56441,0.56765,0.56229,0.57406,0.5653,0.5631,0.56132,0.55166,0.56506,0.56498,0.55904,0.56951,0.56265,0.56105,0.56955,0.55585,0.56153,0.56491,0.56305,0.55992,0.56132,0.55616,0.56918,0.56838,0.56164,0.56555,0.56507,0.55504,0.57365,0.56217,0.56293,0.55991,0.56102,0.5585,0.57219,0.55502,0.56138,0.55871,0.56093,0.56211,0.55366,0.57007,0.55811,0.55925,0.55382,0.55366,0.56563,0.56413,0.55335,0.56001,0.56469,0.56409,0.55966,0.55854,0.56425,0.56174,0.56353,0.56117,0.5614,0.56484,0.56263,0.56775,0.55826,0.56393,0.56048,0.55794,0.56228,0.55805,0.55462,0.56454,0.56099,0.56415,0.56238,0.5523,0.56185
SS E,,N/A,0.209030,0.034707,0.044739,0.060529,0.047762,0.018281,0.044222,0.045430,0.042050,0.058542,0.059663,0.023862,0.054170,0.047966,0.048663,0.051721,0.034360,0.049085,0.031325,0.051531,0.026523,0.037914,0.042908,0.115799,0.045201,0.026398,0.071583,0.052720,0.059078,0.048742,0.027024,0.081806,0.048262,0.041071,0.052290,0.031840,0.025553,0.065550,0.038621,0.026286,0.047177,0.058105,0.063253,0.041551,0.090977,0.042887,0.058877,0.043273,0.038203,0.054651,0.037040,0.061880,0.056305,0.054436,0.048543,0.018763,0.060585,0.034572,0.141684,0.051818,0.052038,0.054356,0.037700,0.029623,0.043174,0.036985,0.059665,0.049033,0.042139,0.053367,0.039080,0.061451,0.039481,0.023451,0.043409,0.029706,0.046476,0.035139,0.047673,0.034476,0.030791,0.048011,0.079714,0.038884,0.034589,0.049581,0.040477,0.048601,0.040801,0.041641,0.107613,0.047035,0.039287,0.045400,0.133446,0.058064,0.056532,0.040667,0.041091,0.043798,0.047816,0.023643,0.038314,0.109293,0.034585,0.074805,0.073893,0.055478,0.032670,0.091832,0.042770,0.047197,0.050978,0.025015,0.029330,0.037748,0.048580,0.041186,0.042199,0.050936,0.109608,0.050541,0.044555,0.052190,0.021379,0.029731,0.039979,0.032920,0.145286,0.079816,0.151249,0.054757,0.051206,0.025961,0.053921,0.026663,0.030958,0.074150,0.042553,0.055252,0.047048,0.111423,0.127081,0.039778,0.044371,0.055522,0.037591,0.029166,0.032696,0.024196,0.054892,0.055677,0.054740,0.017615,0.054238,0.044297,0.104637,0.046738,0.050344,0.118096,0.096079,0.101628,0.046887,0.051481,0.036054,0.054935,0.066500,0.054808,0.043106,0.043017,0.034803,0.045604,0.052170,0.033695,0.111737,0.031492,0.057280,0.045948,0.035718,0.042794,0.051359,0.048743,0.049804,0.035253,0.039724,0.038772,0.058582,0.019763,0.056143,0.021838,0.051779,0.035892,0.075087,0.038708,0.030895,0.045655,0.025067,0.031717,0.033064,0.090433,0.044963,0.049789,0.015168,0.045214,0.044250,0.059932,0.046314,0.029258,0.051364,0.058758,0.049461,0.129190,0.047600,0.058880,0.116539,0.051688,0.048386,0.055158,0.043164,0.031911,0.044710,0.055748,0.032772,0.049026,0.046084,0.052644,0.036793,0.184676,0.047058
ST Angle,,N/A,1.293070,1.277766,1.258785,1.279437,1.292024,1.268757,1.273896,1.322679,1.267349,1.260505,1.331222,1.204812,1.290747,1.299412,1.280384,1.280543,1.260040,1.289615,1.238652,1.287492,1.269545,1.296449,1.271231,1.329520,1.272334,1.273596,1.353913,1.292593,1.236950,1.286929,1.259311,1.249995,1.280723,1.246330,1.274506,1.264497,1.249435,1.282931,1.257421,1.236175,1.277121,1.279832,1.330242,1.293730,1.327593,1.274757,1.275534,1.291688,1.255515,1.233212,1.278052,1.283151,1.291045,1.233684,1.314701,1.203626,1.273617,1.279729,1.356152,1.289221,1.288525,1.284163,1.319905,1.234266,1.239237,1.239154,1.343766,1.265969,1.264487,1.296763,1.227988,1.276439,1.267974,1.268406,1.298627,1.265664,1.287197,1.257436,1.240439,1.288330,1.278475,1.307415,1.281237,1.209177,1.246124,1.230199,1.270429,1.297013,1.299877,1.294269,1.340561,1.274537,1.276911,1.240839,1.266563,1.248476,1.335127,1.276286,1.267597,1.239995,1.258261,1.205423,1.234033,1.321753,1.249767,1.261585,1.331633,1.285081,1.267069,1.336667,1.291257,1.241696,1.277086,1.207048,1.265293,1.280874,1.278308,1.299451,1.300603,1.258470,1.271670,1.293333,1.260085,1.290305,1.238246,1.286005,1.225998,1.264743,1.274979,1.361172,1.348666,1.300473,1.266989,1.246069,1.247799,1.255871,1.295653,1.362501,1.277045,1.240509,1.247307,1.348588,1.304737,1.278166,1.268188,1.273276,1.277516,1.255722,1.289794,1.243528,1.298991,1.298421,1.279851,1.267495,1.280248,1.227678,1.292417,1.275635,1.261992,1.307723,1.278519,1.343450,1.280619,1.261901,1.276651,1.262964,1.290860,1.300901,1.250760,1.276481,1.263963,1.295408,1.246528,1.241479,1.351387,1.281397,1.261206,1.273571,1.279661,1.259202,1.284575,1.275569,1.243518,1.247624,1.259953,1.255785,1.267930,1.210821,1.252253,1.261362,1.285630,1.277915,1.270544,1.259498,1.235710,1.278143,1.253986,1.246761,1.290486,1.368554,1.268752,1.280131,1.259775,1.286394,1.302180,1.299150,1.278874,1.282116,1.286351,1.317828,1.285075,1.340663,1.277602,1.235620,1.327434,1.252975,1.254749,1.283565,1.283061,1.275072,1.275296,1.303692,1.241302,1.263157,1.285192,1.283759,1.261736,1.377132,1.282548
BB OD,,m,0.04017,0.03754,0.03885,0.03849,0.0389,0.03633,0.03853,0.03749,0.03872,0.03944,0.03834,0.03749,0.03932,0.03866,0.03848,0.03859,0.03811,0.03778,0.0381,0.03916,0.03746,0.03749,0.03873,0.03857,0.03866,0.03663,0.03837,0.0381,0.03853,0.03907,0.03777,0.03854,0.03772,0.03881,0.03787,0.03801,0.0375,0.03883,0.03749,0.03727,0.03918,0.03845,0.03883,0.03822,0.03876,0.03827,0.03856,0.039,0.03796,0.03866,0.03769,0.03884,0.03929,0.0387,0.03927,0.03733,0.03898,0.03792,0.03802,0.03903,0.03921,0.03906,0.03773,0.03734,0.03889,0.03725,0.03885,0.03849,0.03814,0.03819,0.03847,0.03871,0.03872,0.03694,0.03767,0.0376,0.03761,0.03833,0.03905,0.03775,0.03701,0.03716,0.03861,0.03795,0.03808,0.03887,0.03856,0.03877,0.03785,0.03855,0.0383,0.03751,0.03822,0.03878,0.03795,0.03863,0.0389,0.03885,0.0386,0.03842,0.03801,0.03763,0.03829,0.03841,0.03819,0.03804,0.03842,0.03856,0.03815,0.03838,0.03743,0.03843,0.0389,0.03766,0.03706,0.03784,0.03844,0.03846,0.03917,0.03883,0.03871,0.03865,0.03836,0.03895,0.03729,0.03722,0.03754,0.03734,0.03786,0.03846,0.03789,0.03769,0.03907,0.03723,0.03882,0.03749,0.03676,0.03798,0.03854,0.03808,0.0384,0.03835,0.03833,0.0378,0.03848,0.0391,0.03815,0.03769,0.03764,0.03666,0.03702,0.03853,0.03883,0.03626,0.039,0.03854,0.03893,0.03931,0.03885,0.03875,0.03884,0.0377,0.03906,0.03884,0.03801,0.03903,0.03882,0.03848,0.03885,0.03692,0.03851,0.03923,0.03821,0.03794,0.03835,0.03737,0.03893,0.03909,0.03754,0.03889,0.03916,0.03729,0.03892,0.03836,0.0389,0.03789,0.03846,0.03716,0.03879,0.03688,0.03869,0.03812,0.03855,0.03845,0.03683,0.03917,0.03744,0.03799,0.03684,0.0378,0.03903,0.03869,0.03582,0.03792,0.03924,0.03901,0.03798,0.03721,0.03908,0.03841,0.03851,0.03831,0.03834,0.03937,0.0386,0.03873,0.03833,0.03866,0.03784,0.03685,0.03899,0.03797,0.03719,0.03864,0.03779,0.03932,0.03848,0.03756,0.03782
TT OD,,m,0.03705,0.02836,0.02908,0.02745,0.02866,0.02824,0.02876,0.02833,0.02908,0.03454,0.02855,0.03611,0.02769,0.02883,0.02904,0.02789,0.02919,0.0285,0.02963,0.02861,0.02964,0.02954,0.03188,0.02741,0.02891,0.02825,0.02848,0.02875,0.02815,0.02873,0.02904,0.02785,0.02884,0.02954,0.02842,0.02927,0.02963,0.02811,0.02851,0.03592,0.02926,0.02839,0.02843,0.02939,0.02799,0.02832,0.02839,0.02905,0.03574,0.02899,0.02911,0.02779,0.02776,0.02895,0.02851,0.03339,0.02829,0.0287,0.02776,0.02871,0.02811,0.02854,0.02879,0.0377,0.03384,0.02889,0.02839,0.02904,0.03577,0.02875,0.02998,0.02744,0.02973,0.02875,0.02838,0.02869,0.02838,0.02955,0.03416,0.0288,0.02872,0.02828,0.02762,0.03996,0.03472,0.02906,0.02884,0.02867,0.02945,0.0289,0.02783,0.02828,0.03055,0.0294,0.02799,0.02852,0.02819,0.02971,0.03259,0.0367,0.02868,0.03261,0.02967,0.02822,0.0294,0.02812,0.02849,0.02859,0.03056,0.02725,0.02825,0.02901,0.02783,0.03466,0.02824,0.0309,0.02896,0.02896,0.02922,0.02861,0.02825,0.02894,0.03632,0.02869,0.02947,0.0285,0.04211,0.02845,0.02717,0.02827,0.02746,0.02846,0.02858,0.02879,0.02821,0.0289,0.02821,0.02777,0.03107,0.02924,0.03848,0.02817,0.02775,0.02888,0.0341,0.02789,0.02965,0.02908,0.02909,0.02852,0.02816,0.02867,0.02806,0.02901,0.02808,0.02954,0.02763,0.02784,0.02933,0.02791,0.02669,0.02837,0.02849,0.02864,0.02897,0.02819,0.0282,0.02872,0.02924,0.02835,0.02976,0.02865,0.02867,0.02933,0.02803,0.02844,0.02791,0.02892,0.02949,0.0292,0.02853,0.02829,0.02911,0.02957,0.0307,0.02881,0.02837,0.03471,0.02834,0.02862,0.02854,0.02878,0.02829,0.02924,0.04091,0.02923,0.02972,0.03355,0.02796,0.02843,0.02931,0.02812,0.03231,0.02896,0.02891,0.02824,0.02868,0.02907,0.02831,0.02854,0.02821,0.02792,0.029,0.03528,0.02808,0.0287,0.03975,0.02828,0.02906,0.03231,0.03164,0.02879,0.03934,0.02866,0.02919,0.02802,0.03064,0.02808,0.02929
HT OD,,m,0.04917,0.04286,0.04469,0.03433,0.0424,0.04228,0.04313,0.04253,0.04348,0.04173,0.04319,0.05096,0.03811,0.04433,0.04321,0.03938,0.04404,0.04263,0.04534,0.04349,0.04286,0.04286,0.04651,0.03934,0.04321,0.0428,0.04505,0.04284,0.04294,0.04448,0.04317,0.04513,0.04283,0.04553,0.04274,0.04318,0.04322,0.04572,0.04291,0.04871,0.0413,0.04395,0.04566,0.04308,0.04242,0.04532,0.04463,0.04414,0.04965,0.04217,0.04317,0.0377,0.0394,0.04214,0.04594,0.04866,0.04502,0.04284,0.04421,0.04239,0.04085,0.04058,0.04266,0.05085,0.04884,0.04478,0.04638,0.04283,0.04741,0.04295,0.04687,0.0422,0.0438,0.04271,0.04262,0.04304,0.04254,0.04465,0.04894,0.04267,0.04284,0.04242,0.03606,0.0543,0.04853,0.046,0.04381,0.04357,0.04291,0.04304,0.04265,0.04249,0.04507,0.04753,0.04598,0.04318,0.04561,0.04409,0.0463,0.0502,0.04336,0.0481,0.04566,0.04629,0.04469,0.04386,0.04541,0.04382,0.04358,0.03956,0.04245,0.04495,0.03323,0.04878,0.04282,0.04494,0.04317,0.04303,0.04322,0.04622,0.047,0.04348,0.05017,0.04489,0.04396,0.04231,0.05554,0.04289,0.04732,0.04593,0.04314,0.04271,0.04314,0.0432,0.04265,0.04313,0.04249,0.04346,0.04305,0.04021,0.0518,0.04495,0.0439,0.043,0.04873,0.03742,0.04312,0.04327,0.04265,0.04299,0.04224,0.04395,0.03497,0.04223,0.03606,0.04867,0.0361,0.03905,0.04157,0.03958,0.03324,0.04298,0.03964,0.04381,0.04322,0.04161,0.0458,0.04452,0.04711,0.04247,0.0438,0.04267,0.04438,0.04472,0.04326,0.04265,0.04271,0.04325,0.04289,0.04489,0.0407,0.04251,0.04387,0.04494,0.04627,0.04312,0.04488,0.04803,0.04529,0.04273,0.04347,0.04301,0.04501,0.0441,0.0538,0.04161,0.04308,0.04727,0.04243,0.04318,0.04302,0.03681,0.04301,0.04293,0.04444,0.04444,0.04282,0.0427,0.04108,0.04499,0.04074,0.0432,0.04311,0.04335,0.04285,0.04627,0.0519,0.04069,0.04296,0.04585,0.04672,0.04313,0.05055,0.04643,0.043,0.03982,0.04432,0.04733,0.04265
DT OD,,m,0.04783,0.03707,0.03753,0.03738,0.03746,0.03837,0.03712,0.03641,0.03762,0.06327,0.03622,0.06178,0.03665,0.03698,0.0372,0.03714,0.04071,0.03659,0.04334,0.03693,0.04787,0.04133,0.0504,0.03617,0.0372,0.03749,0.03616,0.03652,0.03707,0.03694,0.03945,0.03636,0.03695,0.0407,0.03654,0.04191,0.04826,0.0361,0.03728,0.06516,0.04302,0.03623,0.03633,0.03873,0.03638,0.03672,0.03623,0.03726,0.06185,0.04001,0.03972,0.03706,0.03656,0.03981,0.03684,0.0537,0.0362,0.03742,0.03564,0.03742,0.03686,0.03766,0.03726,0.06883,0.053,0.03774,0.03647,0.04033,0.0627,0.03646,0.0434,0.03624,0.04277,0.0409,0.03665,0.03798,0.03663,0.04274,0.05546,0.03759,0.03876,0.03639,0.03733,0.06898,0.05807,0.03866,0.0373,0.03676,0.03999,0.0372,0.0363,0.03671,0.04891,0.03873,0.03564,0.03711,0.03651,0.04246,0.05152,0.06262,0.03714,0.05038,0.04284,0.03578,0.04167,0.03625,0.03618,0.0365,0.04837,0.03631,0.0366,0.03767,0.03769,0.05588,0.03733,0.05156,0.03731,0.03732,0.03768,0.03688,0.03591,0.03742,0.06198,0.03679,0.04693,0.03746,0.07634,0.03717,0.03528,0.03627,0.0355,0.0363,0.03698,0.03903,0.03714,0.04092,0.03699,0.03627,0.04865,0.04762,0.06613,0.03593,0.03575,0.03774,0.05641,0.03697,0.04297,0.04184,0.04032,0.03966,0.03619,0.03645,0.03806,0.04575,0.03758,0.04019,0.03685,0.03679,0.04308,0.03657,0.03599,0.03571,0.03746,0.03705,0.03838,0.03693,0.03609,0.03663,0.03781,0.03692,0.04434,0.03716,0.03715,0.04104,0.03612,0.03731,0.03662,0.03728,0.04258,0.03777,0.03743,0.03654,0.03815,0.04226,0.04556,0.0378,0.03636,0.05848,0.03679,0.04069,0.03656,0.03743,0.03608,0.03933,0.07801,0.04188,0.04913,0.05618,0.0365,0.03587,0.03956,0.03772,0.06334,0.03739,0.0372,0.03629,0.03702,0.0418,0.03713,0.03657,0.03744,0.03588,0.03744,0.06344,0.03612,0.03705,0.07039,0.03741,0.03776,0.06082,0.05148,0.03645,0.07351,0.03685,0.0378,0.03686,0.04602,0.03517,0.04022
