Design Study 1
Scenarios/Iterations:, 202
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.398746,0.448426,0.393626,0.443048,0.394308,0.408551,0.485376,0.397391,0.412663,0.378542,0.403060,0.412634,0.423360,0.393643,0.480678,0.415592,0.413853,0.416071,0.409070,0.427167,0.411975,0.408397,0.402465,0.388693,0.414305,0.390818,0.387824,0.404427,0.456797,0.408690,0.393730,0.412371,0.465832,0.395865,0.408653,0.412777,0.408952,0.397416,0.399554,0.398208,0.407101,0.404127,0.406187,0.383033,0.408521,0.394022,0.396156,0.407998,0.404465,0.409098,0.448830,0.390685,0.402124,0.401848,0.413906,0.489872,0.477428,0.404206,0.451732,0.409014,0.411320,0.412601,0.406442,0.409004,0.401560,0.395750,0.390760,0.415664,0.405836,0.434087,0.372149,0.399099,0.398464,0.424589,0.391450,0.406989,0.390894,0.404721,0.482429,0.396224,0.412106,0.442487,0.391986,0.437119,0.406974,0.409183,0.438967,0.415375,0.407618,0.378239,0.448238,0.391688,0.449617,0.378577,0.407355,0.412039,0.404117,0.414126,0.389588,0.409179,0.406292,0.427328,0.384381,0.408934,0.411035,0.468448,0.407657,0.396216,0.391887,0.391505,0.395400,0.400448,0.398989,0.410034,0.388991,0.401708,0.408059,0.487927,0.516533,0.396008,0.422881,0.411095,0.509147,0.379326,0.405485,0.389987,0.402089,0.385996,0.409026,0.402699,0.370114,0.455181,0.517140,0.377121,0.406845,0.389660,0.405106,0.408907,0.438113,0.407495,0.438061,0.410657,0.403507,0.411398,0.433606,0.386074,0.404411,0.400517,0.390864,0.511467,0.392918,0.410654,0.426178,0.387315,0.456427,0.401714,0.407073,0.427924,0.390483,0.414368,0.412399,0.410282,0.378500,0.417704,0.405754,0.400464,0.445019,0.408264,0.424565,0.409804,0.387461,0.399053,0.383274,0.416762,0.400983,0.397983,0.431409,0.395700,0.410009,0.403213,0.443163,0.409448,0.394833,0.413054,0.382610,0.442001,0.409866,0.412650,0.409023,0.408156,0.401186,0.405355,0.391000,0.406687,0.408089,0.488732,0.411229,0.380962,0.403928,0.400592,0.403523,0.402691,0.406423
BB Drop,,N/A,0.048876,0.049245,0.009893,0.048252,0.021033,0.040422,0.046899,0.026297,0.051024,-0.007135,0.029388,0.049587,0.040847,0.013320,0.048738,0.031326,0.049559,0.047621,0.043175,0.040970,0.038539,0.047433,0.028415,0.001213,0.044970,0.007929,0.007154,0.031411,0.048833,0.041492,0.018419,0.051966,0.042855,0.010083,0.041967,0.030977,0.045719,0.023925,0.025156,0.019584,0.043237,0.040385,0.046147,0.006828,0.044950,0.015823,0.027689,0.041871,0.038929,0.041544,0.051143,0.014754,0.024827,0.032608,0.051760,0.039931,0.044569,0.039234,0.027739,0.043671,0.040373,0.030805,0.040141,0.050619,0.051139,0.032978,0.020800,0.041975,0.030508,0.034991,-0.007124,0.038763,0.021402,0.037154,0.017020,0.032675,0.010730,0.050514,0.048310,0.010700,0.059876,0.051363,0.022133,0.035551,0.023850,0.049226,0.034920,0.026826,0.024658,-0.013626,0.051301,0.029403,0.048323,-0.011698,0.039504,0.051113,0.042756,0.045781,0.002718,0.050858,0.036281,0.043474,0.003012,0.046210,0.048422,0.047194,0.037291,0.020374,0.005583,0.000455,0.022749,0.027951,0.024080,0.022754,0.008151,0.033400,0.054479,0.046687,0.044323,0.025354,0.040043,0.048819,0.042974,0.001018,0.030745,-0.000635,0.033176,-0.000534,0.030090,0.033129,-0.014664,0.046794,0.047543,-0.001628,0.035812,0.006153,0.031893,0.039986,0.049382,0.045136,0.041891,0.024535,0.050172,0.051021,0.047397,-0.000451,0.020053,0.029070,0.009569,0.039760,0.012756,0.044073,0.046070,0.005318,0.051272,0.036801,0.046955,0.050016,0.007139,0.052102,0.047820,0.044989,-0.009349,0.041346,0.032552,0.018275,0.039771,0.046339,0.046385,0.042190,0.008576,0.020115,0.009568,0.048872,0.029750,0.012916,0.050240,0.026518,0.045509,0.036216,0.038354,0.040792,0.045143,0.051664,0.005092,0.042108,0.046430,0.049542,0.046238,0.033479,0.022658,0.046228,0.011168,0.040454,0.034736,0.050715,0.048325,-0.005825,0.025718,0.025869,0.033216,0.057694,0.033063
Stack,,m,0.55792,0.56635,0.56156,0.56383,0.56309,0.56504,0.56632,0.55839,0.56427,0.56019,0.56167,0.56294,0.5735,0.56269,0.56367,0.56251,0.56261,0.56708,0.56297,0.56363,0.56313,0.56459,0.56178,0.56009,0.5603,0.56088,0.56101,0.55997,0.56359,0.56346,0.55785,0.56269,0.56202,0.56379,0.56274,0.58289,0.56404,0.56413,0.56051,0.56337,0.56114,0.558,0.56348,0.55856,0.55883,0.55828,0.55939,0.5597,0.56413,0.56281,0.569,0.56137,0.56146,0.56356,0.56332,0.56588,0.56553,0.56093,0.58797,0.56178,0.56283,0.57631,0.55835,0.56268,0.56254,0.55874,0.55656,0.57096,0.56366,0.57207,0.55763,0.56125,0.56316,0.56627,0.55987,0.56289,0.55789,0.56179,0.56341,0.55923,0.56429,0.56736,0.56017,0.58101,0.58696,0.56359,0.58148,0.57529,0.56159,0.56043,0.56483,0.56493,0.5652,0.56071,0.56311,0.56332,0.55903,0.56205,0.55889,0.56521,0.56227,0.56302,0.55956,0.56435,0.56377,0.56567,0.56345,0.56203,0.56115,0.56059,0.56259,0.56257,0.5615,0.59034,0.56236,0.55903,0.56416,0.56347,0.56459,0.5627,0.57654,0.56176,0.57137,0.55988,0.56139,0.55938,0.56265,0.56013,0.5845,0.56408,0.55705,0.56514,0.56465,0.55834,0.57418,0.56366,0.58029,0.57001,0.56507,0.56665,0.56044,0.5636,0.56381,0.56266,0.56444,0.56183,0.56773,0.56117,0.55902,0.58124,0.56121,0.55822,0.56335,0.56652,0.56485,0.56148,0.56143,0.5644,0.5611,0.5651,0.56163,0.56152,0.55885,0.56365,0.57746,0.56117,0.56342,0.56317,0.56212,0.5642,0.56036,0.56074,0.56249,0.56617,0.5615,0.56232,0.56295,0.56007,0.56104,0.5588,0.56778,0.56419,0.56168,0.56391,0.55958,0.56866,0.56385,0.56438,0.56465,0.58051,0.5626,0.5626,0.56097,0.56419,0.56444,0.56311,0.56245,0.55854,0.56327,0.56125,0.56181,0.56251,0.56184
SS E,,N/A,0.059218,0.034687,0.037356,0.039157,0.050090,0.051480,0.037008,0.040508,0.038690,0.040627,0.036964,0.030454,0.046577,0.044062,0.034841,0.038438,0.048983,0.038623,0.037460,0.017731,0.033891,0.016215,0.040204,0.035419,0.006377,0.039894,0.041990,0.042907,0.029262,0.037460,0.040039,0.029076,0.013212,0.042054,0.042941,0.049606,0.034738,0.049881,0.043657,0.044472,0.046081,0.042945,0.020173,0.044233,0.011067,0.039419,0.044888,0.005344,0.026939,0.036553,0.043678,0.048494,0.043392,0.047866,0.037912,0.022503,0.029244,0.031239,0.033830,0.038114,0.042506,0.050321,0.009161,0.012831,0.011804,0.047302,0.040438,0.042674,0.043271,0.044431,0.044014,0.044108,0.045047,0.023313,0.043519,0.034750,0.032132,0.006977,0.033031,0.036293,0.030372,0.047137,0.047963,0.041926,0.037055,0.017131,0.044854,0.046607,0.030876,0.036386,0.038798,0.020944,0.034329,0.038203,0.041525,0.017131,0.019721,0.030509,0.029809,0.020056,0.039820,0.021315,0.041768,0.034706,0.040721,0.032902,0.034486,0.044074,0.034690,0.030354,0.045737,0.043820,0.044875,0.056760,0.044854,0.042203,0.033123,0.028106,0.018574,0.050295,0.043239,0.050401,0.042240,0.045988,0.043804,0.031489,0.048334,0.037554,0.050745,0.052436,0.036193,0.027888,0.037107,0.047585,0.052023,0.043512,0.052107,0.039454,0.027449,0.046994,0.010955,0.041347,0.024847,0.036367,0.050817,0.041494,0.042532,0.042280,0.032293,0.043571,0.040107,0.008824,0.025472,0.049471,0.038905,0.047763,0.017915,0.030964,0.040983,0.042263,0.010764,0.014701,0.034547,0.021890,0.051073,0.031104,0.017790,0.050639,0.028224,0.036290,0.039861,0.037462,0.049923,0.041601,0.043155,0.040819,0.040039,0.046581,0.013450,0.043553,0.029178,0.026160,0.024469,0.037082,0.041381,0.048879,0.035945,0.042097,0.035360,0.049547,0.041041,0.015705,0.042631,0.041876,0.043501,0.031632,0.037975,0.034345,0.039496,0.043803,0.044132,0.023919,0.038380
ST Angle,,N/A,1.270770,1.266662,1.252604,1.266685,1.245733,1.249467,1.263284,1.232647,1.278204,1.252833,1.274443,1.287085,1.254711,1.233232,1.263758,1.256538,1.276160,1.267411,1.279484,1.263027,1.264601,1.274861,1.269240,1.252989,1.260717,1.251846,1.257858,1.247434,1.265371,1.273960,1.247863,1.283314,1.259564,1.230655,1.274071,1.251363,1.277586,1.266768,1.263995,1.251043,1.267511,1.265095,1.273173,1.273708,1.261398,1.243234,1.256049,1.265479,1.273464,1.278161,1.269935,1.276767,1.241288,1.274533,1.276539,1.256140,1.262661,1.266788,1.237305,1.276728,1.266546,1.246832,1.263025,1.273354,1.273018,1.265621,1.244518,1.260320,1.265379,1.257670,1.271788,1.272900,1.259988,1.256585,1.273218,1.263010,1.264460,1.270955,1.259605,1.272135,1.274618,1.272321,1.267678,1.249493,1.230051,1.273691,1.247138,1.234332,1.248543,1.231048,1.269238,1.257569,1.266767,1.242092,1.275478,1.274753,1.264172,1.265480,1.264557,1.282407,1.274743,1.264522,1.272915,1.276596,1.269318,1.265534,1.263931,1.230613,1.240233,1.228931,1.269779,1.271089,1.261517,1.221234,1.256432,1.229129,1.273714,1.261687,1.254582,1.250835,1.252509,1.221257,1.257336,1.272555,1.239619,1.261363,1.278713,1.259971,1.234182,1.277633,1.260373,1.266148,1.258939,1.279183,1.248637,1.252494,1.239422,1.256335,1.268345,1.271661,1.258776,1.245809,1.278940,1.280629,1.274526,1.243212,1.257346,1.274617,1.265386,1.252958,1.266489,1.257807,1.266247,1.242722,1.268536,1.279503,1.269167,1.269118,1.257979,1.272756,1.266022,1.268185,1.262069,1.263107,1.241833,1.256134,1.259782,1.266622,1.264539,1.266999,1.261345,1.277518,1.274971,1.269587,1.269387,1.241186,1.269435,1.264060,1.266952,1.254721,1.254502,1.269547,1.273367,1.280713,1.266232,1.268699,1.279558,1.273004,1.273577,1.242059,1.259047,1.272134,1.272933,1.265516,1.261925,1.262106,1.278366,1.248257,1.250115,1.258500,1.278299,1.271526,1.269723
BB OD,,m,0.03992,0.0397,0.03987,0.04002,0.03999,0.0401,0.03944,0.03972,0.04012,0.03969,0.04034,0.04027,0.03943,0.03994,0.03956,0.03992,0.03988,0.0398,0.04036,0.03862,0.04,0.03903,0.04017,0.03998,0.0384,0.03992,0.03992,0.04018,0.03931,0.04029,0.03985,0.04016,0.0386,0.03995,0.04034,0.04001,0.04021,0.04005,0.04013,0.04006,0.04021,0.04018,0.0389,0.04021,0.03835,0.03996,0.03985,0.03808,0.04021,0.04035,0.03985,0.04008,0.04021,0.04013,0.04016,0.03898,0.03926,0.03887,0.03914,0.04026,0.04012,0.04005,0.03808,0.03912,0.03909,0.04,0.0396,0.03986,0.04009,0.03995,0.04006,0.0393,0.04004,0.03887,0.0402,0.04049,0.04013,0.03889,0.03982,0.04047,0.03969,0.0399,0.04002,0.03967,0.03915,0.03901,0.03983,0.03984,0.04,0.03967,0.03957,0.03879,0.03932,0.03964,0.04036,0.03929,0.03856,0.03906,0.04021,0.03951,0.04024,0.03873,0.04001,0.0401,0.04001,0.03945,0.04018,0.03991,0.03997,0.03995,0.04014,0.04013,0.04007,0.04012,0.03991,0.03973,0.03954,0.03914,0.03915,0.04002,0.03951,0.03998,0.03974,0.03996,0.04023,0.04023,0.0402,0.03993,0.03974,0.04017,0.03978,0.0393,0.03974,0.04012,0.04004,0.03986,0.03983,0.03977,0.03942,0.03998,0.03828,0.03993,0.03949,0.0402,0.03994,0.0398,0.03995,0.04023,0.04011,0.03967,0.04007,0.0382,0.03897,0.03993,0.03961,0.04023,0.03874,0.03943,0.04,0.03973,0.03874,0.03855,0.03983,0.03867,0.03995,0.04047,0.03846,0.04006,0.03897,0.04001,0.03995,0.04038,0.04005,0.03958,0.04019,0.03996,0.03961,0.03995,0.03853,0.04001,0.03885,0.03993,0.03912,0.04022,0.04004,0.03993,0.04029,0.04008,0.03995,0.03976,0.04001,0.03878,0.04006,0.03932,0.04004,0.03967,0.04025,0.03978,0.04009,0.04011,0.04025,0.03939,0.04023
TT OD,,m,0.03066,0.02844,0.02817,0.02856,0.03204,0.03273,0.02847,0.04353,0.02863,0.02925,0.02888,0.02833,0.02865,0.0356,0.02855,0.02821,0.02888,0.02849,0.02892,0.02822,0.02853,0.02787,0.02879,0.02946,0.02828,0.02889,0.02889,0.03866,0.02857,0.02904,0.04,0.02815,0.02814,0.02971,0.03105,0.02839,0.02871,0.02934,0.03395,0.03052,0.03578,0.03972,0.02828,0.02878,0.0286,0.03931,0.03772,0.02804,0.02875,0.02882,0.02882,0.02939,0.03665,0.02921,0.02843,0.02812,0.02838,0.02891,0.02812,0.02869,0.0287,0.02872,0.02838,0.02781,0.02799,0.03511,0.04223,0.0286,0.02857,0.0282,0.02867,0.02951,0.02968,0.0282,0.02885,0.02975,0.02837,0.02781,0.02857,0.0326,0.02836,0.02881,0.03272,0.02849,0.02857,0.02803,0.02854,0.02847,0.0285,0.0294,0.02884,0.0286,0.02868,0.0285,0.02949,0.02779,0.02878,0.02883,0.02874,0.02788,0.02884,0.02844,0.02901,0.02867,0.02873,0.02853,0.02904,0.03773,0.02947,0.02926,0.02874,0.02899,0.03305,0.02934,0.02887,0.04499,0.02864,0.02832,0.02777,0.03213,0.02856,0.04509,0.02835,0.02894,0.0381,0.02942,0.02937,0.02926,0.02888,0.02907,0.02825,0.02842,0.02861,0.0292,0.0296,0.02842,0.02926,0.02884,0.02828,0.02933,0.02826,0.0285,0.02829,0.0287,0.0287,0.02902,0.02808,0.02893,0.02841,0.02799,0.02909,0.02852,0.02862,0.02955,0.02877,0.02913,0.02838,0.02876,0.02965,0.02901,0.02824,0.02825,0.02876,0.02834,0.02946,0.02956,0.02821,0.03256,0.02874,0.02886,0.02843,0.0293,0.02881,0.02891,0.02868,0.02901,0.02876,0.03519,0.02832,0.03997,0.02828,0.02832,0.02857,0.02866,0.02848,0.02837,0.02879,0.02866,0.02872,0.02901,0.02846,0.02823,0.02922,0.02895,0.02916,0.02875,0.02866,0.02834,0.02941,0.03372,0.0292,0.02836,0.02873
HT OD,,m,0.041,0.04313,0.04268,0.04427,0.05315,0.05394,0.04822,0.06131,0.04617,0.04323,0.04581,0.04678,0.05403,0.05283,0.0442,0.04279,0.04836,0.04449,0.04688,0.04084,0.04725,0.04165,0.04411,0.04742,0.04097,0.04351,0.04307,0.05659,0.04368,0.04808,0.0564,0.04682,0.04222,0.05035,0.0494,0.04893,0.04788,0.04513,0.04984,0.04817,0.05319,0.05659,0.04211,0.04242,0.0412,0.05617,0.05357,0.03958,0.05108,0.04664,0.04831,0.04308,0.05458,0.04376,0.0453,0.04188,0.04277,0.04317,0.04547,0.04577,0.04302,0.04923,0.04016,0.04146,0.04315,0.05231,0.05809,0.04669,0.04298,0.04468,0.04234,0.05077,0.04611,0.04156,0.04276,0.05207,0.04306,0.04144,0.04311,0.04825,0.04315,0.04885,0.04817,0.04659,0.04691,0.04154,0.04744,0.04848,0.04901,0.04622,0.04762,0.04507,0.04606,0.043,0.04778,0.04178,0.04207,0.04443,0.04596,0.04289,0.04534,0.04148,0.04282,0.0479,0.04449,0.0435,0.04971,0.05636,0.04939,0.05097,0.04294,0.04378,0.04868,0.05701,0.04319,0.06326,0.04577,0.04534,0.04207,0.05294,0.05214,0.06846,0.04689,0.04278,0.05637,0.04762,0.04337,0.04482,0.05331,0.04548,0.04225,0.04248,0.04366,0.04266,0.05162,0.04317,0.05322,0.0481,0.04257,0.04848,0.04152,0.04453,0.04605,0.04733,0.04907,0.04413,0.04299,0.0433,0.04412,0.04997,0.04436,0.0415,0.0421,0.04943,0.04763,0.04316,0.04165,0.04312,0.04586,0.04795,0.04119,0.0407,0.04315,0.04127,0.0523,0.05219,0.04144,0.05304,0.04377,0.04825,0.04263,0.04462,0.04296,0.04879,0.04303,0.04623,0.0465,0.05034,0.04074,0.05732,0.04617,0.04802,0.04711,0.04659,0.0423,0.04709,0.04741,0.04564,0.04794,0.05151,0.0429,0.04171,0.04314,0.05027,0.0467,0.04298,0.04633,0.04281,0.04908,0.05016,0.04359,0.04615,0.04584
DT OD,,m,0.04126,0.03655,0.03674,0.03671,0.03769,0.03776,0.03674,0.05347,0.0364,0.03748,0.03688,0.03593,0.03572,0.04085,0.037,0.03655,0.03681,0.03633,0.03644,0.03588,0.03631,0.03517,0.03713,0.03828,0.03606,0.03733,0.03732,0.04706,0.03684,0.03643,0.04999,0.0358,0.03647,0.03778,0.03743,0.03583,0.03602,0.03686,0.04216,0.03775,0.04387,0.05113,0.03522,0.03686,0.03578,0.04867,0.0465,0.03519,0.0353,0.0364,0.03682,0.0375,0.04377,0.03699,0.03643,0.03636,0.03666,0.0358,0.03556,0.03656,0.03661,0.0365,0.03536,0.03536,0.03483,0.04383,0.05266,0.0362,0.03649,0.03606,0.03726,0.03562,0.03752,0.0357,0.03692,0.03683,0.03695,0.03507,0.03672,0.03959,0.03606,0.03683,0.03992,0.03605,0.03535,0.03546,0.03611,0.03631,0.03657,0.03773,0.03687,0.03445,0.03664,0.03673,0.03686,0.03551,0.03566,0.03649,0.03749,0.03527,0.03685,0.03616,0.03757,0.03594,0.03646,0.03679,0.03635,0.04355,0.03878,0.03853,0.03677,0.0372,0.04006,0.03653,0.03685,0.05508,0.03603,0.03683,0.03609,0.03777,0.0358,0.05256,0.03656,0.03743,0.04488,0.03851,0.0371,0.03781,0.03574,0.03642,0.03731,0.03653,0.03689,0.03748,0.03645,0.0364,0.03581,0.03612,0.03632,0.0364,0.03612,0.03659,0.03531,0.0363,0.03666,0.03703,0.03591,0.0369,0.03725,0.036,0.03759,0.03592,0.03637,0.03689,0.03688,0.03661,0.03556,0.03666,0.03778,0.03672,0.03596,0.03563,0.03776,0.03583,0.03623,0.03714,0.03597,0.0385,0.03655,0.03626,0.037,0.03729,0.03688,0.03643,0.03679,0.03736,0.03672,0.04342,0.03569,0.0507,0.0357,0.03541,0.03498,0.03627,0.03652,0.03627,0.03618,0.03654,0.03594,0.03589,0.03677,0.03511,0.03759,0.03568,0.03698,0.03701,0.03647,0.03741,0.0374,0.04132,0.037,0.03557,0.03691
