Design Study 1
Scenarios/Iterations:, 208
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208
,,,,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.370642,0.391497,0.353244,0.356307,0.530923,0.372727,0.346258,0.378069,0.343226,0.402887,0.379719,0.372195,0.458714,0.341897,0.420272,0.380298,0.355192,0.399629,0.367292,0.428162,0.375717,0.403165,0.482307,0.376795,0.335609,0.355270,0.399675,0.329003,0.462725,0.366946,0.408339,0.507299,0.387564,0.346779,0.340785,0.334559,0.446209,0.402402,0.395162,0.504584,0.369887,0.383584,0.355176,0.349232,0.339882,0.375382,0.367709,0.314757,0.483016,0.340633,0.389319,0.379337,0.350593,0.371310,0.371385,0.365973,0.361389,0.550829,0.380773,0.452747,0.386496,0.349653,0.298364,0.350946,0.362487,0.394529,0.523217,0.368405,0.542657,0.388177,0.460610,0.323609,0.338649,0.590642,0.485960,0.372338,0.332352,0.385787,0.300051,0.401263,0.400954,0.399636,0.402933,0.363605,0.355785,0.456818,0.394130,0.375452,0.359170,0.400510,0.477390,0.413784,0.405072,0.345066,0.403284,0.415076,0.354826,0.326709,0.392042,0.355667,0.353695,0.338072,0.390275,0.336959,0.399309,0.365760,0.590070,0.369304,0.372193,0.449919,0.387355,0.323909,0.317344,0.395558,0.392776,0.379780,0.383623,0.403169,0.358563,0.319227,0.387367,0.365465,0.397907,0.302123,0.381602,0.370511,0.379962,0.400296,0.404811,0.410257,0.340624,0.478028,0.348653,0.335309,0.475821,0.290465,0.399120,0.374020,0.330272,0.413915,0.381263,0.416488,0.364246,0.392308,0.597673,0.394636,0.397466,0.353759,0.392403,0.315624,0.374077,0.348921,0.531221,0.331273,0.338083,0.386232,0.350300,0.338226,0.542708,0.430207,0.361855,0.399403,0.410189,0.384320,0.384559,0.452696,0.388100,0.405405,0.383367,0.379647,0.336070,0.368915,0.421848,0.351045,0.401011,0.404781,0.411297,0.319526,0.344802,0.389875,0.355853,0.338019,0.333382,0.432302,0.380530,0.349265,0.352319,0.350440,0.413640,0.404950,0.397839,0.394000,0.396936,0.386290,0.398186,0.396468,0.406777,0.400208,0.403993,0.411828,0.377327,0.326526,0.333118,0.380820,0.527871,0.413833,0.390952,0.411795
BB Drop,,N/A,0.046941,0.010776,0.041365,0.008182,-0.013603,0.180879,0.025357,-0.006605,0.014763,-0.013871,0.039229,0.034000,0.015254,0.104560,-0.014968,0.076258,0.089434,0.005425,0.086516,0.023522,0.156497,0.006043,0.116946,0.100196,0.011937,-0.025468,0.004549,0.075596,-0.015316,0.142606,0.009642,0.082738,0.175393,0.032441,0.008320,-0.001541,-0.029048,0.106145,0.041246,0.092945,0.125477,0.028166,0.032693,0.019879,-0.010243,-0.025889,0.082977,0.019441,-0.037516,0.131789,-0.023509,0.086429,0.017959,-0.005626,0.031584,0.012916,0.019951,0.031730,0.143390,0.026101,0.095619,0.086103,-0.002333,-0.058480,-0.020588,0.005168,0.036883,0.107624,-0.001342,0.138890,0.024194,0.122948,-0.033148,-0.018717,0.132025,0.105753,0.007089,-0.022519,0.028545,-0.046174,0.084246,0.044498,0.088864,0.044498,0.008467,-0.006372,0.106090,0.046074,0.013605,0.001592,0.069206,0.096344,0.070954,0.108353,-0.003143,0.103549,0.055624,-0.001541,-0.033133,0.093511,-0.009663,-0.002096,-0.019015,0.034804,-0.016294,0.089343,0.005606,0.142303,0.019134,0.025571,0.157082,0.096236,-0.020940,-0.042179,0.079844,0.045817,0.031014,0.034081,0.038410,0.011942,-0.039045,0.081003,0.013945,0.090922,-0.050588,0.024811,0.017118,0.011151,0.049951,0.040912,0.132771,-0.015348,0.178683,0.004764,-0.024193,0.097038,-0.067941,0.035371,0.012676,-0.017511,0.130264,0.025492,0.058760,0.009960,0.091943,0.164206,0.040425,0.040695,0.010274,0.030578,-0.036323,0.038465,-0.020208,0.112242,-0.030853,-0.018477,0.080782,-0.001281,-0.016462,0.163874,0.097664,0.006960,0.046879,0.147867,0.105073,0.033824,0.095622,0.026290,0.075607,0.038708,0.036426,-0.009617,0.026863,0.082068,-0.000400,0.065042,0.123976,0.098229,-0.042551,-0.008089,0.037229,-0.004547,-0.013844,-0.020814,0.094195,0.089329,-0.014598,-0.001775,-0.014346,0.085701,0.079371,0.051728,0.072389,0.051777,0.031769,0.120037,0.074526,0.046182,0.042212,0.045257,0.048824,0.020558,-0.029117,-0.014572,0.027875,0.135608,0.069339,0.044680,0.077582
Stack,,m,0.56549,0.56293,0.56687,0.55883,0.5621,0.56407,0.56128,0.56476,0.56112,0.56728,0.56649,0.56126,0.56274,0.56393,0.56086,0.55657,0.55817,0.55934,0.56467,0.55947,0.56331,0.56255,0.56002,0.56185,0.56255,0.56605,0.55849,0.55434,0.56178,0.56462,0.57428,0.55735,0.56429,0.57129,0.5559,0.5558,0.56119,0.56416,0.56218,0.5644,0.56372,0.5589,0.56824,0.55721,0.56137,0.56461,0.55284,0.56106,0.56967,0.56451,0.56227,0.55676,0.56404,0.5742,0.55821,0.56241,0.5606,0.55433,0.56235,0.56323,0.56268,0.56094,0.56558,0.55793,0.56156,0.5724,0.56574,0.5604,0.56234,0.56264,0.56213,0.56306,0.56521,0.56403,0.55908,0.56203,0.56358,0.55971,0.56378,0.55744,0.56413,0.56223,0.56375,0.57004,0.57498,0.56189,0.56464,0.56317,0.56331,0.56192,0.55786,0.5603,0.56313,0.56195,0.56252,0.56069,0.56211,0.57463,0.56067,0.56337,0.56322,0.56445,0.57476,0.56769,0.57503,0.56489,0.56226,0.55989,0.56126,0.56187,0.56445,0.56277,0.55649,0.57245,0.55497,0.56508,0.56222,0.56264,0.55939,0.56082,0.56072,0.55779,0.56208,0.55913,0.5696,0.56491,0.57119,0.56071,0.56486,0.55824,0.56222,0.55966,0.56552,0.5556,0.5729,0.56019,0.5639,0.56103,0.56329,0.55979,0.56439,0.56311,0.5622,0.56335,0.56355,0.56061,0.56353,0.56292,0.55745,0.56309,0.55709,0.55216,0.56282,0.56152,0.56021,0.5627,0.56149,0.55881,0.55973,0.56342,0.56384,0.56118,0.56149,0.56137,0.56257,0.56382,0.56324,0.56201,0.56097,0.56328,0.5593,0.55792,0.55839,0.55942,0.56752,0.56526,0.56056,0.56481,0.56007,0.5683,0.56508,0.56418,0.55968,0.55968,0.5642,0.55899,0.56176,0.57347,0.56179,0.5617,0.56389,0.56608,0.56374,0.56692,0.56784,0.56519,0.56013,0.56142,0.56242,0.56429,0.56058,0.57275,0.56155,0.55768,0.56267,0.56202,0.55914,0.56277,0.55589
SS E,,N/A,0.209030,0.045292,0.048013,0.044706,0.040960,0.057409,0.049396,0.032859,0.049040,0.028855,0.028947,0.039592,0.046067,0.048645,0.040116,0.070786,0.059128,0.048183,0.058678,0.040541,0.056587,0.020336,0.049938,0.045789,0.046420,0.025695,0.048257,0.060678,0.024484,0.057695,0.028294,0.066855,0.052530,0.039379,0.044068,0.046419,0.035504,0.055012,0.040138,0.060123,0.043747,0.054884,0.044972,0.045084,0.039694,0.017922,0.063236,0.050369,0.017918,0.047443,0.038633,0.061999,0.040945,0.025435,0.052908,0.044081,0.051221,0.056963,0.057169,0.048496,0.043043,0.060530,0.031597,0.030714,0.038326,0.027806,0.035863,0.043863,0.028760,0.069530,0.050045,0.103745,0.025233,0.035220,0.048482,0.048005,0.035085,0.037815,0.047738,0.027827,0.057320,0.052977,0.058840,0.036047,0.029124,0.040626,0.043723,0.045841,0.046955,0.043940,0.058626,0.077362,0.050025,0.056449,0.033096,0.052197,0.047914,0.024846,0.036437,0.060950,0.039840,0.035834,0.020345,0.042379,0.020493,0.058703,0.040899,0.049117,0.050028,0.051178,0.058304,0.058345,0.039232,0.011724,0.080143,0.053195,0.050374,0.053069,0.054012,0.042386,0.033470,0.056449,0.044105,0.046877,0.011744,0.039218,0.033245,0.049108,0.053725,0.058232,0.058482,0.041426,0.046630,0.048914,0.014707,0.083335,0.021430,0.047463,0.046203,0.034728,0.051453,0.047461,0.044710,0.042503,0.061076,0.046736,0.047161,0.052666,0.051777,0.038420,0.036614,0.050652,0.039857,0.056954,0.035862,0.035718,0.058025,0.046874,0.040189,0.061950,0.056260,0.046057,0.055482,0.052917,0.068739,0.039391,0.058117,0.049153,0.056568,0.054017,0.045247,0.044098,0.048087,0.069551,0.028782,0.054754,0.061389,0.049274,0.033878,0.027164,0.049886,0.039199,0.039809,0.038227,0.050785,0.069044,0.040359,0.027756,0.039796,0.059365,0.058070,0.053648,0.059223,0.055647,0.038166,0.059280,0.056242,0.049549,0.046136,0.036936,0.051524,0.031174,0.033433,0.042320,0.047378,0.048148,0.059466,0.046670,0.073000
ST Angle,,N/A,1.293070,1.305260,1.275505,1.293133,1.289678,1.223528,1.282177,1.314502,1.280061,1.305127,1.227144,1.270719,1.277307,1.248769,1.315719,1.268396,1.350365,1.271922,1.329474,1.275673,1.252814,1.241712,1.269086,1.237929,1.279325,1.306975,1.274360,1.289454,1.288309,1.248258,1.265201,1.280589,1.224288,1.268312,1.299271,1.276415,1.279690,1.260677,1.258065,1.329836,1.222325,1.276061,1.270487,1.320214,1.275070,1.268639,1.283359,1.270183,1.310102,1.235450,1.312827,1.276853,1.277258,1.274034,1.288115,1.277525,1.269876,1.293467,1.230284,1.276402,1.241193,1.343066,1.298251,1.325142,1.280077,1.269022,1.254758,1.224053,1.259831,1.230884,1.279369,1.239207,1.330900,1.329485,1.215804,1.243270,1.271649,1.276418,1.276352,1.333268,1.315762,1.282054,1.337522,1.244201,1.270134,1.277239,1.235245,1.276689,1.293477,1.288785,1.276904,1.244575,1.265707,1.271988,1.302899,1.279224,1.259327,1.270191,1.322820,1.344645,1.310768,1.315619,1.276012,1.272218,1.272968,1.325386,1.274221,1.216826,1.273458,1.270424,1.245868,1.370566,1.279345,1.279520,1.267171,1.278449,1.276749,1.275865,1.276551,1.313357,1.334660,1.359251,1.269805,1.269778,1.317497,1.274497,1.268893,1.278308,1.286032,1.276912,1.258983,1.279272,1.223595,1.274976,1.269843,1.242283,1.364038,1.269930,1.297407,1.324270,1.260898,1.289839,1.252941,1.312279,1.330951,1.206006,1.278045,1.279521,1.270944,1.262311,1.288371,1.271807,1.301860,1.241960,1.277116,1.327929,1.350809,1.272132,1.272539,1.225682,1.263906,1.290234,1.301202,1.259625,1.360209,1.269479,1.258632,1.277197,1.301812,1.273682,1.275793,1.268287,1.293897,1.259973,1.281555,1.289932,1.257266,1.267148,1.286374,1.291277,1.274769,1.312417,1.292901,1.271714,1.261583,1.335063,1.280502,1.273579,1.279089,1.266449,1.319584,1.280541,1.315737,1.287949,1.268959,1.329254,1.308618,1.269845,1.269947,1.248221,1.271741,1.261631,1.331678,1.273170,1.278046,1.229530,1.275784,1.278621,1.266042
BB OD,,m,0.04017,0.04006,0.04337,0.03955,0.04023,0.03919,0.03976,0.04005,0.04012,0.04017,0.03816,0.03921,0.04032,0.03945,0.03995,0.04001,0.0391,0.03964,0.04031,0.03934,0.03897,0.03898,0.03922,0.0395,0.04044,0.04006,0.03951,0.03972,0.03961,0.03965,0.03931,0.04019,0.03918,0.03952,0.03932,0.03911,0.04025,0.03983,0.03982,0.04028,0.03858,0.0395,0.04177,0.03949,0.04033,0.03967,0.03839,0.03983,0.03991,0.03907,0.04009,0.03911,0.0399,0.03964,0.03942,0.04035,0.03976,0.0389,0.0396,0.04023,0.03959,0.03963,0.03999,0.0397,0.04036,0.03953,0.03927,0.03931,0.03948,0.03965,0.04008,0.03967,0.04028,0.04026,0.03928,0.03973,0.03974,0.04002,0.04041,0.03956,0.0414,0.04009,0.04026,0.03868,0.03958,0.04038,0.03894,0.03946,0.04019,0.04007,0.03946,0.03977,0.03987,0.03974,0.03982,0.03977,0.0398,0.03957,0.03997,0.04001,0.04008,0.04005,0.0397,0.03962,0.03958,0.04042,0.04048,0.03923,0.03987,0.03989,0.03943,0.03994,0.03919,0.0399,0.03912,0.04038,0.04,0.04,0.04008,0.0399,0.03994,0.03959,0.04015,0.03918,0.04,0.03994,0.03921,0.04029,0.04164,0.04022,0.03953,0.03996,0.03877,0.03909,0.03957,0.03971,0.04025,0.03994,0.04015,0.0398,0.03949,0.04016,0.03975,0.04006,0.04012,0.03915,0.03997,0.04177,0.03927,0.03964,0.0395,0.03862,0.04019,0.03996,0.04026,0.04012,0.03947,0.03966,0.04005,0.03942,0.03989,0.03995,0.04048,0.0391,0.0398,0.03914,0.03991,0.04051,0.04012,0.04008,0.03934,0.03951,0.03949,0.0398,0.04003,0.04277,0.03944,0.03932,0.04005,0.04008,0.04036,0.04022,0.03973,0.04007,0.03974,0.03943,0.04027,0.03955,0.04035,0.03992,0.04041,0.0422,0.04009,0.0404,0.03974,0.04184,0.03966,0.03997,0.03996,0.03934,0.0399,0.03934,0.04,0.03942,0.04019,0.03942,0.0402,0.03954,0.03964
TT OD,,m,0.03705,0.02936,0.04107,0.02938,0.02915,0.02919,0.02977,0.02865,0.02874,0.02814,0.02754,0.02918,0.03199,0.02854,0.02923,0.02746,0.03417,0.03204,0.03527,0.02909,0.03262,0.02603,0.03067,0.02774,0.02954,0.02784,0.03034,0.02867,0.02844,0.02941,0.02801,0.02848,0.02915,0.02867,0.02916,0.02947,0.0295,0.0288,0.0275,0.04087,0.02809,0.0322,0.04204,0.02934,0.03134,0.02663,0.03205,0.03562,0.02782,0.02871,0.02912,0.03023,0.02832,0.02805,0.02972,0.02993,0.03509,0.03085,0.02794,0.03311,0.02802,0.03551,0.02856,0.02884,0.02923,0.02796,0.02814,0.02694,0.02633,0.02797,0.02884,0.02925,0.02799,0.02864,0.02609,0.02778,0.02755,0.02983,0.03202,0.02841,0.03696,0.02915,0.03352,0.02838,0.02828,0.02987,0.0285,0.02951,0.02938,0.0295,0.02883,0.02738,0.02843,0.03046,0.0288,0.02962,0.0279,0.02795,0.0291,0.03758,0.02873,0.02875,0.02775,0.02874,0.02791,0.03824,0.03151,0.02657,0.03249,0.03643,0.03023,0.04029,0.02923,0.02711,0.02878,0.03694,0.03211,0.03389,0.02805,0.02933,0.02878,0.03329,0.03489,0.02998,0.02745,0.02838,0.02863,0.02867,0.03507,0.02798,0.03209,0.02988,0.02958,0.02955,0.02718,0.02742,0.02774,0.02755,0.02935,0.02883,0.02968,0.02943,0.02783,0.02925,0.0403,0.02706,0.02892,0.03048,0.03122,0.02756,0.02916,0.02993,0.02899,0.0274,0.02972,0.02883,0.03538,0.03216,0.03276,0.02889,0.02881,0.0296,0.02938,0.03197,0.04392,0.0291,0.02833,0.02947,0.02912,0.03818,0.02936,0.03298,0.02941,0.02812,0.02835,0.04045,0.03336,0.02961,0.02931,0.02824,0.03554,0.02879,0.02933,0.03274,0.02875,0.03918,0.02959,0.02825,0.02968,0.02861,0.03099,0.04037,0.03676,0.03802,0.02849,0.0466,0.02963,0.02788,0.02806,0.02801,0.02776,0.02809,0.02874,0.03064,0.03021,0.02783,0.02806,0.02953,0.02761
HT OD,,m,0.04917,0.04389,0.04378,0.04257,0.04186,0.04741,0.0429,0.04498,0.04181,0.043,0.04344,0.04881,0.0427,0.04546,0.04253,0.04221,0.04554,0.04209,0.04696,0.04688,0.05439,0.04083,0.05176,0.04248,0.04255,0.04269,0.04235,0.04269,0.04366,0.04908,0.04469,0.04276,0.04721,0.0474,0.04279,0.04205,0.04135,0.0473,0.042,0.04733,0.04515,0.04265,0.04327,0.04293,0.0419,0.04138,0.04431,0.04253,0.04325,0.04696,0.04201,0.04578,0.04306,0.04414,0.04308,0.04252,0.04246,0.04274,0.04285,0.04308,0.0428,0.04569,0.0453,0.04136,0.04166,0.04321,0.04409,0.04159,0.04097,0.04319,0.04267,0.04555,0.04277,0.04282,0.04112,0.04243,0.04233,0.0413,0.04308,0.04196,0.04588,0.04317,0.04599,0.04735,0.0454,0.04199,0.04612,0.05013,0.04283,0.04233,0.04449,0.04266,0.0441,0.04958,0.04457,0.04777,0.04271,0.04344,0.04212,0.04663,0.04272,0.04509,0.04309,0.04708,0.04476,0.04712,0.04244,0.04165,0.04255,0.04282,0.05136,0.04452,0.04152,0.04207,0.04322,0.04513,0.04305,0.04313,0.04237,0.04291,0.04211,0.0433,0.04265,0.05051,0.04279,0.04316,0.04974,0.04172,0.0448,0.04195,0.05141,0.04172,0.05003,0.04235,0.04235,0.04273,0.04203,0.042,0.04317,0.04283,0.05099,0.04284,0.04253,0.04487,0.04701,0.04168,0.04496,0.04286,0.04203,0.04228,0.04128,0.04781,0.04182,0.04207,0.0412,0.04281,0.04661,0.04198,0.04152,0.04666,0.0472,0.04263,0.04288,0.05276,0.04623,0.05061,0.04508,0.04257,0.04522,0.0439,0.04801,0.04155,0.0453,0.04312,0.04368,0.04533,0.04901,0.05196,0.04104,0.04327,0.04392,0.04291,0.04182,0.04135,0.04668,0.04479,0.04182,0.04633,0.04184,0.04485,0.04606,0.04521,0.04677,0.04654,0.04476,0.04651,0.04593,0.04253,0.04265,0.0431,0.04277,0.04461,0.04255,0.04147,0.04293,0.04266,0.04281,0.04944,0.04247
DT OD,,m,0.04783,0.03596,0.05829,0.03739,0.03562,0.03528,0.03769,0.03562,0.03587,0.03511,0.03552,0.03724,0.03754,0.0361,0.03574,0.03542,0.04215,0.04121,0.04689,0.03745,0.03701,0.03446,0.03769,0.03565,0.03668,0.0346,0.03981,0.03612,0.03609,0.036,0.03564,0.03647,0.0356,0.03623,0.03817,0.04146,0.03602,0.03586,0.03564,0.0567,0.03552,0.04519,0.05912,0.03754,0.03714,0.03403,0.03586,0.0469,0.03469,0.03593,0.0353,0.03593,0.03559,0.03542,0.04075,0.03715,0.0472,0.0477,0.03485,0.03978,0.0359,0.04794,0.03577,0.03515,0.03567,0.03555,0.03598,0.03504,0.03422,0.03386,0.0359,0.03394,0.03468,0.03521,0.03418,0.03571,0.03498,0.03701,0.03987,0.03565,0.05104,0.03664,0.04373,0.03614,0.03581,0.03673,0.03593,0.03716,0.03616,0.03646,0.03535,0.03372,0.03616,0.03666,0.03627,0.03698,0.03587,0.03548,0.03523,0.05142,0.03516,0.03554,0.03499,0.03626,0.03529,0.05171,0.03777,0.03443,0.04139,0.04872,0.03605,0.05207,0.03758,0.03412,0.03464,0.05082,0.04036,0.04353,0.03568,0.0366,0.03498,0.03982,0.04379,0.03809,0.03428,0.03591,0.03618,0.03607,0.0479,0.03615,0.0363,0.03689,0.03603,0.04233,0.0346,0.03335,0.0338,0.03543,0.03599,0.03609,0.03679,0.03651,0.03589,0.03613,0.05663,0.03469,0.03622,0.04128,0.04479,0.03558,0.03658,0.04632,0.03524,0.03494,0.03643,0.03532,0.04391,0.04068,0.03776,0.03472,0.03573,0.03671,0.03765,0.03726,0.06141,0.03692,0.03521,0.03745,0.03668,0.0517,0.03777,0.04363,0.03815,0.03465,0.0357,0.05675,0.03595,0.03707,0.03569,0.03546,0.0478,0.03548,0.0366,0.03772,0.03632,0.05515,0.03617,0.03562,0.03628,0.03557,0.03995,0.05651,0.0499,0.05193,0.03617,0.0656,0.03664,0.03576,0.03588,0.03594,0.03549,0.03583,0.03519,0.03959,0.03765,0.03544,0.036,0.03718,0.03492
