Design Study 1
Scenarios/Iterations:, 214
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.413112,0.396070,0.408463,0.408791,0.414036,0.434558,0.491911,0.403692,0.409075,0.414634,0.412918,0.395417,0.382352,0.414135,0.450093,0.390999,0.470170,0.402144,0.376273,0.403543,0.435070,0.392372,0.395365,0.412268,0.399548,0.391531,0.422897,0.406968,0.409774,0.400431,0.401389,0.408321,0.405390,0.405386,0.442855,0.407011,0.413485,0.402727,0.403271,0.399479,0.410648,0.419197,0.404617,0.407525,0.389512,0.495708,0.404202,0.458502,0.391221,0.413052,0.432949,0.398788,0.423478,0.405491,0.471633,0.399535,0.405949,0.403402,0.454874,0.408925,0.410420,0.496052,0.392137,0.413748,0.411367,0.414312,0.407589,0.380690,0.486583,0.444471,0.407851,0.450470,0.437616,0.407426,0.406184,0.394653,0.406813,0.419968,0.413455,0.413782,0.410070,0.409979,0.408385,0.391345,0.470322,0.413118,0.399910,0.401043,0.409567,0.469627,0.384227,0.413228,0.468122,0.405288,0.413323,0.389619,0.408077,0.400401,0.405774,0.412517,0.396818,0.459113,0.451951,0.398591,0.402058,0.408117,0.409091,0.432353,0.494992,0.410336,0.409621,0.417682,0.426698,0.397999,0.414594,0.406793,0.406615,0.383340,0.385482,0.411275,0.390440,0.462242,0.547250,0.413480,0.471903,0.408715,0.397939,0.406636,0.389884,0.450867,0.415770,0.402444,0.382107,0.408909,0.384382,0.399068,0.439806,0.415466,0.413840,0.416457,0.404795,0.384464,0.406735,0.409891,0.394223,0.452026,0.443632,0.390892,0.435579,0.391368,0.404126,0.406819,0.401990,0.404055,0.407039,0.405197,0.501340,0.403948,0.405669,0.408384,0.435649,0.397690,0.398002,0.402318,0.409225,0.383791,0.433655,0.452588,0.392527,0.429169,0.409443,0.438488,0.383800,0.394638,0.395788,0.387824,0.401322,0.388622,0.413275,0.397960,0.405162,0.426869,0.513271,0.434426,0.408859,0.388436,0.399913,0.487497,0.401185,0.412239,0.460013,0.405896,0.402116,0.393166,0.407749,0.410651,0.406038,0.404383,0.409382,0.461317,0.438471,0.408404,0.411308,0.394613,0.391947,0.455968,0.412113,0.442158,0.408880,0.405927,0.403992,0.412700,0.404286,0.385130
BB Drop,,N/A,0.046941,0.003480,0.057024,0.017420,0.074549,0.013768,0.042264,0.022096,0.082383,0.029460,0.063731,0.079157,0.064312,0.110310,0.014903,0.007160,0.106721,0.039348,0.075278,0.093171,-0.009812,0.034795,0.059506,0.075744,0.034166,-0.003080,0.110568,0.085357,-0.008086,0.083004,0.116120,0.075682,0.034787,0.019708,0.031300,0.048749,0.079590,0.051991,0.082772,0.072834,0.072334,0.004930,0.075499,0.087115,0.009380,0.094493,0.022701,0.051627,0.063428,0.051434,0.028132,0.083385,0.000231,0.043566,0.078205,0.026691,0.078139,0.029332,0.031520,0.042321,0.044391,0.035344,0.048124,0.082592,0.088059,0.018148,0.019102,-0.017906,0.080414,0.030812,0.037286,-0.003305,0.032560,0.011179,-0.016611,0.040751,0.106571,0.023417,0.046186,0.096611,0.058853,0.051861,0.033454,0.024988,0.124654,0.028302,0.078804,0.105720,0.062414,0.090550,0.001438,0.074299,0.005106,0.039146,0.062319,0.005579,0.064279,0.091410,0.096273,0.033043,0.029174,0.042091,0.082297,0.049929,0.050776,-0.003033,0.089025,-0.010566,0.074469,0.038243,0.041586,0.079936,0.048296,-0.002818,0.082358,0.021648,0.055404,0.069979,0.091318,0.059370,-0.018330,0.059757,0.033638,0.045271,0.063508,0.038798,0.023631,0.088443,0.014657,0.052240,0.035377,0.019159,0.108058,0.069923,0.084183,0.068655,-0.001342,0.044266,0.043023,0.026681,-0.004144,0.092630,0.088962,0.012181,0.041087,0.066232,0.048012,0.009658,0.051962,0.020471,0.059705,0.040146,0.068491,0.116292,0.057873,0.055656,0.038519,0.051880,0.069378,0.065782,0.015397,0.036220,0.070598,0.054045,0.043568,0.005995,0.060729,0.061105,0.028236,0.097077,0.070539,0.069145,0.049584,0.074125,0.074958,0.079352,0.068554,0.009806,0.052034,0.061495,0.078891,0.079165,-0.015890,0.050773,0.018195,0.055713,0.124529,0.080455,0.037776,0.090384,0.050872,0.044515,0.037174,0.048354,0.089644,0.025159,0.079723,0.083422,0.064337,0.065224,0.060648,0.038214,-0.008692,0.105716,0.094808,0.058439,0.017160,0.086333,0.078534,-0.001662,0.091383,0.012634,0.035439,0.001672,0.140487
Stack,,m,0.56549,0.55977,0.57978,0.56533,0.56464,0.56383,0.56438,0.55488,0.58613,0.56459,0.56482,0.5816,0.56391,0.56607,0.55866,0.55326,0.58552,0.56107,0.56497,0.61199,0.56294,0.56084,0.60101,0.56705,0.56485,0.5639,0.56452,0.57253,0.56287,0.56613,0.57942,0.5799,0.56301,0.56596,0.55991,0.56455,0.56407,0.56117,0.58485,0.57563,0.59686,0.56084,0.56312,0.57096,0.55834,0.60399,0.55395,0.56171,0.56095,0.57908,0.56384,0.56841,0.56491,0.56447,0.5845,0.55384,0.56388,0.56605,0.56514,0.56075,0.56472,0.56103,0.55516,0.59418,0.57335,0.55767,0.5642,0.55876,0.60063,0.55879,0.56098,0.56493,0.562,0.55867,0.56463,0.56515,0.56877,0.56503,0.56512,0.57977,0.56227,0.56103,0.55825,0.5646,0.58657,0.55736,0.56575,0.56494,0.57307,0.56925,0.55186,0.60547,0.56507,0.55801,0.56456,0.5589,0.59259,0.5808,0.57432,0.5647,0.56484,0.56416,0.56447,0.55851,0.56438,0.5655,0.56447,0.5635,0.57504,0.55375,0.56475,0.57635,0.55484,0.56192,0.56707,0.56302,0.5634,0.57586,0.594,0.59217,0.55644,0.60921,0.55814,0.55007,0.56487,0.5627,0.56625,0.56856,0.56334,0.57495,0.56141,0.55998,0.56519,0.60071,0.58781,0.58055,0.56717,0.56446,0.56448,0.56487,0.55519,0.57259,0.59467,0.56343,0.56514,0.58432,0.56456,0.55839,0.58785,0.56133,0.59355,0.56579,0.5633,0.57909,0.56264,0.56497,0.56455,0.56045,0.57067,0.57796,0.55843,0.56406,0.56541,0.57959,0.56253,0.56186,0.60983,0.56922,0.55934,0.59683,0.56369,0.56411,0.56414,0.60089,0.58158,0.56433,0.59396,0.56501,0.58797,0.56571,0.5785,0.57775,0.55556,0.56126,0.55953,0.56443,0.57774,0.57309,0.56033,0.57269,0.56509,0.56399,0.56446,0.56039,0.58,0.55996,0.56527,0.56917,0.57901,0.56235,0.55933,0.56165,0.56334,0.56551,0.58463,0.58579,0.55476,0.56437,0.56454,0.56005,0.56373,0.56496,0.56494,0.56423,0.57167
SS E,,N/A,0.209030,0.038340,0.054423,0.041648,0.055731,0.043565,0.048428,0.044990,0.058617,0.047463,0.054679,0.059902,0.051422,0.055163,0.044131,0.039511,0.061767,0.053934,0.052477,0.059487,0.035453,0.049790,0.059847,0.052566,0.048145,0.038066,0.056177,0.058292,0.035716,0.053811,0.061940,0.057543,0.050718,0.041750,0.047979,0.051482,0.053228,0.049151,0.057755,0.056201,0.060813,0.040446,0.054902,0.055579,0.043809,0.063939,0.046878,0.052096,0.060029,0.051648,0.049135,0.058818,0.038337,0.048504,0.058896,0.049908,0.054194,0.044301,0.044944,0.054492,0.048734,0.049584,0.058534,0.056813,0.058281,0.044365,0.045360,0.030273,0.054104,0.048692,0.050581,0.035286,0.051013,0.040141,0.030652,0.048073,0.058255,0.041592,0.048719,0.058994,0.054607,0.054271,0.050874,0.045044,0.075237,0.048879,0.055895,0.057929,0.053782,0.057915,0.035514,0.057408,0.036417,0.052451,0.053684,0.040134,0.054956,0.058155,0.056575,0.047034,0.046577,0.047629,0.057178,0.056977,0.055393,0.034474,0.056820,0.033994,0.056927,0.056355,0.049703,0.058242,0.049491,0.036934,0.055449,0.046960,0.053801,0.054510,0.058479,0.054243,0.029066,0.056660,0.052594,0.059675,0.054489,0.052285,0.042260,0.055541,0.044931,0.049892,0.050007,0.044120,0.058981,0.057488,0.058933,0.050105,0.033555,0.050181,0.051450,0.044674,0.035388,0.057647,0.054620,0.043763,0.047754,0.054549,0.053042,0.040505,0.054812,0.045116,0.056576,0.044988,0.055349,0.061194,0.053155,0.052404,0.048521,0.056672,0.052939,0.055055,0.044884,0.049830,0.053265,0.054194,0.050167,0.040610,0.060522,0.054481,0.047595,0.064159,0.062400,0.054414,0.053904,0.056364,0.053864,0.053100,0.054868,0.039462,0.053112,0.054493,0.053563,0.056087,0.029038,0.057411,0.043698,0.053338,0.061902,0.054145,0.053456,0.058301,0.052533,0.052587,0.048293,0.056827,0.052504,0.046388,0.056584,0.054427,0.055861,0.052384,0.059466,0.052575,0.035122,0.059355,0.057856,0.056570,0.044540,0.056302,0.056465,0.037000,0.057438,0.040991,0.048016,0.039326,0.060205
ST Angle,,N/A,1.293070,1.249621,1.279041,1.262669,1.307269,1.256468,1.272046,1.252571,1.313607,1.267945,1.289691,1.277646,1.342969,1.425901,1.255462,1.247182,1.384978,1.264343,1.315153,1.396055,1.248066,1.265707,1.280234,1.335628,1.270595,1.254430,1.396093,1.287118,1.247202,1.284550,1.366037,1.298125,1.270186,1.267154,1.269163,1.276604,1.292143,1.274750,1.308196,1.285411,1.280648,1.251570,1.280513,1.311029,1.254511,1.367697,1.251593,1.280196,1.267205,1.279032,1.264524,1.278110,1.257036,1.275011,1.296655,1.256208,1.336543,1.270291,1.275831,1.268112,1.279658,1.269475,1.266770,1.331021,1.297438,1.259077,1.259592,1.239010,1.356795,1.259405,1.266330,1.249890,1.262797,1.251343,1.242537,1.277677,1.377968,1.273052,1.274051,1.310035,1.273339,1.271426,1.267760,1.270725,1.401015,1.258008,1.278390,1.360797,1.278874,1.304734,1.242501,1.334737,1.256138,1.265019,1.300728,1.249705,1.309931,1.300796,1.346388,1.274657,1.268788,1.293443,1.274815,1.270771,1.273070,1.253463,1.314633,1.245358,1.278985,1.260765,1.277621,1.280515,1.261423,1.244513,1.344639,1.259826,1.295109,1.279398,1.390563,1.309282,1.236927,1.290008,1.262085,1.261142,1.278600,1.265459,1.264779,1.344583,1.260177,1.282977,1.264903,1.257859,1.354995,1.340410,1.295708,1.327180,1.259276,1.272182,1.275709,1.267885,1.243682,1.328650,1.363427,1.259023,1.274860,1.299402,1.272693,1.249320,1.278677,1.257056,1.290936,1.277433,1.308196,1.362544,1.278094,1.298748,1.279024,1.269692,1.282258,1.277108,1.258776,1.267812,1.330438,1.276004,1.280279,1.254233,1.302746,1.275860,1.260505,1.363666,1.271848,1.278662,1.275597,1.343103,1.321838,1.343930,1.323035,1.263218,1.285181,1.278882,1.314721,1.290646,1.235182,1.268315,1.255381,1.273271,1.413733,1.320893,1.262170,1.337062,1.278488,1.270068,1.276283,1.267356,1.344082,1.264367,1.295439,1.297217,1.276773,1.279254,1.268028,1.267008,1.245233,1.325864,1.347962,1.281356,1.252100,1.296834,1.283754,1.248160,1.327965,1.262895,1.269696,1.254647,1.442195
BB OD,,m,0.04017,0.0396,0.04383,0.04024,0.04539,0.04002,0.04383,0.03978,0.04523,0.04032,0.04536,0.043,0.04403,0.04679,0.03974,0.03926,0.04889,0.04042,0.04229,0.04883,0.03941,0.04018,0.04505,0.0481,0.04063,0.03943,0.04736,0.04401,0.03953,0.04283,0.04912,0.0433,0.04024,0.04038,0.03986,0.04523,0.04205,0.04151,0.04406,0.04296,0.04444,0.03969,0.04194,0.04323,0.03964,0.04872,0.03973,0.04103,0.04257,0.04418,0.0402,0.0421,0.03961,0.0451,0.04415,0.03962,0.04473,0.04141,0.04319,0.04044,0.04552,0.04006,0.04048,0.04526,0.04495,0.03942,0.04016,0.03914,0.04683,0.04017,0.04024,0.03997,0.04031,0.03977,0.03977,0.04335,0.04735,0.04498,0.04445,0.04718,0.04236,0.04273,0.04002,0.04053,0.05024,0.03997,0.04232,0.04668,0.04321,0.04373,0.03917,0.04625,0.04042,0.04006,0.04446,0.03966,0.04453,0.04431,0.04976,0.04067,0.04053,0.0423,0.04214,0.0409,0.04405,0.03991,0.04373,0.03965,0.04386,0.04005,0.04368,0.04284,0.04281,0.03981,0.04525,0.04009,0.04193,0.04299,0.04715,0.04456,0.03912,0.04516,0.04011,0.04024,0.042,0.04045,0.0408,0.04794,0.03983,0.04376,0.04025,0.03985,0.04652,0.04589,0.04458,0.04385,0.04004,0.0429,0.04234,0.04174,0.03925,0.04746,0.04624,0.03979,0.04345,0.04374,0.04196,0.03985,0.04464,0.04006,0.04443,0.04518,0.04284,0.04944,0.04183,0.04576,0.0428,0.04055,0.04285,0.0434,0.03955,0.04054,0.04568,0.04423,0.04044,0.03963,0.04603,0.04283,0.04008,0.04853,0.04301,0.04202,0.04182,0.04591,0.04369,0.04655,0.04487,0.04003,0.04441,0.0429,0.04384,0.04321,0.03927,0.04079,0.03992,0.04325,0.04949,0.04328,0.04038,0.04602,0.04344,0.04106,0.04087,0.04419,0.04444,0.03968,0.04342,0.04294,0.0436,0.04136,0.04206,0.04038,0.0397,0.04459,0.04547,0.04421,0.03955,0.04285,0.04395,0.03945,0.04491,0.04005,0.04089,0.03969,0.05044
TT OD,,m,0.03705,0.02941,0.03353,0.03049,0.03911,0.0305,0.0444,0.03369,0.03456,0.02971,0.043,0.03812,0.0294,0.02883,0.02935,0.02946,0.03519,0.03473,0.02893,0.03278,0.02857,0.03058,0.0355,0.03935,0.03285,0.02815,0.03077,0.04078,0.02902,0.03496,0.04291,0.02958,0.02919,0.03066,0.02801,0.04757,0.02961,0.03075,0.03323,0.02975,0.03477,0.02928,0.03285,0.03042,0.02886,0.03623,0.03351,0.02876,0.04093,0.03529,0.02976,0.03498,0.0283,0.04651,0.03169,0.02968,0.03148,0.03373,0.03666,0.0322,0.04314,0.02894,0.03448,0.03473,0.04169,0.02845,0.03153,0.0288,0.03778,0.03554,0.03192,0.0311,0.03365,0.03057,0.0308,0.03676,0.03282,0.04406,0.0447,0.05015,0.03515,0.03277,0.02846,0.03233,0.04092,0.03245,0.034,0.03478,0.0329,0.03459,0.03006,0.0343,0.03697,0.03175,0.0352,0.02945,0.03174,0.04021,0.04613,0.03071,0.03323,0.02967,0.04196,0.0313,0.03181,0.02944,0.0326,0.02956,0.04139,0.03232,0.03874,0.03176,0.03516,0.03227,0.02969,0.03005,0.02976,0.03561,0.02935,0.03074,0.02908,0.03952,0.03181,0.0372,0.03051,0.0367,0.03438,0.03894,0.02887,0.03288,0.0332,0.02958,0.03612,0.02953,0.03825,0.02943,0.02952,0.04167,0.03673,0.03796,0.02913,0.04212,0.03282,0.02887,0.03893,0.03115,0.03957,0.03207,0.03563,0.03149,0.03286,0.042,0.03109,0.04548,0.02924,0.04076,0.03468,0.03869,0.03363,0.03768,0.02855,0.03485,0.03237,0.03637,0.02874,0.02902,0.03364,0.03714,0.0319,0.03719,0.03718,0.03054,0.03617,0.03014,0.0294,0.03458,0.03089,0.02917,0.03536,0.0342,0.03315,0.03215,0.02967,0.03985,0.03045,0.03801,0.03536,0.02918,0.0362,0.03387,0.0374,0.03827,0.03043,0.0322,0.03068,0.02827,0.03373,0.03239,0.03712,0.02953,0.0368,0.03163,0.02948,0.03807,0.03513,0.03165,0.02971,0.03306,0.04212,0.02894,0.03466,0.02934,0.03361,0.0288,0.03381
HT OD,,m,0.04917,0.05496,0.0429,0.05247,0.04979,0.05372,0.055,0.05533,0.04439,0.04882,0.05136,0.04498,0.04318,0.04209,0.05207,0.05823,0.04341,0.05036,0.04245,0.04235,0.0556,0.04856,0.04294,0.04845,0.05085,0.05294,0.0431,0.04628,0.05616,0.04319,0.04671,0.04275,0.04626,0.05229,0.04684,0.05425,0.04303,0.04552,0.04317,0.04278,0.04312,0.05359,0.0453,0.04304,0.05119,0.0436,0.056,0.04251,0.04818,0.04286,0.04952,0.04464,0.05198,0.05651,0.04327,0.05537,0.04514,0.05254,0.05506,0.04872,0.05606,0.04665,0.05075,0.04291,0.04662,0.05284,0.053,0.05908,0.04266,0.05249,0.04865,0.05746,0.05075,0.05441,0.0608,0.0526,0.04353,0.06214,0.05334,0.04824,0.04522,0.04506,0.04728,0.05341,0.04475,0.0525,0.0436,0.04503,0.043,0.04441,0.06083,0.04271,0.05982,0.05027,0.04814,0.05418,0.04256,0.04409,0.05003,0.05028,0.05226,0.04731,0.04641,0.04719,0.043,0.05508,0.04468,0.05878,0.04736,0.0532,0.05403,0.04314,0.04905,0.05785,0.04312,0.05107,0.04522,0.04315,0.04235,0.04243,0.06053,0.04309,0.05075,0.05544,0.04427,0.05084,0.05345,0.04743,0.05032,0.04277,0.0498,0.0518,0.04554,0.04216,0.04514,0.0422,0.05559,0.0527,0.05202,0.05599,0.05798,0.04804,0.04251,0.05104,0.05327,0.04266,0.04977,0.055,0.04288,0.05213,0.0427,0.05577,0.04608,0.04754,0.0428,0.05165,0.05248,0.0489,0.04305,0.04359,0.05128,0.05106,0.04522,0.04313,0.04311,0.0535,0.04266,0.04781,0.051,0.04414,0.04594,0.04313,0.04922,0.04232,0.04238,0.04697,0.04247,0.0525,0.04274,0.04643,0.04286,0.04301,0.06087,0.04981,0.05246,0.04478,0.04323,0.04256,0.05146,0.04428,0.04913,0.05024,0.04925,0.04436,0.0426,0.04958,0.04502,0.04307,0.04354,0.04317,0.04788,0.04851,0.05707,0.04565,0.04304,0.04267,0.05551,0.04472,0.04844,0.05511,0.04732,0.05242,0.0507,0.05327,0.0431
DT OD,,m,0.04783,0.03494,0.0395,0.03592,0.04318,0.03604,0.04385,0.03653,0.044,0.0366,0.04598,0.0449,0.03711,0.03796,0.03545,0.03462,0.0452,0.03976,0.03753,0.04314,0.03384,0.03714,0.04017,0.04246,0.0371,0.03378,0.04031,0.05071,0.03428,0.04562,0.05159,0.03778,0.03665,0.03584,0.03534,0.04865,0.04021,0.04084,0.04326,0.03849,0.04123,0.03511,0.04358,0.04152,0.03487,0.04546,0.0364,0.03701,0.04537,0.0402,0.03677,0.04366,0.03407,0.04433,0.04022,0.03577,0.0378,0.03675,0.03683,0.03839,0.04031,0.03631,0.03929,0.04423,0.05079,0.03461,0.03644,0.03329,0.04664,0.03779,0.03756,0.03509,0.03771,0.03578,0.03433,0.03749,0.04274,0.03711,0.0455,0.05877,0.04171,0.0388,0.03568,0.03623,0.05139,0.03679,0.04321,0.04379,0.03993,0.04536,0.03454,0.04245,0.03595,0.0372,0.0394,0.03509,0.03957,0.05106,0.04928,0.0365,0.03682,0.03653,0.04958,0.03865,0.03765,0.03458,0.0423,0.03433,0.05006,0.03692,0.03783,0.04052,0.03947,0.03572,0.03842,0.03656,0.03756,0.04333,0.03899,0.03816,0.03337,0.04503,0.03704,0.03875,0.03909,0.04107,0.03674,0.04409,0.03537,0.0396,0.03772,0.03589,0.0454,0.03763,0.04835,0.03815,0.03427,0.04345,0.0384,0.03719,0.03401,0.04784,0.04351,0.03521,0.0386,0.03935,0.04476,0.03605,0.03994,0.03666,0.03929,0.03839,0.03824,0.05315,0.03758,0.04199,0.03704,0.04638,0.0425,0.04363,0.03477,0.03779,0.03878,0.04088,0.03639,0.03484,0.03899,0.04432,0.03691,0.04649,0.04273,0.03983,0.04222,0.03907,0.038,0.03859,0.03944,0.03479,0.04061,0.04163,0.04331,0.04181,0.03407,0.04692,0.03616,0.04305,0.04649,0.03779,0.04047,0.04304,0.0414,0.04296,0.03672,0.03745,0.04269,0.03504,0.04288,0.04321,0.04268,0.0389,0.04244,0.03768,0.03466,0.04921,0.04573,0.03793,0.03547,0.04352,0.04964,0.03432,0.04206,0.03514,0.03738,0.03452,0.04598
