Design Study 1
Scenarios/Iterations:, 240
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219,Scenario 220,Scenario 221,Scenario 222,Scenario 223,Scenario 224,Scenario 225,Scenario 226,Scenario 227,Scenario 228,Scenario 229,Scenario 230,Scenario 231,Scenario 232,Scenario 233,Scenario 234,Scenario 235,Scenario 236,Scenario 237,Scenario 238,Scenario 239,Scenario 240
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.421009,0.407431,0.377474,0.425488,0.385039,0.394293,0.393044,0.399247,0.382491,0.393724,0.404385,0.381766,0.397912,0.406464,0.397038,0.397299,0.384174,0.353626,0.351329,0.339881,0.394069,0.391955,0.399318,0.407270,0.381251,0.384280,0.355400,0.408292,0.401992,0.418187,0.410224,0.414343,0.391702,0.397424,0.410460,0.383612,0.447245,0.407248,0.413897,0.384687,0.361592,0.399194,0.448174,0.412500,0.454022,0.350691,0.356430,0.413521,0.406513,0.407211,0.402886,0.372937,0.402858,0.399900,0.391536,0.410823,0.391755,0.405718,0.349158,0.372205,0.334726,0.398950,0.371259,0.407785,0.355202,0.385884,0.380973,0.408004,0.416025,0.403863,0.444175,0.400427,0.392331,0.359208,0.384783,0.433272,0.397214,0.414031,0.420231,0.330828,0.400316,0.403478,0.405168,0.421440,0.363588,0.382050,0.388451,0.399341,0.398830,0.411326,0.377572,0.432782,0.354163,0.397644,0.446361,0.372486,0.406181,0.409766,0.354056,0.352183,0.391539,0.428517,0.398853,0.405439,0.412432,0.390896,0.393941,0.392546,0.358107,0.398536,0.428779,0.411675,0.411358,0.412100,0.391539,0.417585,0.425543,0.387683,0.408690,0.411790,0.413500,0.372294,0.382136,0.404860,0.422188,0.408282,0.396018,0.375508,0.383887,0.339626,0.409749,0.352531,0.413818,0.364257,0.426295,0.379815,0.358295,0.383024,0.404351,0.373269,0.444451,0.391464,0.421200,0.402897,0.368944,0.382409,0.385810,0.404279,0.404130,0.410908,0.394344,0.380256,0.428879,0.441862,0.362934,0.355572,0.385185,0.414432,0.406357,0.381139,0.395331,0.448288,0.399881,0.404437,0.383365,0.388276,0.349983,0.442111,0.376405,0.412018,0.380720,0.409355,0.396194,0.390719,0.407128,0.420716,0.395942,0.409328,0.409790,0.446837,0.395250,0.346782,0.338947,0.408598,0.451387,0.410888,0.382294,0.430407,0.427766,0.439668,0.450563,0.407550,0.414088,0.412924,0.395680,0.389150,0.411271,0.412376,0.397478,0.407646,0.378127,0.416787,0.399891,0.398392,0.356452,0.400411,0.409541,0.394242,0.379568,0.391626,0.397826,0.400287,0.375463,0.392075,0.413285,0.395889,0.421091,0.352501,0.413710,0.387649,0.418913,0.392183,0.401708,0.394074,0.412969,0.376232,0.391508,0.392890,0.365642,0.428910,0.402999,0.399517,0.399286,0.403181,0.412166,0.403716,0.411686,0.409988,0.398345,0.377762
BB Drop,,N/A,0.046941,0.049273,0.046528,-0.008737,0.042961,-0.007330,0.032247,0.019195,0.033753,0.018131,0.013134,0.031714,0.001416,0.010774,0.033034,0.016078,0.023665,-0.021194,-0.038054,-0.023204,-0.050099,0.046755,0.024545,0.000408,0.049736,-0.003946,-0.019761,-0.026225,0.042653,0.049642,0.045845,0.046271,0.023671,0.001178,0.019795,0.051470,0.014030,0.047316,0.045613,0.046999,-0.008261,-0.024178,0.050667,0.049500,0.051226,0.034264,-0.019007,-0.022825,0.040090,0.037201,0.033001,0.049788,-0.011028,0.015779,0.035231,0.002538,0.017466,0.038875,0.049322,-0.013050,0.005283,-0.033132,0.029844,-0.018406,0.037754,-0.059788,0.016055,0.016138,0.032264,0.040752,0.049207,0.035527,0.028393,0.050451,-0.015323,-0.013786,0.024166,0.020521,0.050811,0.050615,-0.046537,0.057306,0.043086,0.045446,0.052307,-0.034491,-0.014023,-0.000688,0.043469,0.027135,0.043340,0.002466,0.060911,-0.023912,0.016344,0.023498,-0.033691,0.017041,0.051990,-0.027085,-0.019867,0.007193,0.054808,0.019587,0.050990,0.047111,0.011758,0.014151,0.014173,-0.030225,0.026275,0.052011,0.041472,0.040939,0.044157,-0.001945,0.002718,0.063134,0.001335,0.050707,0.042550,0.043722,-0.009296,0.002102,0.025803,0.044375,0.049864,0.043296,0.005755,0.038570,-0.030787,0.050409,-0.022595,0.047296,-0.004952,0.052821,-0.010771,-0.028525,-0.022161,0.045723,-0.005552,0.041219,0.004837,0.023953,0.032943,-0.010229,-0.000367,0.009979,0.006263,0.038313,0.034467,0.031596,0.008280,0.033027,0.028809,-0.014718,-0.030354,0.001892,0.042083,0.041191,0.035112,0.028377,0.037229,0.025792,0.046987,0.003597,0.013573,-0.035346,0.032323,-0.024847,0.045591,0.011004,0.064566,0.043519,-0.004497,0.008039,0.049029,0.029215,0.029671,0.045709,0.035092,0.035903,-0.037233,-0.042349,0.043477,0.047763,0.041026,-0.006528,0.047358,0.058782,0.050543,0.012891,0.042937,0.059121,0.022823,0.040128,-0.010144,0.028146,0.053029,0.028546,0.047536,-0.012825,0.054865,0.011909,0.050748,-0.018325,0.035699,0.048476,0.003352,-0.001929,0.051437,0.011201,0.049948,0.010596,0.011204,0.027815,0.041803,0.052372,-0.037477,0.044263,0.009755,0.015435,0.007821,0.005427,0.051985,0.026022,-0.019269,0.023913,0.023595,-0.015307,0.031045,0.026461,0.016153,0.028453,0.028284,0.043366,0.008916,0.047848,0.000219,0.046220,-0.007927
Stack,,m,0.56549,0.57762,0.5646,0.55586,0.57541,0.56413,0.55977,0.56342,0.56363,0.55736,0.56473,0.56307,0.55896,0.564,0.5627,0.56182,0.55966,0.56192,0.55933,0.56084,0.56048,0.56472,0.56349,0.56072,0.57202,0.56219,0.55698,0.56095,0.56291,0.57419,0.56428,0.56509,0.56489,0.5608,0.56359,0.56659,0.56322,0.57314,0.56464,0.56676,0.56392,0.55636,0.56369,0.58423,0.5687,0.56242,0.56258,0.56106,0.56266,0.564,0.56499,0.56327,0.56327,0.56458,0.56208,0.56029,0.56663,0.56187,0.56436,0.56121,0.56298,0.55857,0.56402,0.56294,0.56488,0.56014,0.56371,0.56239,0.55976,0.5632,0.56433,0.57722,0.56072,0.5648,0.56041,0.56064,0.56036,0.56255,0.57417,0.58178,0.56143,0.56995,0.56295,0.56414,0.58487,0.56224,0.56153,0.5611,0.56361,0.56469,0.5671,0.56185,0.58577,0.56059,0.56023,0.5632,0.56205,0.56982,0.56736,0.56341,0.56033,0.56452,0.58765,0.56479,0.56547,0.56378,0.56346,0.56205,0.56439,0.55834,0.55975,0.58549,0.56332,0.56462,0.56435,0.55985,0.55998,0.57797,0.56441,0.56495,0.56209,0.56726,0.561,0.56198,0.56097,0.57152,0.5725,0.56373,0.56295,0.56264,0.56246,0.56541,0.56118,0.56992,0.56051,0.58156,0.56391,0.56276,0.55786,0.56309,0.5623,0.57495,0.56092,0.56298,0.56374,0.56004,0.55826,0.56439,0.5637,0.56331,0.56309,0.56343,0.55844,0.56263,0.56279,0.56267,0.56148,0.56483,0.56902,0.56454,0.56018,0.56171,0.56303,0.56168,0.5851,0.56268,0.5638,0.56216,0.56225,0.55776,0.56516,0.56191,0.57512,0.56309,0.56007,0.55881,0.58001,0.55976,0.56496,0.58848,0.56221,0.5635,0.56341,0.5618,0.56444,0.57872,0.56671,0.56241,0.57258,0.57686,0.57561,0.56293,0.56518,0.57162,0.56383,0.55913,0.56224,0.56881,0.57556,0.56309,0.56497,0.56425,0.58297,0.56252,0.56414,0.55718,0.56389,0.5637,0.56062,0.56335,0.56292,0.56047,0.56423,0.56252,0.56025,0.56098,0.56291,0.57396,0.56355,0.58907,0.56465,0.56204,0.56502,0.56162,0.56473,0.5691,0.55892,0.56313,0.56202,0.56294,0.57399,0.56361,0.5602,0.5608,0.56083,0.56527,0.56144,0.56509,0.55927,0.56461,0.5642
SS E,,N/A,0.209030,0.073703,0.060171,0.050965,0.060670,0.055510,0.079347,0.060835,0.059888,0.066051,0.056063,0.078090,0.057996,0.057083,0.063433,0.056401,0.054835,0.059325,0.051859,0.056727,0.053134,0.057651,0.058433,0.055085,0.070609,0.058143,0.047949,0.056455,0.057934,0.095390,0.055964,0.059339,0.060111,0.053706,0.058630,0.058325,0.057351,0.115996,0.055183,0.079868,0.055419,0.048739,0.056812,0.109028,0.059223,0.053113,0.054403,0.056296,0.055742,0.058284,0.057149,0.097566,0.055576,0.057901,0.070254,0.054387,0.061004,0.054364,0.056651,0.052333,0.051788,0.055377,0.056279,0.054448,0.056645,0.050722,0.055293,0.054314,0.050041,0.058725,0.061312,0.070877,0.060871,0.057114,0.054872,0.055780,0.046393,0.056812,0.071713,0.100670,0.053891,0.128017,0.070791,0.057795,0.129831,0.053544,0.059857,0.067916,0.056893,0.053381,0.057264,0.059988,0.171967,0.054027,0.069907,0.061575,0.052394,0.058157,0.059609,0.048951,0.053145,0.056631,0.149798,0.056763,0.060884,0.054518,0.057528,0.072557,0.056456,0.052237,0.054018,0.131034,0.075969,0.057629,0.060790,0.055843,0.050164,0.124007,0.055823,0.059122,0.053971,0.095547,0.055432,0.058696,0.061423,0.058225,0.061235,0.071633,0.057048,0.059311,0.050660,0.054698,0.055242,0.074757,0.055210,0.118091,0.055535,0.054603,0.047852,0.059646,0.055729,0.060814,0.059383,0.071013,0.060238,0.059646,0.053322,0.053346,0.058580,0.068727,0.061318,0.054971,0.050125,0.058086,0.059393,0.056029,0.053857,0.053316,0.093031,0.053431,0.047701,0.054749,0.054914,0.061373,0.099429,0.060622,0.056082,0.053595,0.054015,0.048041,0.055508,0.053688,0.146755,0.057702,0.054407,0.048227,0.125616,0.056509,0.069852,0.093023,0.053053,0.055112,0.053238,0.053291,0.057037,0.102229,0.068249,0.057108,0.080333,0.106673,0.108158,0.057922,0.057033,0.087639,0.060250,0.058862,0.054666,0.059129,0.094269,0.060418,0.078630,0.054086,0.124436,0.060385,0.060961,0.059757,0.058292,0.057845,0.053806,0.055546,0.054109,0.057574,0.057430,0.049644,0.053389,0.057891,0.078458,0.084793,0.053338,0.084914,0.053800,0.058319,0.054234,0.055131,0.092048,0.061714,0.050071,0.058510,0.084081,0.055678,0.060549,0.082654,0.060198,0.053393,0.060463,0.059858,0.061430,0.097731,0.058278,0.058970,0.051809
ST Angle,,N/A,1.293070,1.258498,1.266091,1.276034,1.254559,1.253091,1.268942,1.262148,1.265987,1.271704,1.261009,1.256838,1.304596,1.252467,1.260070,1.262815,1.349810,1.237395,1.257066,1.267627,1.257909,1.268836,1.265157,1.247605,1.266237,1.251941,1.264403,1.258458,1.278865,1.266441,1.277997,1.266920,1.249809,1.258859,1.260764,1.268505,1.266922,1.248408,1.261919,1.260527,1.252360,1.290727,1.277440,1.252356,1.267897,1.263696,1.269639,1.262066,1.272805,1.264944,1.260600,1.266392,1.256497,1.255459,1.266327,1.266898,1.247448,1.270854,1.268978,1.271517,1.268517,1.265599,1.261543,1.252656,1.262824,1.229420,1.261458,1.257986,1.418988,1.262795,1.277395,1.243900,1.282810,1.271387,1.261229,1.244274,1.277924,1.249022,1.263890,1.258112,1.266330,1.266374,1.265753,1.264006,1.254561,1.245867,1.242444,1.248582,1.276856,1.263213,1.256399,1.263900,1.249854,1.271274,1.262962,1.241858,1.240559,1.250620,1.270125,1.262535,1.264729,1.255664,1.250990,1.261174,1.270082,1.280501,1.257146,1.259694,1.256196,1.266715,1.368279,1.253340,1.256531,1.262055,1.267380,1.258534,1.248428,1.260281,1.258940,1.267894,1.351877,1.251670,1.260272,1.253944,1.273178,1.258480,1.266222,1.279469,1.268942,1.278049,1.265702,1.280113,1.263941,1.259346,1.278558,1.257248,1.252976,1.254679,1.261612,1.281190,1.262962,1.249754,1.255687,1.242206,1.263834,1.251856,1.270867,1.260524,1.247694,1.268816,1.268095,1.263663,1.329411,1.258486,1.257484,1.265166,1.258066,1.260528,1.251616,1.260033,1.293543,1.305301,1.269136,1.246118,1.257745,1.257398,1.259454,1.257542,1.260862,1.269335,1.273120,1.262934,1.259336,1.409270,1.257691,1.272552,1.250505,1.276232,1.249247,1.251939,1.273570,1.269907,1.263797,1.251891,1.296219,1.252228,1.259588,1.253158,1.255559,1.262370,1.256255,1.234011,1.267422,1.268041,1.245303,1.285127,1.245337,1.252015,1.263987,1.262421,1.263826,1.256806,1.258530,1.251855,1.279497,1.252938,1.268104,1.273576,1.261216,1.256005,1.350861,1.263961,1.276538,1.262037,1.275135,1.257576,1.274067,1.263284,1.259169,1.243454,1.262062,1.241088,1.257995,1.250804,1.275205,1.248445,1.268168,1.264075,1.264908,1.262620,1.249201,1.249375,1.266604,1.322113,1.279350,1.259085,1.246478,1.262494,1.237266,1.263969,1.256178
BB OD,,m,0.04017,0.04021,0.04206,0.04037,0.0401,0.03924,0.03957,0.03926,0.03953,0.03971,0.03955,0.03879,0.03927,0.03929,0.03962,0.0403,0.04033,0.04013,0.03885,0.03896,0.03863,0.04025,0.03937,0.04026,0.04,0.03875,0.04192,0.03837,0.0405,0.03992,0.04337,0.04036,0.03971,0.0405,0.04005,0.04014,0.0395,0.03856,0.0393,0.03949,0.03919,0.03991,0.04005,0.0398,0.04029,0.04643,0.03878,0.03863,0.04231,0.03987,0.03976,0.03847,0.03878,0.03967,0.03945,0.04014,0.03983,0.03925,0.0398,0.03872,0.03901,0.03789,0.03876,0.03845,0.0398,0.03802,0.03902,0.03868,0.04484,0.04293,0.04044,0.03958,0.03989,0.04044,0.03795,0.03938,0.04799,0.03911,0.04012,0.03977,0.03838,0.03924,0.04026,0.04024,0.03937,0.03821,0.0394,0.03858,0.04005,0.03924,0.03882,0.03901,0.03877,0.03918,0.03945,0.04206,0.03909,0.03955,0.04026,0.03835,0.03802,0.03929,0.03907,0.03972,0.03989,0.04421,0.03881,0.0392,0.03852,0.03976,0.04043,0.03937,0.04024,0.03993,0.04029,0.03994,0.04356,0.03922,0.0395,0.03963,0.04395,0.03974,0.03916,0.0382,0.04004,0.03954,0.04018,0.03995,0.03947,0.03937,0.03823,0.04464,0.0384,0.03979,0.03938,0.03945,0.03896,0.03839,0.0411,0.04046,0.03963,0.04,0.03944,0.04047,0.03965,0.0374,0.04039,0.03905,0.04018,0.03989,0.04024,0.03933,0.04021,0.0415,0.04148,0.0391,0.03883,0.03925,0.03841,0.03966,0.03917,0.0402,0.04463,0.03939,0.04014,0.03883,0.03903,0.03844,0.0445,0.04016,0.04186,0.03828,0.03853,0.04057,0.04013,0.04322,0.0395,0.04033,0.03859,0.04038,0.04537,0.03962,0.03843,0.03741,0.04222,0.03928,0.03895,0.03997,0.03894,0.03955,0.03919,0.04226,0.03947,0.03972,0.03931,0.04004,0.0401,0.03943,0.03977,0.03934,0.04005,0.03918,0.0396,0.03937,0.0404,0.0371,0.03959,0.04313,0.04041,0.03876,0.0403,0.04007,0.04011,0.03859,0.04033,0.04421,0.03996,0.03954,0.03841,0.04101,0.03923,0.04027,0.03938,0.04173,0.03988,0.03977,0.04003,0.03914,0.03914,0.03914,0.03977,0.03806,0.03985,0.04064,0.04004,0.0401,0.0396,0.03885,0.04538,0.04044,0.03861
TT OD,,m,0.03705,0.02864,0.03727,0.02931,0.03036,0.02885,0.02881,0.0332,0.03155,0.0287,0.02904,0.0284,0.04065,0.02957,0.03557,0.03078,0.0456,0.02866,0.02899,0.02804,0.0282,0.02975,0.02981,0.03525,0.02834,0.03178,0.02976,0.02768,0.03927,0.02825,0.0443,0.03088,0.03069,0.0297,0.02919,0.02902,0.02941,0.02804,0.0283,0.0288,0.02889,0.0289,0.02933,0.02835,0.02929,0.04378,0.02846,0.02927,0.03848,0.03094,0.02945,0.02759,0.029,0.02948,0.02877,0.03336,0.02929,0.02865,0.02868,0.02845,0.02866,0.02743,0.02802,0.0278,0.02937,0.02859,0.02923,0.02927,0.05956,0.03606,0.03692,0.02936,0.04756,0.03033,0.02766,0.03049,0.04766,0.0295,0.0287,0.02876,0.0282,0.02725,0.03744,0.02967,0.0276,0.02877,0.02826,0.03892,0.03155,0.02885,0.0279,0.03282,0.02746,0.02888,0.04438,0.03432,0.02865,0.02898,0.02925,0.02824,0.02772,0.02923,0.02728,0.02921,0.02837,0.03987,0.02839,0.03977,0.02814,0.02845,0.04798,0.02765,0.03094,0.02964,0.03598,0.03471,0.04525,0.02795,0.02869,0.02844,0.04976,0.02918,0.02959,0.02795,0.052,0.02892,0.02854,0.0363,0.02888,0.03332,0.02839,0.04162,0.02787,0.02905,0.02904,0.0279,0.02894,0.02869,0.02963,0.04101,0.02873,0.02956,0.03609,0.03091,0.0317,0.02728,0.02924,0.02903,0.02943,0.03619,0.04597,0.02934,0.03021,0.03872,0.05167,0.02834,0.02851,0.02865,0.02776,0.02897,0.02942,0.0346,0.04802,0.03171,0.02909,0.03413,0.02946,0.02853,0.04197,0.02978,0.04184,0.02776,0.02702,0.04974,0.03289,0.04375,0.0286,0.02977,0.02826,0.02915,0.04913,0.02916,0.02808,0.02895,0.05047,0.02865,0.02833,0.02868,0.02821,0.0284,0.0284,0.03858,0.02873,0.02868,0.03218,0.0295,0.02934,0.02894,0.02821,0.0333,0.02932,0.02834,0.02793,0.03463,0.03683,0.0269,0.02894,0.03809,0.03158,0.02932,0.03162,0.03609,0.03094,0.02867,0.03176,0.0358,0.03747,0.02837,0.02823,0.0289,0.02894,0.03885,0.02883,0.03154,0.02877,0.02926,0.02958,0.03085,0.04035,0.02843,0.02946,0.02784,0.04077,0.03784,0.04759,0.03007,0.03948,0.02816,0.03506,0.02971,0.02823
HT OD,,m,0.04917,0.04217,0.0495,0.04313,0.04901,0.04768,0.04982,0.04654,0.04707,0.04921,0.04655,0.04408,0.04261,0.04842,0.04885,0.04761,0.04215,0.05153,0.04566,0.04763,0.0457,0.04874,0.04674,0.04917,0.04317,0.04748,0.04313,0.04739,0.04329,0.04509,0.04418,0.04917,0.05045,0.04687,0.04879,0.04441,0.04747,0.04154,0.04199,0.04658,0.04788,0.04311,0.04824,0.04138,0.04513,0.04476,0.0477,0.04543,0.04422,0.04804,0.04732,0.04319,0.04629,0.04944,0.04883,0.04465,0.05003,0.04787,0.04469,0.04844,0.04562,0.04995,0.0417,0.0448,0.04683,0.05085,0.04567,0.046,0.0412,0.04713,0.04911,0.04772,0.04292,0.0497,0.04592,0.04962,0.04238,0.0464,0.04263,0.04444,0.04702,0.04692,0.05266,0.04728,0.0417,0.04718,0.05032,0.04804,0.04699,0.04284,0.04069,0.04488,0.04232,0.04554,0.04566,0.05022,0.04999,0.04679,0.04719,0.04349,0.04669,0.04691,0.04137,0.04773,0.04491,0.04346,0.04369,0.04633,0.04221,0.04482,0.0419,0.0415,0.0499,0.04841,0.04985,0.04605,0.04644,0.04221,0.04726,0.043,0.04225,0.0505,0.04607,0.04343,0.04373,0.04202,0.04319,0.04657,0.04734,0.04473,0.04716,0.04483,0.04749,0.04858,0.04653,0.0418,0.04711,0.04612,0.04354,0.04601,0.04711,0.04353,0.047,0.05064,0.04775,0.04311,0.04443,0.04399,0.0508,0.04792,0.04626,0.04565,0.04304,0.048,0.0478,0.04701,0.04623,0.04467,0.04131,0.04246,0.04842,0.04307,0.04507,0.05158,0.04782,0.04623,0.04634,0.04603,0.04571,0.0432,0.04713,0.04199,0.04254,0.04224,0.04648,0.04265,0.04754,0.04573,0.04233,0.04629,0.04321,0.04735,0.04638,0.04509,0.04379,0.04282,0.04222,0.04875,0.04153,0.04249,0.04233,0.05313,0.04285,0.04323,0.05054,0.04793,0.04981,0.04418,0.04271,0.04725,0.05069,0.04623,0.04236,0.04938,0.04913,0.04632,0.04672,0.04652,0.0458,0.04629,0.04975,0.0452,0.047,0.04314,0.04332,0.04652,0.04852,0.04216,0.04607,0.04344,0.04444,0.05212,0.04492,0.04774,0.05074,0.04907,0.04406,0.04628,0.0464,0.04696,0.04828,0.04193,0.04453,0.04266,0.04298,0.04886,0.05068,0.04279,0.049,0.0493,0.04307
DT OD,,m,0.04783,0.03682,0.05097,0.03661,0.03776,0.0355,0.03767,0.04468,0.04103,0.03718,0.03586,0.03668,0.05769,0.0372,0.04701,0.03916,0.05928,0.03613,0.03813,0.03526,0.03624,0.04493,0.03979,0.04825,0.03777,0.04415,0.03715,0.0345,0.05074,0.03999,0.05598,0.04155,0.03768,0.03751,0.03677,0.03743,0.03763,0.03682,0.03666,0.03756,0.03568,0.03616,0.04112,0.03664,0.03737,0.05039,0.03565,0.03908,0.04703,0.04043,0.03691,0.03798,0.03668,0.037,0.03733,0.04473,0.03651,0.03759,0.03757,0.0358,0.03566,0.03455,0.03568,0.0339,0.03692,0.03731,0.03704,0.0378,0.07368,0.04398,0.05325,0.03704,0.06469,0.04938,0.03448,0.04443,0.05304,0.03725,0.0372,0.03912,0.03587,0.04346,0.05381,0.03823,0.03759,0.03611,0.03546,0.0553,0.04267,0.03598,0.03567,0.04602,0.0403,0.03701,0.06241,0.04107,0.03668,0.03571,0.0377,0.03422,0.03445,0.03627,0.03762,0.03641,0.03794,0.04819,0.03527,0.05588,0.03495,0.03592,0.06185,0.0374,0.04279,0.03764,0.04858,0.04905,0.05676,0.0377,0.03547,0.03733,0.06164,0.04031,0.04011,0.03489,0.07137,0.03612,0.03759,0.05168,0.03644,0.051,0.03561,0.05224,0.03456,0.03797,0.03709,0.0374,0.03588,0.03665,0.03716,0.05544,0.03643,0.03677,0.05124,0.03806,0.04157,0.03449,0.03667,0.03585,0.03692,0.04878,0.06261,0.03752,0.03761,0.0485,0.06826,0.03553,0.03648,0.03484,0.03627,0.03659,0.04272,0.0443,0.05922,0.04201,0.04144,0.04725,0.03756,0.03655,0.04954,0.03804,0.05508,0.03502,0.04057,0.06598,0.04523,0.05387,0.04126,0.03768,0.036,0.03933,0.05937,0.03747,0.03457,0.03806,0.06676,0.03738,0.03648,0.03618,0.03639,0.03756,0.03734,0.04739,0.03664,0.03766,0.04012,0.04087,0.03737,0.03603,0.03771,0.04357,0.04154,0.03452,0.03817,0.04774,0.05611,0.03463,0.03686,0.04866,0.04026,0.03728,0.04889,0.04929,0.04329,0.03627,0.03982,0.04135,0.05365,0.03713,0.03463,0.03767,0.03543,0.05152,0.03516,0.03848,0.04612,0.03659,0.03772,0.04132,0.05473,0.03577,0.03662,0.03588,0.05634,0.04736,0.06421,0.03792,0.05573,0.03733,0.04059,0.04281,0.03388
