Design Study 1
Scenarios/Iterations:, 226
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219,Scenario 220,Scenario 221,Scenario 222,Scenario 223,Scenario 224,Scenario 225,Scenario 226
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.405561,0.404951,0.396183,0.404092,0.379235,0.376254,0.413718,0.411894,0.347464,0.366875,0.320288,0.362553,0.407516,0.332490,0.400046,0.397294,0.378226,0.352251,0.356233,0.407374,0.430626,0.377359,0.375334,0.407864,0.390007,0.394943,0.385390,0.415209,0.410049,0.408877,0.370174,0.326072,0.404670,0.323633,0.400398,0.365602,0.410942,0.405811,0.388929,0.388487,0.407461,0.390607,0.410336,0.408989,0.413218,0.411151,0.412280,0.404385,0.374848,0.335286,0.363058,0.401449,0.391371,0.437072,0.379885,0.390285,0.403265,0.406054,0.419121,0.347850,0.345978,0.407778,0.441069,0.409475,0.400659,0.362267,0.406787,0.413213,0.395241,0.384411,0.376176,0.366412,0.403148,0.409884,0.401807,0.374382,0.406475,0.357670,0.409342,0.401232,0.434635,0.390496,0.316579,0.412457,0.401874,0.394037,0.410865,0.317940,0.370846,0.383575,0.364606,0.366737,0.324607,0.350214,0.417424,0.373499,0.408396,0.396466,0.328939,0.410600,0.385467,0.397056,0.338889,0.407916,0.407047,0.406810,0.381458,0.400900,0.411427,0.351180,0.349639,0.395515,0.433443,0.407353,0.403171,0.399065,0.336498,0.410000,0.387909,0.409947,0.367813,0.355462,0.412746,0.342829,0.409609,0.389700,0.384067,0.352775,0.384188,0.401949,0.398632,0.364033,0.366722,0.403588,0.407585,0.395151,0.351692,0.397314,0.409198,0.410409,0.403543,0.409109,0.372935,0.387878,0.402981,0.381032,0.392028,0.398548,0.410425,0.336272,0.394971,0.402805,0.318235,0.398497,0.408587,0.424747,0.389935,0.392084,0.403992,0.411382,0.380033,0.398474,0.382706,0.405358,0.404541,0.395459,0.402879,0.401504,0.399904,0.363993,0.380959,0.407260,0.404099,0.365266,0.399322,0.384499,0.410824,0.315042,0.392239,0.365202,0.413877,0.408075,0.412410,0.407825,0.387640,0.407598,0.386664,0.413530,0.402731,0.395583,0.386521,0.347042,0.384203,0.373390,0.401380,0.373425,0.408039,0.347686,0.413699,0.385280,0.426001,0.406477,0.405070,0.392145,0.405663,0.408795,0.389388,0.413859,0.359081,0.371895,0.407975,0.398982,0.358874,0.362582,0.341122,0.410243,0.384261,0.361190,0.364036,0.383844,0.400094,0.352566,0.392897,0.374799,0.384417,0.403039
BB Drop,,N/A,0.046941,0.050590,0.065583,0.013723,0.063407,0.006090,0.033080,0.014107,0.013197,-0.033322,0.014910,-0.033477,-0.028184,0.050400,-0.005123,0.037646,0.051715,0.004920,0.011839,-0.015939,0.031730,0.012738,0.032590,0.015964,0.028378,0.022489,0.015668,0.046469,0.026605,0.048367,0.046032,0.007113,-0.034477,0.042280,-0.041382,0.071246,0.006512,0.029634,0.058819,0.037423,0.010756,0.068830,0.018186,0.039062,0.016296,0.045020,0.011445,0.038986,-0.019723,-0.005144,-0.018235,0.023109,0.067900,0.076131,-0.003000,0.037357,0.047722,0.049933,0.029750,0.037283,-0.027526,-0.025150,-0.010057,0.013193,0.048945,0.067053,0.002018,0.028423,0.011187,0.026451,0.017637,-0.013471,0.005597,0.005471,0.059788,0.026042,0.001172,0.023930,0.001701,0.048892,0.027514,0.020181,-0.008664,-0.027781,0.031768,0.043045,0.074200,-0.005665,-0.027053,0.026215,0.011840,-0.003127,-0.009708,-0.014324,0.003202,0.041625,0.003400,0.044534,0.024731,-0.038464,0.048244,0.006654,0.081676,-0.035841,0.059253,0.019355,0.048057,0.007977,0.062564,0.039632,-0.003840,0.014060,0.040476,-0.004386,0.031394,0.059924,0.049559,-0.019088,0.046015,0.017945,0.044364,-0.027716,-0.002325,0.003577,-0.020454,0.033350,-0.014076,-0.009287,-0.009048,0.015901,0.076820,0.065302,0.005626,-0.013745,0.037593,0.025101,0.041466,-0.034203,0.028993,0.031511,0.039024,0.059117,0.043837,0.011138,0.004769,0.059524,0.016866,-0.015095,0.053991,-0.001015,-0.021430,0.041791,0.020596,-0.027305,0.069890,0.048897,0.014104,0.028413,-0.024329,0.023341,0.040543,-0.002600,0.013074,0.001842,0.054210,0.024927,0.028237,0.040721,0.052034,0.050009,0.002300,0.044040,0.051761,0.050080,0.020835,0.011900,-0.002226,-0.009742,-0.048807,-0.008959,-0.009550,0.032787,0.016195,0.028277,-0.001385,-0.003993,0.015642,-0.002703,0.044481,0.026619,0.038528,0.014403,-0.043692,0.043215,0.009029,0.031496,-0.004731,0.033259,0.001409,-0.005662,0.021819,0.017307,0.064417,0.032473,-0.000244,0.042189,0.034528,-0.001923,0.044411,-0.000739,0.034023,0.045781,0.066062,-0.005596,-0.010080,-0.055169,0.044814,0.015942,-0.004045,0.006932,0.043600,0.069152,0.016968,0.002033,0.001259,0.013792,0.043144
Stack,,m,0.56549,0.56241,0.55881,0.56105,0.5628,0.56512,0.56204,0.56479,0.56378,0.56423,0.56357,0.56496,0.56437,0.55996,0.56236,0.56413,0.55959,0.56391,0.56098,0.56657,0.56513,0.56414,0.56253,0.56468,0.56411,0.56466,0.56457,0.56127,0.56159,0.5614,0.56355,0.56378,0.5655,0.56212,0.56729,0.56114,0.56419,0.56369,0.56173,0.56262,0.56483,0.56269,0.56474,0.56267,0.56429,0.56115,0.5644,0.56279,0.56341,0.56467,0.56517,0.55869,0.56028,0.55779,0.56339,0.56187,0.55711,0.56138,0.56423,0.56039,0.56477,0.56472,0.5635,0.56296,0.56268,0.56197,0.56374,0.56489,0.56426,0.56096,0.56492,0.56404,0.56494,0.56436,0.5635,0.56445,0.56476,0.56422,0.56484,0.55968,0.56467,0.56431,0.5641,0.56422,0.56225,0.56341,0.5578,0.5635,0.56487,0.55846,0.56485,0.56837,0.56596,0.56157,0.56443,0.56251,0.56477,0.56042,0.56458,0.56505,0.56215,0.56744,0.55884,0.56801,0.56285,0.56443,0.56158,0.56586,0.56063,0.56283,0.56458,0.55942,0.56154,0.56407,0.56427,0.56235,0.56,0.56274,0.56245,0.56492,0.56099,0.5636,0.56335,0.564,0.56381,0.56409,0.56301,0.56408,0.56514,0.56447,0.55914,0.5589,0.56353,0.56514,0.56355,0.5631,0.56027,0.56493,0.56377,0.56397,0.56382,0.55959,0.55877,0.56286,0.56463,0.56302,0.56423,0.56338,0.56127,0.56378,0.56449,0.56369,0.56716,0.56455,0.56069,0.56176,0.56382,0.5641,0.56295,0.5645,0.56411,0.56295,0.56488,0.56448,0.56044,0.56392,0.56496,0.56365,0.5627,0.55831,0.5653,0.55763,0.56297,0.56169,0.56155,0.56444,0.56412,0.56366,0.56415,0.56318,0.56526,0.56335,0.56406,0.56426,0.56394,0.56405,0.56521,0.56514,0.56276,0.56454,0.56459,0.56483,0.56446,0.5609,0.56473,0.56453,0.56605,0.56445,0.56344,0.56387,0.56259,0.56438,0.5616,0.56443,0.56415,0.56011,0.56434,0.5643,0.56214,0.56258,0.56002,0.56023,0.56233,0.56184,0.56527,0.56451,0.56097,0.56391,0.56503,0.56339,0.55748,0.55955,0.55941,0.56435,0.56394,0.56417,0.56218
SS E,,N/A,0.209030,0.031741,0.016522,0.017959,0.034819,0.027564,0.022753,0.037646,0.034720,0.013667,0.017919,0.006896,0.017340,0.023578,0.011496,0.035199,0.023139,0.016682,0.012382,0.016603,0.039510,0.040580,0.024472,0.027272,0.040585,0.027106,0.035827,0.024209,0.033588,0.040214,0.037470,0.021796,0.006230,0.035274,0.005546,0.028739,0.022100,0.038842,0.028734,0.025265,0.034641,0.032272,0.036248,0.036021,0.034764,0.031501,0.036305,0.036387,0.026000,0.028101,0.013344,0.001631,0.024415,0.020708,0.039377,0.023977,0.016812,0.028589,0.035991,0.033417,0.015238,0.011636,0.025561,0.041752,0.026623,0.030795,0.015984,0.039050,0.040432,0.024969,0.029441,0.016696,0.024133,0.029054,0.032858,0.039749,0.021020,0.040901,0.018054,0.038048,0.035184,0.039993,0.023093,0.004293,0.033124,0.037937,0.020591,0.032243,0.006254,0.005436,0.027331,0.021767,0.018746,0.000864,0.018755,0.036612,0.022587,0.035076,0.031699,0.002282,0.034315,0.024684,0.023585,0.009518,0.032831,0.037777,0.032319,0.031225,0.026529,0.040172,0.016343,0.006736,0.020839,0.036389,0.035463,0.031244,0.019808,0.008829,0.024627,0.031478,0.038500,0.019097,0.012723,0.033681,0.009427,0.033734,0.023145,0.022456,0.020326,0.031140,0.021798,0.018022,0.018197,0.019379,0.042130,0.034467,0.026759,0.015335,0.028470,0.041164,0.041634,0.022453,0.024326,0.022590,0.027771,0.033556,0.029201,0.025310,0.028904,0.035302,0.010540,0.030583,0.034105,0.004835,0.027726,0.027896,0.037192,0.027520,0.021728,0.031311,0.035919,0.028905,0.037007,0.027617,0.021121,0.038118,0.034532,0.032907,0.034270,0.017877,0.018679,0.012233,0.033946,0.028538,0.011595,0.029898,0.026472,0.034484,0.000558,0.022843,0.022195,0.041270,0.035515,0.037934,0.034759,0.027487,0.034884,0.027813,0.038022,0.034670,0.029848,0.032973,0.007684,0.027895,0.023825,0.036372,0.026556,0.039860,0.012011,0.036496,0.025860,0.040458,0.027928,0.037377,0.026078,0.035592,0.035394,0.023337,0.035221,0.016236,0.016339,0.023956,0.032324,0.008663,0.017586,0.010664,0.027008,0.026106,0.018408,0.011633,0.009405,0.023272,0.000918,0.029821,0.022397,0.025566,0.040671
ST Angle,,N/A,1.293070,1.277073,1.264966,1.231858,1.294049,1.250878,1.265214,1.227789,1.235491,1.230705,1.248773,1.237071,1.226947,1.258789,1.255598,1.266713,1.278257,1.244463,1.257759,1.236657,1.256163,1.226608,1.265657,1.263601,1.259149,1.250858,1.250652,1.279228,1.248479,1.277572,1.272577,1.255490,1.243466,1.271705,1.236701,1.278464,1.245359,1.255994,1.272969,1.265685,1.247563,1.274798,1.254739,1.264858,1.236374,1.261495,1.227380,1.262860,1.199667,1.235591,1.255253,1.241516,1.269466,1.306165,1.213068,1.269598,1.272434,1.276120,1.255238,1.252766,1.224928,1.238377,1.207517,1.224965,1.259588,1.300529,1.255387,1.252030,1.230604,1.257287,1.249966,1.228318,1.249170,1.225405,1.270505,1.258502,1.238074,1.255886,1.249346,1.278234,1.255627,1.231514,1.219528,1.241665,1.253662,1.278673,1.279616,1.213182,1.246040,1.252857,1.244643,1.251777,1.241645,1.244941,1.256500,1.262391,1.246467,1.274932,1.256467,1.232908,1.271527,1.240273,1.279894,1.230489,1.274298,1.243146,1.273779,1.247681,1.275392,1.265236,1.245554,1.248172,1.261815,1.205601,1.255904,1.280368,1.263801,1.250578,1.262129,1.256376,1.271929,1.221415,1.255480,1.218634,1.243510,1.254287,1.218618,1.224426,1.243892,1.255729,1.267259,1.259431,1.259102,1.238835,1.267054,1.250153,1.274833,1.228515,1.257423,1.257454,1.263921,1.267354,1.268694,1.257100,1.239400,1.295220,1.258120,1.220779,1.277346,1.225377,1.249606,1.267895,1.245051,1.242546,1.294081,1.265215,1.229482,1.264576,1.202060,1.248984,1.262992,1.234497,1.246488,1.242095,1.265136,1.253109,1.259024,1.266213,1.302002,1.270102,1.254533,1.259319,1.276847,1.274981,1.248206,1.242767,1.237553,1.213240,1.235261,1.222423,1.245299,1.250367,1.241173,1.249543,1.219313,1.235261,1.234914,1.237428,1.267680,1.254388,1.264636,1.253992,1.219299,1.290388,1.255919,1.260596,1.245429,1.257268,1.249344,1.211965,1.260048,1.229861,1.273970,1.261272,1.229945,1.273117,1.258214,1.230358,1.266742,1.251218,1.264537,1.263460,1.316707,1.244335,1.240788,1.213027,1.264250,1.245175,1.251522,1.250280,1.259834,1.271643,1.238910,1.238517,1.233538,1.251006,1.277015
BB OD,,m,0.04017,0.03857,0.03781,0.0381,0.039,0.03906,0.03892,0.0374,0.03856,0.03851,0.03914,0.03904,0.03849,0.03819,0.03879,0.03916,0.03797,0.03826,0.0385,0.03893,0.03861,0.03794,0.03897,0.03921,0.03912,0.03927,0.03886,0.03883,0.03833,0.03926,0.03913,0.03856,0.03908,0.0389,0.03894,0.03886,0.03899,0.03898,0.03839,0.03892,0.03901,0.03874,0.03908,0.03882,0.03816,0.03832,0.03768,0.03881,0.03679,0.0388,0.03914,0.03834,0.03838,0.03832,0.03771,0.03881,0.03762,0.03821,0.03903,0.03821,0.03864,0.03833,0.037,0.0379,0.0387,0.03887,0.03882,0.03846,0.03828,0.03819,0.03909,0.03801,0.03914,0.0373,0.03892,0.03911,0.03895,0.03911,0.03922,0.03903,0.03914,0.03768,0.03716,0.0391,0.0385,0.03928,0.03819,0.03755,0.03918,0.038,0.03906,0.03919,0.03896,0.03863,0.03918,0.03872,0.03807,0.03859,0.03894,0.03789,0.03879,0.0374,0.03843,0.03876,0.0389,0.03863,0.03862,0.03907,0.03836,0.03896,0.03911,0.03848,0.03869,0.03712,0.03904,0.03862,0.03834,0.03835,0.03857,0.039,0.03903,0.03806,0.03877,0.03742,0.0381,0.03916,0.03776,0.03746,0.03911,0.03885,0.03821,0.0382,0.03885,0.03885,0.03909,0.03867,0.0388,0.03858,0.03915,0.03899,0.03901,0.03796,0.03812,0.03826,0.03818,0.03884,0.03859,0.03819,0.03872,0.03836,0.03882,0.03911,0.03793,0.03912,0.03869,0.0383,0.03806,0.03914,0.03687,0.03907,0.03911,0.03862,0.03897,0.03854,0.0383,0.03895,0.03914,0.03899,0.03907,0.03797,0.0392,0.03818,0.03881,0.03831,0.03884,0.03884,0.03859,0.03782,0.03837,0.03785,0.03897,0.03858,0.03872,0.0389,0.03781,0.03865,0.0375,0.03879,0.0389,0.03917,0.03924,0.03895,0.0383,0.03876,0.03894,0.03912,0.03894,0.03886,0.03908,0.03767,0.03849,0.03768,0.03845,0.03915,0.03777,0.03818,0.03911,0.03779,0.03873,0.03793,0.03864,0.03813,0.03905,0.03709,0.03815,0.03816,0.03829,0.03889,0.03911,0.03884,0.03769,0.03845,0.03838,0.03873,0.0388,0.03809,0.0391
TT OD,,m,0.03705,0.02866,0.02595,0.02698,0.02782,0.02944,0.02701,0.03993,0.03477,0.02902,0.02744,0.02803,0.02932,0.02639,0.02736,0.02817,0.02573,0.0296,0.02694,0.02882,0.03461,0.03763,0.02729,0.02913,0.02982,0.02856,0.02979,0.0262,0.02853,0.03407,0.02794,0.02908,0.02848,0.02766,0.02844,0.02626,0.02789,0.03069,0.0267,0.0276,0.02917,0.02716,0.02903,0.02789,0.03448,0.02801,0.03663,0.02818,0.0366,0.02901,0.02847,0.02522,0.02583,0.02486,0.03714,0.02699,0.02628,0.02798,0.0291,0.02914,0.02849,0.02885,0.03682,0.03928,0.02734,0.02652,0.02889,0.03438,0.03525,0.02651,0.02845,0.02999,0.02841,0.03455,0.02751,0.02943,0.02867,0.02984,0.02817,0.03377,0.02922,0.04155,0.03224,0.02766,0.02822,0.02854,0.02477,0.03653,0.02797,0.02604,0.02864,0.02905,0.02922,0.02677,0.02804,0.0284,0.02941,0.03492,0.03035,0.02865,0.02772,0.0314,0.0256,0.02867,0.02715,0.03312,0.02915,0.0291,0.02597,0.02919,0.02793,0.02586,0.02742,0.03921,0.02916,0.0269,0.02631,0.0285,0.02925,0.02959,0.03228,0.02958,0.02872,0.03686,0.02871,0.02935,0.03216,0.03059,0.02853,0.02951,0.02551,0.02511,0.02884,0.02925,0.0321,0.02862,0.02835,0.02906,0.02949,0.03248,0.0353,0.02571,0.03554,0.02907,0.0301,0.02752,0.02939,0.03132,0.02698,0.03201,0.02866,0.02771,0.03462,0.02784,0.02597,0.02773,0.03658,0.0291,0.03406,0.0308,0.02954,0.02839,0.02955,0.02966,0.02648,0.02911,0.02868,0.0277,0.02765,0.02514,0.02905,0.02499,0.02854,0.0283,0.02647,0.03109,0.02984,0.03507,0.02834,0.03241,0.02916,0.03864,0.0334,0.03421,0.03506,0.03003,0.03713,0.02956,0.02836,0.02958,0.02806,0.02953,0.02909,0.02717,0.02923,0.02864,0.02929,0.03371,0.02741,0.03663,0.02932,0.04029,0.02707,0.02953,0.03157,0.03719,0.02933,0.03158,0.02781,0.02887,0.02574,0.02602,0.02681,0.02891,0.02929,0.02899,0.02649,0.02791,0.02908,0.02831,0.02529,0.02553,0.02503,0.03042,0.02806,0.02963,0.03111
HT OD,,m,0.04917,0.04272,0.0476,0.05741,0.04298,0.0432,0.04915,0.04795,0.04746,0.04253,0.05349,0.04245,0.04303,0.05246,0.04287,0.04959,0.04247,0.04315,0.04467,0.04314,0.04523,0.04932,0.04865,0.04311,0.04763,0.0493,0.04603,0.04549,0.05079,0.04334,0.04787,0.04252,0.04211,0.04496,0.04219,0.0497,0.04993,0.04785,0.04593,0.0491,0.04623,0.04801,0.04701,0.04884,0.04656,0.04647,0.04746,0.04936,0.04864,0.04498,0.04194,0.05945,0.05036,0.04294,0.05205,0.04705,0.04247,0.04259,0.04941,0.04742,0.04388,0.04218,0.0487,0.05131,0.05449,0.04381,0.04275,0.04481,0.04863,0.05125,0.04956,0.04349,0.04605,0.04523,0.05144,0.04743,0.04673,0.04789,0.04564,0.04308,0.04807,0.04941,0.04378,0.04276,0.051,0.04342,0.04492,0.04947,0.0422,0.04973,0.0483,0.04294,0.04323,0.04585,0.04321,0.04896,0.04243,0.04321,0.0448,0.04166,0.04571,0.04283,0.04601,0.04269,0.05015,0.04639,0.04267,0.04498,0.04565,0.04686,0.04634,0.05256,0.04981,0.05091,0.04933,0.04334,0.05165,0.04156,0.04531,0.04344,0.04377,0.04304,0.04259,0.04832,0.04172,0.04872,0.04533,0.04309,0.04307,0.04307,0.0522,0.05791,0.04269,0.04314,0.04427,0.05075,0.04295,0.04272,0.04556,0.04705,0.0455,0.04736,0.04305,0.04237,0.0431,0.04304,0.04277,0.04644,0.04612,0.05045,0.04197,0.05041,0.04436,0.04255,0.04447,0.04559,0.04828,0.04501,0.04604,0.04574,0.04746,0.0495,0.04717,0.0431,0.05074,0.04928,0.04949,0.05118,0.04284,0.04765,0.04309,0.05458,0.04307,0.04257,0.05589,0.04601,0.04398,0.04991,0.0416,0.04579,0.04289,0.04716,0.04676,0.04618,0.04837,0.04498,0.04563,0.0449,0.04731,0.04629,0.0513,0.04365,0.04289,0.04249,0.04288,0.04968,0.04305,0.04542,0.04878,0.0504,0.04298,0.0493,0.04554,0.04751,0.04382,0.04331,0.04855,0.04365,0.04804,0.04189,0.0518,0.05261,0.0431,0.0418,0.04235,0.04266,0.05137,0.05274,0.04288,0.04371,0.05014,0.05194,0.06223,0.04566,0.05095,0.04281,0.04322
DT OD,,m,0.04783,0.03687,0.03359,0.03603,0.0363,0.03707,0.03546,0.04738,0.04132,0.03638,0.03547,0.03569,0.03686,0.03475,0.03545,0.03697,0.03479,0.03635,0.03483,0.03639,0.04071,0.04686,0.0357,0.03674,0.0415,0.03636,0.04002,0.03593,0.03816,0.04201,0.03734,0.0363,0.03561,0.03866,0.03574,0.03529,0.03636,0.04168,0.03496,0.03549,0.03848,0.03534,0.03866,0.03755,0.04053,0.0368,0.04397,0.03743,0.04209,0.03758,0.03597,0.03269,0.03431,0.03454,0.049,0.03555,0.03461,0.03655,0.03762,0.03821,0.03675,0.03606,0.04159,0.05159,0.03491,0.03577,0.0359,0.04045,0.04443,0.03694,0.03693,0.03697,0.03665,0.03913,0.03551,0.03972,0.03648,0.0418,0.03593,0.04035,0.03762,0.05014,0.03755,0.03521,0.03735,0.03921,0.03415,0.04342,0.03534,0.03326,0.03686,0.03661,0.03661,0.03432,0.03605,0.0374,0.03654,0.03986,0.03725,0.03557,0.03714,0.03701,0.03448,0.03609,0.03585,0.04027,0.03769,0.03747,0.03477,0.03949,0.03598,0.03388,0.03486,0.04832,0.03758,0.03555,0.03403,0.03548,0.03654,0.03723,0.04418,0.03706,0.03565,0.04354,0.03571,0.03741,0.03755,0.03725,0.03658,0.03723,0.03373,0.03318,0.03597,0.03671,0.04052,0.03766,0.03628,0.03664,0.03685,0.04319,0.04251,0.03391,0.03778,0.03631,0.03723,0.03622,0.03688,0.03816,0.03541,0.04532,0.03573,0.03608,0.03886,0.03524,0.03528,0.03567,0.04403,0.03663,0.03848,0.0376,0.03763,0.03919,0.03985,0.03719,0.03408,0.03866,0.03725,0.03652,0.03714,0.03486,0.03624,0.03322,0.03667,0.03644,0.03427,0.03753,0.03728,0.04444,0.03534,0.03752,0.03675,0.04756,0.03971,0.04119,0.04264,0.03748,0.04227,0.03751,0.03759,0.03774,0.03604,0.03758,0.03635,0.03625,0.03654,0.03739,0.03715,0.04058,0.03516,0.04564,0.03656,0.04949,0.03514,0.03857,0.03746,0.04218,0.03758,0.03731,0.03731,0.03613,0.03473,0.03548,0.03627,0.03564,0.03644,0.03674,0.03605,0.03661,0.03631,0.03514,0.03306,0.03456,0.03288,0.03764,0.03685,0.03666,0.03857
