Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.405807,0.462656,0.399346,0.399445,0.405409,0.417247,0.425968,0.401022,0.412688,0.452003,0.406954,0.423997,0.415898,0.435855,0.570041,0.442761,0.427687,0.410749,0.428674,0.388072,0.406724,0.421929,0.415969,0.410517,0.419942,0.403078,0.446328,0.420896,0.425518,0.442004,0.407743,0.372487,0.426151,0.402149,0.431301,0.455592,0.771589,0.445462,0.389628,0.403451,0.411633,0.415356,0.424466,0.403026,0.441687,0.392584,0.362575,0.435187,0.394536,0.408524,0.362361,0.371131,0.411063,0.437548,0.352389,0.373306,0.425283,0.423157,0.368363,0.412424,0.401850,0.436391,0.421887,0.455707,0.434341,0.408881,0.426788,0.440962,0.719802,0.425598,0.318909,0.428615,0.423756,0.443862,0.366525,0.413485,0.355394,0.444872,0.379743,0.416935,0.413706,0.409824,0.403928,0.445174,0.385841,0.377499,0.407309,0.375426,0.421360,0.382069,0.367763,0.406823,0.387479,0.407664,0.418884,0.407801,0.409070,0.416882,0.432096,0.377792,0.404219,0.421684,0.403745,0.406627,0.423982,0.427550,0.397522,0.457587,0.399899,0.399524,0.413046,0.434267,0.400295,0.428321,0.448894,0.419698,0.411145,0.358207,0.405305,0.405993,0.404437,0.439639,0.400835,0.438334,0.452743,0.445648,0.377517,0.433724,0.427770,0.392163,0.442293,0.428807,0.426428,0.405440,0.398523,0.401591,0.409182,0.387316,0.424914,0.401628,0.424113,0.369468,0.445109
BB Drop,,N/A,0.046941,0.071182,0.103677,0.006523,0.071644,0.071130,0.061977,0.063942,0.071833,0.071318,0.061689,0.062805,0.068185,0.020723,0.064418,0.032889,0.070555,0.071204,0.072770,0.060086,0.071178,0.074363,0.020001,0.065392,0.070305,0.070609,0.072605,0.065973,0.055471,0.063011,0.088064,0.067276,-0.003916,0.061485,0.073550,0.071975,0.073051,0.045449,0.073042,0.035164,0.068309,0.041174,0.070464,0.055157,-0.003388,0.067168,0.054883,0.045427,0.069203,0.026391,0.069365,0.042841,-0.022294,0.004423,0.067063,0.012730,0.055652,0.082403,0.045770,-0.024774,0.070932,0.064924,0.066399,0.034120,0.050962,0.031194,0.065760,0.039688,0.070263,0.020297,0.070510,-0.002581,0.038656,0.046618,0.025464,0.057900,0.071584,0.022938,0.051214,-0.006822,0.012150,0.023128,-0.008996,0.066268,0.050579,0.012321,0.042592,0.049061,0.052084,0.071354,-0.031132,-0.001045,0.070584,-0.005824,0.021771,0.044747,0.062587,0.070160,0.065028,0.067155,0.031914,0.053711,0.068409,0.070581,0.067992,0.068886,0.069922,0.069290,0.050833,0.069160,0.069449,0.055488,0.069652,0.071058,0.068914,0.034596,0.070226,0.070734,0.003029,-0.045908,0.069195,0.065902,0.063254,0.071230,0.009685,0.047238,0.070446,0.044632,0.064849,0.082286,0.005895,0.046497,0.068298,0.067870,0.042242,0.037138,0.070741,0.065098,0.052307,0.072648,0.071950,0.039586,0.059862,0.096038
Stack,,m,0.56549,0.56565,0.56567,0.56569,0.56561,0.56487,0.62541,0.56608,0.56558,0.62122,0.56569,0.56564,0.61479,0.56552,0.56562,0.56545,0.51948,0.59011,0.5657,0.56563,0.56558,0.56556,0.50543,0.56608,0.5652,0.56563,0.56565,0.56587,0.56557,0.56557,0.63665,0.53604,0.56569,0.56556,0.56562,0.56558,0.50537,0.56556,0.56513,0.56575,0.56561,0.63541,0.56585,0.56647,0.56559,0.56593,0.56563,0.56565,0.56552,0.56575,0.56551,0.56561,0.56571,0.56572,0.59172,0.52681,0.5656,0.64325,0.56578,0.56558,0.56558,0.54837,0.56569,0.6218,0.60661,0.56567,0.56557,0.56524,0.56567,0.56568,0.56574,0.5655,0.56573,0.56557,0.5659,0.51116,0.56563,0.52021,0.60676,0.56561,0.5658,0.5228,0.54126,0.55225,0.56564,0.56559,0.50333,0.5656,0.56537,0.56567,0.56557,0.56562,0.56551,0.56557,0.56566,0.64199,0.56427,0.56554,0.56569,0.56514,0.56575,0.56554,0.56572,0.56561,0.56458,0.65838,0.56575,0.5647,0.61507,0.5413,0.56564,0.56579,0.56563,0.56556,0.51101,0.56565,0.56587,0.59758,0.50719,0.56546,0.56569,0.56553,0.56561,0.56558,0.49088,0.56548,0.56551,0.5289,0.56571,0.63246,0.56563,0.56543,0.61991,0.56703,0.56567,0.5656,0.57202,0.52004,0.56545,0.56571,0.56567,0.56555,0.5656,0.50413
SS E,,N/A,0.209030,0.043766,0.062091,0.045334,0.046577,0.045451,0.045840,0.064570,0.044855,0.047963,0.055405,0.043303,0.067760,0.045043,0.045346,0.229894,0.071914,0.049575,0.047151,0.041910,0.044951,0.043532,0.238620,0.044696,0.044270,0.045322,0.045889,0.044420,0.041502,0.052779,0.055580,0.044573,0.047017,0.046409,0.045372,0.048141,0.028356,0.091554,0.042567,0.047005,0.045193,0.049014,0.046742,0.046550,0.045804,0.023102,0.044417,0.044691,0.044021,0.029737,0.040913,0.045017,0.048531,0.045996,0.044512,0.218689,0.044533,0.058984,0.301393,0.029844,0.043969,0.045280,0.046626,0.044930,0.055901,0.052182,0.045100,0.042998,0.044895,0.043507,0.043214,0.046472,0.044674,0.043246,0.048528,0.118354,0.042405,0.045059,0.054779,0.030723,0.054587,0.044362,0.046500,0.046154,0.017824,0.042674,0.045935,0.044688,0.045156,0.045907,0.019727,0.063525,0.026230,0.056455,0.044117,0.043346,0.033236,0.046878,0.044099,0.045213,0.045565,0.054557,0.044449,0.044967,0.044794,0.058266,0.043019,0.047444,0.044992,0.208205,0.043429,0.043978,0.048422,0.044700,0.044517,0.059299,0.044708,0.045300,0.046049,0.041584,0.043021,0.045939,0.046190,0.042968,0.045026,0.045352,0.015273,0.045371,0.046661,0.047989,0.044298,0.014622,0.044850,0.044952,0.058982,0.043783,0.046106,0.041327,0.043427,0.046561,0.042526,0.043094,0.045430,0.008455
ST Angle,,N/A,1.293070,1.287303,1.237301,1.296089,1.299667,1.280160,1.271337,1.294312,1.283921,1.288950,1.280678,1.295801,1.282854,1.284471,1.296915,1.392906,1.298960,1.275640,1.268365,1.250969,1.288352,1.321050,1.283889,1.294122,1.288249,1.285028,1.279088,1.278105,1.271255,1.286359,1.286201,1.283364,1.298589,1.307665,1.291734,1.308998,1.265606,1.280862,1.285317,0.811092,1.295949,1.291491,1.272246,1.329418,1.265142,1.278059,1.299667,1.297522,1.270980,1.162380,1.270888,1.300625,1.281203,1.294586,1.249376,1.362849,1.302920,1.277759,1.276219,1.322016,1.284342,1.297637,1.279483,1.037455,1.304736,1.285059,1.283990,1.255778,1.287895,0.801090,1.289283,1.287672,1.250344,1.268941,1.334127,1.290969,1.284876,1.311322,1.243294,1.229412,1.281650,1.295840,1.291777,1.287693,1.286075,1.287162,1.353992,1.259664,1.265176,1.298159,1.253782,1.318771,1.216714,1.242616,1.288082,1.301091,1.322446,1.273386,1.294537,1.260937,1.283678,1.288036,1.284377,1.282891,1.284981,1.280574,1.272478,1.278347,1.268846,1.293114,1.282930,1.296020,1.310303,1.293304,1.285399,1.210859,1.284630,1.289847,1.306836,1.277829,1.271011,1.294546,1.268474,1.282892,1.272917,1.282879,1.257452,1.301330,1.254352,1.276174,1.283174,0.925480,1.275204,1.287281,1.284649,1.389987,1.277890,1.290189,1.320380,1.263746,1.294862,1.276708,1.336486,0.896676
BB OD,,m,0.04017,0.04,0.03993,0.03989,0.03983,0.03991,0.03989,0.03984,0.03992,0.04033,0.04066,0.04009,0.04013,0.03991,0.04025,0.03967,0.03905,0.03992,0.03997,0.0389,0.03978,0.04041,0.05215,0.03992,0.03989,0.03987,0.03997,0.03986,0.04012,0.04014,0.03999,0.03993,0.03991,0.04098,0.03989,0.03991,0.04058,0.03999,0.04005,0.03997,0.04003,0.03949,0.04001,0.04009,0.03998,0.04051,0.04016,0.03998,0.03996,0.04001,0.03995,0.03989,0.03988,0.04,0.03968,0.03964,0.03995,0.04003,0.0458,0.03993,0.04003,0.04003,0.04023,0.0402,0.03983,0.03987,0.03995,0.03997,0.04015,0.06103,0.03994,0.04001,0.04023,0.04006,0.03951,0.03991,0.04003,0.03989,0.03962,0.04014,0.0407,0.04049,0.03971,0.03984,0.03991,0.03977,0.04021,0.03992,0.03997,0.03991,0.03995,0.03995,0.04862,0.04007,0.0401,0.03982,0.03996,0.03998,0.03996,0.0399,0.03986,0.04006,0.04003,0.03978,0.03996,0.04021,0.03938,0.04012,0.04034,0.0399,0.03994,0.03998,0.03998,0.03995,0.03998,0.04047,0.03998,0.04002,0.04022,0.04035,0.03996,0.03996,0.04003,0.03993,0.04073,0.04016,0.04171,0.0399,0.03997,0.04038,0.03984,0.04955,0.03998,0.03962,0.04011,0.04006,0.04,0.03992,0.04,0.03998,0.04005,0.03987,0.04005,0.04079
TT OD,,m,0.03705,0.02851,0.02908,0.03166,0.02904,0.02756,0.02959,0.0279,0.05803,0.02945,0.06434,0.02816,0.02837,0.02827,0.03825,0.02822,0.02812,0.02815,0.02747,0.02931,0.02866,0.02778,0.0316,0.02869,0.02771,0.02693,0.02901,0.02839,0.02718,0.02836,0.02863,0.02915,0.02928,0.0272,0.02899,0.02836,0.02886,0.0388,0.02551,0.02889,0.02432,0.0291,0.02859,0.02914,0.03794,0.02811,0.0257,0.02899,0.02837,0.02846,0.02766,0.02945,0.02827,0.02884,0.02955,0.02932,0.02859,0.02993,0.03108,0.02947,0.02768,0.02974,0.02855,0.02822,0.02923,0.0285,0.02774,0.02934,0.03038,0.02691,0.02863,0.02876,0.02747,0.02979,0.02899,0.02911,0.02847,0.02756,0.03049,0.02928,0.0476,0.02943,0.02884,0.02811,0.03034,0.02752,0.02729,0.02864,0.02589,0.02794,0.02907,0.02949,0.02611,0.02951,0.0291,0.02757,0.02745,0.02632,0.0278,0.0305,0.0283,0.029,0.02892,0.02909,0.02787,0.02785,0.02822,0.02746,0.02892,0.02911,0.02905,0.02889,0.02924,0.02843,0.02828,0.08304,0.02843,0.02842,0.02749,0.02979,0.04146,0.02702,0.02817,0.02847,0.02876,0.02645,0.02879,0.028,0.02713,0.02941,0.02842,0.02884,0.02814,0.02782,0.03306,0.03276,0.02855,0.02789,0.0267,0.02808,0.02908,0.02909,0.02776,0.02574
HT OD,,m,0.04917,0.04515,0.05137,0.04604,0.04455,0.0533,0.0546,0.04482,0.04466,0.04577,0.04483,0.04524,0.04083,0.04148,0.05017,0.03161,0.0367,0.04557,0.04473,0.03097,0.04536,0.0463,0.05151,0.0457,0.04481,0.03253,0.05538,0.05019,0.03389,0.04538,0.04785,0.05944,0.04472,0.04537,0.04499,0.04933,0.03149,0.04368,0.03194,0.04403,0.0615,0.0443,0.04227,0.0435,0.04316,0.0377,0.03641,0.03238,0.04474,0.03551,0.04563,0.04383,0.04367,0.04559,0.03589,0.0446,0.04472,0.03188,0.04601,0.04914,0.0393,0.04496,0.0454,0.0395,0.04499,0.04487,0.034,0.0452,0.04563,0.04948,0.04486,0.04695,0.03386,0.03465,0.04947,0.045,0.04081,0.04553,0.0325,0.04516,0.04928,0.02999,0.04436,0.03663,0.03137,0.04424,0.04045,0.04465,0.04355,0.04537,0.04425,0.04382,0.03195,0.04529,0.04473,0.04439,0.03065,0.04586,0.04471,0.04497,0.04523,0.04474,0.03995,0.03991,0.02774,0.05188,0.04601,0.04586,0.0454,0.04639,0.04642,0.0371,0.04438,0.04485,0.04399,0.04042,0.04557,0.04495,0.04625,0.04395,0.04858,0.04497,0.03573,0.04534,0.04462,0.04558,0.03151,0.046,0.0438,0.03867,0.04552,0.03323,0.04507,0.04513,0.04554,0.03471,0.04552,0.04487,0.04744,0.04527,0.04479,0.03294,0.04602,0.03113
DT OD,,m,0.04783,0.0371,0.04488,0.04585,0.0361,0.0442,0.05086,0.03655,0.05172,0.03633,0.03619,0.036,0.03642,0.03496,0.04865,0.03613,0.03664,0.03725,0.03617,0.03766,0.03735,0.0379,0.03876,0.03633,0.03531,0.0357,0.03734,0.03534,0.03637,0.03707,0.03586,0.05233,0.03597,0.03632,0.03675,0.03637,0.03567,0.04424,0.0366,0.03673,0.03513,0.03753,0.03644,0.03596,0.05204,0.0366,0.03636,0.03496,0.03764,0.03585,0.0359,0.03655,0.03697,0.03637,0.03731,0.03486,0.03604,0.03814,0.05252,0.03519,0.03534,0.03781,0.03533,0.03645,0.0602,0.03562,0.03663,0.03694,0.03634,0.03573,0.03635,0.03658,0.03699,0.03503,0.03706,0.04388,0.03602,0.03665,0.03607,0.0367,0.05338,0.03626,0.03668,0.03444,0.03689,0.03667,0.03594,0.03664,0.03485,0.03768,0.03676,0.03702,0.03182,0.04586,0.0374,0.0365,0.03647,0.03652,0.03622,0.0359,0.03707,0.03656,0.03539,0.03522,0.03744,0.0342,0.03601,0.03655,0.03615,0.03807,0.0372,0.03672,0.03634,0.03558,0.03586,0.05261,0.03658,0.03702,0.03591,0.03561,0.05134,0.03664,0.03667,0.03677,0.03656,0.03572,0.03719,0.03671,0.03665,0.03682,0.03587,0.03729,0.03538,0.03567,0.03631,0.03595,0.03693,0.03677,0.03722,0.03706,0.04347,0.03726,0.03611,0.03634
