Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.430264,0.697284,0.450066,0.420942,0.407392,0.350438,0.419964,0.409388,0.396393,0.558325,0.447141,0.404514,0.402846,0.417143,0.371842,0.402216,0.432055,0.385096,0.361808,0.377722,0.412010,0.399549,0.484255,0.405913,0.408557,0.402668,0.405175,0.399281,0.413367,0.402252,0.406730,0.518505,0.403511,0.386174,0.412046,0.399300,0.387753,0.429635,0.386518,0.423558,0.400527,0.406226,0.444093,0.379835,0.400169,0.388233,0.430926,0.436172,0.403116,0.422706,0.645033,0.377295,0.486982,0.408191,0.400878,0.490806,0.447128,0.406269,0.432127,0.418037,0.364899,0.404188,0.413914,0.437707,0.433871,0.410292,0.411035,0.370245,0.423420,0.377409,0.385987,0.651055,0.439404,0.392722,0.404648,0.434358,0.397231,0.434009,0.447630,0.410488,0.420842,0.400701,0.444163,0.400345,0.413996,0.403728,0.693622,0.491603,0.720548,0.641686,0.422141,0.421444,0.427546,0.392903,0.405049,0.412668,0.383241,0.418627,0.431989,0.418022,0.404192,0.441786,0.383017,0.409879,0.426338,0.403795,0.406474,0.403934,0.412513,0.371749,0.387150,0.415180,0.402554,0.409819,0.355012,0.431497,0.419016,0.411516,0.400751,0.395085,0.451315,0.412605,0.442330,0.407712,0.351885,0.640503,0.402332,0.439135
BB Drop,,N/A,0.046941,0.037382,0.015465,0.072460,0.070491,0.074847,0.069810,0.070706,0.067046,0.030976,0.053588,0.071146,0.070013,0.071550,0.072046,0.063939,0.069528,0.071131,0.072954,-0.010535,-0.029573,0.066693,0.050195,0.069077,0.069425,0.036652,0.070339,0.071521,0.066550,0.069549,0.070041,0.071229,0.055588,0.066414,0.059286,0.001156,0.072380,0.068684,0.068972,0.000797,0.073436,0.071390,0.068963,0.074189,0.070886,0.067439,-0.002066,0.071430,0.055300,0.065688,0.070558,0.007979,0.012019,0.041731,0.037957,0.069621,0.067272,0.060162,0.008536,0.070815,0.074331,-0.037573,0.066055,0.055400,0.060407,0.067876,0.065372,0.067832,0.048094,0.068934,0.057992,0.053291,0.043251,0.057574,0.071510,0.070442,0.035712,0.066892,0.057242,0.077296,0.068717,0.069511,0.068035,0.072286,0.067745,0.071960,0.069822,0.050455,-0.001903,0.072227,0.051036,0.054546,0.062483,0.056722,0.073096,0.071184,0.072314,0.067022,0.068722,0.049451,0.075852,0.064077,0.069759,0.067945,0.069117,0.071451,0.066681,0.071558,0.068765,0.038455,-0.032994,0.010128,0.058451,-0.036287,0.072001,0.011087,0.069175,0.049624,-0.032015,0.072101,0.051341,0.067030,0.048637,0.044914,-0.025107,-0.033700,0.043369,0.068040,0.065491
Stack,,m,0.56549,0.56568,0.56557,0.63966,0.56516,0.56676,0.56596,0.58477,0.56574,0.56557,0.61996,0.56556,0.56568,0.56572,0.56569,0.56564,0.5657,0.5656,0.56559,0.56561,0.56569,0.51836,0.56572,0.56633,0.56561,0.61911,0.55738,0.56569,0.56632,0.56543,0.5656,0.5656,0.56512,0.5656,0.52526,0.56561,0.53837,0.5654,0.56574,0.56561,0.53108,0.62927,0.56553,0.56631,0.56573,0.56559,0.56562,0.5591,0.52394,0.56562,0.56556,0.63504,0.56556,0.56564,0.56572,0.56564,0.56588,0.56559,0.56556,0.56562,0.56518,0.56574,0.56557,0.56557,0.56553,0.56554,0.56565,0.56567,0.58562,0.56568,0.56567,0.56558,0.56652,0.56532,0.55938,0.45689,0.5656,0.58075,0.64881,0.56556,0.61599,0.56552,0.56562,0.62458,0.56565,0.62449,0.56552,0.56561,0.56556,0.56646,0.56565,0.57537,0.56634,0.56562,0.56553,0.56534,0.56573,0.56599,0.56557,0.5654,0.59962,0.5656,0.57759,0.56554,0.56557,0.58509,0.56571,0.56561,0.56562,0.52255,0.56568,0.56564,0.56561,0.56567,0.56541,0.56583,0.64909,0.56562,0.56575,0.56559,0.56578,0.56555,0.5665,0.64906,0.56558,0.56548,0.56493,0.50226,0.56552
SS E,,N/A,0.209030,0.205124,0.068626,0.045176,0.055865,0.049347,0.046460,0.042556,0.042236,0.064288,0.056318,0.052519,0.045677,0.047168,0.043681,0.247102,0.044969,0.063201,0.046992,0.048948,0.061705,0.225083,0.042778,0.043059,0.046781,0.043935,0.038372,0.069548,0.047055,0.046731,0.042261,0.047686,0.024518,0.047365,0.049268,0.232144,0.044128,0.043519,0.047314,0.038424,0.045360,0.065153,0.133343,0.044816,0.044729,0.060013,0.044632,0.044431,0.046745,0.045767,0.067798,0.044104,0.045626,0.043417,0.050096,0.045132,0.044285,0.044878,0.046430,0.045539,0.043734,0.040487,0.045978,0.014282,0.039523,0.046972,0.042802,0.057679,0.044248,0.044225,0.033602,0.192166,0.042272,0.109905,0.047778,0.046492,0.043515,0.046657,0.088971,0.044447,0.046159,0.293176,0.042730,0.045175,0.045175,0.042259,0.224350,0.032212,0.046957,0.049981,0.063367,0.048117,0.028100,0.044011,0.057505,0.044303,0.045800,0.047296,0.043879,0.032628,0.042963,0.046179,0.042646,0.065850,0.041745,0.046263,0.045522,0.047458,0.163738,0.206003,0.054369,0.043868,0.045460,0.038423,0.041765,0.055579,0.046907,0.043658,0.210693,0.063332,0.031799,0.034769,0.059946,0.047162,0.031197,0.061342,0.127962,0.045895,0.045463
ST Angle,,N/A,1.293070,1.191705,1.273731,1.267178,1.278421,1.289108,1.291456,1.280130,1.291445,1.265795,1.252183,1.272803,1.291603,1.293611,1.284221,1.358294,1.292066,1.274208,1.291821,1.240820,1.264647,1.313793,1.293463,1.291516,1.292039,1.279807,1.272828,1.317272,1.293302,1.292010,1.292616,1.291229,1.254037,1.304858,1.316734,1.294053,1.293434,1.354023,1.283360,1.347021,1.291410,1.262742,1.360284,1.272375,1.223253,1.290737,1.290552,1.312357,1.299714,1.291568,1.270175,1.074908,1.271129,1.280161,1.293281,1.290608,1.272184,1.272555,1.292391,1.293718,1.278806,1.344956,1.288606,1.300672,1.207282,1.278631,1.307707,1.280009,1.278678,1.198270,1.292857,1.336566,1.269154,1.276665,1.333172,1.281800,1.290878,1.276624,1.282521,1.275800,1.269014,1.283185,1.288568,1.281215,1.291608,1.270864,1.282477,1.179942,1.232891,1.274463,1.272392,1.204370,1.233605,1.230059,1.291064,1.308414,1.278071,1.323896,1.277028,1.278094,1.282554,1.275534,1.281480,1.240319,1.279838,1.275851,1.291649,1.276264,1.323371,1.246279,1.312159,1.263430,1.291623,1.072346,1.293801,1.256690,1.284005,1.264077,1.287353,1.277254,1.347110,1.259006,1.245885,1.258617,1.322856,1.259898,1.236117,1.292397,1.287409
BB OD,,m,0.04017,0.05356,0.03874,0.03994,0.03946,0.03998,0.04028,0.03953,0.03999,0.03994,0.04038,0.03996,0.03998,0.03998,0.04241,0.04002,0.04001,0.03998,0.04,0.04001,0.03997,0.03998,0.03998,0.03996,0.03995,0.03999,0.04071,0.03995,0.03992,0.04032,0.03404,0.0318,0.04002,0.03994,0.03999,0.05974,0.03995,0.03996,0.04006,0.04002,0.0401,0.04007,0.03994,0.04003,0.03998,0.03987,0.04002,0.04002,0.04,0.04004,0.04007,0.04006,0.03999,0.04005,0.04006,0.03997,0.03997,0.04003,0.03998,0.03883,0.04009,0.04013,0.04004,0.03897,0.04614,0.04003,0.04003,0.03972,0.03913,0.04,0.03996,0.03997,0.03995,0.03996,0.04037,0.03995,0.04005,0.03996,0.04003,0.04885,0.03997,0.04028,0.03997,0.04023,0.03993,0.039,0.04065,0.03996,0.04035,0.03994,0.04001,0.03992,0.03988,0.04014,0.04006,0.04001,0.04005,0.03971,0.04008,0.03391,0.03995,0.04,0.03947,0.04474,0.03994,0.04003,0.0404,0.03935,0.04035,0.04034,0.06064,0.04008,0.03998,0.03996,0.04018,0.03998,0.03992,0.0401,0.04665,0.03994,0.04013,0.04002,0.03999,0.04003,0.03997,0.04005,0.03973,0.04009,0.02933
TT OD,,m,0.03705,0.03124,0.02624,0.03136,0.02836,0.02792,0.03018,0.03066,0.02906,0.0281,0.02896,0.02706,0.02844,0.02935,0.02956,0.04006,0.02784,0.0384,0.03721,0.02928,0.03093,0.02807,0.0264,0.02871,0.02892,0.02825,0.02738,0.03431,0.02995,0.02826,0.02846,0.03019,0.0284,0.0285,0.03874,0.03654,0.02804,0.02769,0.02897,0.03072,0.02839,0.02965,0.02627,0.0299,0.02805,0.02476,0.02795,0.02896,0.02875,0.02833,0.02883,0.02845,0.02552,0.02856,0.03772,0.02915,0.0297,0.02984,0.02946,0.027,0.02587,0.02817,0.02864,0.02833,0.04533,0.02934,0.02837,0.03091,0.02758,0.02753,0.02653,0.02867,0.02999,0.02765,0.02866,0.02869,0.02931,0.02912,0.03274,0.02876,0.02886,0.0338,0.02896,0.02845,0.0284,0.02808,0.04016,0.02654,0.02712,0.0296,0.02778,0.0301,0.02868,0.02892,0.02614,0.02688,0.02858,0.02736,0.03214,0.02838,0.02857,0.02665,0.02931,0.02607,0.02721,0.02931,0.03137,0.02876,0.03155,0.03019,0.01475,0.02838,0.02799,0.02941,0.03513,0.0283,0.028,0.02869,0.02825,0.03687,0.02688,0.02863,0.03109,0.02809,0.03152,0.02826,0.02843,0.03383,0.02811
HT OD,,m,0.04917,0.04903,0.05171,0.04534,0.04892,0.04385,0.03825,0.04501,0.04698,0.03408,0.03796,0.03226,0.03523,0.04503,0.0387,0.04548,0.04456,0.04672,0.04469,0.04464,0.04425,0.04521,0.04595,0.03017,0.04414,0.03789,0.02947,0.04463,0.045,0.04453,0.0451,0.04427,0.02963,0.04468,0.04429,0.04951,0.04439,0.04661,0.03432,0.04386,0.04495,0.05039,0.03547,0.04413,0.04684,0.03504,0.04584,0.04481,0.04407,0.045,0.04506,0.03956,0.03252,0.03365,0.0514,0.04658,0.03799,0.04546,0.04423,0.04567,0.03116,0.03508,0.04581,0.02925,0.03908,0.0446,0.04458,0.04516,0.05051,0.05076,0.03209,0.04485,0.03841,0.05053,0.04588,0.03251,0.04447,0.04385,0.0496,0.04934,0.04587,0.04619,0.0444,0.03426,0.04354,0.03654,0.03458,0.04528,0.04619,0.04553,0.04472,0.04987,0.03182,0.04488,0.04382,0.04061,0.03832,0.03336,0.04383,0.03146,0.04479,0.03594,0.04399,0.05179,0.03003,0.04423,0.04508,0.04407,0.04434,0.04539,0.05181,0.04468,0.04412,0.04398,0.04469,0.04509,0.04465,0.04521,0.04997,0.04535,0.03186,0.03003,0.04989,0.04486,0.03114,0.05015,0.03781,0.04385,0.04531
DT OD,,m,0.04783,0.04305,0.03497,0.03623,0.03489,0.03649,0.03501,0.03525,0.03659,0.03663,0.04409,0.0364,0.03637,0.03649,0.03846,0.0365,0.03614,0.03761,0.03947,0.03668,0.03644,0.03663,0.0364,0.03499,0.0364,0.03609,0.03688,0.03645,0.03701,0.03512,0.03644,0.03648,0.03625,0.0371,0.04107,0.03648,0.03647,0.03692,0.03649,0.03665,0.03625,0.03672,0.03673,0.03893,0.03652,0.03649,0.03638,0.03661,0.03569,0.03646,0.04454,0.03664,0.0364,0.03643,0.04584,0.03643,0.03481,0.03662,0.03784,0.03644,0.03653,0.03654,0.03642,0.03497,0.03683,0.03655,0.03637,0.03644,0.0364,0.03303,0.03651,0.04441,0.03646,0.03621,0.03649,0.03665,0.03607,0.03658,0.0481,0.03649,0.03707,0.0361,0.03547,0.03638,0.03654,0.0364,0.03709,0.03632,0.03676,0.03625,0.03673,0.03732,0.03633,0.03654,0.03666,0.03689,0.03641,0.03559,0.03998,0.03653,0.03641,0.0366,0.03625,0.03631,0.03649,0.03694,0.03664,0.03651,0.03648,0.03628,0.0365,0.03642,0.03639,0.0353,0.03659,0.0364,0.03621,0.03641,0.03648,0.03683,0.03657,0.03631,0.03712,0.03653,0.03541,0.03654,0.03556,0.05212,0.03751
